calisma_sekli,departman,egitim,genel_nit_is_tanimi,ilan_baslik,label,sehir,sektor,sirket_adi,tecrube
,,,"Taşımacılık sektöründe, sürekli gelişen ve değişen dinamikler doğrultusunda hizmette fark yaratma amacıyla çalışan Yurtiçi Lojistik; teknoloji ve insan kaynağı yatırımlarıyla sektörün önemli isimlerinden biri olmayı başardı.,Arıkanlı Holding bünyesinde 2002 yılında kurulan Yurtiçi Lojistik; tecrübesi ve kalite anlayışıyla bugün ülke genelinde 16 şehirde 100.000 m²’yi aşkın depolama alanında hizmet veriyor. Şirket başta beyaz eşya, tekstil, perakende gıda, otomotiv, madeni yağ vb. ürünleri, paletli taşıma da dahil olmak üzere, farklı sektörlerin tedarik zinciri yönetimi, dağıtımı ve depolama ihtiyaçlarına yönelik esnek çözümler üretmektedir.,Genel Merkezi İstanbul Maslak’ta bulunan Yurtiçi Lojistik, Arıkanlı Holding Taşımacılık Grubu’nun lojistik sektöründeki deneyimi ve güçlü uzman ekibiyle, tüm lojistik çözümlerin yeni bir yapılandırmayla aynı çatı altında toplanması felsefesi ile kuruldu.,FIATA ve IATA üyesi olan Yurtiçi Lojistik, Avrupa ülkeleri ve komşu ülkeler başta olmak üzere dünyanın her köşesinden tüm taşıma modlarında her tip ve hacimde yük taşımacılığı yapan Forwarder hizmetlerini de sunuyor.,ISO 9001-2000 Kalite Yönetim Sistemi ve L1, R2 belgeleri ile Yurtiçi Lojistik; iş ortaklarına yüksek kalitede hizmet sunabilmek için organize lojistik merkezleri, ulusal ve uluslararası entegre dağıtım ve kalite kontrolünü içeren katma değerli hizmet servisleri ile çoklu depolamaya ilave olarak yerel deneyim ve bilgiyi bir arada sunuyor.,Genel Müdürlüğümüzde değerlendirilmek üzere;,HASAR TAZMİN VE SİGORTA UZMANI,Üniversitelerin ilgili bölümlerinden mezun,, ,Minimum 3 yıl sigortacılık tecrübesinin yanı sıra hasar konusunda bilgisi olan,,Sigorta şirketi ve/veya acente tecrübesi olan,,Hasar dosyası açabilecek ve hasar takiplerini yapabilecek,,Lojistik sektöründe bilgi ve deneyim sahibi olan,,Raporlama yapacak noktada MS Office bilgisine sahip,,İş sorumluluğu yüksek, problem çözme yetkinliğine sahip,,Etkin iletişim becerileri gelişmiş,, ,Hasar konusunda şirket içerisinde farkındalık yaratabilecek,,Seyahat engeli bulunmayan,, ,Ehliyeti olan ve aktif araç kullanabilen,, ,Erkek adaylar için askerlik hizmetini tamamlamış,,adaylar aranmaktadır.,İŞ TANIMI,Taşıma esnasında oluşabilecek hasarların en aza indirilmesi için gerekli önlemleri almak,,Hasar analiz raporlarını hazırlamak, ,Sigorta hasar tazmin taleplerinin sigorta firması ile paylaşılarak taleplerin takibini sağlamak,,Sigorta poliçe ve sözleşmelerini değerlendirmek ve yorumlamak, ,Hasarlara ait dokümanların incelenmesi, değerlendirilmesi, buna ilişkin ilgili departmanlar ile koordinasyonun sağlanması ve evrakların dosyalanması,,Sigorta ve hasar süreçlerine ait alternatif çözümlerin üretilmesi, ,Müşteriler ile gerekli iletişimin kurulması ve müşteriye ilişkin sürecin yönetilmesi.",Hasar Tazmin ve Sigorta Uzmanı ,sigorta_acente_danisman,,,Yurtiçi Lojistik,
,,,"Estethica Ataşehir Tıp Merkezi bünyesinde görevlendirilmek üzere;,-Üniversite mezunu,,· Müşteri ilişkileri yönetimi konusunda deneyimli,,· Arapça ve İngilizce bilen,(Okoma Yazma ve Konuşma seviyeleri ileri),· Kendini geliştirmeye açık,,- Ekip yönetimi becerilerine sahip,,· Etkili iletişim, planlama ve koordinasyon becerisine sahip,,· Analitik düşünebilen, dinamik,,· Prezantabl ve temsil yeteneği kuvvetli,,· Sorumluluk alan ve insiyatif kullanabilen,,· MS Office uygulamalarını etkin kullanabilen,,· Esnek ve yoğun çalışma saatlerine uyum sağlayabilen,,· Askerliğini tamamlamış / askerlik sorunu olmayan (erkek adaylar için ),İŞ TANIMI,· Potansiyel müşteri araştırılması,,-Mevcut acentelerin yönetiminde aktif rol alacak, ,· Pazardaki tüm gelişmelerin yakından takip edilmesi,,- Yurt dışı acenteler ile operasyon sürecinin koordine edilmesi,,- Hedefler doğrultusunda ilerlemek ve ekibini bu yönde yönetmek,,-Müşteri ile olan iletişimi firma kültürü doğrultusunda sağlayabilecek,,Yurtdışı Pazarlama Acenteler Müdürü aramaktayız.",Yurtdışı Pazarlama Acenteler Müdürü,sigorta_acente_danisman,,,Ethica Sağlık Grubu,
,,,"İstanbul Global Sigorta Brokerliği A.Ş., Sigorta sektöründe, kurumsal ve bireysel müşterilerine risk yönetim ve tüm sigorta branşlarında hizmetler sunan marka değeri yüksek sigorta brokerlik şirketidir. Sektörde çok uzun yıllardır deneyim sahibi olan şirketimiz büyüyen organizasyon yapısı için ;,1-,Kasko, Trafik, Dask, Konut, Nakliyat Sigortası, branşlarında görev alacak ekip arkadaşları aramaktadır.,2-Yangın, Mühendislik, Sorumluluk Sigortası ,branşlarında görev alacak ekip arkadaşları aramaktadır.,3-Sağlık ,Sigortası, (Ö.S.S.-T.S.S.-Grup vb.) branşlarında görev alacak ekip arkadaşları aramaktadır.,4-Bireysel Emeklilik (BES) ve Hayat Sigortası , branşlarında görev alacak ekip arkadaşları aramaktadır., ,Ön lisans veya lisans mezunu. ,Sigortacılık Teknik Belgesi’ne (,SEGEM,) sahip.,Sigorta sektöründe ,en az 3 yıllık, deneyime sahip.,Görev bilinci yüksek, sorumluluk alabilen, ikna kabiliyeti ve iletişimi güçlü.,Takımın bir parçası olarak çalışmaktan keyif alan ve sonuç odaklı çalışan.,Dinamik, yoğun tempoda hedef odaklı çalışabilen.,Erkek adaylar için askerliğini tamamlamış.,İstanbul Avrupa Yakası, veya  ,İstanbul Asya Yakasında, ikamet eden. Ofislerimiz ana ulaşım aksındadır.,   İŞ TANIMI,Şirketin mevcut ve yeni müşterilerine ait poliçe, zeyil, yenileme, hasar ve tahsilat işlerinin takibinin yapılması.,Sigorta şirketlerinin ekranlarını aktif kullanarak teklif ve poliçe düzenlenmesi.,MS Office (,Word, Excel, Outlook,) programlarını etkin bir biçimde kullanabilen.,Kurumsal müşterilerin ihtiyaçlarını, beklentilerini anlayabilecek analitik beceriye ve esnekliğe sahip olmak.,Sigortacılık sektöründe sunulan ürün ve hizmetlerde bilgi sahibi ve ,en az 3 yıl ,iş deneyimine sahip.,Tercihen Polisoft Yazılım programını bilen., ,*Aday ekip arkadaşlarımız ""Ataköy ,Selenium Retro Residence,"" ve ""Bağcılar ,My Office 212 Residence, ofislerimizde görev alacak; kurumsal ve bireysel müşterilerimize hizmet sunacaktır.?,**,Uzun Dönem Staj : ,Sigortacılık alanında kariyer hedefi olan ve kendini bu alanda geliştirmek isteyen, üniversitelerin ilgili bölümlerinin ,3., veya ,4., sınıf öğrencileri başvurularını ""istanbulsigorta,"",  sosyal medya hesaplarımız, veya ,internet sitemiz üzerinden, yapabilirler.",Sigorta Teknik Personeli,sigorta_acente_danisman,,,İSTANBUL GLOBAL SİGORTA BROKERLİĞİ A.Ş.,
,,,"Medicalpark İzmir Hastanesinde Görevlendirilmek üzere ; ,Üniversitelerin ilgili bölümlerinden mezun,,Hasta kayıt yetkilisi pozisyonunda en az 2 yıl deneyimli,,Hasta kayıt, faturalandırma ve hasta yatış süreçlerinde tecrübe sahibi,,Özel Sağlık Sigortaları ve Anlaşmalı Kurumlar hasta süreçlerine hakim,,Planlama ve organizasyon yeteneğine sahip,,Analitik ve sonuç odaklı, iletişim yeteneği kuvvetli, ikna kabiliyeti yüksek,,MS Office uygulamalarına hakim,, ,Askerlik hizmetini tamamlamış (erkek adaylar için),Sağlıkta dünyaca tanınan ABD menşeili JCI (Joint Commission International) akreditasyon belgesine sahip olan ,MEDICALPARK İZMİR HASTANESİ, ,yukarıda belirtilen özelliklere sahip, “,ÖZEL SİGORTA VE ANLAŞMALI KURUMLAR YETKİLİSİ ,” ,aramaktadır",Özel Sigorta ve Anlaşmalı Kurumlar Yetkilisi,sigorta_acente_danisman,,,Sentez Sağlık Hizmetleri A.Ş.,
,,,"!!! KARİYERİNİZE YENİ BİR BOYUT KATIN !!!,Elya ,Sigorta,; İZMİR BÖLGESİNDE GÜCÜNÜ PAYLAŞACAK SİGORTA DANIŞMANI VE YÖNETİCİLERİ ARIYOR ,Elya Sigorta, Türkiye operasyonunu büyütmeye devam ediyor...,Elya Sigorta A.Ş. Sigorta ve Finansal hizmetler sektöründe toplamda 50 yılı aşkın bir tecrübeye sahip profesyoneller tarafından, hizmet kalitesi ve müşteri memnuniyetini ön planda tutarak kurumsal ve bireysel müşterilere en iyi koşullarda hizmet sunmak amacıyla kurulmuştur.,Amacımız, çağın gerektirdiği tüm teknolojik yenilikleri kullanarak üst düzeyde hizmet kalitesi sağlamak, ihtiyaca özel çözümler oluşturmak, müşterilerimizi tüm risklere karşı güvence altına alarak karşılıklı güven ve memnuniyetin sağlandığı satış öncesi ve sonrasındaki beklentileri karşılayacak uzun vadeli işbirliği oluşturmaktır. Şirketimiz, çalıştığı birçok sigorta şirketleri ve uluslararası brokerler ile geliştirdiği işbirliği sayesinde, müşterilerine fiyat ve teminat kapsamı açısından en uygun sigorta çözümlerini rekabet üstünlüğü ile sunmaktadır. ,Güvenli bir ortamda portföyünüzü geliştirerek yüksek gelir imkanı ile çalışmak ilginizi çekiyorsa bizimle mutlaka iletişime geçin.,İş Tanımı,Tüm branşlarda satış yapmak.,Müşterilerimizin risklerini değerlendirerek ihtiyaçlarına en uygun ve ekonomik poliçeyi hazırlamak.,Hasar/tazminat durumu oluştuğunda bilgilendirme ve yönlendirme yaparak bu süreci kolaylaştırmak.,Nitelikli, kaliteli ve kesintisiz hizmet vererek maksimum memnuniyeti sağlamak.,Kısa zamanda hızlı ve doğru çözümler üretmek.,Portföy yaratmak ve var olan portföyü geliştirmek.,Kendi işinizin sahibi olmak.,Gelirde sınır tanımamak.,Aranan Nitelikler,Bankacılık , Finans, Maliye, Pazarlama, Satış Yönetimi vb okul mezunu.,Satış Deneyimine sahip.,Satışa yönelik yaratıcı becerilere sahip.,Tercihen sigorta sektöründe tecrübeli, SEGEM ve/veya E-BEAS sertifikasına sahip.,Müşteri odaklı.,Dinamik,hırslı,girişimci, pozitif kişilikli.,Profesyonelliğin gerektirdiği öz-disipline sahip.,Takım ruhuna uyumlu.,Rekabet ortamını seven.,EĞİTİM; Sigortacılık sektöründeki başarıyı sürdürmenin sürekli gelişim ve öğrenme ile mümkün olacağına inanan şirketimiz, kadrosuna periyodik olarak eğitim vermektedir. Eğitim faaliyetlerimiz ile iş olanaklarınızın ve rekabet gücünüzün gelişmesine ve ekonomik istikrarınıza katkı sağlıyoruz.,Doğru aday olduğunuzu düşünüyorsanız detaylı özgeçmişinizi gönderiniz. Bütün başvurular gizli tutulacaktır.",Sigorta ve Risk Yöneticisi,sigorta_acente_danisman,,,İSTANBUL ELYA SİGORTA ARACILIK HİZ. A.Ş.,
,,Üniversite(Mezun),"GENEL NİTELİKLER,Üniversitelerin ilgili bölümlerinden mezun ,Sigortacılık mevzuatına hakim ,Sigorta işlemleri ve hasar ekspertizi konusunda en az 3 yıl tecrübeli ,MS Office uygulamalarını etkin düzeyde kullanabilen ,Satış odaklı, problem çözme, analitik düşünme becerilerine sahip ,Sonuç odaklı, kişisel ve takım hedefleri ile çalışma becerilerine sahip ,İletişim yeteneği güçlü ,Erkek adaylar için askerlik görevini tamamlamış,İŞ TANIMI,Filoda bulunan tüm araçlara ait kasko, trafik poliçelerinin ve ilgili zeyilnamelerin düzenlenmesi, yenilenmesi, iptali ve takibi ,Rücu takibi , ,Hasar ödeme mutabakatının yapılması , ,Üretim, iptal, zeyilname mutabakatının yapılması ,Sigorta şirketleri, broker ile işlemlerin yürütülmesi ,Pert, hurda araç süreçlerinin yönetilmesi , ,Hasar prim oranlarının takibi , ,Diğer sigorta işlemlerinin raporlanması, ",SİGORTA UZMANI,sigorta_acente_danisman,,,Gizli Firma,3 - 8 yıl tecrübeli adaylar
,,,"Otomotiv sektöründe faaliyet gösteren şirketimiz için ,Sigorta Müdürü, aranmaktadır. Pozisyon ile ilgili kısa görev tanımı ve uygun adayların taşıması gereken özellikler aşağıda yer almaktadır.,Üniversitelerin ilgili bölümlerinden mezun,Otomotiv sektöründe yönetici olarak benzer bir pozisyonda en az 7 yıl deneyim sahibi,SEGEM sertifikasına sahip,,Tercihen müşteri portföyüne sahip,,MS Office programlarını iyi derecede kullanabilen,İnsan ilişkilerinde başarılı, analitik düşünebilen, etkin iletişim ve temsil yeteneğine sahip,,Sonuç ve müşteri odaklı, yeniliklere ve gelişime açık, araştırmacı ve proaktif takım çalışmasına yatkın,Erkek adaylar için askerlik hizmetini tamamlamış,İstanbul Avrupa Yakası'nda ikamet eden,Seyahat engeli olmayan,İŞ TANIMI,Firmanın sigorta satış ve karlılık hedefleri doğrultusunda sigorta satış faaliyetlerinin yönetilmesi,Temsil ettiği markanın hizmet kalite ve standartlarına uyulması,Mevcut ve potansiyel müşteri portföyünün takip edilmesi,Sigorta satış sonrası operasyonel sürecin takip edilmesi,Yeni sigorta satış kanallarının oluşturulması,Yürütülen faaliyetlerin ilgili tüm yönetmelik ve iş kurallarına uygun olarak gerçekleştirilmesinin sağlanması",Sigorta Müdürü,sigorta_acente_danisman,,,Gizli Firma,
,,,"vdf Sigorta Aracılık Hizmetleri_Çorum_Ahlatçı Bayisinde görevlendirilmek üzere "",Sigorta Satış Sorumlusu,"" aranmaktadır., ,• Dört yıllık yükseköğretim kurumlarından mezun olan kişilerden 1 yıl 6 ay, iki yıllık yüksekokulların ilgili (Sigorta, Risk, Aktüerya ve Bankacılık ve Sigorta) bölümlerinden mezun kişilerden ise iki yıl deneyim aranmaktadır. Dört yıllık yükseköğretim kurumlarının sigortacılıkla ilgili bölümlerinden mezun kişilerden deneyim aranmamaktadır.,• Sigortacılık teknik belgesine (SEGEM) sahip,,• Anadolu Sigorta, Axa Sigorta, Ergo Sigorta, Eureko Sigorta, Ak Sigorta ve Allianz Sigorta acente program bilgisi olan,,• İletişimi kuvvetli, yoğun iş temposunda çalışabilecek,,• MS ofis programlarını iyi derecede kullanabilen.,İŞ TANIMI,• Araç alımı yapan müşterilerin, kasko ve trafik sigortası poliçelerinin satışını gerçekleştirmek,,• Müşterilerin sigorta ihtiyaçlarını belirleyerek çapraz sigorta satışı yapmak,,• Periyodik olarak satış raporlarını hazırlamak,,• Kredi satış sürecine destek vermek.",Sigorta Satış Sorumlusu,sigorta_acente_danisman,,,vdf Sigorta ve Aracılık Hizmetleri,En az 2 yıl tecrübeli adaylar
,,,"Sektörün Lider acentesi, olan şirketimizin organizasyon yapısına dahil edilmek üzere:,Acente Genel Müdürlüğümüz, mevcut ve yeni şubelerimiz için tüm branşlarda ve farklı kategorilerde ""sigortacılığı meslek edinmiş"" çalışma arkadaşları arıyoruz.,ANKARA GENEL MÜDÜRLÜK,Elementer, veya ,Hayat, branşında tüm ürünlerde geniş bir uzmanlık ve deneyime sahip, sorumluluk alabilen, çalışanı olduğu acenteyi temsil becerisine sahip, yüksek iş temposuna alışkın personeller aranmaktadır.,TÜRKİYE GENELİ,Sigorta Acenteleri Yönetmeliği kapsamında;,* ,Teknik Müdür, vasıflarına sahip çalışma arkadaşları aranmaktadır.,Diğer Nitelikler,* Sigorta şirketleri ekran bilgisi,* En az önlisans bankacılık ve sigortacılık bölümü veya lisans mezunu,* Müşteri odaklı ve iş sorumluluğu bilincine sahip,* Dikkatli, titiz ve sorumluluk sahibi,* Diksiyonu düzgün ve güleryüzlü,* İkna ve iletişim yeteneği güçlü,* Motivasyon ve özgüveni yüksek,* Uzun soluklu çalışmayı kendine prensip edinmiş,* Erkek adaylar için askerlik görevini tamamlamış veya tecilli olanlar,Başvuruda bulunacak adayların sahip oldukları uzmanlık alanlarını ve tecrübelerini CV'lerinde DETAYLI OLARAK AÇIKLAMALARI, kendilerini tam ve doğru olarak ifade edebilmeleri, CV ön değerlendirmesi bakımından önem arz etmektedir.,Şirketimize gösterdiğiniz ilgi için teşekkür ederiz.",Sigorta Danışmanı,sigorta_acente_danisman,,,Timurlar Sigorta Aracılık Hizmetleri Ltd. Şti.,
,,,"Avrupa, Kuzey Afrika, Orta Doğu kıtalarında 19 ülkeye ve 80’ten fazla noktaya direkt parsiyel taşımacılık hizmeti veren Sertrans Logistics,,Uluslararası kara-hava-deniz yolu ve multimodal taşımacılık hizmetleriyle de dünyanın 200’ e yakın ülkesine, 1.800’den fazla noktaya lojistik hizmet vermektedir. Sadece e-ticaret lojistiğine ayırdığı 50 bin m2’lik alanında yıllık 70 milyon online ürün kapasitesi ile dünyanın dev markalarına hizmet vermeye devam etmektedir., ,Merkez ofisimiz olan Hadımköy lokasyonunda görevlendirilmek üzere;,En az Meslek Yüksekokulu mezunu,,Sigortacılıkta, elementer branşta minimum 3 yıl tecrübeli,,Karayolu taşıma kanunu, Sigorta genel şartları, Sigortacılık kanunu konularında bilgili,,Erkek adaylar için askerliğini tamamlamış,,İstanbul Avrupa yakasında ikamet eden,,İŞ TANIMI,Şirket bina, demirbaş, depocu-taşıyıcı sorumluluk, trafik-Kasko vb sigortaları için teklif alınması,,Poliçelerin yorumlanması, karşılaştırmaların yapılması, risklerin analiz edilmesi ve doğru sigorta ürününün tespit edilerek satın alınmasının sağlanması,,Risk kriterlerinin değerlendirilmesi, yorumlanması, fiyatlandırılmanın yapılması ve poliçelerin tanzim işlemlerinin gerçekleştirilmesi,,Depo faaliyeti, taşıma vb esnasında oluşabilecek hasarların en aza indirilmesi için gerekli önlemleri alınmasının sağlanması,  ,Hasar dosyalarının açılması, sigorta ve hasar süreçlerine ait alternatif çözümlerin üretilmesi, yapılan tüm çalışmaların kaydı, analizi, raporlanmasının sağlanması,,gibi görevlerden mesul olacak ""Sigorta Uzmanı"" aramaktayız.",Sigorta Uzmanı,sigorta_acente_danisman,,,SERTRANS ULUS. NAK.VE TİC. A.Ş.,
