calisma_sekli,departman,egitim,genel_nit_is_tanimi,ilan_baslik,label,sehir,sektor,sirket_adi,tecrube
,,,"GELECEK VARLIK YÖNETİM; ulusal ve uluslararası piyasalarda başarıyla faaliyet gösteren; faaliyet gösterdiği finans ve finans dışı sektörlerde saygın konumu ve yüksek bilinirliği ile öne çıkan Fiba Holding'in bir iştirakidir. 2005 yılından bu yana sektöründe lider ve öncü pozisyonuyla hizmet veren firmamız; banka ve finansal kuruluşlardan tahsili gecikmiş alacakları devralarak, etkin ve başarılı bir tahsilat faaliyeti ile piyasa payını arttırmakta, yaratılan bilgi birikimi ve geliştirilen sistemleri kullanarak borçlularına yüksek standartlarda hizmet vermektedir. ,GELECEK VARLIK YÖNETİM; ekonomiye ve istihdama katkısı, sürekli büyüyen ve gelişen yapısı ile finans piyasalarında önemli bir yere sahiptir. Kuruluşundan bu yana Sektör Lideri olan şirketimizin Büro İlişkileri ekibinde, görevlendirilmek üzere ""Denetim Avukatı"" pozisyonu için takım arkadaşı aranmaktadır. ,Aranılan Kriterler: ,• Üniversitelerin Hukuk Fakültelerinden mezun olmak, ,• İcra ve İflas Hukuku, Borçlar Hukuku, Ticaret Hukuku, Tüketici Hukuku alanlarında mevzuatlara hakim ve deneyimli olmak, ,• En az 1 yıl bankacılık ve finans sektöründe çalışmış olmak, ,• Tercihen hizmet alınan sözleşmeli hukuk bürolarının performans denetim süreçlerine ilişkin deneyim sahibi olmak,, • Takım çalışmasına yatkın, , • İletişim ve zaman yönetimi becerisi yüksek, ,• Analitik düşünme becerisine sahip, ,• Girişimci, Çözüm odaklı, ,• Ofis programlarına hakim, ,• Seyahat engeli bulunmayan,,• Erkek adaylar için askerlik görevini tamamlamış olmak. ,İş Tanımı:,• Şirketin hukuk süreçlerinin operasyonel açıdan daha verimli ve sistematik hale getirilmesi için hizmet alınan sözleşmeli hukuk bürolarının performans takibi ve denetimini yapmak, ,• Şirketimize ilişkin icra dosyalarının takibinin usul ve esaslara uygun olarak yürütülüp yürütülmediğinin kontrolünü yapmak,,• Sözleşmeli büroların adliyelerdeki dosyalarını incelemek, yerinde ziyaretler yaparak büroların performansını denetlemek,,• Sözleşmeli büroların hukuki, mali ve teknik denetim süreçlerini oluşturmak,,• Denetim raporlarını hazırlamak ve yönetime sunmak, ,• Sözleşmeli bürolarla sözleşmesel ilişkileri düzenlemek ve takibini yapmak, ,• Görevi ile ilişkili süreçleri iyileştirme ve geliştirmeye yönelik fikir üretmek. ",Denetim Avukatı,hukuk_avukat,,,Gelecek Varlık Yönetimi A.Ş.,
,,,"GELECEK VARLIK YÖNETİM,; ulusal ve uluslararası piyasalarda başarıyla faaliyet gösteren; faaliyet gösterdiği finans ve finans dışı sektörlerde saygın konumu ve yüksek bilinirliği ile öne çıkan ,Fiba Holding,',in bir iştirakidir. 2005 yılından bu yana sektöründe lider ve öncü pozisyonuyla hizmet veren firmamız; banka ve finansal kuruluşlardan tahsili gecikmiş alacakları devralarak, etkin ve başarılı bir tahsilat faaliyeti ile piyasa payını arttırmakta, yaratılan bilgi birikimi ve geliştirilen sistemleri kullanarak borçlularına yüksek standartlarda hizmet vermektedir.,GELECEK VARLIK YÖNETİMİ; ekonomiye ve istihdama katkısı, sürekli büyüyen ve gelişen yapısı ile finans piyasalarında önemli bir yere sahiptir.,Kuruluşundan bu yana Sektör Lideri, olan şirketimizin ,Müşavirlik/Bireysel / Ticari / Kobi Tahsilat ,ekiplerinde görevlendirilmek üzere  ,"",Avukat,"" ,pozisyonu için takım arkadaşları aranmaktadır.,Aranılan Kriterler:,Üniversitelerin Hukuk Fakültelerinden mezun olmak,,İcra ve İflas Hukuku, Borçlar Hukuku, Ticaret Hukuku, Tüketici Hukuku ve Kişisel Verilerin Korunması alanlarında mevzuatlara hakim ve deneyimli olmak,,En az 3 yıl bankacılık ve finans sektöründe kadrolu olarak müşavirlik alanında ya da sözleşmeli bürolar aracılığı ile çalışarak deneyim sahibi olmak ,,Takım çalışmasına yatkın,   ,İletişim ve zaman yönetimi becerisi yüksek,,Analitik düşünme becerisine sahip,,Çözüm odaklı,,Ofis programlarına hakim,,Erkek adaylar için askerlik görevini tamamlamış olmak.,İŞ TANIMI, ,Bireysel,Ticari ve Kobi Tahsilat ekiplerinin gecikmiş alacaklarının tahsilinde hukuki danışmanlık hizmeti vererek tahsilat ekiplerinin süreçlerini desteklemek, ,İcra takipleri ve bağlantılı davalarda ilgili hukuki süreçleri takip etmek, ,Gerektiğinde belli dosyalar için adliyeye giderek dosyalar ile ilgili işlem yapmak, ,Takibinde olan işleri düzenli olarak raporlamak, ,Sözleşmeli bürolarla koordinasyon sağlamak, ,Görevi ile ilişkili süreçleri iyileştirme ve geliştirmeye yönelik fikir üretmek.",Avukat,hukuk_avukat,,,Gelecek Varlık Yönetimi A.Ş.,
,,," ,Müvekkilleri şirketlerden oluşan ve müvekkillerine dava, icra ve danışmanlık hizmetleri ve vermekte olan ofisimizde, DAVA DEPARTMANINDA çalışmak üzere ;, ,Ticari davalar, şirketler hukukundan kaynaklı davalar, basın iş davaları, idari davalar, fikri mülkiyet hukuku davaları, enerji hukukundan kaynaklı davalar, bankacılık hukukundan kaynaklı davalar, malpractice davaları başta olmak üzere büromuzca takibi yapılan dava dosyalarını baştan sonra takip edip, dosyaların duruşmalarına iştirak edip, tüm hukuki süreçleri sonuna kadar yürütecek,, ,ayrıca büromuzca yürütülen müşavirlik hizmeti kapsamında müvekkil şirketlere danışmanlık verecek, sözleşmelerin hazırlanması ve müzakereleri, ihtarname keşide edilmesi, hukuki görüş ve raporların hazırlanması ve benzeri hususlarda çalışacak,, ,bu iş ve alanlarda 4 yıl ve üzeri tecrübeye sahip, , ,aldığı iş konusunda gerekli tüm işlemler için üzerine düşen sorumluluğu eksiksiz ve süresinde yerine getirecek,, ,çalışma arkadaşları arıyoruz., ,Meslekte 4 yıl ve üzeri tecrübeye sahip,,Seyahat engeli olmayan,, ,İş takibi ve organizasyon  yapabilme yönü güçlü,,İletişim ve temsil yeteneği yüksek,, ,Disiplinli ve çözüm odaklı,, ,Takım çalışması ve zaman yönetimi konusunda yetkin,,Erkek adaylar için askerlik hizmetini yapmış  olmak., ",Avukat,hukuk_avukat,,,Çiğdem Akış,
,,,"Yol Arkadaşımız Nasıl Olmalı?,Üniversitelerin Hukuk Fakültesi’nden mezunsan,,Benzer pozisyonda minimum 3 yıl tecrübe sahibiysen,,Borçlar Hukuku, Şirketler Hukuku, Sigorta Hukuku, Ticaret Hukuk’una hâkimsen,,SPK ve Bankacılık mevzuatına hâkimsen,,İleri seviyede İngilizce bilgisine sahipsen,,İletişim becerine güveniyorsan,,Detaylara önem veririm ve sonuç odaklıyım diyorsan,,Takım çalışmasına yatkınsan,,İş sorumluluğun yüksekse, dinamik ve yoğun çalışma ortamına uyum sağlayabileceksen,,Askerliğini tamamladıysan ya da en az 2 yıl tecilin varsa,, ,Senden Ne Yapmanı Bekliyoruz?,Şirket içi sözleşme taleplerini yerine getirmeni, ,Sözleşme müzakere süreçlerini yürütmeni ve gerekli durumlarda sözleşmelere ilişkin hukuki görüş vermeni,,Sözleşmeleri şirket çıkarlarını gözetecek şekilde ve Grup standartlarına uygun şekilde kontrol etmeni,,Gerekli olduğunda resmi ve özel kurumlardan gelen yazılara verilecek yanıtları kontrol etmeni, ,Şirketi resmi ve özel kurumlar nezdinde temsil etmeni,,89/1 Haciz ihbarname yanıtlarını inceleyerek imzalamanı ve departman veya işlerin yürütümü ile ilgili gerekiyorsa prosedür, kılavuz vs. dokümantasyon hazırlamanı bekliyoruz.,Geleceğe tutkuyla yürüyenlerin tercihi olan Allianz’da sen de yerini almak ister misin?,Allianz 70 ülkede genç, dinamik, 148 bin çalışanıyla kocaman bir aile ve bu ailede her şey tutkuyla başlar. Sen de sektörün okulunda, hedeflerine tutkuyla yürümek, keşfederek ve eğlenerek çalışmak, keyifli ve çok büyük bir takımla başarmanın tadını alarak yeniliğin peşinde olmak istersen seni de aramıza bekliyoruz!,Yukarıdaki maddeler seni mi anlatıyor? Tam da sana göre olan iş tanımını tutkuyla ve başarıyla yerine getirebileceğine mi inanıyorsun? Yeni yol arkadaşımız olmak  için ne bekliyorsun?,Seni “,Avukat,” pozisyonumuza başvurmaya bekliyoruz!",Avukat,hukuk_avukat,,,Allianz Sigorta A.Ş,
Sürekli / Tam zamanlı,Hukuk,Hukuk,"INVOKAT IPS is an IP law firm located in Bakırköy/Istanbul, being active in protection & prosecution of intellectual property assets. We are seeking team mates having good communication skills both verbally and in writing with particular expertise in ,TRADEMARKS, ,- PATENTS, as well as intellectual property. Qualifications expected from the candidates are outlined below:,At least a bachelor degree in law (at least LLB) from relevant universities,,Experience in trademark searching, filing, prosecution and oppositions would be of preference,,Excellent command of English,,No restriction to travel,,Motivation to learn and excel as a lawyer in the field of trademarks and other intellectual property rights, ,Qualification as a ,trademark attorney ,before the Turkish Patent and Trademark Office would be of preference,,Experience in industrial designs would also be highly preferable. ,The person employed in this position shall be supported to improve his/her skills in trademark law as well as other legislations concerning intellectual property.,Candidates shall be expected at least to conduct the basic tasks below:,Handling of trademarks (searching in databases, filing applications, replying oppositions and reporting to local and international clients),Handling litigations before the competent courts relating to intellectual property (patents, trademarks, designs etc.).",Avukat,hukuk_avukat,İstanbul(Avr.)(Bakırköy),Marka - Patent Hizmetleri ,INVOKAT FİKRİ MÜLKİYET HİZM. LTD.,Tecrübeli ya da tecrübesiz adaylar
,,,"• Alanında en az 3 yıl deneyim sahibi, ,• Dava ve duruşma deneyimi olan, ,• Ağırlıklı olarak banka,ticari,gayrimenkul hukuku dava dosyalarını her aşamada takip edecek, ,• İletişim becerisi yüksek avukat, ,İŞ TANIMI ,-15 yıldır kalabalık çalışma kadrosu ile çok sayıda kurum ve kişiye hukuki hizmet sunan hukuk büromuzda; ağırlıklı olarak banka dava dosyaları olmak üzere dava dosyalarının takibi, dilekçelerinin yazımı, tüm aşamalarda takibi iş ve işlemleri.",Avukat,hukuk_avukat,,,AVUKATLIK BÜROSU,
,,,"Yurtdışı Hukuk İşleri Biriminde görevlendirilmek üzere;,·         Üniversitelerin Hukuk Fakültelerinden mezun,,·         Benzer pozisyonda minimum 5  yıl tecrübeli,,·         Çok iyi derecede İngilizce bilen,,·         Perakende sektöründe Şirketin faaliyet alanı kapsamında imzalayacağı sözleşmelerin incelenmesi, müzakeresi ve/veya hazırlanması konusunda deneyimli,,·         İş Hukuku, Ticaret Hukuku, Borçlar Hukuku, Kira Hukuku, Gayrimenkul Hukuku, İcra İflas Hukuku, Fikri Mülkiyet konularında bilgi ve deneyim sahibi,,.         Şirketin uluslararası operasyonlarındaki hukuki süreçleri de takip edebilecek,,·         Sözlü / yazılı iletişim, insan ilişkileri ve organizasyon becerileri kuvvetli, pozitif,,.         Takım çalışmasına yatkın; kalite, çözüm ve müşteri odaklı,,·         İş disiplinine sahip, sistematik çalışan; zaman yönetimi konusunda yetkin,,·         Analitik bakış açısına sahip, analiz ve raporlama becerisi kuvvetli,,.         İnisiyatif alabilen, yasal uyum risklerinde proaktif bakış açısına sahip,,·         Yoğun iş temposuna ayak uydurabilecek,,.         Yurt içi veya yurt dışı seyahat engeli olmayan,,·         Erkek adaylar için askerlik görevini tamamlamış.,İŞ TANIMI,·         Şirketin yurtdışında operasyon başlatacağı ülkelerde şirket kuruluşu süreçlerinin yürütülmesi,,  ,·          ,Şirketin yurtdışı iştiraklerinin üçüncü kişilerle imzalayacağı sözleşme, protokol vb. hukuki bağlayıcılığı bulunan tüm dokümanların usul ve esas yönünden uygun olarak hazırlanması ve / veya incelenerek hukuki görüş ve uygunluk onayının verilmesi,,·         Şirket bünyesindeki hukuki ihtilafların çözümü, dava, icra ve diğer tüm hukuki işlemlerin takibi, raporlamaların yapılması,,·         Şirketin faaliyet alanı kapsamında ilgili birimler tarafından yöneltilen sorulara hukuki görüş sunulması,,·         Şirketin faaliyet konusuyla ilgili olarak yürürlükteki mevzuatın ve mevzuatta meydana gelen değişikliklerin takip edilmesi ve ilgili şirket birimlerinin bilgilendirilmesi, ,·         Şirketin yönetim kurulu ve genel kurul işlemlerinin takibi,,·         Şirketin birimlerine ihtiyaç duyulan yasal konularda eğitimlerin verilmesi,,·         Yasal uyum ve hukuki risklerin yönetilmesi konusunda proaktif bakış açısı ile danışmanlık yapılması,  ,·         Yasal uyum çerçevesinde Şirketin tüm birimleri ile Şirket hedeflerinin gerçekleştirilmesi konusunda iş ortağı olarak uyumlu çalışmalar yürütülmesi,, ,·    , , ,  ,Şirketin yurtdışındaki anlaşmalı hukuk büroları ile imzalanan sözleşme ve fatura süreçlerinin takip edilmesi.",Avukat,hukuk_avukat,,,LC WAIKIKI MAGAZACILIK HIZMETLERI TIC.A.S.,
,,,"Control Union, 1920 yılında Hollanda merkezli kurulan, 2001 yılından bugüne Türkiye'de faaliyet gösteren gözetim ve belgelendirme şirketidir.  ,Şirketimizin Ümraniye/ Şerifali Mevkii'nde bulunan Genel Merkezinde görevlendirilmek üzere tecrübeli Şirket Avukatı alınacaktır.,Üniversitelerin Hukuk Fakültesinden mezun, ,Avukatlık stajından sonra büyük ölçekli firmalarda Şirket Avukatı olarak en az 5 yıl çalışmış,,İleri düzeyde İngilizce bilen,,Araştırmacı, sorumluluk sahibi, takip ve sonuçlandırma konusunda yetkin,,İletişim ve ikna yeteneği güçlü,,Kurumsal temsil yönü kuvvetli,MS Office programlarını iyi derecede kullanabilen,,İstanbul’ da ikamet eden, ,Sürücü belgesine sahip ve aktif araç kullanabilen,Erkek adaylar için askerlik hizmetini tamamlamış, , ,İş Tanımı: ,Şirketin Türk Ticaret Kanunu, İş Kanunu, Şirketler Kanunu gibi ana hukuk konularında bilgi sahibi olmak, yönlendirmeler yapmak ve hukuki süreçleri yönetmek,,Şirketin tam zamanlı hukuki danışmanlığını yapmak,,Mevzuat, Yargıtay ve Yüksek Mahkeme kararlarını düzenli olarak takip etmek,,Şirket ile ilgili doğabilecek her türlü hukuki durumlarla ilgili gerekli müdahalede bulunmak,,Genel Kurul, İmza Sirküleri ve İç yönerge gibi Türk Ticaret Kanunu kapsamındaki işleri takip etmek ,Tüm şirket sözleşmelerini gözden geçirmek ve/veya hazırlanmak ve hukuki süreci takip etmek,,Tüm birimlere hukuki süreçlerde destek vermek ve koordineli çalışmak.",Şirket Avukatı ,hukuk_avukat,,,Control Union Gözetim ve Belgelendirme Ltd. Şti.,
,,Üniversite(Mezun),"Üniversitelerin Hukuk Fakültelerinden mezun,,En az 3 yıl tecrübeli,,Sigorta sektöründe özellikle aleyhe maddi branş dosyalarında Avukatlık deneyimi bulunan,,MS Office uygulamalarını etkin kullanabilen,,Çözüm odaklı ve ekip çalışmasına yatkın,,Seyahat engeli olmayan,,Erkek adaylar için askerlik hizmetini tamamlamış olmak.,İşin Tanımı;,Sorumluluğu kapsamındaki davaların yasal takiplerinin, muallak, raporlama  ve ilgili süreçlerinin yürütülmesi,,Sulh kapsamına alınacak dosyaların belirlenmesi ve sürece destek verilmesi,,Sözleşmeli avukatlar ile koordinasyonun sağlanması.",Avukat,hukuk_avukat,,,Ray Sigorta A.Ş.,3 - 5 yıl tecrübeli adaylar
,,,"Üniversitelerin Hukuk bölümünden mezun,,İleri düzeyde İngilizce bilen ve Avukatlık ruhsatı olan, ,İş hukuku, İcra, iflas hukuku, ticaret hukuku, borçlar hukuku ve sözleşmeler hukuku alanlarında deneyim sahibi, ,Dava, duruşma ve sözleşme tecrübesi olan, ,Sorumluluk sahibi, işinde titiz ve özenli, ,Meslekte en az 10 yıl tecrübeli, ,Erkek adaylar için askerlik hizmetini tamamlamış.,Kurumumuzun tüm hukuki işlemlerini yürütebilecek,,İş hukuku başta olmak üzere şirketin lehine / aleyhine açılan tüm davaların ve icra takiplerinin yürütülmesi ve raporlanması, ,Şirketin adli ve idari yargı mercileri önünde temsil edilmesi, ,Şirketle ilgili tüm müzakerelerde ilgili bölümlere hukuki desteğin sağlanması,,Şirket bünyesindeki hukuki sorunların çözümü, tüm hukuki iş ve işlemlerin takibi, ,Hukuki evraklarla ilgili kontrol ve onay süreçlerinin yürütülmesi, ,Şirket bünyesindeki ilgili departmanlarla koordineli çalışılması,,Talep edilen tüm konularda hukuki görüş verilmesi, ,Şirket menfaatlerine ve aynı zamanda yasal prosedürlere uygun yönlendirmelerde bulunulması, ,Şirketin üçüncü kişilerle imzalayacağı sözleşme, protokol vb. hukuki bağlayıcılığı bulunan tüm dokümanların usul ve esas yönünden uygun olarak hazırlanması ve / veya incelenerek hukuki görüş ve uygunluk onayının verilmesi, ,Şirketin faaliyet konusu ve şirketi ilgilendiren diğer konular ile ilgili yürürlükteki mevzuatın takip edilerek gerekli raporlamaların hazırlanması, ,Mevzuat ve yüksek mahkeme kararlarını düzenli olarak takip edilmesi,",Avukat,hukuk_avukat,,,Gizli Firma,
