calisma_sekli,departman,egitim,genel_nit_is_tanimi,ilan_baslik,label,sehir,sektor,sirket_adi,tecrube
,,,"İstanbul Kartal Hukukçular Towers ve Yalova Rodoplu İş  Merkezinde bulunan Çağrı merkezi operasyonlarımızda inbound aramaları ile gelen müşterilere mevcut ürünleri ve kampanyaları aktararak satış gerçekleştirecek ve kendisine verilen hedefler doğrultusunda çalışabilecek bay-bayan çalışma arkadaşları aranmaktadır.,
,
,
Çağrı merkezi ortam ve standartlarında değil ofis ortamında çalışma imkanına ve bu pozisyonda göreve başlayacak olan kişiler çalışma hayatları boyunca bünyemizde açılacak yeni kariyer fırsatlarına öncelikle değerlendirilme imkanına sahip olacaktır.,Dsmart Online Satış Merkezi Çağrı Merkezi’mizde ve Yurtdışı Vatandaşlık Danışmanlığı Şirketimizde görev alacak; ,
,En az Lise mezunu,  ,Tercihen satış konusunda deneyimi olan ve kendine güvenen, ,Çağrı merkezi sektöründe kariyer hedefi olan,  ,İletişimi kuvvetli,  ,İkna yeteneğine sahip, özgüveni ve çalışma disiplini yüksek,  ,Telefonda akıcı ve etkin konuşabilen, diksiyonu düzgün,  ,Kişisel gelişimine önem veren,  ,İş kalitesini ön planda tutarak hedef odaklı çalışabilen,  ,Bilgisayar kullanmayı bilen ve aynı zamanda MS Office programlarını kullanabilen ,İŞ TANIMI,NOT : Yalova dışından gelen başvular dikkate alınmayacaktır. ,Profil fotoğrafı olmayan CV'ler dikkate alınmayacaktır., ,*Yalova Rodoplu İş Merkezinde bulunan ofisimiz Yalova merkezde eski YKM binası içinde bulunuyor. Aynı zamanda bulunduğu konum itibariyle rahatlıkla sosyal vakit geçirilebilecek bir noktadadır.",Müşteri Temsilcisi,banka_sigorta,,,Bireysel ve Kurumsal İletişim Hizm.Tic.Ltd.Şti.,
Sürekli / Tam zamanlı,AR-GE,,"Teknoloji, savunma ve havacılığa yönelik iş geliştirme / proje yöneticiliği alanlarında kariyerlerini geliştirmek isteyen, analitik bakış açısına sahip ve girişimci ruhlu takım arkadaşları arıyoruz!,Genel Nitelikler,- Türkiye'nin ve dünyanın önde gelen üniversitelerinden mühendislik lisans derecesine sahip,,- MBA/İşletme yüksek lisans derecesine sahip,,- Strateji/yönetim danışmanlığı veya yatırım bankacılığı/kurumsal finans alanında en az 3-4 yıl tam zamanlı iş tecrübesine sahip,,- Kurumsal strateji, kurumsal finans ve mühendislik ekonomisi alanlarında bilgi ve deneyim sahibi,,- Proje yönetimi becerilerine sahip,,- İleri seviyede İngilizce dil bilgisine sahip,,- Analitik yetkinlik, detaylara özen gösteren,,- Ms Office araçlarına ileri seviye hakimiyet, iş zekası uygulamalarında deneyimli (tercihen),,- Erkek adaylarımız için askerlikle ilişiği olmaması,,- Esnek çalışma saatlerine uyum gösterebilecek, yurtiçi ve yurtdışı seyahat engeli bulunmayan,,İş Tanımı,- Savunma ve havacılık teknolojileri geliştirme projelerinde proje yönetimi, pazar ve filizibilite analizleri, iş geliştirme ve sözleşme süreçlerinin yürütülmesi,,- Yürütülen faaliyetlerle ilgili önemli operasyonel ve finansal performans göstergelerinin analizi ve raporlanması, büyüme ve iyileştirmeye yönelik fırsatların belirlenmesi,,- Satış, müzakere ve sözleşme süreçlerinde sorumluluklar içerecek şekilde tedarikçi ve müşteri ağının geliştirilmesi,,- Sözleşme ihtiyaç analizlerinin yapılması, projelerin yönetilmesi,,- Proje-bazlı iş geliştirme görevleri kapsamaktadır.",İş Geliştirme Uzmanı / Proje Yöneticisi,banka_sigorta,,"Savunma Sanayi, Havacılık",Baykar Makina San ve Tic AŞ,
,,,"Üniversitelerin İktisadi ve İdari Bilimler Fakültelerinden mezun,,İyi derecede İngilizce bilen,,MS Ofis programlarına hakim,,Sorumluluk sahibi, öğrenmeye açık ve ekip çalışmasına yatkın,,İletişim ve temsil yeteneği güçlü,,Analitik düşünebilen,,Raporlama ve Analiz konularına ilgili,,Erkek adaylar için askerlik hizmetini tamamlamış,,ÜNSPED Gümrük Müşavirliği ve Lojistik Hizmetler A.Ş'de yetiştirilmek üzere Dış Ticaret ve Gümrük Hizmetleri sektörlerinde kariyer hedefi olan ekip arkadaşları aramaktayız.",Yeni Mezun Adaylar,banka_sigorta,,,Ünsped Gümrük Müşavirliği ve Lojistik Hiz. A.Ş.,
Sürekli / Tam zamanlı,Genel Başvuru,"İngilizce( Okuma : İleri, Yazma : İleri, Konuşma : İleri)","Bankamız Risk Yönetimi Departmanı’ndaki ,“Aktif ve Pasif Yönetimi - İştirakler Koordinasyon Uzmanı” ,pozisyonunda görevlendirilmek üzere takım arkadaşı arıyoruz.,- Üniversitelerin Endüstri Mühendisliği, Finansal Matematik, İstatistik, Ekonometri, Ekonomi vb. bölümlerinden mezun,- Tercihen Finans Mühendisliği, Finansal Matematik vb. alanlarda yüksek lisans yapmış,- Finansal kurumların Risk Yönetimi, Mali İşler Yönetimi, Hazine Yönetimi birimlerinde tercihen 3-5 yıl tecrübesi olan,- Çok iyi seviyede İngilizce bilgisine sahip,- Hazine ürünleri ve finansal tablolara hakim,- Matlab, SQL, SAS, R, C++, Java, VBA Macro programlarına hakim,- Bloomberg, Reuters vb. data sağlayacıları kullanımına hakim,- Analitik düşünme yetkinliği kuvvetli ve iletişim becelerileri gelişmiş,İŞ TANIMI,- Bankanın Aktif Pasif Yönetimi aktivitelerinin yürütülmesi (faiz riski, likidite riski),- Bankanın Aktif Pasif Yönetimi stratejisi kapsamında Riskten Korunma muhasebesi sürecinin yürütülmesi,- Bankanın Aktif Pasif Yönetimi kapsamındaki politikalarının hazırlanması,- BDDK ve BASEL II/III kapsamında faiz ve likidite riski raporlamalarının hazırlanması ve bu kapsamdaki projelerin yönetilmesi,- Bankanın faiz ve likidite riski limitlerle uyumunun İcra Komitesi'ne aylık frekansta sunulması,- İştiraklerin piyasa riski ile ilgili süreçlerinin yürütülmesi, politikalarının hazırlanması, risk limitlerinin belirlenmesi ve takip edilmesi,- Yasal kurumlar, dış denetçiler ve derecelendirme kuruluşlarıyla Aktif Pasif Yönetimi ve İştirakler piyasa riski  ile ilgili konularda iletişim sağlanması,- Solo ve grup bazında Data yönetişim faaliyetlerinin yürütülmesi,veri kalitesinin analiz edilmesi,-Aktif Pasif Yönetimi metodoloji ve modellerinin,yasal yükümlülükler ve BASEL çerçevesinde geliştirilmesi",Aktf Pasif Yönetimi-İştirakler Koordinasyon Uzmanı,banka_sigorta,İstanbul(Avr.),Bankacılık,YAPI KREDİ,En az 3 yıl tecrübeli adaylar
Orta düzey yönetici,Sürekli / Tam zamanlı,,"Etkinlik/MICE sektörüne ve firmalarına hakim,,Mevcut müşteri iletişimini yönetecek,,Projelerin brief, operasyon, finansal süreçlerini aktif yönetebilecek,,Şirket içi yıllık satış, pazarlama stratejileri ve yönetimi yapabilecek,,Yurt içi ve yurt dışı yeni pazarlar ve yeni müşteriler oluşturabilecek,,Trendleri takip eden, yenilikçi, dijital ve kreatif süreçlere hakim,,Sektörün dinamiklerine ve yıllık etkinlik takvimlerine hakim,,Esnek çalışma saatlerine uyum sağlayan,,Pozitif iletişime sahip, takım çalışmasına yatkın, departmanlar arası koordinasyonu sağlayabilecek,,Detaycı çalışmayı seven, kurumsal kültüre hakim,,Motivasyonu yüksek, heyecan ve hedefleri olan ekip arkadaşı arıyoruz.,Not: Adayların deneyim ve yetkinliklerine göre farklı seviyelerde değerlendirmeler yapılacaktır.",Müşteri İlişkileri Yöneticisi / Yönetmeni,banka_sigorta,,Reklam,BRF GROUP,Tecrübeli ya da tecrübesiz adaylar
Sürekli / Tam zamanlı,Sigorta,Üniversite(Mezun),"GENEL NİTELİKLER,Üniversitelerin ilgili bölümlerinden mezun ,Sigortacılık mevzuatına hakim ,Sigorta işlemleri ve hasar ekspertizi konusunda en az 3 yıl tecrübeli ,MS Office uygulamalarını etkin düzeyde kullanabilen ,Satış odaklı, problem çözme, analitik düşünme becerilerine sahip ,Sonuç odaklı, kişisel ve takım hedefleri ile çalışma becerilerine sahip ,İletişim yeteneği güçlü ,Erkek adaylar için askerlik görevini tamamlamış,İŞ TANIMI,Filoda bulunan tüm araçlara ait kasko, trafik poliçelerinin ve ilgili zeyilnamelerin düzenlenmesi, yenilenmesi, iptali ve takibi ,Rücu takibi , ,Hasar ödeme mutabakatının yapılması , ,Üretim, iptal, zeyilname mutabakatının yapılması ,Sigorta şirketleri, broker ile işlemlerin yürütülmesi ,Pert, hurda araç süreçlerinin yönetilmesi , ,Hasar prim oranlarının takibi , ,Diğer sigorta işlemlerinin raporlanması, ",SİGORTA UZMANI,banka_sigorta,İstanbul(Avr.),Hizmet ,Gizli Firma,3 - 8 yıl tecrübeli adaylar
,,,"2018 Avrupa Sektör Lideri ,Webhelp,, dijital, sosyal ve geleneksel sesli iletişim kanalları aracılığıyla “Çok Kanallı İletişim Merkezi, Telesatış, Tahsilat Yönetimi, Sosyal Medya ve Dijital İletişim, Teknik Destek, 7/24 Yol Yardım ve Asistans” gibi hizmetler veren, global bir BPO (iş süreçlerinde dış kaynak kullanımı) sağlayıcısıdır. Dünyada, 35 ülkede 50.000 kişilik güçlü kadrosu ile hizmet veren Webhelp, Türkiye’de İstanbul, İzmir, Bingöl, Yozgat ve Van olmak üzere toplam 5 şehirde, 4.000’i aşkın çalışan ile müşteri deneyiminde fark yaratmaya devam etmektedir., En az lise mezunu,,Çağrı Merkezi Inbound tecrübeli,, 7/24 vardiyalı çalışabilecek, , 18-35 yaş aralığında, , İyi derece MS Office programlarını kullanabilen,, İletişim becerileri gelişmiş, diksiyonu düzgün, , Çözüm odaklı, Takım çalışmasına yatkın, , Dinamik, yoğun tempoya ayak uydurabilecek, , Erkek adaylar için askerliğini tamamlamış ya da en az 2 yıl tecilli,,İzmir’de yürüttüğümüz, hizmet sektöründe faaliyet gösteren inbound operasyonumuzda, kaliteli hizmet ve müşteri memnuniyeti anlayışıyla çağrıları yanıtlayacak, destek verecek tecrübeli ekip arkadaşları arıyoruz.",Çağrı Merkezi Müşteri Danışmanı/ İzmir,banka_sigorta,,,WEBHELP ÇAĞRI MERKEZİ VE MÜŞTERİ HİZMETLERİ A.Ş.,
,,,"Conduent bietet seit 2005 aus der Türkei für eine Vielzahl an großen international tätigen Unternehmen umfangreiche Kundenbetreuung und Technischen Support Dienstleistungen an.,In unserem Call Center in ,İstanbul(Asya)(Ümraniye) ,suchen wir deutschsprachige Call Center Agent (m/w/d) für das Projekt eines deutschen Unternehmens.,Werden Sie Mitglied bei Conduent für eines der größten privaten Telekommunikationsanbieter in unserem Inbound - Team.,Ihre Aufgabenbereiche:,- telefonische und schriftliche Beratung sowie fallabschließende Bearbeitung von technischen Kundenanliegen,- Sicherung und Steigerung der Kundenzufriedenheit,- Erfassung und Pflege von Kundenstammdaten,Ihr Profil:,- ausgeprägte Kommunikationsfähigkeit und starke Kundenorientierung,- Zuverlässigkeit und zeitliche Flexibilität,- routinierter Umgang mit dem PC und dem Internet,- Deutschkentnisse auf C1/C2 Niveau,- Englischkentnisse auf B2 Niveau,Was wir bieten:,- Unbefristetes Arbeitsverhältnis,- Umzugspaket,- Starterbonus (2000TL),- Sicheres Einkommen,- volle Sozialversicherung (SGK) und auch private Krankenversicherung (ab 6 Monat),- Bonus bis 15%,- Sodexo (Essensgeld),- Shuttle-Service,- Entwicklungs- und Aufstiegsmöglichkeiten,- Angenehme internationale Arbeitsatmosphäre,- Umfangreiche Schulung,- Aktives Coaching und Unterstützung,Es gibt Möglichkeit Vollzeit und auch Teilzeit bei Conduent zu arbeiten.,Jetzt bewerben. Wir freuen uns auf Sie!","Deutschsprachiger Call Center Agent, Istanbul ",banka_sigorta,,,Conduent Çağrı Merkezi Hizmetleri,
,,,"     Yoğun çalışma temposuna uyum sağlayabilecek,,     Diksiyonu düzgün,,     Müşteri odaklı çalışabilecek,,     Değişime uyumlu, zaman planlaması yapabilen,,     İletişim becerisi yüksek ve sabırlı,,     İstanbul Avrupa Yakası'nda ikamet eden,,     Tercihen Çağrı Merkezi deneyimi olan ve bu alanda çalışmaya istekli,,     Hızlı düşünebilen ve problem çözme becerisine sahip,,     İletişime açık, takım çalışmasına yatkın,,     Çok iyi sözel ifade becerilerine ve ikna yeteneğine sahip,İŞİN TANIMI,Müşteri çağrılarını karşılayabilecek, ürün ve hizmetlerimiz ile ilgili müşterilerimizi bilgilendirip, müşteri şikayetlerini, müşteri memnuniyetine dönüştürebilecek ,Müşteri Temsilcisi ,ekip arkadaşı arıyoruz.",Müşteri Hizmetleri Temsilcisi,banka_sigorta,,,Huncalife Kozmetik Pazarlama Dağıtım A.Ş.,
Sürekli / Tam zamanlı,Müşteri İlişkileri,,"GENEL NİTELİKLER,Üniversite mezunu. ,Bireysel Bankacılık ürün ve mevzuata hakim. ,SPK Temel Düzey lisansına sahip. ,Banka şubelerinde Bireysel Bankacılık alanlarında 5 yıl ve üzeri iş deneyimine sahip. ,Risk yönetimi konusunda deneyimli, fiyatlama tekniklerine hakim. ,İletişim yönü gelişmiş, ikna yeteneği kuvvetli. ,Yüksek iş sorumluluğu ve başarma duygusuna sahip. ,Takım çalışmasına yatkın. , ,  ,İŞ TANIMI,Banka müşterilerinin yönetimi ve müşterilerde derinleşme ve ilişki yönetiminin sağlanması. ,Potansiyel müşterilere aktif pazarlama yapılması ve yeni müşteri kazanımı sağlanması.,Mevcut ve potansiyel müşterilere ihtiyaçları doğrultusunda şekillendirilmiş ürün ve hizmetler sunulması.,Çoklu hedef ve ürün yönetiminin gerçekleştirilmesi. ,Türkiye, Kıbrıs ve İngiltere’de Bankacılık faaliyeti gösteren Turkishbank Group’un Türkiye’deki bankası Turkishbank A.Ş., Çiftehavuzlar Şubesinde, görev alacak Bireysel Bankacılık Müşteri İlişkileri Yönetmenleri aramaktayız.",Bireysel Müşteri İlişkileri Yönetmeni,banka_sigorta,,Bankacılık,TURKISHBANK A.Ş,
