,genel_nit_is_tanimi,ilan_baslik,label
0,stanbul kartal hukukcular towers yalova rodoplu merkezinde bulunan cagri merkezi operasyonlarimizda inbound aramalari gelen musterilere mevcut urunleri kampanyalari aktararak satis gerceklestirecek kendisine verilen hedefler dogrultusunda calisabilecek bayan calisma arkadaslari aranmaktadir cagri merkezi ortam standartlarinda degil ofis ortaminda calisma imkanina pozisyonda goreve baslayacak olan kisiler calisma hayatlari boyunca bunyemizde acilacak yeni kariyer firsatlarina oncelikle degerlendirilme imkanina sahip olacaktir dsmart online satis merkezi cagri merkezi mizde yurtdisi vatandaslik danismanligi sirketimizde gorev alacak lise mezunu tercihen satis konusunda deneyimi olan kendine guvenen cagri merkezi sektorunde kariyer hedefi olan letisimi kuvvetli yetenegine sahip ozguveni calisma disiplini yuksek telefonda akici etkin konusabilen diksiyonu duzgun kisisel gelisimine onem veren kalitesini planda tutarak hedef odakli calisabilen bilgisayar kullanmayi bilen ayni zamanda office programlarini kullanabilen tanimi yalova disindan gelen basvular dikkate alinmayacaktir profil fotografi olmayan dikkate alinmayacaktir yalova rodoplu merkezinde bulunan ofisimiz yalova merkezde eski binasi icinde bulunuyor ayni zamanda bulundugu konum itibariyle rahatlikla sosyal vakit gecirilebilecek noktadadir,musteri temsilcisi,banka_sigorta
1,teknoloji savunma havaciliga yonelik gelistirme proje yoneticiligi alanlarinda kariyerlerini gelistirmek isteyen analitik bakis acisina sahip girisimci ruhlu takim arkadaslari ariyoruz genel nitelikler turkiye dunyanin onde gelen universitelerinden muhendislik lisans derecesine sahip sletme yuksek lisans derecesine sahip strateji yonetim danismanligi veya yatirim bankaciligi kurumsal finans alaninda zamanli tecrubesine sahip kurumsal strateji kurumsal finans muhendislik ekonomisi alanlarinda bilgi deneyim sahibi proje yonetimi becerilerine sahip leri seviyede ngilizce bilgisine sahip analitik yetkinlik detaylara ozen gosteren office araclarina ileri seviye hakimiyet zekasi uygulamalarinda deneyimli tercihen erkek adaylarimiz icin askerlikle ilisigi olmamasi esnek calisma saatlerine uyum gosterebilecek yurtici yurtdisi seyahat engeli bulunmayan tanimi savunma havacilik teknolojileri gelistirme projelerinde proje yonetimi pazar filizibilite analizleri gelistirme sozlesme sureclerinin yurutulmesi yurutulen faaliyetlerle ilgili onemli operasyonel finansal performans gostergelerinin analizi raporlanmasi buyume iyilestirmeye yonelik firsatlarin belirlenmesi satis muzakere sozlesme sureclerinde sorumluluklar icerecek sekilde tedarikci musteri aginin gelistirilmesi sozlesme ihtiyac analizlerinin yapilmasi projelerin yonetilmesi proje bazli gelistirme gorevleri kapsamaktadir,gelistirme uzmani proje yoneticisi,banka_sigorta
2,universitelerin ktisadi dari bilimler fakultelerinden mezun derecede ngilizce bilen ofis programlarina hakim sorumluluk sahibi ogrenmeye acik ekip calismasina yatkin letisim temsil yetenegi guclu analitik dusunebilen raporlama analiz konularina ilgili erkek adaylar icin askerlik hizmetini tamamlamis unsped gumruk musavirligi lojistik hizmetler yetistirilmek uzere ticaret gumruk hizmetleri sektorlerinde kariyer hedefi olan ekip arkadaslari aramaktayiz,yeni mezun adaylar,banka_sigorta
3,bankamiz risk yonetimi departmani ndaki aktif pasif yonetimi stirakler koordinasyon uzmani pozisyonunda gorevlendirilmek uzere takim arkadasi ariyoruz universitelerin endustri muhendisligi finansal matematik statistik ekonometri ekonomi bolumlerinden mezun tercihen finans muhendisligi finansal matematik alanlarda yuksek lisans yapmis finansal kurumlarin risk yonetimi mali sler yonetimi hazine yonetimi birimlerinde tercihen tecrubesi olan seviyede ngilizce bilgisine sahip hazine urunleri finansal tablolara hakim matlab java macro programlarina hakim bloomberg reuters data saglayacilari kullanimina hakim analitik dusunme yetkinligi kuvvetli iletisim becelerileri gelismis tanimi bankanin aktif pasif yonetimi aktivitelerinin yurutulmesi faiz riski likidite riski bankanin aktif pasif yonetimi stratejisi kapsaminda riskten korunma muhasebesi surecinin yurutulmesi bankanin aktif pasif yonetimi kapsamindaki politikalarinin hazirlanmasi bddk basel kapsaminda faiz likidite riski raporlamalarinin hazirlanmasi kapsamdaki projelerin yonetilmesi bankanin faiz likidite riski limitlerle uyumunun komitesi aylik frekansta sunulmasi stiraklerin piyasa riski ilgili sureclerinin yurutulmesi politikalarinin hazirlanmasi risk limitlerinin belirlenmesi takip edilmesi yasal kurumlar denetciler derecelendirme kuruluslariyla aktif pasif yonetimi stirakler piyasa riski ilgili konularda iletisim saglanmasi solo grup bazinda data yonetisim faaliyetlerinin yurutulmesi veri kalitesinin analiz edilmesi aktif pasif yonetimi metodoloji modellerinin yasal yukumlulukler basel cercevesinde gelistirilmesi,aktf pasif yonetimi stirakler koordinasyon uzmani,banka_sigorta
4,etkinlik mice sektorune firmalarina hakim mevcut musteri iletisimini yonetecek projelerin brief operasyon finansal sureclerini aktif yonetebilecek sirket yillik satis pazarlama stratejileri yonetimi yapabilecek yurt yurt disi yeni pazarlar yeni musteriler olusturabilecek trendleri takip eden yenilikci dijital kreatif sureclere hakim sektorun dinamiklerine yillik etkinlik takvimlerine hakim esnek calisma saatlerine uyum saglayan pozitif iletisime sahip takim calismasina yatkin departmanlar arasi koordinasyonu saglayabilecek detayci calismayi seven kurumsal kulture hakim motivasyonu yuksek heyecan hedefleri olan ekip arkadasi ariyoruz adaylarin deneyim yetkinliklerine gore farkli seviyelerde degerlendirmeler yapilacaktir,musteri liskileri yoneticisi yonetmeni,banka_sigorta
5,genel teli kler universitelerin ilgili bolumlerinden mezun sigortacilik mevzuatina hakim sigorta islemleri hasar ekspertizi konusunda tecrubeli office uygulamalarini etkin duzeyde kullanabilen satis odakli problem cozme analitik dusunme becerilerine sahip sonuc odakli kisisel takim hedefleri calisma becerilerine sahip letisim yetenegi guclu erkek adaylar icin askerlik gorevini tamamlamis tanimi filoda bulunan araclara kasko trafik policelerinin ilgili zeyilnamelerin duzenlenmesi yenilenmesi iptali takibi rucu takibi hasar odeme mutabakatinin yapilmasi uretim iptal zeyilname mutabakatinin yapilmasi sigorta sirketleri broker islemlerin yurutulmesi pert hurda arac sureclerinin yonetilmesi hasar prim oranlarinin takibi diger sigorta islemlerinin raporlanmasi,gorta uzmani,banka_sigorta
6,avrupa sektor lideri webhelp dijital sosyal geleneksel sesli iletisim kanallari araciligiyla kanalli letisim merkezi telesatis tahsilat yonetimi sosyal medya dijital letisim teknik destek yardim asistans gibi hizmetler veren global sureclerinde kaynak kullanimi saglayicisidir dunyada ulkede kisilik guclu kadrosu hizmet veren webhelp turkiye stanbul zmir bingol yozgat olmak uzere toplam sehirde askin calisan musteri deneyiminde fark yaratmaya devam etmektedir lise mezunu cagri merkezi inbound tecrubeli vardiyali calisabilecek araliginda derece office programlarini kullanabilen letisim becerileri gelismis diksiyonu duzgun cozum odakli takim calismasina yatkin dinamik yogun tempoya ayak uydurabilecek erkek adaylar icin askerligini tamamlamis tecilli zmir yuruttugumuz hizmet sektorunde faaliyet gosteren inbound operasyonumuzda kaliteli hizmet musteri memnuniyeti anlayisiyla cagrilari yanitlayacak destek verecek tecrubeli ekip arkadaslari ariyoruz,cagri merkezi musteri danismani zmir,banka_sigorta
7,conduent bietet seit turkei eine vielzahl großen international tätigen unternehmen umfangreiche kundenbetreuung technischen support dienstleistungen unserem call center stanbul asya umraniye suchen deutschsprachige call center agent projekt eines deutschen unternehmens werden mitglied conduent eines großten privaten telekommunikationsanbieter unserem inbound team ihre aufgabenbereiche telefonische schriftliche beratung sowie fallabschließende bearbeitung technischen kundenanliegen sicherung steigerung kundenzufriedenheit erfassung pflege kundenstammdaten profil ausgeprägte kommunikationsfähigkeit starke kundenorientierung zuverlässigkeit zeitliche flexibilität routinierter umgang internet deutschkentnisse niveau englischkentnisse niveau bieten unbefristetes arbeitsverhältnis umzugspaket starterbonus sicheres einkommen volle sozialversicherung auch private krankenversicherung monat bonus sodexo essensgeld shuttle service entwicklungs aufstiegsmoglichkeiten angenehme internationale arbeitsatmosphäre umfangreiche schulung aktives coaching unterstutzung gibt moglichkeit vollzeit auch teilzeit conduent arbeiten jetzt bewerben freuen,deutschsprachiger call center agent istanbul,banka_sigorta
8,yogun calisma temposuna uyum saglayabilecek diksiyonu duzgun musteri odakli calisabilecek degisime uyumlu zaman planlamasi yapabilen letisim becerisi yuksek sabirli stanbul avrupa yakasi ikamet eden tercihen cagri merkezi deneyimi olan alanda calismaya istekli hizli dusunebilen problem cozme becerisine sahip letisime acik takim calismasina yatkin sozel ifade becerilerine ikna yetenegine sahip tanimi musteri cagrilarini karsilayabilecek urun hizmetlerimiz ilgili musterilerimizi bilgilendirip musteri sikayetlerini musteri memnuniyetine donusturebilecek musteri temsilcisi ekip arkadasi ariyoruz,musteri hizmetleri temsilcisi,banka_sigorta
9,genel teli kler universite mezunu bireysel bankacilik urun mevzuata hakim temel duzey lisansina sahip banka subelerinde bireysel bankacilik alanlarinda uzeri deneyimine sahip risk yonetimi konusunda deneyimli fiyatlama tekniklerine hakim letisim yonu gelismis ikna yetenegi kuvvetli yuksek sorumlulugu basarma duygusuna sahip takim calismasina yatkin tanimi banka musterilerinin yonetimi musterilerde derinlesme iliski yonetiminin saglanmasi potansiyel musterilere aktif pazarlama yapilmasi yeni musteri kazanimi saglanmasi mevcut potansiyel musterilere ihtiyaclari dogrultusunda sekillendirilmis urun hizmetler sunulmasi coklu hedef urun yonetiminin gerceklestirilmesi turkiye kibris ngiltere bankacilik faaliyeti gosteren turkishbank group turkiye deki bankasi turkishbank ciftehavuzlar subesinde gorev alacak bireysel bankacilik musteri liskileri yonetmenleri aramaktayiz,bireysel musteri liskileri yonetmeni,banka_sigorta
