,genel_nit_is_tanimi,ilan_baslik,label
0,universitelerin ilgili muhendislik bolumlerinden mezun bilgisayar muhendisligi yazilim muhendisligi matematik muhendisligi elektrik elektronik muhendisligi microsoft platformlarinda tecrubeli javascript entity framework gibi teknolojilere hakim nesneye dayali tasarim programlamaya ileri duzeyde hakim oracle benzeri iliskisel veri tabani calismis konusunda tecrubeli veritabani modelleme konularina hakim restful servisler soap tabanli servisler gelistirme tecrubesine sahip tercihen source control yazilimi sourcesafe kullanarak proje gelistirmis tanimi alaninda danismanlik proje hizmetleri vermekte oldugumuz kurum musterilerimizde konumlandirilmak uzere calisabilecek developer takim arkadaslari aramaktayiz,developer,bilisim_telekom
1,yillik tecrubeye sahip google play store appstore kendini kere kanitlamis rooster games gelistirdigi oyunlarla milyon tekil kullaniciya ulasmis oyun sirketinde almak istiyorsan dogru yerdesin turkiye sayili basarilara imza atmis oyun gelistirme alaninda saglam temellere dayali sirketlerle network agina sahip sirketimizde asagidaki kriterleri karsiliyorsaniz aile ortami sicakligindaki bunyemizde sizi gormekten heyecan duyariz neler olmali unity oyun motorunda tecrubeye sahip bilgisayar yazilim muhendisligi yada dengi okuldan mezun olmus ngilizce bilgisine sahip programlama diline hakim konusunda bilincli takim calismasina yatkin pratik dusunebilen oyun fikirlerini oynanabilir prototipe donusturmede istekli arzulu motivasyonu yuksek pozitif dusunen uzun yillar calisma konusunda istikrarli denizlide ikamet eden yada edebilecek erkek adaylar icin bedelli askerlik disinda engeli olmayan olmasi guzel maya dsmax gibi modelleme programlarinda bilgi sahibi olan photoshop after effects gibi gorsel programlarda bilgi sahibi animasyon konusunda bilgi sahibi sizinle birlikte calismak bizi fazlasiyla heyecanlandiracak,bilgisayar yazilim muhendisi oyun gelistirme,bilisim_telekom
2,yazilim tasarim gelistirme sureclerinde gorev alacak ortamlari gelistirme konularina hakim konularin tumunde bilgi deneyim sahibi kurumsal yazilim gelistirme projelerinde aktif olarak gorev almis jquery javascript html ajax konularinda bilgi deneyim sahibi object oriented design patterns konusunda bilgi deyim sahibi liskisel veritabani tasarim gelistirme konusunda bilgi deneyim sahibi oracle yeni teknolojiler ogrenmeye istekli ngilizce seviyesi orta uzerinde duzeyde olan lgili alanda deneyimli kidemli yazilim gelistirme uzmani aranmaktadir mulakatta ilgili konularda bilgi duzeyini olcumlemek icin sinav yapilacaktir,kidemli yazilim gelistirme uzmani,bilisim_telekom
3,sirketimizin ankara daki projelerinde gorevlendirilmek uzere universitelerin dort yillik lisans tercihen muhendislik veya temel bilimler bolumlerinden mezun asagidaki niteliklerde yazilim proje yoneticisi alinacaktir yazilim proje yoneticiligi gorevinde deneyimli yazilim gelistirme yasam dongusu cmmi sureclerine hakim guncel yazilim teknolojileri hakkinda bilgi sahibi projelerin planlama gerceklestirim takip raporlama surec yonetimi deneyimine sahip tercihen sertifikasina sahip proje surec yonetimi icin kullanilan yazilimlarda deneyimli derecede ngilizce bilen erkek adaylar icin askerlik hizmetini tamamlamis tercihen yasindan buyuk,yazilim proje yoneticisi,bilisim_telekom
4,turkiye dunya geneline yayilan magaza satis noktalariyla zengin urun yelpazesiyle piyasadaki kaliteli prestijli durusuyla gelismenin surekliligine inanan bakis acisiyla urun hizmet guven kalite cemberine verdigi onemle modaya veren setre stanbul seyrantepe calisacak bilgi slem yazilim uzmani ariyor yazilim yaparak projeler uretme konusunda tecrube kazanmis javascript jquery json konularinda deneyim sahibi bilgisi olan tecrubesi bulunan arastirmaci takim calismasina yatkin farkli teknolojileri ogrenme konusunda istekli tercihen literaturu takip edebilecek derecede ngilizce bilen tercihen nebim uzerinde daha once calismis yapisini bilen ercihen daha once devexpress uzerinde proje gelistirmis esnek calisma saatlerine uyabilecek askerlik yukumlulugunu tamamlamis olan erkek adaylar icin tanimi sirketin bilgi slem isleyisi gelisimi sureclerinde ihtiyac duyulan yazilimlari gerceklestirmek,yazilim uzmani,bilisim_telekom
5,athena bilisim yilindan yana kurumsal cozumler uygulamalari konusunda sektorunde lider kurumlara danismanlik cozumlerini sunmaktadir yetkin ekibin parcasi olacak musterilerimizle ortak hedeflere yuruyecek yetistirilmek uzere uygulama danismanlari alinacaktir universitelerin muhendislik veya isletme fakultelerinden mezun tercihen bilgisayar elektrik elektronik endustri muhendisligi ngilizce yazisma dokuman takibi yapabilecek takimin parcasi olabilecek enerjisini katabilecek kitap okumayi arastirma yapmayi seven sorumlu oldugu yaparim diyen musteri ihtiyacini anlayabilecek musteri odakli davranabilecek letisim sunum becerileri motivasyonu yuksek kendine guvenen danismanlik benim isim diyen ogrenmeye istekli yeni teknolojilere acik itsm sdlc devops bilmese dahi ogrenirim diyen erkek adaylar icin askerlik hizmetini tamamlamis takim arkadaslari ariyoruz,yazilim danismani,bilisim_telekom
6,bilisim teknolojileri adina hali hazirda kisiden olusan yazilim gelistirme ekibimizi buyutmek icin asagidaki kriterlerde yeni calisma arkadaslari aramaktayiz universitelerin ilgili muhendislik fakulteleri yuksek okul bilgisayar programciligi bolumlerinden mezun sene tecrubesi olan sene aktif olarak yazilim gelistirme sureclerinde almis liskisel veri tabanlari konsunda bilgi sahibi mssql mysql bilgisi olan stored procedure fonksiyon trigger yazabilen konularinda kendini gelistirmis core tecrubesi tercih nedenidir projelerinde ozellikle gelistirme deneyimli olunmasi tercih sebebidir entity framework linq kullanarak proje gelistirmis unit work repository pattern factory pattern diger tasarim desenleri konularini tecrube edebilmis veya tecrube etmek isteyen interface kullanimi dependency injection thread yonetme konularini tecrube edebilmis veya tecrube etmek isteyen servis bazli katmanli mimariler konusunda tecrubeli veya calismaya hevesli rest servisler veya soap konusunda deneyimli opencv tecrubesi tercih sebebidir android mobil gelistirme sureclerinde tecrubeli olunmasi tercih sebebidir calisma saatleri calisma lokasyonu gebze organize sanayi bolgesi teknopark icerisinde calisma alanlari arac gecis guvenlik sistemleri plaka tanima arac alti goruntuleme sofor tanimlama goruntu isleme teknolojileri stichting image comparison face detection urun yasam dongusu takip sistemleri hologram code kamera teknolojileri servis yemek ozel saglik sigortasi allianz olanaklari mevcut asagidaki konularin veya kacinda kacinda deneyim sahibi olunmasi avantaj saglayacaktir jenkins opencv stitching image processing jira agile scrum dapper linq auto mapper unit testing angular react javascript jquery ajax html bootstrap rabbitmq swagger hangfire cloud hosting mongodb android development,kidemli yazilim gelistirme uzmani fullstack,bilisim_telekom
7,tanimi axapta gelistirme projelerinde gorev alinmasi tasarim dokumanina uygun olarak yazimi gerekli gelistirmelerin yapilmasi surec gelistirmelerinin analizi hazirlanmasi uygulamaya alinmasi universitelerin ilgili bolumlerinden mezun stanbul ikamet eden edebilecek yazilim gelistirme tecrubesine sahip tercihen dynamics axapta sistemlerinde gelistirme yapmis yeni teknolojileri takip etme konusunda istekli uygulama konusunda becerili takim calismasina yatkin pozitif yapida iletisimi guclu esnek calisma saatlerine yogun calisma temposuna uyum saglayabilecek analitik pratik cozum odakli adaylarda askerlik hizmetini tamamlamis yurtdisi projelerinde gorev alabilecek seyahat engeli olmayan derecede ingilizce bilgisine sahip olan yazilim gelistirme uzmani arayisimiz bulunmaktadir,yazilim geli uzmani axapta,bilisim_telekom
8,zorlu holding bilgi teknolojileri grubu baskanligi proje sorumlusu olarak gorev alacak calisma arkadasi aramaktayiz genel nitelikler universitelerin tercihen bilgisayar muhendisligi endustri muhendisligi bolumlerinden mezun projelerinde tecrubeli talep yonetimi altyapilari hakkinda bilgi sahibi analitik dusunce yapisina sahip arastirmaci problem cozme becerisi olan planlama takip yonu kuvvetli sonuc odakli calisabilen nsan iliskileri kuvvetli etkin sozlu yazili iletisim becerisi olan ekip calismasina yatkin sirketimizin dinamik yapisina uyum saglayabilecek guclu iletisim organizasyon zaman yonetimi yetkinligine sahip surucu belgesine sahip aktif olarak arac kullanabilen seyahat esnekligine sahip haftanin gunu manisa gunu stanbul gorev alabilecek tanimi bilgi teknolojileri yonetiminin stratejilerine uygun olarak projelerin yonetimini desteklemek proje tasarim gerceklestirme asamalarinda anahtar kullanicilar danismanlar arasinda iletisim koordinasyon saglamak sistemlerin surekliligi ihtiyaclarina gore gerekli planlama izleme yonetim problem cozme koordinasyon aktivitelerine destek olmak fonksiyonel birimlerdeki sorumlularla calisarak mevcut surecler kullanilan bilgi sistemlerinde iyilestirmeler yapmak veya yeni surecler bilgi sistemleri tasarlamak sistemler surecler arasi entegrasyon noktalarini belirlemek entegrasyonun kurulmasi devamliliginin saglanmasinda aktif almak surekliligini saglamak uzere arastirma gelistirme iyilestirme calismalarinda bulunmak yeni teknolojileri takip etmek,proje sorumlusu,bilisim_telekom
9,teknik ozellikler tanimi,mobil teknolojileri yazilim muhendisi,bilisim_telekom
