genel_nit_is_tanimi,ilan_baslik,label
teknoloji savunma havaciliga yonelik gelistirme proje yoneticiligi alanlarinda kariyerlerini gelistirmek isteyen analitik bakis acisina sahip girisimci ruhlu takim arkadaslari ariyoruz genel nitelikler turkiye dunyanin onde gelen universitelerinden muhendislik lisans derecesine sahip sletme yuksek lisans derecesine sahip strateji yonetim danismanligi veya yatirim bankaciligi kurumsal finans alaninda zamanli tecrubesine sahip kurumsal strateji kurumsal finans muhendislik ekonomisi alanlarinda bilgi deneyim sahibi proje yonetimi becerilerine sahip leri seviyede ngilizce bilgisine sahip analitik yetkinlik detaylara ozen gosteren office araclarina ileri seviye hakimiyet zekasi uygulamalarinda deneyimli tercihen erkek adaylarimiz icin askerlikle ilisigi olmamasi esnek calisma saatlerine uyum gosterebilecek yurtici yurtdisi seyahat engeli bulunmayan tanimi savunma havacilik teknolojileri gelistirme projelerinde proje yonetimi pazar filizibilite analizleri gelistirme sozlesme sureclerinin yurutulmesi yurutulen faaliyetlerle ilgili onemli operasyonel finansal performans gostergelerinin analizi raporlanmasi buyume iyilestirmeye yonelik firsatlarin belirlenmesi satis muzakere sozlesme sureclerinde sorumluluklar icerecek sekilde tedarikci musteri aginin gelistirilmesi sozlesme ihtiyac analizlerinin yapilmasi projelerin yonetilmesi proje bazli gelistirme gorevleri kapsamaktadir,gelistirme uzmani proje yoneticisi,banka_sigorta
universitelerin ktisadi dari bilimler fakultelerinden mezun derecede ngilizce bilen ofis programlarina hakim sorumluluk sahibi ogrenmeye acik ekip calismasina yatkin letisim temsil yetenegi guclu analitik dusunebilen raporlama analiz konularina ilgili erkek adaylar icin askerlik hizmetini tamamlamis unsped gumruk musavirligi lojistik hizmetler yetistirilmek uzere ticaret gumruk hizmetleri sektorlerinde kariyer hedefi olan ekip arkadaslari aramaktayiz,yeni mezun adaylar,banka_sigorta
bankamiz risk yonetimi departmani ndaki aktif pasif yonetimi stirakler koordinasyon uzmani pozisyonunda gorevlendirilmek uzere takim arkadasi ariyoruz universitelerin endustri muhendisligi finansal matematik statistik ekonometri ekonomi bolumlerinden mezun tercihen finans muhendisligi finansal matematik alanlarda yuksek lisans yapmis finansal kurumlarin risk yonetimi mali sler yonetimi hazine yonetimi birimlerinde tercihen tecrubesi olan seviyede ngilizce bilgisine sahip hazine urunleri finansal tablolara hakim matlab java macro programlarina hakim bloomberg reuters data saglayacilari kullanimina hakim analitik dusunme yetkinligi kuvvetli iletisim becelerileri gelismis tanimi bankanin aktif pasif yonetimi aktivitelerinin yurutulmesi faiz riski likidite riski bankanin aktif pasif yonetimi stratejisi kapsaminda riskten korunma muhasebesi surecinin yurutulmesi bankanin aktif pasif yonetimi kapsamindaki politikalarinin hazirlanmasi bddk basel kapsaminda faiz likidite riski raporlamalarinin hazirlanmasi kapsamdaki projelerin yonetilmesi bankanin faiz likidite riski limitlerle uyumunun komitesi aylik frekansta sunulmasi stiraklerin piyasa riski ilgili sureclerinin yurutulmesi politikalarinin hazirlanmasi risk limitlerinin belirlenmesi takip edilmesi yasal kurumlar denetciler derecelendirme kuruluslariyla aktif pasif yonetimi stirakler piyasa riski ilgili konularda iletisim saglanmasi solo grup bazinda data yonetisim faaliyetlerinin yurutulmesi veri kalitesinin analiz edilmesi aktif pasif yonetimi metodoloji modellerinin yasal yukumlulukler basel cercevesinde gelistirilmesi,aktf pasif yonetimi stirakler koordinasyon uzmani,banka_sigorta
etkinlik mice sektorune firmalarina hakim mevcut musteri iletisimini yonetecek projelerin brief operasyon finansal sureclerini aktif yonetebilecek sirket yillik satis pazarlama stratejileri yonetimi yapabilecek yurt yurt disi yeni pazarlar yeni musteriler olusturabilecek trendleri takip eden yenilikci dijital kreatif sureclere hakim sektorun dinamiklerine yillik etkinlik takvimlerine hakim esnek calisma saatlerine uyum saglayan pozitif iletisime sahip takim calismasina yatkin departmanlar arasi koordinasyonu saglayabilecek detayci calismayi seven kurumsal kulture hakim motivasyonu yuksek heyecan hedefleri olan ekip arkadasi ariyoruz adaylarin deneyim yetkinliklerine gore farkli seviyelerde degerlendirmeler yapilacaktir,musteri liskileri yoneticisi yonetmeni,banka_sigorta
genel teli kler universitelerin ilgili bolumlerinden mezun sigortacilik mevzuatina hakim sigorta islemleri hasar ekspertizi konusunda tecrubeli office uygulamalarini etkin duzeyde kullanabilen satis odakli problem cozme analitik dusunme becerilerine sahip sonuc odakli kisisel takim hedefleri calisma becerilerine sahip letisim yetenegi guclu erkek adaylar icin askerlik gorevini tamamlamis tanimi filoda bulunan araclara kasko trafik policelerinin ilgili zeyilnamelerin duzenlenmesi yenilenmesi iptali takibi rucu takibi hasar odeme mutabakatinin yapilmasi uretim iptal zeyilname mutabakatinin yapilmasi sigorta sirketleri broker islemlerin yurutulmesi pert hurda arac sureclerinin yonetilmesi hasar prim oranlarinin takibi diger sigorta islemlerinin raporlanmasi,gorta uzmani,banka_sigorta
avrupa sektor lideri webhelp dijital sosyal geleneksel sesli iletisim kanallari araciligiyla kanalli letisim merkezi telesatis tahsilat yonetimi sosyal medya dijital letisim teknik destek yardim asistans gibi hizmetler veren global sureclerinde kaynak kullanimi saglayicisidir dunyada ulkede kisilik guclu kadrosu hizmet veren webhelp turkiye stanbul zmir bingol yozgat olmak uzere toplam sehirde askin calisan musteri deneyiminde fark yaratmaya devam etmektedir lise mezunu cagri merkezi inbound tecrubeli vardiyali calisabilecek araliginda derece office programlarini kullanabilen letisim becerileri gelismis diksiyonu duzgun cozum odakli takim calismasina yatkin dinamik yogun tempoya ayak uydurabilecek erkek adaylar icin askerligini tamamlamis tecilli zmir yuruttugumuz hizmet sektorunde faaliyet gosteren inbound operasyonumuzda kaliteli hizmet musteri memnuniyeti anlayisiyla cagrilari yanitlayacak destek verecek tecrubeli ekip arkadaslari ariyoruz,cagri merkezi musteri danismani zmir,banka_sigorta
conduent bietet seit turkei eine vielzahl großen international tätigen unternehmen umfangreiche kundenbetreuung technischen support dienstleistungen unserem call center stanbul asya umraniye suchen deutschsprachige call center agent projekt eines deutschen unternehmens werden mitglied conduent eines großten privaten telekommunikationsanbieter unserem inbound team ihre aufgabenbereiche telefonische schriftliche beratung sowie fallabschließende bearbeitung technischen kundenanliegen sicherung steigerung kundenzufriedenheit erfassung pflege kundenstammdaten profil ausgeprägte kommunikationsfähigkeit starke kundenorientierung zuverlässigkeit zeitliche flexibilität routinierter umgang internet deutschkentnisse niveau englischkentnisse niveau bieten unbefristetes arbeitsverhältnis umzugspaket starterbonus sicheres einkommen volle sozialversicherung auch private krankenversicherung monat bonus sodexo essensgeld shuttle service entwicklungs aufstiegsmoglichkeiten angenehme internationale arbeitsatmosphäre umfangreiche schulung aktives coaching unterstutzung gibt moglichkeit vollzeit auch teilzeit conduent arbeiten jetzt bewerben freuen,deutschsprachiger call center agent istanbul,banka_sigorta
yogun calisma temposuna uyum saglayabilecek diksiyonu duzgun musteri odakli calisabilecek degisime uyumlu zaman planlamasi yapabilen letisim becerisi yuksek sabirli stanbul avrupa yakasi ikamet eden tercihen cagri merkezi deneyimi olan alanda calismaya istekli hizli dusunebilen problem cozme becerisine sahip letisime acik takim calismasina yatkin sozel ifade becerilerine ikna yetenegine sahip tanimi musteri cagrilarini karsilayabilecek urun hizmetlerimiz ilgili musterilerimizi bilgilendirip musteri sikayetlerini musteri memnuniyetine donusturebilecek musteri temsilcisi ekip arkadasi ariyoruz,musteri hizmetleri temsilcisi,banka_sigorta
genel teli kler universite mezunu bireysel bankacilik urun mevzuata hakim temel duzey lisansina sahip banka subelerinde bireysel bankacilik alanlarinda uzeri deneyimine sahip risk yonetimi konusunda deneyimli fiyatlama tekniklerine hakim letisim yonu gelismis ikna yetenegi kuvvetli yuksek sorumlulugu basarma duygusuna sahip takim calismasina yatkin tanimi banka musterilerinin yonetimi musterilerde derinlesme iliski yonetiminin saglanmasi potansiyel musterilere aktif pazarlama yapilmasi yeni musteri kazanimi saglanmasi mevcut potansiyel musterilere ihtiyaclari dogrultusunda sekillendirilmis urun hizmetler sunulmasi coklu hedef urun yonetiminin gerceklestirilmesi turkiye kibris ngiltere bankacilik faaliyeti gosteren turkishbank group turkiye deki bankasi turkishbank ciftehavuzlar subesinde gorev alacak bireysel bankacilik musteri liskileri yonetmenleri aramaktayiz,bireysel musteri liskileri yonetmeni,banka_sigorta
deloitte provides audit consulting risk advisory financial advisory services public private clients spanning multiple industries with globally connected network member firms more than countries territories deloitte brings world class capabilities high quality service clients delivering insights they need address their most complex business challenges deloitte more than professionals committed becoming standard excellence seeking event marketing analyst evaluated deloitte with following qualifications minimum years experience especially knowledge best practices events marketing excellent command both written spoken english turkish strong written verbal communication skills very strong proficiency word excel reporting excel event digital social media development creative media department experiences will assets event email marketing experience will asset dynamic results oriented problem solving skills analytical structured thinking with ability develop multi faceted plans budgets very strong team player able work independently flexible proactiv effective management time ability work under pressure builds understanding purpose values explores opportunities impact understands their daily work contributes priorities team business military service must completed male candidates description creative competent event marketing mail announcements digital media communicating events internally externally planning announcing events taking offers from suppliers event planning following process coordinating internal communication order inform related departments about event contents planning company events beforehand supporting operational proceses guiding other related departments managing communication between company guests coordinating preperation process before event solving potential problems taking offers from suppliers planned events preparing vendor contracts following offer process promoting events inside company through social media mail other internal communication channels assisting event announcement process following preparation process printed visuals other materials following participant profiles before after event conducting event success inventories evaluating them,event marketing analyst,banka_sigorta
