,genel_nit_is_tanimi,ilan_baslik,label
0,tasimacilik sektorunde surekli gelisen degisen dinamikler dogrultusunda hizmette fark yaratma amaciyla calisan yurtici lojistik teknoloji insan kaynagi yatirimlariyla sektorun onemli isimlerinden biri olmayi basardi arikanli holding bunyesinde yilinda kurulan yurtici lojistik tecrubesi kalite anlayisiyla bugun ulke genelinde sehirde askin depolama alaninda hizmet veriyor sirket basta beyaz esya tekstil perakende gida otomotiv madeni urunleri paletli tasima dahil olmak uzere farkli sektorlerin tedarik zinciri yonetimi dagitimi depolama ihtiyaclarina yonelik esnek cozumler uretmektedir genel merkezi stanbul maslak bulunan yurtici lojistik arikanli holding tasimacilik grubu lojistik sektorundeki deneyimi guclu uzman ekibiyle lojistik cozumlerin yeni yapilandirmayla ayni cati altinda toplanmasi felsefesi kuruldu fiata iata uyesi olan yurtici lojistik avrupa ulkeleri komsu ulkeler basta olmak uzere dunyanin kosesinden tasima modlarinda hacimde tasimaciligi yapan forwarder hizmetlerini sunuyor kalite yonetim sistemi belgeleri yurtici lojistik ortaklarina yuksek kalitede hizmet sunabilmek icin organize lojistik merkezleri ulusal uluslararasi entegre dagitim kalite kontrolunu iceren katma degerli hizmet servisleri coklu depolamaya ilave olarak yerel deneyim bilgiyi arada sunuyor genel mudurlugumuzde degerlendirilmek uzere hasar tazmi gorta uzmani universitelerin ilgili bolumlerinden mezun minimum sigortacilik tecrubesinin yani sira hasar konusunda bilgisi olan sigorta sirketi veya acente tecrubesi olan hasar dosyasi acabilecek hasar takiplerini yapabilecek lojistik sektorunde bilgi deneyim sahibi olan raporlama yapacak noktada office bilgisine sahip sorumlulugu yuksek problem cozme yetkinligine sahip etkin iletisim becerileri gelismis hasar konusunda sirket icerisinde farkindalik yaratabilecek seyahat engeli bulunmayan ehliyeti olan aktif arac kullanabilen erkek adaylar icin askerlik hizmetini tamamlamis adaylar aranmaktadir tanimi tasima esnasinda olusabilecek hasarlarin indirilmesi icin gerekli onlemleri almak hasar analiz raporlarini hazirlamak sigorta hasar tazmin taleplerinin sigorta firmasi paylasilarak taleplerin takibini saglamak sigorta police sozlesmelerini degerlendirmek yorumlamak hasarlara dokumanlarin incelenmesi degerlendirilmesi buna iliskin ilgili departmanlar koordinasyonun saglanmasi evraklarin dosyalanmasi sigorta hasar sureclerine alternatif cozumlerin uretilmesi musteriler gerekli iletisimin kurulmasi musteriye iliskin surecin yonetilmesi,hasar tazmin sigorta uzmani,sigorta_acente_danisman
1,estethica atasehir merkezi bunyesinde gorevlendirilmek uzere universite mezunu musteri iliskileri yonetimi konusunda deneyimli arapca ngilizce bilen okoma yazma konusma seviyeleri ileri kendini gelistirmeye acik ekip yonetimi becerilerine sahip etkili iletisim planlama koordinasyon becerisine sahip analitik dusunebilen dinamik prezantabl temsil yetenegi kuvvetli sorumluluk alan insiyatif kullanabilen office uygulamalarini etkin kullanabilen esnek yogun calisma saatlerine uyum saglayabilen askerligini tamamlamis askerlik sorunu olmayan erkek adaylar icin tanimi potansiyel musteri arastirilmasi mevcut acentelerin yonetiminde aktif alacak pazardaki gelismelerin yakindan takip edilmesi yurt disi acenteler operasyon surecinin koordine edilmesi hedefler dogrultusunda ilerlemek ekibini yonde yonetmek musteri olan iletisimi firma kulturu dogrultusunda saglayabilecek yurtdisi pazarlama acenteler muduru aramaktayiz,yurtdisi pazarlama acenteler muduru,sigorta_acente_danisman
2,stanbul global sigorta brokerligi sigorta sektorunde kurumsal bireysel musterilerine risk yonetim sigorta branslarinda hizmetler sunan marka degeri yuksek sigorta brokerlik sirketidir sektorde uzun yillardir deneyim sahibi olan sirketimiz buyuyen organizasyon yapisi icin kasko trafik dask konut nakliyat sigortasi branslarinda gorev alacak ekip arkadaslari aramaktadir yangin muhendislik sorumluluk sigortasi branslarinda gorev alacak ekip arkadaslari aramaktadir saglik sigortasi grup branslarinda gorev alacak ekip arkadaslari aramaktadir bireysel emeklilik hayat sigortasi branslarinda gorev alacak ekip arkadaslari aramaktadir lisans veya lisans mezunu sigortacilik teknik belgesi segem sahip sigorta sektorunde yillik deneyime sahip gorev bilinci yuksek sorumluluk alabilen ikna kabiliyeti iletisimi guclu takimin parcasi olarak calismaktan keyif alan sonuc odakli calisan dinamik yogun tempoda hedef odakli calisabilen erkek adaylar icin askerligini tamamlamis stanbul avrupa yakasi veya stanbul asya yakasinda ikamet eden ofislerimiz ulasim aksindadir tanimi sirketin mevcut yeni musterilerine police zeyil yenileme hasar tahsilat islerinin takibinin yapilmasi sigorta sirketlerinin ekranlarini aktif kullanarak teklif police duzenlenmesi office word excel outlook programlarini etkin bicimde kullanabilen kurumsal musterilerin ihtiyaclarini beklentilerini anlayabilecek analitik beceriye esneklige sahip olmak sigortacilik sektorunde sunulan urun hizmetlerde bilgi sahibi deneyimine sahip tercihen polisoft yazilim programini bilen aday ekip arkadaslarimiz atakoy selenium retro residence bagcilar office residence ofislerimizde gorev alacak kurumsal bireysel musterilerimize hizmet sunacaktir uzun donem staj sigortacilik alaninda kariyer hedefi olan kendini alanda gelistirmek isteyen universitelerin ilgili bolumlerinin veya sinif ogrencileri basvurularini istanbulsigorta sosyal medya hesaplarimiz veya internet sitemiz uzerinden yapabilirler,sigorta teknik personeli,sigorta_acente_danisman
3,medicalpark zmir hastanesinde gorevlendirilmek uzere universitelerin ilgili bolumlerinden mezun hasta kayit yetkilisi pozisyonunda deneyimli hasta kayit faturalandirma hasta yatis sureclerinde tecrube sahibi ozel saglik sigortalari anlasmali kurumlar hasta sureclerine hakim planlama organizasyon yetenegine sahip analitik sonuc odakli iletisim yetenegi kuvvetli ikna kabiliyeti yuksek office uygulamalarina hakim askerlik hizmetini tamamlamis erkek adaylar icin saglikta dunyaca taninan menseili joint commission international akreditasyon belgesine sahip olan medicalpark hastanesi yukarida belirtilen ozelliklere sahip ozel gorta anlasmali kurumlar yetki aramaktadir,ozel sigorta anlasmali kurumlar yetkilisi,sigorta_acente_danisman
4,kari yeri yeni boyut katin elya sigorta bolgesi gucunu paylasacak gorta danismani yoneti leri ariyor elya sigorta turkiye operasyonunu buyutmeye devam ediyor elya sigorta sigorta finansal hizmetler sektorunde toplamda yili askin tecrubeye sahip profesyoneller tarafindan hizmet kalitesi musteri memnuniyetini planda tutarak kurumsal bireysel musterilere kosullarda hizmet sunmak amaciyla kurulmustur amacimiz cagin gerektirdigi teknolojik yenilikleri kullanarak duzeyde hizmet kalitesi saglamak ihtiyaca ozel cozumler olusturmak musterilerimizi risklere karsi guvence altina alarak karsilikli guven memnuniyetin saglandigi satis oncesi sonrasindaki beklentileri karsilayacak uzun vadeli isbirligi olusturmaktir sirketimiz calistigi bircok sigorta sirketleri uluslararasi brokerler gelistirdigi isbirligi sayesinde musterilerine fiyat teminat kapsami acisindan uygun sigorta cozumlerini rekabet ustunlugu sunmaktadir guvenli ortamda portfoyunuzu gelistirerek yuksek gelir imkani calismak ilginizi cekiyorsa bizimle mutlaka iletisime gecin tanimi branslarda satis yapmak musterilerimizin risklerini degerlendirerek ihtiyaclarina uygun ekonomik policeyi hazirlamak hasar tazminat durumu olustugunda bilgilendirme yonlendirme yaparak sureci kolaylastirmak nitelikli kaliteli kesintisiz hizmet vererek maksimum memnuniyeti saglamak kisa zamanda hizli dogru cozumler uretmek portfoy yaratmak olan portfoyu gelistirmek kendi isinizin sahibi olmak gelirde sinir tanimamak aranan nitelikler bankacilik finans maliye pazarlama satis yonetimi okul mezunu satis deneyimine sahip satisa yonelik yaratici becerilere sahip tercihen sigorta sektorunde tecrubeli segem veya beas sertifikasina sahip musteri odakli dinamik hirsli girisimci pozitif kisilikli profesyonelligin gerektirdigi disipline sahip takim ruhuna uyumlu rekabet ortamini seven sigortacilik sektorundeki basariyi surdurmenin surekli gelisim ogrenme mumkun olacagina inanan sirketimiz kadrosuna periyodik olarak egitim vermektedir egitim faaliyetlerimiz olanaklarinizin rekabet gucunuzun gelismesine ekonomik istikrariniza katki sagliyoruz dogru aday oldugunuzu dusunuyorsaniz detayli ozgecmisinizi gonderiniz butun basvurular gizli tutulacaktir,sigorta risk yoneticisi,sigorta_acente_danisman
5,genel teli kler universitelerin ilgili bolumlerinden mezun sigortacilik mevzuatina hakim sigorta islemleri hasar ekspertizi konusunda tecrubeli office uygulamalarini etkin duzeyde kullanabilen satis odakli problem cozme analitik dusunme becerilerine sahip sonuc odakli kisisel takim hedefleri calisma becerilerine sahip letisim yetenegi guclu erkek adaylar icin askerlik gorevini tamamlamis tanimi filoda bulunan araclara kasko trafik policelerinin ilgili zeyilnamelerin duzenlenmesi yenilenmesi iptali takibi rucu takibi hasar odeme mutabakatinin yapilmasi uretim iptal zeyilname mutabakatinin yapilmasi sigorta sirketleri broker islemlerin yurutulmesi pert hurda arac sureclerinin yonetilmesi hasar prim oranlarinin takibi diger sigorta islemlerinin raporlanmasi,gorta uzmani,sigorta_acente_danisman
6,otomotiv sektorunde faaliyet gosteren sirketimiz icin sigorta muduru aranmaktadir pozisyon ilgili kisa gorev tanimi uygun adaylarin tasimasi gereken ozellikler asagida almaktadir universitelerin ilgili bolumlerinden mezun otomotiv sektorunde yonetici olarak benzer pozisyonda deneyim sahibi segem sertifikasina sahip tercihen musteri portfoyune sahip office programlarini derecede kullanabilen nsan iliskilerinde basarili analitik dusunebilen etkin iletisim temsil yetenegine sahip sonuc musteri odakli yeniliklere gelisime acik arastirmaci proaktif takim calismasina yatkin erkek adaylar icin askerlik hizmetini tamamlamis stanbul avrupa yakasi ikamet eden seyahat engeli olmayan tanimi firmanin sigorta satis karlilik hedefleri dogrultusunda sigorta satis faaliyetlerinin yonetilmesi temsil ettigi markanin hizmet kalite standartlarina uyulmasi mevcut potansiyel musteri portfoyunun takip edilmesi sigorta satis sonrasi operasyonel surecin takip edilmesi yeni sigorta satis kanallarinin olusturulmasi yurutulen faaliyetlerin ilgili yonetmelik kurallarina uygun olarak gerceklestirilmesinin saglanmasi,sigorta muduru,sigorta_acente_danisman
7,sigorta aracilik hizmetleri corum ahlatci bayisinde gorevlendirilmek uzere sigorta satis sorumlusu aranmaktadir dort yillik yuksekogretim kurumlarindan mezun olan kisilerden yillik yuksekokullarin ilgili sigorta risk aktuerya bankacilik sigorta bolumlerinden mezun kisilerden deneyim aranmaktadir dort yillik yuksekogretim kurumlarinin sigortacilikla ilgili bolumlerinden mezun kisilerden deneyim aranmamaktadir sigortacilik teknik belgesine segem sahip anadolu sigorta sigorta ergo sigorta eureko sigorta sigorta allianz sigorta acente program bilgisi olan letisimi kuvvetli yogun temposunda calisabilecek ofis programlarini derecede kullanabilen tanimi arac alimi yapan musterilerin kasko trafik sigortasi policelerinin satisini gerceklestirmek musterilerin sigorta ihtiyaclarini belirleyerek capraz sigorta satisi yapmak periyodik olarak satis raporlarini hazirlamak kredi satis surecine destek vermek,sigorta satis sorumlusu,sigorta_acente_danisman
8,sektorun lider acentesi olan sirketimizin organizasyon yapisina dahil edilmek uzere acente genel mudurlugumuz mevcut yeni subelerimiz icin branslarda farkli kategorilerde sigortaciligi meslek edinmis calisma arkadaslari ariyoruz ankara genel mudurluk elementer veya hayat bransinda urunlerde genis uzmanlik deneyime sahip sorumluluk alabilen calisani oldugu acenteyi temsil becerisine sahip yuksek temposuna aliskin personeller aranmaktadir turki geneli sigorta acenteleri yonetmeligi kapsaminda teknik mudur vasiflarina sahip calisma arkadaslari aranmaktadir diger nitelikler sigorta sirketleri ekran bilgisi onlisans bankacilik sigortacilik bolumu veya lisans mezunu musteri odakli sorumlulugu bilincine sahip dikkatli titiz sorumluluk sahibi diksiyonu duzgun guleryuzlu iletisim yetenegi guclu motivasyon ozguveni yuksek uzun soluklu calismayi kendine prensip edinmis erkek adaylar icin askerlik gorevini tamamlamis veya tecilli olanlar basvuruda bulunacak adaylarin sahip olduklari uzmanlik alanlarini tecrubelerini lerinde detayli olarak aciklamalari kendilerini dogru olarak ifade edebilmeleri degerlendirmesi bakimindan onem etmektedir sirketimize gosterdiginiz ilgi icin tesekkur ederiz,sigorta danismani,sigorta_acente_danisman
9,avrupa kuzey afrika orta dogu kitalarinda ulkeye fazla noktaya direkt parsiyel tasimacilik hizmeti veren sertrans logistics uluslararasi kara hava deniz yolu multimodal tasimacilik hizmetleriyle dunyanin yakin ulkesine fazla noktaya lojistik hizmet vermektedir sadece ticaret lojistigine ayirdigi alaninda yillik milyon online urun kapasitesi dunyanin markalarina hizmet vermeye devam etmektedir merkez ofisimiz olan hadimkoy lokasyonunda gorevlendirilmek uzere meslek yuksekokulu mezunu sigortacilikta elementer bransta minimum tecrubeli karayolu tasima kanunu sigorta genel sartlari sigortacilik kanunu konularinda bilgili erkek adaylar icin askerligini tamamlamis stanbul avrupa yakasinda ikamet eden tanimi sirket bina demirbas depocu tasiyici sorumluluk trafik kasko sigortalari icin teklif alinmasi policelerin yorumlanmasi karsilastirmalarin yapilmasi risklerin analiz edilmesi dogru sigorta urununun tespit edilerek satin alinmasinin saglanmasi risk kriterlerinin degerlendirilmesi yorumlanmasi fiyatlandirilmanin yapilmasi policelerin tanzim islemlerinin gerceklestirilmesi depo faaliyeti tasima esnasinda olusabilecek hasarlarin indirilmesi icin gerekli onlemleri alinmasinin saglanmasi hasar dosyalarinin acilmasi sigorta hasar sureclerine alternatif cozumlerin uretilmesi yapilan calismalarin kaydi analizi raporlanmasinin saglanmasi gibi gorevlerden mesul olacak sigorta uzmani aramaktayiz,sigorta uzmani,sigorta_acente_danisman
