,genel_nit_is_tanimi,ilan_baslik,label
0,gelecek varlik yoneti ulusal uluslararasi piyasalarda basariyla faaliyet gosteren faaliyet gosterdigi finans finans disi sektorlerde saygin konumu yuksek bilinirligi cikan fiba holding istirakidir yilindan yana sektorunde lider oncu pozisyonuyla hizmet veren firmamiz banka finansal kuruluslardan tahsili gecikmis alacaklari devralarak etkin basarili tahsilat faaliyeti piyasa payini arttirmakta yaratilan bilgi birikimi gelistirilen sistemleri kullanarak borclularina yuksek standartlarda hizmet vermektedir gelecek varlik yoneti ekonomiye istihdama katkisi surekli buyuyen gelisen yapisi finans piyasalarinda onemli yere sahiptir kurulusundan yana sektor lideri olan sirketimizin buro liskileri ekibinde gorevlendirilmek uzere denetim avukati pozisyonu icin takim arkadasi aranmaktadir aranilan kriterler universitelerin hukuk fakultelerinden mezun olmak flas hukuku borclar hukuku ticaret hukuku tuketici hukuku alanlarinda mevzuatlara hakim deneyimli olmak bankacilik finans sektorunde calismis olmak tercihen hizmet alinan sozlesmeli hukuk burolarinin performans denetim sureclerine iliskin deneyim sahibi olmak takim calismasina yatkin letisim zaman yonetimi becerisi yuksek analitik dusunme becerisine sahip girisimci cozum odakli ofis programlarina hakim seyahat engeli bulunmayan erkek adaylar icin askerlik gorevini tamamlamis olmak tanimi sirketin hukuk sureclerinin operasyonel acidan daha verimli sistematik hale getirilmesi icin hizmet alinan sozlesmeli hukuk burolarinin performans takibi denetimini yapmak sirketimize iliskin icra dosyalarinin takibinin usul esaslara uygun olarak yurutulup yurutulmediginin kontrolunu yapmak sozlesmeli burolarin adliyelerdeki dosyalarini incelemek yerinde ziyaretler yaparak burolarin performansini denetlemek sozlesmeli burolarin hukuki mali teknik denetim sureclerini olusturmak denetim raporlarini hazirlamak yonetime sunmak sozlesmeli burolarla sozlesmesel iliskileri duzenlemek takibini yapmak gorevi iliskili surecleri iyilestirme gelistirmeye yonelik fikir uretmek,denetim avukati,hukuk_avukat
1,gelecek varlik yoneti ulusal uluslararasi piyasalarda basariyla faaliyet gosteren faaliyet gosterdigi finans finans disi sektorlerde saygin konumu yuksek bilinirligi cikan fiba holding istirakidir yilindan yana sektorunde lider oncu pozisyonuyla hizmet veren firmamiz banka finansal kuruluslardan tahsili gecikmis alacaklari devralarak etkin basarili tahsilat faaliyeti piyasa payini arttirmakta yaratilan bilgi birikimi gelistirilen sistemleri kullanarak borclularina yuksek standartlarda hizmet vermektedir gelecek varlik yoneti ekonomiye istihdama katkisi surekli buyuyen gelisen yapisi finans piyasalarinda onemli yere sahiptir kurulusundan yana sektor lideri olan sirketimizin musavirlik bireysel ticari kobi tahsilat ekiplerinde gorevlendirilmek uzere avukat pozisyonu icin takim arkadaslari aranmaktadir aranilan kriterler universitelerin hukuk fakultelerinden mezun olmak flas hukuku borclar hukuku ticaret hukuku tuketici hukuku kisisel verilerin korunmasi alanlarinda mevzuatlara hakim deneyimli olmak bankacilik finans sektorunde kadrolu olarak musavirlik alaninda sozlesmeli burolar araciligi calisarak deneyim sahibi olmak takim calismasina yatkin letisim zaman yonetimi becerisi yuksek analitik dusunme becerisine sahip cozum odakli ofis programlarina hakim erkek adaylar icin askerlik gorevini tamamlamis olmak tanimi bireysel ticari kobi tahsilat ekiplerinin gecikmis alacaklarinin tahsilinde hukuki danismanlik hizmeti vererek tahsilat ekiplerinin sureclerini desteklemek takipleri baglantili davalarda ilgili hukuki surecleri takip etmek gerektiginde belli dosyalar icin adliyeye giderek dosyalar ilgili islem yapmak takibinde olan isleri duzenli olarak raporlamak sozlesmeli burolarla koordinasyon saglamak gorevi iliskili surecleri iyilestirme gelistirmeye yonelik fikir uretmek,avukat,hukuk_avukat
2,muvekkilleri sirketlerden olusan muvekkillerine dava icra danismanlik hizmetleri vermekte olan ofisimizde dava departmaninda calismak uzere ticari davalar sirketler hukukundan kaynakli davalar basin davalari idari davalar fikri mulkiyet hukuku davalari enerji hukukundan kaynakli davalar bankacilik hukukundan kaynakli davalar malpractice davalari basta olmak uzere buromuzca takibi yapilan dava dosyalarini bastan sonra takip edip dosyalarin durusmalarina istirak edip hukuki surecleri sonuna kadar yurutecek ayrica buromuzca yurutulen musavirlik hizmeti kapsaminda muvekkil sirketlere danismanlik verecek sozlesmelerin hazirlanmasi muzakereleri ihtarname keside edilmesi hukuki gorus raporlarin hazirlanmasi benzeri hususlarda calisacak alanlarda uzeri tecrubeye sahip aldigi konusunda gerekli islemler icin uzerine dusen sorumlulugu eksiksiz suresinde yerine getirecek calisma arkadaslari ariyoruz meslekte uzeri tecrubeye sahip seyahat engeli olmayan takibi organizasyon yapabilme yonu guclu letisim temsil yetenegi yuksek disiplinli cozum odakli takim calismasi zaman yonetimi konusunda yetkin erkek adaylar icin askerlik hizmetini yapmis olmak,avukat,hukuk_avukat
3,arkadasimiz nasil olmali universitelerin hukuk fakultesi nden mezunsan benzer pozisyonda minimum tecrube sahibiysen borclar hukuku sirketler hukuku sigorta hukuku ticaret hukuk hâkimsen bankacilik mevzuatina hâkimsen leri seviyede ngilizce bilgisine sahipsen letisim becerine guveniyorsan detaylara onem veririm sonuc odakliyim diyorsan takim calismasina yatkinsan sorumlulugun yuksekse dinamik yogun calisma ortamina uyum saglayabileceksen askerligini tamamladiysan tecilin varsa senden yapmani bekliyoruz sirket sozlesme taleplerini yerine getirmeni sozlesme muzakere sureclerini yurutmeni gerekli durumlarda sozlesmelere iliskin hukuki gorus vermeni sozlesmeleri sirket cikarlarini gozetecek sekilde grup standartlarina uygun sekilde kontrol etmeni gerekli oldugunda resmi ozel kurumlardan gelen yazilara verilecek yanitlari kontrol etmeni sirketi resmi ozel kurumlar nezdinde temsil etmeni haciz ihbarname yanitlarini inceleyerek imzalamani departman veya islerin yurutumu ilgili gerekiyorsa prosedur kilavuz dokumantasyon hazirlamani bekliyoruz gelecege tutkuyla yuruyenlerin tercihi olan allianz yerini almak ister misin allianz ulkede genc dinamik calisaniyla kocaman aile ailede tutkuyla baslar sektorun okulunda hedeflerine tutkuyla yurumek kesfederek eglenerek calismak keyifli buyuk takimla basarmanin tadini alarak yeniligin pesinde olmak istersen seni aramiza bekliyoruz yukaridaki maddeler seni anlatiyor sana gore olan tanimini tutkuyla basariyla yerine getirebilecegine inaniyorsun yeni arkadasimiz olmak icin bekliyorsun seni avukat pozisyonumuza basvurmaya bekliyoruz,avukat,hukuk_avukat
4,invokat firm located bakirkoy istanbul being active protection prosecution intellectual property assets seeking team mates having good communication skills both verbally writing with particular expertise trademarks patents well intellectual property qualifications expected from candidates outlined below least bachelor degree least from relevant universities experience trademark searching filing prosecution oppositions would preference excellent command english restriction travel motivation learn excel lawyer field trademarks other intellectual property rights qualification trademark attorney before turkish patent trademark office would preference experience industrial designs would also highly preferable person employed this position shall supported improve skills trademark well other legislations concerning intellectual property candidates shall expected least conduct basic tasks below handling trademarks searching databases filing applications replying oppositions reporting local international clients handling litigations before competent courts relating intellectual property patents trademarks designs,avukat,hukuk_avukat
5,alaninda deneyim sahibi dava durusma deneyimi olan agirlikli olarak banka ticari gayrimenkul hukuku dava dosyalarini asamada takip edecek letisim becerisi yuksek avukat tanimi yildir kalabalik calisma kadrosu sayida kurum kisiye hukuki hizmet sunan hukuk buromuzda agirlikli olarak banka dava dosyalari olmak uzere dava dosyalarinin takibi dilekcelerinin yazimi asamalarda takibi islemleri,avukat,hukuk_avukat
6,yurtdisi hukuk sleri biriminde gorevlendirilmek uzere universitelerin hukuk fakultelerinden mezun benzer pozisyonda minimum tecrubeli derecede ngilizce bilen perakende sektorunde sirketin faaliyet alani kapsaminda imzalayacagi sozlesmelerin incelenmesi muzakeresi veya hazirlanmasi konusunda deneyimli hukuku ticaret hukuku borclar hukuku kira hukuku gayrimenkul hukuku flas hukuku fikri mulkiyet konularinda bilgi deneyim sahibi sirketin uluslararasi operasyonlarindaki hukuki surecleri takip edebilecek sozlu yazili iletisim insan iliskileri organizasyon becerileri kuvvetli pozitif takim calismasina yatkin kalite cozum musteri odakli disiplinine sahip sistematik calisan zaman yonetimi konusunda yetkin analitik bakis acisina sahip analiz raporlama becerisi kuvvetli nisiyatif alabilen yasal uyum risklerinde proaktif bakis acisina sahip yogun temposuna ayak uydurabilecek yurt veya yurt disi seyahat engeli olmayan erkek adaylar icin askerlik gorevini tamamlamis tanimi sirketin yurtdisinda operasyon baslatacagi ulkelerde sirket kurulusu sureclerinin yurutulmesi sirketin yurtdisi istiraklerinin ucuncu kisilerle imzalayacagi sozlesme protokol hukuki baglayiciligi bulunan dokumanlarin usul esas yonunden uygun olarak hazirlanmasi veya incelenerek hukuki gorus uygunluk onayinin verilmesi sirket bunyesindeki hukuki ihtilaflarin cozumu dava icra diger hukuki islemlerin takibi raporlamalarin yapilmasi sirketin faaliyet alani kapsaminda ilgili birimler tarafindan yoneltilen sorulara hukuki gorus sunulmasi sirketin faaliyet konusuyla ilgili olarak yururlukteki mevzuatin mevzuatta meydana gelen degisikliklerin takip edilmesi ilgili sirket birimlerinin bilgilendirilmesi sirketin yonetim kurulu genel kurul islemlerinin takibi sirketin birimlerine ihtiyac duyulan yasal konularda egitimlerin verilmesi yasal uyum hukuki risklerin yonetilmesi konusunda proaktif bakis acisi danismanlik yapilmasi yasal uyum cercevesinde sirketin birimleri sirket hedeflerinin gerceklestirilmesi konusunda ortagi olarak uyumlu calismalar yurutulmesi sirketin yurtdisindaki anlasmali hukuk burolari imzalanan sozlesme fatura sureclerinin takip edilmesi,avukat,hukuk_avukat
7,control union yilinda hollanda merkezli kurulan yilindan bugune turkiye faaliyet gosteren gozetim belgelendirme sirketidir sirketimizin umraniye serifali mevkii bulunan genel merkezinde gorevlendirilmek uzere tecrubeli sirket avukati alinacaktir universitelerin hukuk fakultesinden mezun avukatlik stajindan sonra buyuk olcekli firmalarda sirket avukati olarak calismis leri duzeyde ngilizce bilen arastirmaci sorumluluk sahibi takip sonuclandirma konusunda yetkin letisim ikna yetenegi guclu kurumsal temsil yonu kuvvetli office programlarini derecede kullanabilen stanbul ikamet eden surucu belgesine sahip aktif arac kullanabilen erkek adaylar icin askerlik hizmetini tamamlamis tanimi sirketin turk ticaret kanunu kanunu sirketler kanunu gibi hukuk konularinda bilgi sahibi olmak yonlendirmeler yapmak hukuki surecleri yonetmek sirketin zamanli hukuki danismanligini yapmak mevzuat yargitay yuksek mahkeme kararlarini duzenli olarak takip etmek sirket ilgili dogabilecek turlu hukuki durumlarla ilgili gerekli mudahalede bulunmak genel kurul sirkuleri yonerge gibi turk ticaret kanunu kapsamindaki isleri takip etmek sirket sozlesmelerini gozden gecirmek veya hazirlanmak hukuki sureci takip etmek birimlere hukuki sureclerde destek vermek koordineli calismak,sirket avukati,hukuk_avukat
8,universitelerin hukuk fakultelerinden mezun tecrubeli sigorta sektorunde ozellikle aleyhe maddi brans dosyalarinda avukatlik deneyimi bulunan office uygulamalarini etkin kullanabilen cozum odakli ekip calismasina yatkin seyahat engeli olmayan erkek adaylar icin askerlik hizmetini tamamlamis olmak tanimi sorumlulugu kapsamindaki davalarin yasal takiplerinin muallak raporlama ilgili sureclerinin yurutulmesi sulh kapsamina alinacak dosyalarin belirlenmesi surece destek verilmesi sozlesmeli avukatlar koordinasyonun saglanmasi,avukat,hukuk_avukat
9,universitelerin hukuk bolumunden mezun leri duzeyde ngilizce bilen avukatlik ruhsati olan hukuku iflas hukuku ticaret hukuku borclar hukuku sozlesmeler hukuku alanlarinda deneyim sahibi dava durusma sozlesme tecrubesi olan sorumluluk sahibi isinde titiz ozenli meslekte tecrubeli erkek adaylar icin askerlik hizmetini tamamlamis kurumumuzun hukuki islemlerini yurutebilecek hukuku basta olmak uzere sirketin lehine aleyhine acilan davalarin icra takiplerinin yurutulmesi raporlanmasi sirketin adli idari yargi mercileri onunde temsil edilmesi sirketle ilgili muzakerelerde ilgili bolumlere hukuki destegin saglanmasi sirket bunyesindeki hukuki sorunlarin cozumu hukuki islemlerin takibi hukuki evraklarla ilgili kontrol onay sureclerinin yurutulmesi sirket bunyesindeki ilgili departmanlarla koordineli calisilmasi talep edilen konularda hukuki gorus verilmesi sirket menfaatlerine ayni zamanda yasal prosedurlere uygun yonlendirmelerde bulunulmasi sirketin ucuncu kisilerle imzalayacagi sozlesme protokol hukuki baglayiciligi bulunan dokumanlarin usul esas yonunden uygun olarak hazirlanmasi veya incelenerek hukuki gorus uygunluk onayinin verilmesi sirketin faaliyet konusu sirketi ilgilendiren diger konular ilgili yururlukteki mevzuatin takip edilerek gerekli raporlamalarin hazirlanmasi mevzuat yuksek mahkeme kararlarini duzenli olarak takip edilmesi,avukat,hukuk_avukat
