genel_nit_is_tanimi,ilan_baslik,label
universitelerin bilgisayar muhendisligi bilgisayar programciligi ilgili bolumlerinden mezun derecede html javascript jquery benzeri tarayici tarafli kodlama uygulamalarinda gerekli bilgiye sahip front tasarimlarini yapabilen github kullanim tecrubesi olan typescript angular ustu programlarla uygulama gelistirebilen photoshop illustrator bilen responsive adaptive layoutlar konusunda deneyim sahibi tercihen primeng prime faces tecrubesi olan takim calismasina yatkin sorumluluk sahibi zaman yonetiminde basarili teknik dokumanlari anlayabilecek seviyede ngilizce bilen erkek adaylar icin askerlik hizmetini tamamlamis stanbul anadolu yakasi ikamet eden tanimi kartal lokasyonunda alan genel mudurlugumuzde gorevlendirilmek uzere yazilim departmanimizda projelendirme asamalarinda tecrubeleri katkida bulunacak mobile urun gelistirme asamasinda gorsel alanda etkin alabilecek arayuzleri yazabilecek yazilim ekibimizle koordineli sekilde gorev yapacak front developer takim arkadasi aranmaktadir,front developer,web_tasarim
hedefini dunyanin dort tarafinda hayata gecirmeyi amac edinmis google premier partneri olma ayricaligina sahibiz turkcell sabanci holdi gorta gibi turki onde gelen markalariyla yaptigimiz ortakliklari ulkemizin gelecegine vermeye adayiz dunyasinin dijital pazarlama olmalarini saglayip onlara yardimci olarak hayallerini gerceklestirmelerine katkida bulunuyoruz bizimle ayni heyecani duyan nami esnek uretken ortamda calismaya istekli takim arkadaslari ariyoruz benzer pozisyonda tecrubesi olan referans calismalar sunabilecek universitelerin tercihen bilgisayar muhendisligi bilgisayar programciligi veya ilgili bolumlerinden mezun servisleri konusunda uzman wordpress mysql konularinda deneyimli html javascript konularinda tecrubeli responsive arayuz hazirlamada tecrubeli guvenligi konularinda bilgi sahibi cozum odakli sorumluluk sahibi letisim becerileri guclu yaratici takim calismasina yatkin dijital pazarlama bakis acisina sahip olmak tanimi sirketimiz musteri ihtiyaclari dogrultusunda yeni sayfalari duzenlemek mevcut sayfalarinin icerigini duzenlemek veya yeni icerik eklemek mevcut sayfasi altyapilarini surekli gelistirerek yeni teknolojiler uyumlu hale getirmek sektordeki gelismeleri trendleri yakindan takip ederek yeni fikirler uretmek,yazilim uzmani,web_tasarim
universitelerin endustri muhendisligi sletme muhendisligi statistik isletme iktisat bolumlerinden mezun ticaret dijital pazarlama raporlama alaninda suresince benzer gorevde bulunmus raporlama veri analizi konusunda deneyimli dijital google analytic benzeri programlari analitik verilerine hakim raporlama aksiyon planlari olusturmada tecrubeli display reklam affiliate reklam mail pazarlama konularina hakim office uygulamalarina ileri derecede kullanabilen fayda maliyet analizi konusunda deneyimli butce yonetme tecrubesi olan surekli iyilestirme takip surec izleme yetenegi gelismis sonuc proje gelistirme odakli ekip calismasina yatkin bilgi ciktilarindan aksiyon uretebilme yetenegine sahip tanimi google analytics basta olmak uzere olcumleme araclarini kullanarak ticaret pazarlama departmani ihtiyaclarina uygun raporlarin hazirlanmasi yorumlanmasi dijital pazarlama stratejilerine rehberlik edecek trafik kanallarinin performanslarinin raporlandigi belirlenen lara uygun gosterge panellerinin hazirlanmasi takibinin yapilmasi gerekli birimlerinin raporlamalarin eksiksiz dogru alinabilmesi icin teknik uygulamalar konusunda departmanlarin yonlendirilmesi ziyaretci musteri davranislari alakali raporlarin eksiksiz dogru alinabilecegi yapinin hazirlanmasi,anali,web_tasarim
hedefini dunyanin dort tarafinda hayata gecirmeyi amac edinmis google premier partneri olma ayricaligina sahibiz turki onde gelen markalariyla yaptigimiz ortakliklari ulkemizin gelecegine vermeye adayiz bizimle ayni heyecani duyan nami esnek uretken ortamda calismaya istekli takim arkadaslari ariyoruz universitelerin tercihen bilgisayar muhendisligi bilgisayar programciligi veya ilgili bolumlerinden mezun benzer pozisyonda tecrubesi olan wordpress mysql konularinda deneyimli html konularinda tecrubeli responsive arayuz hazirlamada tecrubeli cozum odakli sorumluluk sahibi letisim becerileri guclu yaratici takim calismasina yatkin dijital pazarlama bakis acisina sahip olmak tanimi sirketimiz musteri ihtiyaclari dogrultusunda yeni sayfalari duzenlemek mevcut sayfalarinin icerigini duzenlemek veya yeni icerik eklemek mevcut sayfasi altyapilarini surekli gelistirerek yeni teknolojiler uyumlu hale getirmek sektordeki gelismeleri trendleri yakindan takip ederek yeni fikirler uretmek,junior yazilim uzmani,web_tasarim
tanimi html taslaklari gereksinimleri gerceklestirebilecek sayfalarinin browser performanslarinin artirici guncellemeler yapabilecek kendisine verilen gorevleri eksiksiz zamaninda yerine getirebilecek sorumluluga sahip analitik dusunebilen takim calismasina yatkin sitelerinin kurulmasini gelistirilmesini duzenlenmesini yapmak sirket uygulamalarin gelistirilmesinde aktif alma uygulamalari standartlara uygun olarak gelistirmek genel nitelikler front development alaninda deneyimli responsive adaptive tasarim konusunda tecrubeli html problemsiz sayfa gelistirebilen material bootstrap gibi frame worklere hakim frameworkler konusunda bilgi sahibi angular react jquery cross browser uyumlulugu konusunda deneyimli tasarim trendlerini mobil egilimlerini tarayici teknolojilerini uygulama tekniklerini yakindan takip eden literaturu takip edecek seviyede ngilizce bilgisi olan temel seviyede tasarim programlarini photoshop kullanabilen versiyon takip sistemi konularinda bilgi tecrubesi olan calisma saati hafta saatleri arasindadir,gelistirme uzmani,web_tasarim
danismanligini yaptigimiz enerji sektorunun oncu firmasinin yazilim gelistirme mudurlugu bunyesinde gorevlendirilmek uzere sirketimizin enerji piyasalarinin ihtiyac duydugu gelecekte duyacagi orta buyuk olcekli enerji piyasasi uygulamalarinin yuzlerinin tasarlanmasi prototiplerinin hazirlanmasi kurulmasi gelistirilmesi idamesi islemlerini cevik yazilim gelistirme metodolojileri ekip butunlugunde yapacak asagidaki niteliklere uygun deneyimli onyuz gelistirme kidemli uzmani uzman aramaktayiz aranan nitelikler universitelerin bilgisayar muhendisligi veya benzeri bolumlerinden mezun tabanli yazilim gelistirme konusunda tecrubesi olan uzman kidernli uzman konularinda ilgi sahibi react redux javascript teknolojileri konusunda bilgili tercihen tecrubeli tercihen primefaces teknolojileri konusunda tecrubeli analitik dusunebilen kendini gelistirmeye surekli ogrenmeye onem veren adaptasyon sorumlulugu takibi konusunda kendisine guvenen literaturu takip edebilecek seviyede ingilizce bilen etkili iletisim yetenegine sahip takim calismasina yatkin askerlik ilisigi bulunmayan,onyuz gelistirme uzmani,web_tasarim
front developer genel teli kler leri derecede html javascript jquery bootstrap bilgisine sahip guncel teknolojileri kullanarak mobilweb mobil uygulamalara uyumlu tasarim gelistirme hazirlanan tasarimi html formatinda ekip arkadaslarina iletebilecek standartlarinda yazabilen responsive tasarim kodlama yetisine sahip framework less sass konusunda bilgi sahibi cross browser cozumleri konusunda deneyimli kullanici deneyimi user experience kullanici arayuzu user interface tasarim prensiplerini bilen sorumluluk disiplini sahibi calismalari ilgili portfolyo sunabilecek tanimi firmamiz bunyesinde yapimina devam edilmekte projeleri kapsaminda ekip calismasina yatkin zamanli deneyimli ekip arkadaslari aramaktayiz lokasyon tophane,onyuz front yazilim gelistirme uzmani,web_tasarim
universitelerin ilgili bolumlerinden mezun seviyede html bilgisine sahip photoshop konusunda bilgi sahibi mobil uyumlu responsive arayuz kodlarini duzenleyebilecek tarayici uyumluluklari konusunda bilgili front development konusunda deneyimli literaturu takip edebilecek seviyede ngilizce bilgisine sahip yaratici hizli ureten insan iliskileri iletisimi guclu surekli kendini gelistirmeyi seven detaylarla ilgilenmekten sikilmayan erkek adaylar icin askerligini yapmis tecili bulunan tercihen stanbul anadolu yakasinda ikamet eden,front developer arayuz gelistirici,web_tasarim
universitelerin ilgili bolumlerinden mezun teknolojilerinde minimum tecrubeli entity framework framework konusunda deneyim sahibi katmanli yazilim mimarilerine hakim design patern solid prensiplerine hakim veritabani konusunda deneyimli service konularinda deneyimli tercihen core angular node elasticsearch bilen agile scrum kanban modelleriyle calismis erkek adaylar icin askerlik gorevini tamamlamis veya tecilli calisiyorsa dokunma prensibiyle yazmayan,senior developer,web_tasarim
front development alaninda deneyimli derecede html javascript sass jquery bootstrap kullanan smarty twig blade gibi template engine uzerinde calismis jquery konusunda bilgili tercihen proje gelistirmis frameworkleri laravel symfony bilgi sahibi mimarisi konusunda bilgi sahibi tasarim uygulamalari hakkinda bilgili photoshop sketch kreatif becerisi olan hosting konusuna hakim zmit ofisimizde calisacak zmit ikamet edebilecek calismalari ilgili portfolyo sunabilecek frontend developer arayisimiz bulunmaktadir tanimi turhost bunyesinde gelistirilmekte olan projeler icin gelistirilmelerinin yapilmasi,frontend developer,web_tasarim
