,genel_nit_is_tanimi,ilan_baslik,label
0,kaynak hizmeti saglama konusunda dunya sampiyonu olan ekiple tanisin turkiye olarak asan aile uyemiz stanbul genel mudurluk ankara antalya bursa zmir subeleri adana gaziantep eskisehir denizli bolge ofislerinde fazla musteriye noktada temizlik guvenlik teknik bakim catering camasirhane yonetimi bitki bakimi hasere kontrolu destek hizmetler hizmeti sunuyor sektordeki lider konumumuzla buyumeye devam ediyoruz olarak bizi ozel kilan kuresel deneyim yenilikci teknolojiler endustriye veren surecler gibi ancak basarimizin gercek sirri motivasyonu yuksek esnek calisma kapasitesine sahip sicakkanli ekibimizde yatar kisilik ailemizin uyesi nsani dokunusun gucu ilkesinden aldigi ilhamla musterilerin ihtiyaclarini kavriyor onlarla empati kuruyor islerin puruzsuz yurumesi icin gucuyle calisiyor sizde buyuk ailenin parcasi olmak istiyorsaniz basvurularinizi bekliyoruz turkiye konya bulunan projemizde gorevlendirilmek uzere hasta zmetleri yoneti aramaktadir tanimi hastane lokasyonlarinda deneyimli hastane ortaminda ekip yonetebilecek nsan iliskileri kuvvetli baski stres ortaminda calisabilecek hasta yonlendirme resepsiyon posta mefrusat tibbi malzeme numune tasima operasyonlarini koordine edip yonetebilecek office programlarina hakim derecede ngilizce bilen diksiyonu duzgun konya ikamet eden,hasta hizmetleri muduru,hasta_hizmetleri
1,lise mezunu tercihen saglik sektorunde benzer pozisyonda deneyimi olan hasta memnuniyetine odakli letisim ikna becerisi yuksek takip yonu kuvvetli cozum odakli guler yuzlu kisisel bakimina dikkat eden,hasta danismani,hasta_hizmetleri
2,lise mezunu saglik sektorunde benzer pozisyonda deneyimli ozel saglik sigortalari anlasmali kurumlar sureclerine hakim office uygulamalarini aktif kullanabilen yogun temposuna ayak uydurabilecek hasta iletisimine onem veren guler yuzlu pozitif cozum odakli,hasta kabul gorevlisi,hasta_hizmetleri
3,bircok ilklerin yasandigi medipol mega hastaneler kompleksi universite hastanesi olmasinin yani sira bunyesinde bulunan genel onkoloji kalp damar cerrahisi hastaneleri turkiye fazla brans sayisina sahip hastanesi olma ozelligini tasimaktadir medipol universitesi hastanesi medipol mega hastaneler kompleksi sahip oldugu guclu hekim akademik kadro iyilestiren hastane mimarisi akilli bina teknolojisi ileri tibbi donanimi ulusal uluslararasi alanda onemli referans merkezidir medipol egitim saglik grubu turkiye deki hakli gururu olan medipol mega hastaneler kompleksi dunyadan hasta kabul edebilen hizmet akademik akreditasyonu almis bebek dostu saglik kompleksidir nsanin onemli degerlerinden biri olan saglik ileri teknolojiyi kullanarak butuncul kalite anlayisi genis kitlelere saygideger hizmet vermek isteyen calisma arkadaslarini aramizda gormek istiyoruz lisans tercihen lisans mezunu planlama organizasyon yetenegi gelismis etkili iletisim kurabilme becerisine sahip hasta hasta yakini psikolojisini onemseyen hizmet sunumunda hasta memnuniyetini gozeten ekip ruhu tasiyan yogun calisma temposuna uyum saglayabilen analitik hizli dusunme yetenegine sahip gorunusune kisisel bakimina ozen gosteren erkek adaylar icin askerlik hizmetini tamamlamis sigara tutun mamulleri kullanilmamasi tercih sebebidir tanimi kurumumuza gelen misafirlerimizin oncelikli hizli hizmet almalari neticesinde kendilerini ayricalikli hissetmelerine katki saglamak hastalarimizin turlu randevu poliklinik sureclerini planlamak takiplerini yapmak eksiksiz olarak sonuclanmasini saglamak hastanede sunulan hizmetler hakkinda hasta hasta yakinlarinin sorularini cevaplandirmak hastanenin anlasmali oldugu kurum sigorta sirketleri hakkinda hastalara bilgi vermek hasta danismani,hasta danismani,hasta_hizmetleri
4,yedikule surp pirgic ermeni hastanesinde gorevlendirilmek uzere tercihen lisans mezunu saglik sektorunde tecrubesi olan hasta hasta yakinlarinin memnuniyetine onem veren tercihen ermenice bilen sunum temsil ikna yetenegi gelismis gorunusune kisisel bakimina ozen gosteren office word excel powerpoint programlarina hakim sigara kullanmayan hasta danismani alinacaktir,hasta danismani,hasta_hizmetleri
5,lise mezunu yeni mezun icinde sigorta girisi olmayan skur projesiyle calisabilecek saret dili bilen medipol kariyer hedefleyen planlama organizasyon yetenegine sahip haftanin alti gunu esnek calisma modeline gore calisabilecek etkili iletisim kurabilme becerisine sahip hizmet sunumunda hasta memnuniyetini gozeten yogun calisma temposuna uyum gosterebilecek analitik hizli dusunme yetenegine sahip gorunuse kisisel bakimina ozen gosteren stanbul avrupa yakasinda ikamet eden edebilecek sigara kullanmayan tanimi kurumumuza gelen misafirlerimizin oncelikli hizli hizmet almalari neticesinde kendilerini ayricalikli hissetmelerine katki saglamak hastalarimizin turlu randevu poliklinik sureclerini planlamak takiplerini yapmak eksiksiz olarak sonuclanmasini saglamak hastanede sunulan hizmetler hakkinda hasta hasta yakinlarinin sorularini cevaplandirmak hastanenin anlasmali oldugu kurum sigorta sirketleri hakkinda hastalara bilgi vermek saret dili bilen hasta danismani,hasta danismani saret,hasta_hizmetleri
6,uluslararasi asistans medikal seyahat teknik yardim saglik turizmi musteri liskileri yonetimi alanlarinda turkiye eski onde gelen sirketlerinden remed assistance olarak stanbul maslak ofisi mizde gorev alacak asagidaki ozelliklere sahip uluslararasi faturalama uzman yardimcisi arayisimiz mevcuttur genel teli kler universitelerin ilgili lisans bolumlerinden mezun leri duzey ngilizce bilen office excel word programlarina hakim tercihen mikro deneyimi olan takip etme problem cozme sorgulama arastirma yetenegine sahip analitik dusunebilen etkin iletisim kurabilen takim calismasina yatkin sonuc odakli onceliklendirme planlamasi yapabilen erkek adaylar icin askerligini tamamlamis tanimi hastane faturalarinin kontrol edilmesi sisteme kaydedilmesi sigorta sirketlerinin kontrolu faturalandirma islemleri faturalandirmaya raporlarin sisteme islenmesi gelir faturalarinin duzenlenmesi hastaneler diger iliskide bulundugumuz kurumlarla iliskide bulunulmasi saglik kuruluslarindan ilgili fatura talebinde bulunulmasi finans hizmetlerine iliskin kayit belgelerin ilgili mevzuatta belirtilen surelerle muhafaza edilmesi denetime hazir bulundurulmasi gerekli durumlarda bagli bulundugu departmana destek verilmesi,uluslararasi faturalama uzman yardimcisi,hasta_hizmetleri
7,turkiye saglik sektorunde basarili gecmise sahip medipol saglik grubu kadikoy hizmet veren medipol hastanesi gorevlendirilmek uzere tercihen lisans mezunu saglik sektorunde hasta kayit kabul pozisyonunda calismis ozel saglik sigortasi anlasmali kurumlar bilgisine sahip yenilige ogrenmeye acik gorunumune kisisel hijyenine onem veren lgili alanda deneyimli takim calismasina yatkin office programlarina hakim hasta hasta yakinlariyla etkili iletisim kurabilen ayni zamanda empati kurma becerisine sahip hasta memnuniyetine onem veren vardiyali calisabilicek sabirli guler yuzlu dinamik anadolu yakasinda ikamet eden hasta kayit kabul gorevlisi tanimi kurumumuzun verdigi hizmetlerinden faydalanmak uzere gelen hastalara gerekli bilgileri aktaracak hastalarin kabul islemleri icin gerekli hazirliklari tamamlayacak hizmetlerimizden faydalanan faydalanacak hastalarin odemesini alacak faturasini kesecek hastanin odemesiyle ilgili evraklarin eksiksiz oldugunu kontrol ederek teslim edecek sonunda ilgili bolume kasa teslimi yapacak,hasta kayit kabul gorevli,hasta_hizmetleri
8,universite veya meslek yuksekokul mezunu tercihen saglik sektorunde deneyimli office programlarini kullanabilen nsan iliskilerinde basarili ekip calismasina yatkin prezantabl tanimi hasta verilerinin gunluk olarak ilgili sisteme girilmesi merkeze basvuran hasta hasta yakinlarinin karsilanmasi randevu verilmesi tetkik icin bekleyen hastalarin takibinin yapilmasi bilgi verilmesi kurum evraklari duzenlenerek gunluk kasanin tutularak muhasebe islemlerinin yapilmasi bolume arac gerec ekipmanlar eksikliklerin belirlenerek bagli bulundugu yoneticinin onayini alarak kullanilan sistem uzerinden talep yapilmasinin saglanmasi bilgi istem formlari raporlarin arsivlenmesinin saglanmasi,hasta kabul yetkilisi,hasta_hizmetleri
9,lise veya onlisans mezunu tercihen hasta bakimi konusunda tecrubeli hasta hasta yakinlarinin memnuniyetini isinin asamasinda planda tutabilecek ekip calismasina yatkin vardiyali calisabilecek tanimi,hasta bakici anadolu yakasi,hasta_hizmetleri
