,genel_nit_is_tanimi,ilan_baslik,label
0,tercihen universitelerin endustri muhendisligi bolumunden mezun tercihen microsoft axapta ilgili yazilim destegi verme konusunda tecrubeli programlari konusunda kendisini gelistirme hedefi bulunan analizi surec metodolojileri konusunda bilgi sahibi ofis programlarina hakim sonuc odakli takim oyuncusu kaynaklari etkin verimli kullanabilen letisim becerileri gelismis sistematik surec bazli calisma aliskanligini olan analitik dusunme problem cozme yetkinligine sahip kendini gelistirmeye ogrenmeye istekli erkek adaylar icin askerlik hizmetini tamamlamis tanimi microsoft axapta programi uzerinde sirket fonksiyonlarinda kullanilan modullerin destegini vermek kullanicidan gelen taleplerin analiz edip yazilim ekibine aktarmak yeni gelistirmelerin test edilerek kullanici dokumanlarinin hazirlamak sureclerde iyilestirme gereken konularin tespit edilmesi surec verimliliginin artirilmasiyla ilgili gorev almak,analisti,is_analizi_raporlama
1,deloitte provides audit consulting risk advisory financial advisory services public private clients spanning multiple industries with globally connected network member firms more than countries territories deloitte brings world class capabilities high quality service clients delivering insights they need address their most complex business challenges deloitte more than professionals committed becoming standard excellence seeking event marketing analyst following qualifications minimum years experience especially knowledge best practices events marketing excellent command both written spoken english turkish strong written verbal communication skills very strong proficiency word excel reporting excel event digital social media development creative media department experiences will assets event email marketing experience will asset dynamic results oriented problem solving skills analytical structured thinking with ability develop multi faceted plans budgets very strong team player able work independently flexible proactiv effective management time ability work under pressure builds understanding purpose values explores opportunities impact understands their daily work contributes priorities team business military service must completed male candidates description creative competent event marketing mail announcements digital media communicating events internally externally planning announcing events taking offers from suppliers event planning following process coordinating internal communication order inform related departments about event contents planning company events beforehand supporting operational proceses guiding other related departments managing communication between company guests coordinating preparation process before event solving potential problems taking offers from suppliers planned events preparing vendor contracts following offer process promoting events inside company through social media mail other internal communication channels assisting event announcement process following preparation process printed visuals other materials following participant profiles before after event conducting event success inventories evaluating them,event marketing analyst,is_analizi_raporlama
2,etiya uluslararasi standartlarda musteri deneyimini esas alan yapay zeka destekli dijital donusum uygulamalari gelistiren kitada askin calisani global teknoloji sirketidir etiya musteri yolculugunun adimlarini izlenebilir yonetilebilir hale getirerek kurumlarin veri odakli karar alma yapilarini guclendirir etkin cevik aksiyon almalarina yardimci olur kurumlarin musteri deger yonetimine gecmesini onceliklendiren etiya yapay zeka veri analitigi musteri yonetimi yeteneklerini rekabet kaldiraci olarak kullanir tamamen dijital surdurulebilir modeli insa edebilmelerini mumkun kilar hollanda kanada turkiye ukrayna singapur deki ofisleriyle hizmet vermeyi surduren etiya urun cozumleri dunya capinda bagimsiz kuruluslar tarafindan bircok odule layik gorulmustur surekli inovasyon gelisim odaginda kurumsal degerleri esas alan etiya calisanlarinin daha ileriye gitmelerini amaclar eger yenilikci cevik cesur hayalperest oldugunu dusunuyorsan yenilik tutkunu cevik hareket eden cesaretle beslenen lider teknoloji sirketinde calismak istiyorsan basvurunu bekliyoruz yillik tecrubeye sahip olmak kullanici arayuzu modelleme uygulamasi kullaniminda bilgi sahibi olmak yazilim gereksinim dokumani hazirlama konusunda tecrube sahibi olmak modelleme konusunda tecrube sahibi olmak proje analiz dokumanlari hazirlama konusunda tecrube sahibi olmak surec modelleme uygulamalari hakkinda tecrube sahibi olmak tanimi pozisyonda alacak kisi musteri lokasyonunda gorev yapacaktir,anali ankara,is_analizi_raporlama
3,universitelerin muhendislik bilgisayar endustri matematik yonetim bilisim sistemleri veya esdeger bilisim ilgili lisans bolumlerinden mezun analizi surec metodolojilerine hakim benzeri pozisyonda yazilim projelerinde gorev almis derecede ngilizce bilen tercihen veya diger programlari hakkinda bilgi sahibi liskisel veritabani bilgisine sahip sorgulamalari yapabilen tercihen yazilim gelistirme tecrubesine sahip tercihen microsoft office programlarindan access veya excel hakim tercihen sektorunde deneyimli uygulamalari gelistirme surecinde bulunmus karsilastigi problemleri analiz edip sistematik cozum uretebilen mevcut sureclerin iyilestirmesinde aktif alabilecek kullanicilardan gelecek olan sorulara yardimsever egitici cevaplar verebilen tanimi analisti kullanicilarina alanlarinda gelecek problemlere destek hizmeti verilmesi kullanici bakimlarinin yapilmasi egitim dokumantasyon hazirlanmasi kullanicilarimizdan gelen gelistirme taleplerinin degerlendirilmesi onem boyut olarak olceklendirilmesi partnerler proje bazli veya dogrudan yazilim taleplerimizin yonetilmesi yapilan gelistirmelerin kullanicilar birlikte testlerinin yapilmasinin saglanmasi calisma gruplarinin organize edilmesi sirketin surecleri ilgili bilgi sahibi olup yeni fikirler uretilmesi yonetimin istedigi raporlarin sonuclarina ulasacak yapilarin tasarlanmasi access excel power microsoft gibi firmalarin urunleri icin sureci etkileyen durumlarda egitim planlanmasi dokumantasyon yapilmasi,analisti,is_analizi_raporlama
4,nitelikler universitelerin endustri muhendisligi bilgisayar muhendisligi sletme muhendisligi matematik sistem muhendisligi veya ilgili bolumlerinden mezun benzer pozisyonda deneyime sahip uygulamalari android teknolojileri iliskisel veritabanlari hakkinda bilgi sahibi office programlarini kullanabilen yazilim gelistirme sureclerine gereksinim belirleme tasarim kodlama entegrasyon test kurulum bakim proje yonetim metodolojilerine hakim yazilim test surecleri metodlari konusunda bilgi sahibi literaturu takip edecek seviyede ngilizce bilgisine sahip erkek adaylar icin askerligi tamamlamis veya tecil hakkina sahip olmak tanimi gelen hata taleplerin onceliklerini belirleyerek gereksinimlerini cikarmak yazilim gelistirme test ekibi gerekli koordinasyonda calisarak projenin asamalarinda bilgi aktarimi destegi saglamak gereksinim dokumanlarinin kullanici senaryolarini surece uygun hazirlamak gelistirilmesi tamamlanan taleplerin uygulamaya gecmeden once fonksiyonel testlerini yaparak musteri gereksinimleri uygunlugunun saglanmasi sirket profili yazilim bilgi teknolojileri sirketi havacilik alaninda havayollari havalimanlari sivil havacilik otoritelerine ozel urunler cozumler sunmaktadir ilgilenen adaylara tesekkur ederiz sadece ilgilenilen adaylar iletisime gecilecektir,analisti,is_analizi_raporlama
5,universitelerin yonetim bilisim sistemleri yazilim muhendisligi bilgisayar muhendisligi matematik statistik bolumlerinden mezun analizi sistem analizi rollerinde uzeri deneyimi olan surec analizi raporlama konularinda deneyimli yazilim testleri test senaryolari konularinda deneyimli analitik dusunme yetkinligine sahip iletisimi kuvvetli sorumluluk sahibi olan ekip liderligi konusunda deneyimli takim calismalarina uyumlu tanimi acerpro deneyimli kadrosu yilindan beri ulusal uluslararasi banka sigorta sirketlerine yuksek teknoloji cozumleri uretmektedir acerpro ailesine katilmak uzere yazilim gelistirme ekibi verilmek uzere fonksiyonel tasarim dokumanini standartlari surec anlatimlari hata uyari yonlendirme durumlarini diger moduller etkilesimlerini fizibilitesini dikkate alarak detayli hizli sekilde hazirlamak guncelligini saglamak yazilim gelistirme ekibi beraber calisarak sureclerin anlasilabilirligini saglamak yazilim gelistirme ekibi tarafindan gelistirilen yazilimin prototipini incelemek konuda yazilim ekip lideri bilgilendirme kullanici kitaplarini isin tanimi uyulmasi gereken kurallar hata mesajlari cercevesinde hazirlama hazirlanmasini koordine etme birimleri iliskileri gelistirmek zenginlestirmek beklentilerini proaktif sekilde yonetmek memnuniyet seviyelerini izlemek olcumleri paylasmak kendilerine cozum onerileri sunmak birimlerinden gelen taleplerin sistematik olarak alinmasini analizlerinin yapilmasini dokumante edilmesini degerlendirilmesini onceliklerin belirlenmesini programlara veya projelere donusturulmesini hayata gecirilmesini devredilmesini takip etmek raporlamak yazilim test stratejilerini kullanici kabul testi zincirini gelistirmek uygulamak sorumlulugu altinda olan uygulamalarla ilgili olarak kullanicilara olay problem cozum destegi vermek ekiple yurutulen projelerde teknik proje yonetimini yapmak ekipler arasinda koordinasyonu saglamak uzere analistlerini ariyoruz,analisti,is_analizi_raporlama
6,universitelerin ekonometri endustri muhendisligi sletme muhendisligi sletme matematik veya statistik bolumlerinden mezun tercihen yapmis ayni veya benzer sektorde planlama analiz alaninda deneyim sahibi office uygulamalarini etkin olarak kullanan derecede yazili sozlu ngilizce bilgisine sahip konusunda bilgi deneyim sahibi analitik yetkinliklerini kullanarak parcalari birlestirebilen leri derecede zekasina finansal zekaya sahip derecede sayisal analiz yetenegi olan detaylara ozen gosteren senaryo planlama icin model tasarlayabilecek hedef belirleyebilecek yaratici varsayim onerilerle analiz surec yonetimini saglayabilecek gunluk detaylara guclu hakimiyetin yaninda buyuk resmi gorerek riskleri ongorulerde bulunacak sirket icindeki seviyedeki pozisyonlarla iletisim kurabilme yetenegi olan kendine guvenen bagimsiz zaman baskisi altinda calisabilen bilgi deneyimini genis sekilde paylasabilme guvenine sahip erkek adaylar icin askerligini yapmis tercihen stanbul avrupa yakasinda ikamet eden yeri beylikduzu ndedir tanimi urun musteri segmenti bazinda detayli satis karlilik hizmet verme maliyet analizlerinin gerceklestirilmesi iyilestirme alanlarinin belirlenerek raporlanmasi faaliyette bulunulan ulke segmentler bazinda butce calismalarinin yurutulmesi analizlerle ulusal uluslararasi performansin takip edilmesi satis pazarlama stratejilerinin belirlenmesi icin raporlarinin olusturulmasi yonetici degerlendirmesine sunulmasi what analizleri trend analizleri tahminleme analizleri business intelligence raporlarinin hazirlanmasi kampanya stratejilerinin yonlendirilmesi icin urun musteri analizlerinin gerceklestirilmesi satis hedeflerinin gerceklestirilmesine yonelik kampanya hesaplamalarinin yapilarak sisteme tanimlanmasi pazarlama stratejilerinin degerlendirilmesine yonelik analizlerin yapilmasi fiyatlama urun tanitimlari konusunda platformuna destek verilmesi rakiplerin pazardaki davranislarini inceleyerek rakip fiyat butce fiili analizleri gelecek ongorulerini hesaplanmasi,stratejik pazarlama analisti,is_analizi_raporlama
7,universitelerin ilgili bolumlerinden mezun tercihen endustri muhendisligi gorev alani ilgili deneyimi olan leri seviyede ngilizce bilen temel programlama algoritma iliskisel veri tabani mimarisi uretim urun gelistirme seri uretim surecleri hakkinda bilgi sahibi olan office programlarini programini seviyede kullanabilen planlama onceliklendirme organizasyon iletisim yeteneklerine sahip takim calismasina yatkin iletisim yonu kuvvetli stanbul anadolu yakasinda veya kocaeli bolgesinde ikamet eden edebilecek tanimi farplas yurt icinde yurt disinda uretim yapan basta toyota renault hyundai ford tofas fiat olmak uzere otomotiv sanayi firmalarina uretim tesisinde kisilik calisaniyla arac disi trim plastik parcalarin urun gerceklestirme surecinin tasarim gelistirme kalip proje yonetimi seri uretim satis sonrasi destek tamaminda cozum ortagi olarak hizmet etmektedir farplas buyuyen organizasyonunda analisti olarak calisacak takim arkadasi ariyor otomasyon sistemleri ilgili talepleri degerlendirerek cozum uretmek surec tasarimlarina uygun test senaryolarinin hazirlamak yazilim cozumlerinin senaryolara uygun sekilde test etmek dokumantasyonunu olusturmak test surec metotlarin diger cozum gelistirme surecleri entegre etmek danismanlar birimleri arasinda iletisim koordinasyonu saglamak sistemlerdeki hatalar ilgili gerekli aksiyonlari alip hata analizi yapabiliyor olmak otomasyon sistemleri sistemleri arasindaki entegrasyonlarin analizini yapmak,analisti,is_analizi_raporlama
8,genel teli kler universitelerin ilgili bolumlerinden mezun yazilim gelistirmeyle ilgili islerde tecrube sahibi yazilim gelistiricisi veya analist olarak daha once calismis derecede ngilizce bilen advanced tanimi yurtici yurtdisi musterilerimiz icin gelistirilecek gelistirilmekte olan yazilimlarimizin analiz entegrasyon surec gelistirme gorevlerinde calisacak yazilim gelistirme surecleri kapsaminda fonksiyonel analiz arayuz tasarimi dokumantasyon calismalarini yapmak yazilim cozumlerinin belirlenmesi sureci kapsaminda ihtiyaclarina karsilik gelen teknik ihtiyaclari belirlemek fizibilite calismalarini yapmak guvenlik kontrol ihtiyaclarini fizibilite asamasinda degerlendirmek yazilim gelistirme test sureci kapsaminda test senaryolari olusturmak uygulamak analiz arayuz tasarimi test senaryo dokumanlarini arsivlemek kullanici kabul testi icin kollari gerekli koordinasyonu saglamak uygulamalarin kullanim kilavuzlarini egitim dokumanlarini olusturmak problem yonetim sureci kapsaminda kullanicilar tarafindan iletilen problemleri incelemek kaynagini tespit etmek cozum icin ilgili gruplari bilgilendirmek yazilim muduru tarafindan verilecek gorevler kapsaminda yeni gelisecek surecleri yazilim sonuclarini analiz etmek,yazilim analizi uzmani sisli,is_analizi_raporlama
9,tanimi,analisti,is_analizi_raporlama
