,genel_nit_is_tanimi,ilan_baslik,label
0,universitelerin makina cevre kimya elektrik muhendisligi bolumunden mezun calisma sosyal guvenlik bakanligi tarafindan verilen sinifi uzmaniligi belgesine sahip uretim sektorunde tecrubeli tercihen cevre atik yonetimi mevzuatina hakim mevzuatina uluslararasi uygulamalarini bilen office derecede kullanabilen disiplinli sistemli raporlu calismayi benimseyen ngilizce bilen takim calismasina yatkin erkek adaylar icin askerlik gorevini tamamlamis olan tanimi fabrikada yapilan calismalar revizyonlar kapsaminda tasarim makine diger techizatlarin durumu bakimi secimi kullanilan maddelerin acisindan uyumunun degerlendirilmesi larin secimi temini kullanimi bakimi test edilmesi icin isverene onerilerde bulunmak sagligi guvenligiyle ilgili alinmasi gereken tedbirleri isverene yazili olarak bildirmek olay kaza ramak kala meslek hastaliklarinin nedenlerinin arastirmasini yapmak duzenleyici onleyici faaliyetleri planlamak sagligi guvenligi yonunden risk degerlendirmesi yapilmasiyla ilgili calismalara uygulanmasina katilmak risk degerlendirmesi sonucunda alinmasi gereken saglik guvenlik onlemleri konusunda isverene onerilerde bulunmak takibini yapmak syerinde sagligi guvenligi mevzuati geregi yapilmasi gereken periyodik bakim kontrol olcumleri planlamak uygulamalarini kontrol etmek syerinde dogal afet kaza yangin veya patlama gibi durumlar icin acil durum eylem planlarinin hazirlanmasi calismalarina katilmak periyodik egitimlerin tatbikatlarin yapilmasini saglamak calisanlarin sagligi guvenligi egitimlerinin ilgili mevzuata uygun olarak planlanmasi konusunda calisma yaparak isverenin onayina sunmak uygulamalarini yapmak veya kontrol etmek calisma ortamiyla ilgili sagligi guvenligi calismalari calisma ortami gozetim sonuclarinin kaydedildigi yillik degerlendirme raporunu isyeri hekimi isbirligi halinde hazirlamak sagligi guvenligi talimatlari calisma izin prosedurlerini hazirlayarak isverenin onayina sunmak uygulamasini kontrol etmek taseron taseronlarin performansini iyilestirmeye yonelik calismalarda bulunmak rehberlik etmek acisindan taseron taseron yonetiminden sorumlu olmak,guvenligi uzmani sinifi,is_guvenlik_ve_saglik
1,general qualifications description searching chief recruited africa based projects bachelor degree engineering preferably civil engineering environmental engineering obstacle travelling african countries minimum years post graduate experience have experience high floor buiildings possess depth knowledge standards government policies procedures effective building good working relationships with client subcontractors project team members knowledge integrated management systems ohsas qualification nebosh iosh class above class occupational health safety certificate description advise guide support managers implementation health safety practices both site within office environment ensure training programs developed modified implemented required prepare develop overall project plan effectively monitor adherence guidelines policies procedures during project lifecycle conduct daily weekly site inspections prepare maintain relevant logs documentation ensure that appropriate health safety training delivered monitor policies procedures report areas where improvement required review violations monitor trends provide advice close violations responsible that employment medical check carried properly workers medically before they deputed site required client,qhse chief,is_guvenlik_ve_saglik
2,genel teli kler ilkokul mezunu ameliyathane yardimci saglik personeli hasta bakimi pozisyonunda deneyimli vardiyali sistemde calisabilecek kisisel bakimina ozen gosteren hastalarin kisisel bakimiyla ilgilenecek ekip calismasina uyumlu tanimi hasta transferlerinde hastalarin tasinmasina yardim edilmesi hasta bakimi pozisyon degisimi sirasinda hemsireye destek verilmesi hasta bakicisi,yardimci saglik personeli,is_guvenlik_ve_saglik
3,genel teli kler ilkokul mezunu ameliyathane yardimci saglik personeli hasta bakimi pozisyonunda deneyimli vardiyali sistemde calisabilecek kisisel bakimina ozen gosteren hastalarin kisisel bakimiyla ilgilenecek ekip calismasina uyumlu tanimi hasta transferlerinde hastalarin tasinmasina yardim edilmesi hasta bakimi pozisyon degisimi sirasinda hemsireye destek verilmesi hasta bakicisi,yardimci saglik personeli,is_guvenlik_ve_saglik
4,guvenli uzmani hizmet verilen fabrikalarda gorevlendirilmek uzere universitelerin muhendislik bolumlerinden mezun veya sinifi guvenligi uzmanligi belgesine sahip office programlarini derecede kullanabilen mevzuat yonetmelik saha uygulamalarina hakim calisanlara egitim verebilecek sorumluluk sahibi risk degerlendirme metodolojilerine hakim zmir ikamet eden veya edebilecek surucu belgesine sahip aktif olarak arac kullanabilen deneyimli lutfen belge sinifinizi yazi belirtiniz sinifi branstan adaylar degerlendirilecektir tanimi aylik kurul toplantilarinin duzenlenmesi risk analizi acil eylem plani calismalarinin yurutulmesi sagligi guvenligi egitimlerinin verilmesi sahada denetimlerinin duzenlenerek raporlanmasi mevzuati geregince yapilmasi gereken yasal yukumluluklerin yerine getirilmesi,guvenligi uzmani,is_guvenlik_ve_saglik
5,kocaeli fabrikamiz guvenligi birimimiz icin donemsel calisacak guvenli uzmani aranmaktadir genel teli kler universitelerin tercihen muhendislik fakultelerinden mezun agir tehlikeli isler kapsamindaki isletmelerde tecrubesi bulunan tercihen ngilizce bilen sinifi guvenligi sertifikasina sahip sagligi guvenligi konularinda yasal mevzuata hakim saha denetim sureclerinde aktif olarak gorev alabilecek analitik dusunebilen office programlarina hakim ekip calismasina yatkin letisim yonu kuvvetli tanimi risk analizi acil eylem plani calismalarinin yurutulmesi sahada guvenligi denetimlerinin duzenlenerek raporlanmasi mevzuati geregince yapilmasi gereken yasal yukumluluklerin yerine getirilmesi kaza oncesi onleyici calismalarin saglanmasi kaza sonrasi neden analizlerinin gerceklestirilmesi aksiyon planlarinin takip edilip tamamlanmasi,guvenli uzmani donemsel,is_guvenlik_ve_saglik
6,projelerimizde gorevlendirilmek uzere asagidaki niteliklerde guvenligi uzmanlari aramaktayiz tercihen yuksek katli bina yapi projelerine yonelik risk degerlendirmesi saha uygulamalari calismalarina katilmis uzmani icin uzmani icin deneyimli lgili sinifin guvenligi uzmanligi sertifikasi olan aktif olarak kullanabilen sagligi guvenligi mevzuat yonetmeliklerine hakim sagligi guvenligi konularinda calisanlara gerekli egitimleri verebilecek gunluk guvenligi cevre saha denetimlerini yapip raporlayabilecek ohsas yonetim sistemleri uygulamalari hakkinda bilgi sahibi office programlarina bilgisayar kullanimina derecede hâkim gerekli raporlamalari bilgisayar ortaminda yapabilen nsan iliskileri iletisimi kuvvetli organize olabilen sonuc odakli calisabilen erkekler adaylar icin askerlik hizmetini tamamlamis,guvenligi uzmani,is_guvenlik_ve_saglik
7,osgb bunyesinde gorevlendirilmek uzere asagidaki ozelliklere sahip veya sinifi guvenligi uzmani arayisimiz bulunmaktadir universitelerin ilgili bolumlerinden mezun csgb onayli veya sinifi guvenligi uzmani sertifikasina sahip mevzuati yonetmeliklere hakim ekip calismasina yatkin disiplinli sorumluluk sahibi nsan iliskilerinde basarili guler yuzlu hizli dogru karar verme yetisine sahip analitik bakis acisina hizli problem cozme yetenegine sahip erkek adaylar icin askerligini tamamlamis teli kler kapsamindaki kanun yonetmelikleri takip ederek kanun yonetmelikler dogrultusunda gerekli calismalari yapmak yapilmasini saglamak sveren koordineli calisarak risk analizi yapmak acil durum eylem plani olusturmak egitimleri vermek firma gerekli prosedurleri yerine getirmek guncellemek uygulanmasini saglamak gerekli bildirim raporlama sureclerini olusturmak saha kontrollerini gerceklestirerek sonuclari raporlamak takip etmek,guvenligi uzmani,is_guvenlik_ve_saglik
8,egitim verme tecrubesine sahip takim calismasina yatkin letisim becerileri guclu planlama raporlama becerileri gelismis office derecede kullanabilen nsan iliskilerinde basarili letisim becerileri yuksek sagligi guvenligi ilgili yasal mevzuatlara hakim saha uygulamalari konusunda deneyimli aktif arac kullanabilen guvenligi uzmanlari aramaktayiz sorumlulugunu tasidigi projelerde isyerinin butun bolumlerinde sagligi guvenligi mevzuatina genel guvenligi kurallarina uygun olarak faaliyetlerin yurutulmesini saglamak guvenligi ilgili faaliyetlerin takibini yapmak gorevi geregi isyerinin butun bolumlerinde sagligi guvenligi konusunda inceleme arastirma yapmak gerekli bilgi belgelere ulasmak calisanlarla gorusmek hizmet vermis oldugu firmalara yonelik guvenligi egitimi risk degerlendirme acil durum plani danismanlik hizmetlerini yurutmek risk degerlendirme sonuclarini dikkate alarak veya yakin tehlike durumlari kazalarin potansiyelini tanimlayan bunlara iliskin risklerin nasil onlenecegini gosteren acil durum planlarini hazirlamak,guvenligi uzmani,is_guvenlik_ve_saglik
9,medikal ortak saglik guvenlik birimi olarak sirketlerin ozel saglik guvenlik plani ihtiyaclarina uygun ilerici kalici cozumler uretmek konusunda onemli deneyim bilgi birikimini barindiran insan hayatinin dunyadaki tartismasiz degerli unsuru olmasi ilkesine bagli turkiye lider osgb sidir genel mudurluk ekibi toplam sayisi gunden gune artmakta olan uzerinde deneyimli nitelikli kadrosu sagligi guvenligi ekibi turkiye ilinde zamanli koordineli sistem icerisinde sagligi guvenligi hizmetlerini sunmaktadir tehlike siniflarina uygun hizmet verebilme kapasitesinde olan turkiye onde gelen holding buyuk olcekli firmalarinin cozum ortagi olma basarisina sahip osgb sirketidir sirketlerin faaliyet alanlarina yonelik hava deniz limani tershane kampus sanayi kompleksi banka alisveris merkezleri yogun yasam alanlarinda sagligi guvenligi hizmetlerinde kapasitelerine uygun sundugu hizmet cesitlilikleri yerinde etkin kalici cozumler sunan surdurulebilir hizmet anlayisina sahip lider markalarin tercih ettigi osgb sirketidir zmir hizmet verdigimiz firmamizda gorevlendirmek uzere gorev tanimi sagligi guvenligi ilgili ulusal uluslararasi mevzuat standartlar sirket standartlar dogrultusunda gerekliliklerin gerceklestirilmesi mevcut sistem uygulamalarinin gelistirilmesi sayili sagligi guvenligi kanunu guvenligi uzmanlarinin gorev yetki sorumluluklari hakkinda yonetmelik ilgili diger mevzuatlar kapsamindaki gorevlerin gerceklestirilmesi rehberlik risk degerlendirme calisma ortami gozetimi egitim bilgilendirme kayit lgili birimlerle sbirligi calismalarin takip edilmesi raporlanmasi kulturunu arttirici faaliyetlerin gerceklestirilmesi syeri hekimi diger saglik personelleri koordineli calisilmasi sagligi guvenligi ilgili yapilan calismalarin datalarinin yazilimina kaydinin yapilmasi genel nitelikler universitelerin muhendislik fakultelerinden mezun tercihen kimya muhendisligi makine muhendisligi nsaat muhendisligi cevre muhendisligi metalurji muhendisligi sinifi guvenligi uzmanlik sertifikasina sahip sagligi guvenligi ilgili mevzuat gerekliliklere hâkim dogrultudaki uygulamalari gerceklestirebilen saha uygulamalarinda aktif gorev yapabilecek endustriyel tesislerde gorev almis patlamadan korunma dokumani hazirlama egitimini almis yangin sondurme egitimlerini tamamlamis kimyasal risk degerlendirmesi bilgisine vakif office programlarini etkin kullanabilen cozum odakli analitik dusunebilen planlama organizasyon problem cozme konularinda etkin takim calismasina yatkin,guvenligi uzmani,is_guvenlik_ve_saglik
