,genel_nit_is_tanimi,ilan_baslik,label
0,universitelerin bilgisayar muhendisligi bolumlerinden lisans derecesi mezun tercihen benzer pozisyonda tecrubeli derecede ngilizce bilen bolumler arasi kurulacak ekiplerde calisabilecek analitik dusunebilen problem cozme yetenegine sahip eskisehir ikamet eden edebilecek olan yogun temposu altindan kalkabilecek servis yonetim yazilimi uzerinden calismaya uyumlu yapilan isler ilgili dokumantasyon olusturma takip edebilme raporlama yetkinligine sahip nsan iliskileri kuvvetli takim calismasina yatkin yazili sozlu iletisim becerisine sahip teknolojiye merakli kendini gelistirmeye acik olan erkek adaylar icin tercihen askerlik hizmetini tamamlamis tanimi sirketin uymakla yukumlu oldugu musteri ulusal uluslararasi kalite yonetim sistem standartlarina gibi uygunlugunu devamliligini etkililigini izler degerlendirerek duzenli olarak raporlar guvenlik yedekleme izleme urun grubuna teknik destek verebilecek sekilde yazilim donanim bilgisine sahip duzeyde microsoft active directory temel duzey network donanim bilgisine sahip linux yonetimi ilgili bilgi deneyim sahibi windows scripting konusunda bilgi sahibi yeni urunlerin devreye alinmasiyla ilgili planlamasini yaparak bunlari takip eder raporlar bolumun musteriye sundugu hizmetin kalitesini etkileyecek alanlarda tedarikci secimi tedarikcinin calisma performansinin degerlendirilmesinde alir bolumun sartlarinin tedarikci tarafindan surekli karsilanma durumunun denetlenmesi degerlendirilmesini saglar tespit edilen uygunsuzluklar iyilestirme firsatlari tespit edilen riskler icin ilgililere faaliyet talebinde bulunur tamamlanan faaliyetlerin etkililigini kontrol eder,sistem yonetim uzmani,proje_yonetimi
1,mobil tabanli uygulamalar gelistiren yoneten firmamizin ankara bilkent cyberpark alan ofisinde yazilim proje yoneticisi olarak gorev alacak universitelerin yillik egitim veren bolumlerinden mezun tercihen teknik bolumler tercihen bilisim firmasinda firmalarin bilgi islem departmanlarinda calismis yazilim projelerinin analiz dokumantasyon gelistirme test idame hizmetleri sureclerinde deneyime sahip tercihen html bilen derecede ngilizce bilen takim calismasina uygun liskileri yonetebilen yonlendirebilen takim arkadasi ariyoruz,proje yoneticisi yonetmeni,proje_yonetimi
2,santral yapimindan isletme bakim hizmetlerine elektrik dagitim uretim ticaretinden dogal dagitim hizmetlerine kadar genis alanda faaliyet gosteren dogal ruzgar jeotermal hidroelektrik santralleri sektorunun onculerinden olan zorlu enerji grubu turkiye deki projelerinin yani sira avrupa asya ortadogu buyuk projeler yonetiyor farkli alanlardaki uzman kadrosu buyumeye devam eden zorlu enerji grubu asagidaki belirtilmis tanimi cercevesinde fikir deneyimleri deger katacak proje yoneticisi arge ariyor universitelerin elektrik elektronik elektronik haberlesme bolumlerinden mezun minimum teknolojik sektorlerde proje yonetimi tecrubeli kamu kurumlari calismis partilerle calisma sureclerini yonetmis tubi veya diger avrupa birligi arge programlarinda proje yazmis veya kabul almis tercihen elektrik sektoru saha tecrubesi olan otomotiv elektrikli arac veya batarya teknolojileri konusunda ilgili letisimi temsil yetenegi guclu ekip yonetimi konusunda tecrubeli problem cozme analitik dusunme becerisine sahip seyahat engeli olmayan tanimi horizon projelerinin hayata gecirilmesi epdk arge projelerinin hayata gecirilmesi itea tubitak diger arge projelerinin yonetimi hayata gecirilmesi ornek projeler sarj istasyonlari elektrikli araclarin sebekeye etkisinin incelenmesi yuklerin optimize edilmesi icin gerekli yerli yazilimin gelistirilmesi lityum iyon bazli enerji depolama sistemlerinin primer frekans kontrol uygulamalari icin test edilmesi coklu enerji sistemlerinin teknolojik araclar kullanilarak optimize edilmesi enerji pazaryeri icin buyuk veri cozumleri,arastirma gelistirme arge proje yoneticisi,proje_yonetimi
3,genel teli kler universitelerin ilgili bolumlerinden mezun leri derece ngilizce dilbilgisine sahip yazilim projelerinde proje yoneticisi olarak gorev yapmis finansal konularinda tecrubeli duzeyde duzenli olarak raporlama yapabilecek analitik dusunme problem cozme yetkinligine sahip zaman yonetimi konusunda basarili ayni anda birden fazla projeyi yurutebilecek letisimi kuvvetli stres altinda calisabilen inisiyatif alabilen ekip yonetimi konusunda basarili detaylara onem veren organize calisma disiplinine sahip erkek adaylar icin askerlik hizmetini tamamlamis tanimi prosesler ilgili surec sonuclarin maliyet kalite zaman cizelgeleri beklentiler acisindan planlara uygun olmasinin saglanmasi projeler ilgili gereksinimlerin taleplerin belirlenmesi karsilanmasi icin ekiplerin koordine edilmesi birimleri arasinda koordinasyonun saglanmasi paydaslarla iletisimin planlanmasi iliskilerin yonetilmesi banka disi kurumlardan gelen ilgili taleplerin degerlendirilmesi bddk hazine mustesarligi degisim taleplerinin degerlendirilmesi sistem performansinin artirilmasi icin harekete gecilmesi sorunlara karsi proaktif yaklasim benimsenmesi cozumler onerilmesi musterilere daha etkin hizmet verilmesi amaciyla hizmet kalitesinin iyilestirilmesi maliyet tasarrufu saglanmasi icin yeni projeler arastirilmasi liskili oldugu sureclerde prosedur gorev tanimlari akisi gibi dokumantasyon calismalarinin yurutulmesi etik calismalarinin yurutulmesi birimin kurallar bakimindan guclendirilmesi teknoloji sureclerinin standartlarinin prosedurlerinin politikalarinin kurumsal standartlara uymasini saglayacak proje yoneticisi arayisimiz bulunmaktadir,proje yoneticisi yonetmeni,proje_yonetimi
4,tanimi proje yonetim ofisi bunyesinde yurutulmekte olan kurumsal projelerin plana uygun olarak zamaninda kaliteli tamamlanmasina destek vermesi bolumlerde yurutulen projeler icin proje sureclerinin istenen icerikte kalitede olusturulmasini saglamasi program proje risklerinin belirlenmesi onleyici aksiyon planlarinin olusturulmasina destek olmasi duzeltici onlemleri hayata gecirilmesini takip etmesi proje yonetim ofisine iliskin raporlamalari yapmasi projelerde alan farkli birimlerle koordinasyon icinde calismasi proje yonetim standartlari kulturunun bolumlerde olusturulmasini saglamasi aranan ozellikler universitelerin tercihen endustri muhendisligi sletme muhendisligi veya ilgili diger muhendislik bolumlerinden mezun kurumsal proje yonetimi sureclerinde tecrubeli proje yonetim metodolojilerine hakim tercihen veya prince egitimi almis veya sertifika sahibi olmak proje yonetimi icin kullanilan yazilimlarda deneyimli derecede ngilizce bilen,proje uzmani,proje_yonetimi
5,turkiye lider bilgi teknolojileri yazilim cozumleri gelistiren koklu oncu kurulusumuz mert yazilim sayar elektroni bunyesinde istihdam edilmek uzere leri derecede rusca yazisabilen anlayabilen konusabilen asagidaki niteliklere sahip proje yoneti calisma arkadaslari aramaktayiz aktif olarak rusca diline hakim yazisabilen anlayabilen konusabilen olarak tercihen ingilizcesi seviyede olan tercihen universitelerin endustri makine bilgisayar muhendisligi bilgisayar programciligi bolumu mezunu office programlarina hakim bilgisine sahip mssql veritabani konusunda deneyim sahibi problem cozme planlama organizasyon becerileri gelismis analitik dusunebilen sorumluluk sahibi detaylara onem veren proaktif musteri diyaloglari guclu musteri projelerini yonetebilecek ogrenmeye gelismeye acik analitik dusunebilen takim calismasina uyumlu seyahat engeli olmayan erkek adaylar icin askerlik iliskisi olmayan,proje yoneticisi yonetmeni,proje_yonetimi
6,anel doga entegre geri donusum endustri proje uzmani tanimi,proje uzmani,proje_yonetimi
7,enginsoft turkey agirlikli olarak savunma sanayi otomotiv sanayi sektorunde faaliyet gosteren muhendislik firmasidir teknopark stanbul teknokent ankara ofisleri bulunan firma tasarim konstruksiyon ileri muhendislik analizleri yazilim satisi projeleri teknik egitimler alaninda uzman kadrosuyla hizmet vermektedir stanbul otomotiv sektorunde oncu firmada proje yoneticisi pozisyonunda gorevlendirilmek uzere universitelerin muhendislik bolumlerinden mezun benzer gorevde tecrubeli olan olcum apqp ppap fmea bilen kalip sistemleri calisma kosullari plastik malzemeler konusunda bilgi sahibi olan office uygulamalarina hakim olan seyahat engeli olmayan derecede ngilizce bilen adli sicil kaydi bulunmayan erkek adaylar icin askerligini tamamlamis veya tecilli adaylar aramaktayiz tanimi urun devreye alinmasi deneme calismalarinda gerekli kayitlarin tutulmasini saglamak deneme uretimlerinde muhendislik degisiklik taleplerinde proje muduru kordone sekilde calismak yeni musterilerin proje kalite dokumantasyon sistemi ihtiyaclarinin firma dokumantasyon sistemine uyumunu gozetmek uyumsuzluklari gidermek kendisinden talep edilen proje fizibilite etudlerini gerceklestirmek gerektiginde sirket veya disindan gorevlendirilen kisi kuruluslarla isbirligi icinde calismak teknik resim datasi sartnamelerin nihai olarak daha gozden gecirilmesi proje aksiyon plani kapsaminda takibi saglamak proje kalite tarafindan hazirlanan ppap dosyasinin hazirlamak kontrolu musteriye sunmak gerekli dokumanlari takip etmek proje muduru tarafindan kendisine verilen diger gorevleri yerine getirmek,proje yoneticisi yonetmeni,proje_yonetimi
8,universitelerin muhendislik bolumlerinden mezun leri derecede office programlari bilgisine sahip derecede ngilizce bilgisi seyahat engeli olmayan raporlama analiz becerileri gelismis analitik dusunebilen sonuc cozum odakli nsan iliskilerinde basarili takim calismasina yatkin yonetim sistemleri surec yonetimi konusunda tecrubeli proje yonetimi yontem araclari uygulama deneyimli tanimi surec gelistirme iyilestirme projelerinin ilgili operasyonlar fizibilite planlanmasinin yapilmasi periyodik olarak raporlanmasi sureclerin detayli olarak analizlerinin gerceklestirilmesi uygulanacak projelerle ilgili ihtiyaci belirlemek dogrultuda organize olmak calismalari yonetmek proje paydaslarini bilinclendirmek surec proje yonetim sistemleri performanslarinin analizi iyilestirme alanlarinin belirlenmesi belirlenen faaliyetlerin takibinin yapilmasi organizasyonel hedeflerinin tanimlanmasi gerceklesmelerin takip edilmesi,yonetim sistemleri uzmani,proje_yonetimi
9,universitelerin muhendislik fakultelerinden mezun tercihen endustri muhendisligi lojistik depolama dagitim surecleriyle ilgili bilgiye sahip proje yonetimi tecrubesi olan yalin yonetim ilgili temel bilgiye sahip tercihen kurulumu projelerinde gorev almis tercihen operasyon yonetimi konusunda tecrubesi olan dokumantasyon takip yonu guclu derecede yazili sozlu ngilizce bilgisine sahip erkek adaylar icin askerlik hizmetini tamamlamis stanbul avrupa yakasinda ikamet eden edebilecek olan tanimi yurtici lojistik merkezi lojistik proje uzmani,lojistik proje uzmani,proje_yonetimi
