,genel_nit_is_tanimi,ilan_baslik,label
0,vehbi vakfi saglik kuruluslari global fortune listesindeki turk sirketi olan toplulugu bagli hizmet veren amaci gutmeyen hastaneler grubudur amerikan hastanesi medamerikan merkezi universitesi hastanesi bodrum amerikan hastanesi olarak vehbi vakfi saglik kuruluslari catisi altinda hizmet vermekteyiz hastanelerimizde saglik hizmetlerini sunarken bilgimiz becerimiz mukemmelliyetciligimizle guncel teknolojileri araya getiriyoruz ancak insan kaynagimizin degerli varligimiz oldugunu biliyor nitelikli insan kaynagimizi artirmak icin surekli yatirimda bulunuyoruz belirledigimiz klinik rehber talimatlarla yilinda bini askin hastaya ayni kalitede guvenilir seffaf kapsamli tani tedavi bakim hizmeti sunduk hacim bazli yerine deger bazli sistem olusturarak dogrultuda yarattigimiz insan kaynagimiz hastalarimizi memnun etmeye calismanin mutlulugunu yasadik yasamaya devam etmek icin gucumuzle calisiyoruz gerek idari personelimizin gerekse medikal ekibimizin gereksinim beklenti haklarini onemsiyoruz gecen calisan memnuniyet endeksinin artis gosterdigi kurumlarimizda kadinlarin ekonomiye katilimini ayrica destekliyoruz gecmisten bugune aileyiz ailemize yeni uyelerin katilmasindan heyecan duyuyoruz vehbi vakfi saglik kuruluslari degerlendirilmek uzere sistem uzmani arayisimiz bulunmaktadir universitelerin ilgili bolumlerinden mezun benzer pozisyonda deneyimi olan microsoft sunucu sistemlerinin active directory server client ailesi system center sharepoint exchange microsoft cluster kurulum yonetiminde uzman seviyede yonetim tecrubesine sahip office ailesi azure altyapi platform yonetim tecrubesi olan veri tabanlari hakkinda bilgi sahibi tercihen oracle veri tabanlariyla calismis high availabilty disaster recover sistem altyapilarinda yonetim tecrubesi olan hyper vmware sanallastirma altyapisi ortalarinda yonetim tecrube sahibi networker veeam backup uygulamalarin tecrube sahibi itil veya cobit standartlarina uyum konusunda deneyimli tedarikciler yapilan bakim yonetim sozlesme sartlarini sirket prosedurleri kapsaminda yerine getirmek planlanmis periyodik bakimlar ariza onleyici tedbirler almak calisan ortamda gercek zamanli izleme yapabilecek mudahelede bulunabilecek yonlu calismaya yatkin ekip etkin iletisim kurabilen takim calismasina uyumlu dokumantasyonu seven yaptigi raporlayabilen tercihen derecede ngilizce bilen tanimi projelerin donanim ihtiyacini analiz ederek standartlari dogrultusunda gerekli tasarimi gerceklestirmek sunucu sistemleri takip etmek takibi yaparak olasi problemlere karsi proaktif yaklasmak olusabilecek problemlere aninda mudahale ederek surekliligini saglamak backup restore test sureclerini standartlarina uygun olarak eksiksiz yerine getirmek sistem performanslarini gercek zamanli takip ederek raporlamak olusabilecek iyilestirme firsatlarini yoneticisi paylasmak sistemlerin sartlarina uygun olarak calismasini saglamak itil rehberliginde hizmet sunum standartlarina uygun olarak calismak azure office projelerinde aktif almak,sistem uzmani,sistem_yonetimi
1,universitelerin ilgili bolumlerinden lisans duzeyinde mezun bilgi sistemleri alaninda deneyimli donanim yazilim uretim proses bilgisi server network yonetim bilgisi olan letisim becerileri kuvvetli cozum odakli sorumluluk sahibi derecede ngilizce bilgisi olan erkek adaylar icin askerlikle ilisigi olmayan datanin talimata uygun olarak yedeginin alinmasi kontrolu sunucu istemcilerdeki antivirus programinin update taramalarinin kontrolu sirketin ihtiyaclarina uygun donanimin belirlenmesi talebinin yapilmasi kullanicilarin yasal mevzuata sirket talimatlarina uygun olacak internet mail kullanimi icin gerekli yazilim ayarlarinin yapilmasi network sisteminin hizli kesintisiz calismasinin saglanmasi telefon santralinde guvenlik kameralarinda cikan sorunlarla ilgili gerekli iletisimin saglanmasi yerleri arasindaki sesli iletisimin aksamadan kesintisiz olarak calismasinin saglanmasi pdks programinda cihazlarinda cikan sorunlara mudahale edilmesi active directory yapisinda kullanici islemlerinin yapilmasi savcan tekstil grubu turquality destegi kapsaminda olan kurumsallasma yonunde onemli asamalardan gecmis yalin sistemle yonetilen sureclerinde yazilimini kullanan yaklasik yillik dokuma baski konfeksiyon fabrikalari olan sirketler grubudur alinacak calisan sistem destek uzmani olarak gorev yapacaktir,stem destek uzmani,sistem_yonetimi
2,turkiye bolge kampus hizmet veren bahcesehir koleji buyuyen organizasyon yapisi icerisinde yenilige gelisime aydinlik gelecege yuruyen fikri irfani vicdani nesiller yetistirmek amaci genel mudurlugumuzde gorev almak uzere sistem yoneticisi ariyoruz universitelerin ilgili bolumlerinden mezun tercihen egitim sektoru tecrubesine sahip duzeyde ngilizce bilgisine sahip windows client windows linux sunucu sistemlerinin kurulumunda yonetilmesinde deneyimli active directory kullaniminda bilgili fileserver wsus dhcp konularinda yetkin yedekleme konusunda tecrubeli tercihen veeam backup kullanim bilgisi olan server yonetimi yedekleme sanallastirma bakim onarim konularda tecrubeli storage konusunda tecrubeli tercihen urun ailesi hakkinda yetkin nternet sitesi yonetimi platform sistemleri kullaniminda tecrubeli management veya siem urunleri konusunda tecrubeli powershell kullanabilen tercihen script yazabilen office konusunda tecrubeli yazili sozlu iletisim becerisi takibi temsil yetenegi guclu ekip calismasina yatkin seyahat engeli olmayan erkek adaylarda askerlik gorevini tamamlamis olan tanimi sistem altyapisinda olusan taleplerin karsilanmasi olusabilecek sorunlara cozum uretilmesi kampuslerin sistemsel ihtiyaclarinin giderilmesi sorumlu oldugu sistemlerin surekliligini saglayacak gerekli kontrollerin guncellemelerin yapilmasi temin edilmesi gereken yeni urun gelistirilmesi gereken sureclerin altyapi ihtiyaclarinin belirlenmesi ilgili ekiplerin koordinasyonunun saglanmasi sunucu kaynaklarinin takip edilmesi optimizasyonlarinin yapilmasi yama yonetiminin gerceklestirilmesi performans iyilestirilmelerinin yapilmasi donanim yazilim lisans envanterinin yonetilmesi konsolidasyon calismalarinin gerceklestirilmesidir,sistem yoneticisi yonetmeni,sistem_yonetimi
3,universitelerin elektrik elektronik muhendisligi elektronik muhendisligi bolumlerinden veya ilgili bolumlerden mezun matlab simulink algoritma gelistirme sinyal isleme tecrubesine sahip sinyal sleme alaninda calisma tecrubesine sahip derecede ngilizce bilen erkek adaylar icin askerligini yapmis veya tecilli tercih sebebi olabilecek ozellikler ogrenmeye acik merakli arastirma yetenegine guvenen ekip calismasina uyumlu sezim kestirim teorisi konusunda bilgi veya tecrubeye sahip olma konumlama bulma konusunda ornegin tdoa fdoa bilgi veya tecrubeye sahip olma radar sistemleri konusunda bilgi veya tecrubeye sahip olma algoritma gelistirme tecrubesi olan yurt yurt disi seyahat engeli olmayan ekip calismasina yatkin tanimi simulasyon sistemleri direktorlugumuz bunyesinde elektronik harp projeleri kapsaminda asagidaki faaliyetleri gerceklestirecektir sistem tasarimi sistem gereksinim analizi matematiksel modelleme algoritma tanimlama gelistirme test dogrulama faaliyetlerini gerceklestirme algoritmanin sisteme entegrasyonunu gerceklestirme yerine getirdigi faaliyetler kapsamindaki dokumantasyon,uzman stem muhendi,sistem_yonetimi
4,tercihen universitelerin muhendislik bilgisayar elektronik haberlesme fakultelerinden mezun kurumsal projelerinde gorev almis deneyimli ekip yoneticiligi pozisyonda gorev almis butce calismalarini yapan butce uyumlulugunu takip edebilen teknoloji tedarikcileriyle olan iliskileri yoneten bilgi sistemlerine yonelik operasyon surecleri uygulamalarina hakim olan standartlari konusunda bilgili sahibi olan bilgi guvenligi kvkk surecleri hakkinda bilgi sahibi olan seviyede ngilizce bilen seyahat engeli bulunmayan nsan iliskilerinde basarili iletisimi kuvvetli olan teknik nitelikler windows sunucu platformlari linux isletim sistemleri konularinda deneyimli hyperv vmware sanallastirma platformlarina hakim disk depolama sistemlerinin veeam basta olmak uzere yedekleme yazilimlarinin donanimlarinin yapilandirilmasi yonetimi konusunda deneyimli active directory dhcp file server terminal server sunucu sistemlerinin yonetiminde deneyimli microsoft system center urunleri konusunda deneyimli office yonetimi konusunda deneyimli bulut teknolojilerine hakim tercihen azure tanimi sistemlerin kesintisiz calismasi icin gerekli izleme problem yonetimi cozum aktivitelerinin yerine getirilmesi sistem altyapisinda olusan taleplerin karsilanmasi sorunlara mudahale edilmesi felaket kurtarma surekliligi altyapisinin yonetilmesi testlerinin gerceklestirilmesi sistemlerin sirket bilgi guvenligi politikalarina uygun olarak isletilmesinin saglanmasi gerektiginde politikalarin ihtiyaclara uygun olarak gelistirilmesi guncellestirilmesi sistem yonetimi ilgili dokumantasyonun duzenli olarak takip edilmesi,stem yoneti,sistem_yonetimi
5,askeri arac projelerimizde gorevlendirilmek uzere universitelerin ilgili bolumlerinden makine elektrik elektronik ucak uzay muhendisligi basariyla mezun sistem muhendisligi araclarinda doors rhapsody core catia programlarinda yeterliligi bulunan sistem muhendisligi surecleri standartlari hakkinda bilgi sahibi sonuc odakli takim calismasina yatkin leri seviyede ngilizce bilgisine sahip erkek adaylar icin askerlik gorevini tamamlamis veya sene tecil ettirmis olan ankara ikamet eden calisma arkadaslari ariyoruz tanimi htiyac analizi tahsis ayristirma sistem sistem gereksinimleri belgelerinin hazirlanmasi slevsel analiz tahsis yapma test degerlendirme master planlarinin hazirlanmasi dogrulama proseduraerinin hazirlanmasi test degerlendirme faaliyetlerinin koordinasyonu desteklenmesi baslica gorevleri arasinda olacaktir,sistem muhendisi,sistem_yonetimi
6,universitelerin ilgili bolumlerinden mezun sistem yonetiminden tecrubeli microsoft teknolojileri sunucu sistemleri active directory server client mimarisi exchange power shell high availabilty disaster recover microsoft office tercihen azure platformu arcserve yedekleme sistemleri arsivleme sistemleri server storage sistemleri tercihen microsoft system center ailesi temel seviyede network guvenlik altyapilari konularinda bilgi tecrube sahibi tercihen mcse mcsa sertifikalarindan birine sahip analitik dusunen problem cozme yetenegi gelismis yeni teknolojileri arastirma ogrenme konularinda istekli gelisime acik letisim becerileri pozitif olan ekip calismasina yatkin organizasyon becerisi takibi kuvvetli gerektiginde esnek calisma saatlerine uyum saglayabilecek ngilizce bilgisi olan askerlik hizmetini tamamlamis erkek adaylar icin tanimi sorumlulugunda bulunan sistemlerin sistem kontrol guvenligini sistem yedekleme guvenlik sistemlerinin olusturulmasi saglamak bununla ilgili yontemler gelistirmek periyodik yedekleme islemlerinin takibini problemsiz islemesini saglamak personellerden gelen destek taleplerine yerinde veya uzaktan zamaninda mudahalede bulunmak bulunulmasini saglamak nitelikleri aranilan pozisyona uygun olan adaylar telefon aranarak gorusmesine davet edileceklerdir bilgiler sirketimiz tarafindan gizli tutulacaktir,stem uzmani,sistem_yonetimi
7,yilinda husnu ozyegin tarafindan kurulan fiba grubu bugun ulusal uluslararasi piyasalarin saygin bilinirligi yuksek katilimcisidir fiba holding bagli olan fiba perakende grubu banana republic marks spencer magazalarini turkiye acmaya isletmeye yetkilidir ayrica marks spencer icin rusya ukrayna magaza acma isletme yetkisine sahiptir kozyatagi merkez ofisimizde bilgi teknolojileri departmanimizda gorevlendirilmek uzere sistem yonetim destek sorumlusu arayisimiz vardir aranan teli kler sistem yoneticiligi uzerine tecrubeli windows isletim sistemleri konusunda deneyimli windows server exchange server microsoft server microsoft windows servisleri active directory hakkinda tecrubeli yedekleme sistemleri kurulum konfigurasyon yonetimi konularinda deneyimli sanallastirma teknolojileri konusunda tecrubeli veritabani sunucularinin kurulum konfigurasyon yonetimi konularinda deneyimli firewall switch sistemleri temel konfigurasyon yonetimini yapabilen veri guvenligi erisim kontrolleri sizma testleri zafiyet taramasi gibi surecler hakkinda bilgi sahibi storage sistemleri konusunda bilgi sahibi voip haberlesme sistemleri konusunda temel seviyede bilgi sahibi teknik dokuman arastirma yapabilecek kadar ngilizce bilgisi olan tercihen sertifikasina sahip sorumluluk sahibi cozum odakli analitik dusunme yetenegine sahip takim calismasina yatkin iletisim becerisi guclu erkek adaylar icin askerlik gorevini tamamlamis gorev tanimi merkez lokasyonlarimizda bulunan cogunlukla microsoft tabanli sunucularimizin backup patch yonetiminin yapilmasi microsoft active directory iliskili yardimci araclarin yonetimi raporlamasi altyapimizda bulunan sanallastirilmis vmware fiziksel ortamda alan windows sunucularin yonetim guncelleme bakiminin saglanmasi sistemlerin kesintisiz guvenli isletimini saglayacak felaket yonetimi yedekleme kontrol denetim sistemlerinin gelistirilmesi isletilmesi yonetiminin yapilmasi bilgi sistemleri kaynaklari icin sistemlerin bilgi guvenlik altyapisinin kurulmasi gelistirilmesi yonetilmesi isletmek bakiminin yapilmasi tehdit saldirilardan guvenlik korumasini elektronik olarak saglanmasi dokumante edilmesi antivirus iliskili olan nokta guvenligine yonelik yardimci araclarin yonetimi raporlanmasi bilgi sistemleri alanindaki projelerde ekibine destek olunmasi projenin kullanima alinmasi itibariyla gunluk yonetim isletim planli bakimlarin yapilmasi asamalarinda aktif alinmasive proje planina uygun grup calismasinda bulunulmasi bilgi sistemleri alanindaki projelerde ekibine destek olunmasi merkez magaza kullanicilarina telefon uzaktan yerinde destek verilmesi magaza acilislarinda donanim ihtiyaclarinin belirlenmesi telefon router switch kurulum planinin hazirlanmasi kurulumunun gerceklestirilmesi fiba perakende grubu turlu ayrimciliktan kacinmayi alim sureclerinde firsat cinsiyet esitligi ilkesine saygi gostermeyi taahut eder,sistem yonetim destek sorumlusu,sistem_yonetimi
8,genel teli kler universitelerin elektrik elektronik muhendisligi bolumunden mezun tercihen yuksek lisansini yapmis yillik tecrubesine sahip tercihen matlab simulink araclarina hakim proje yonetimi sureclerinde bilgi deneyim sahibi sistem muhendisligi urun gelistirme sureclerine hakim ilgili standartlar hakkinda bilgi deneyim sahibi gereksinim yonetimi araclari hakkinda bilgi deneyim sahibi urun konfigurasyon yonetimi konularinda bilgi deneyim sahibi office programlarini seviyede kullanabilen yuksek konsantrasyon birden fazla projede calisma becerisine sahip musteri iliskilerini yonetebilen yazili sozlu iletisim becerisi yuksek motivasyonu yuksek gelismeye acik disiplinler arasi iletisim kurabilen ekip calismasina uygun derecede ngilizce bilgisine sahip tanimi savunma sanayi sivil sanayi alanlarinda faaliyet gosteren sirketimizin muhendislik direktorlugu bunyesinde yurutulen projelerinin tasarim gelistirme faaliyetlerinde calismak uzere uzman sistem muhendisi aranmaktadir adaylar asagidaki alan konularda tecrubeleri kapsaminda gorev sorumluluk alacaklardir sistem sistemlerin gereksinimlerinin analizi tanimlanmasi modelleme simulasyon analizler isiginda mimari tasariminin yapilmasi donanim yazilim paketlerine karar verilip ilgili ekiplere aktarilmasi sistem sistem entegrasyon faaliyetlerinin koordinasyonu dogrulama platform entegrasyonu saha testleri faaliyetlerinin yapilmasi koordinasyonu sistem muhendisligi dokumanlarinin hazirlanmasi teklif hazirlama ekibinin faaliyetlerine katilarak teknik cozum takvim gucu butcenin belirlenmesi tedarik yoluyla alinacak sistem hizmetler icin teknik isterlerin olusturulmasi,uzman sistem muhendisi,sistem_yonetimi
9,sirketimizin bursa nilufer bulunan lokasyonunda degerlendirilmek uzere sistem operatoru aranmaktadir lise mezunu office programlarini kullanabilen tercihen terminali kullanabilen sistem girislerini yapabilecek lojistik kargo sektorunde deneyimli askerlik hizmetini tamamlamis erkek adaylar bursa nilufer osmangazi mudanya yildirim civarinda ikamet eden adaylar tercih nedenidir tanimi depo kabul islemlerinin yapilmasi desi bilgilerinin sisteme girilmesi sevkiyat teslimat planlarinin takibi araclarin makinalariyla yukletilmesinin saglanmasi yukleme sonucu araclarin cikis islemlerinin yapilmasi operasyona urunlerin standartlarina uygun sekilde depoya icerisine istiflenmesinin saglanmasi demirbas urunlerin depo ekipmanlarinin kontrolu saglikli etkin kullaniminin saglanmasi bilgi olarak hazirlanan raporlamalarin yoneticiye iletilmesi,sistem operatoru,sistem_yonetimi
