,genel_nit_is_tanimi,ilan_baslik,label
0,universitelerin lisans onlisans bolumlerinden mezun gelistirme konusunda deneyim sahibi olan saglik sektoru tecrubesi olan avrupa anadolu yakasinda hastanelerde ilgili birimlere calisma yapabilecek temsil kabiliyeti yuksek olan esnek calisma sistemine uyabilecek microsoft office programlarini derecede kullanabilen takim calismasina uyumlu tanimi avrupa anadolu yakasinda hastanelerde ilgili birimlere calisma yapabilecek firmamiz tarafindan satisi yapilan urunlerle ilgili olarak ilgili ihtisaslardaki hekimlere tanitim yapabilecek satis hedeflerini gerceklestirebilecek,tibbi tanitim satis sorumlusu,tibbi_tanitim
1,world medicine gruba bagli sertus sektorunde faaliyet gosteren uluslararasi pazarlarda hizla buyuyen organizasyonumuza deger katacak genc dinamik asagidaki niteliklere sahip tibbi tanitim satis sorumlusu aramaktayiz universitelerin yillik fakultelerinden mezun sirketlerinde tanitim satis sorumlusu olarak yillik deneyime sahip tercihen kardiyoloji solunum aile hekimligi alanlarindan birinde tecrubeli belgesini almaya kazanmis veya belgesini almak uzere onaylanmis basvurusu olan erkek adaylar icin askerlik hizmetini tamamlamis office programlarina hakim duzenli raporlama yapabilecek problem cozme planlama takip calismasina yatkin analitik dusunme yetenegine sahip seyahat engeli olmayan sinifi surucu belgesine sahip aktif olarak arac kullanabilen yabanci ngilizce tercih sebebidir tanimi sirket stratejileri satis hedefleri cercevesinde sorumlu oldugu urunlerle ilgili hastane klinik kurum eczane aile saglik merkezi gibi kuruluslarda saglik calisanlarina ziyarette bulunarak tanitim pazarlama faaliyetlerini yurutmek kilit unitelere iliskin projeler gelistirmek sorumlulugundaki musterilerin bagliligini arttirmak icin yeni firsatlar gelistirmek lgili raporlamalari analizleri zamaninda dogru sekilde gerceklestirmek sorumlulugundaki bolge paydaslar tedavi alanina yonelik olarak kisisel hedeflerine ulasabilmek icin planlari olusturmak uygulamak urunlerin varsa destek hizmetlerinin genis sekilde anlasilmasini daha hastaya paydasa ulasabilmesini saglamak onaylanmis pazarlama satis tanitim materyal programlarini uygulamak kullanmak dogrudan dolayli uzaktan line tanitim programlari gerceklestirmek kisisel hedeflerine ulasmak icin faaliyetlerde bulunmak paydaslarla profesyonel iliskileri olusturarak sorumlu oldugu alandaki urunlere etkinlik etki klinik veriler bilgilere sahip olmak dogru eksiksiz aktarmak rakip urunlerin ozellik faydalari hakkinda bilgi sahibi olmak bilgilerden yararlanmak paydas topluluklarina teknik duzeyi yuksek portfoy sunumlari gerceklestirmek sirket musterileri arasindaki bilgi akisini saglamak,tibbi tanitim satis sorumlusu,tibbi_tanitim
2,innovex ilac sanayi biyoteknoloji tibbi cihaz alaninda faaliyet gosteren firmalara yenilikci satis cozumleri yuksek kalitede satis takimlari olusturmaktadir gunumuz belirsiz ortaminda onemli ihtiyac olan esnekligi saglayan dunyanin onde gelen sozlesmeli satis organizasyonu firmasidir innovex iqvia kurulusudur tuketici medikal ekipmanlari alaninda dunyanin lider uluslu firmasiyla yuruttugumuz projede gorevlendirilmek uzere deneyimli tibbi mumessil aranmaktadir alaninda lider medikal ekipmanlara sahip musterimizin pediatri gogus kardiyoloji hekimlerine kismi geri odemeli nebulizator cihazlarinin basinci cihazlarinin tanitimindan ziyaretler yapilarak sunumlarin gerceklestirilmesinden sorumlu olacaktir tanimi tibbi satis mumessilliginde deneyimli tercihen pediatri gogus kardiyoloji alaninda calismis kanitlanmis basari oykusune sahip universite yuksek okul mezunu etkin iletisim becerisine sahip ekip calismasina uyumlu gelismeye yeniliklere acik yogun calisma temposuna uyum saglayabilecek surucu belgesine sahip aktif araba kullanabilen erkek adaylar icin askerlik gorevini tamamlamis seyahat engeli bulunmayan,tibbi mumessil,tibbi_tanitim
3,universite veya yuksek okul mezunu saglik sektorunde satis tecrubesine sahip tercihen kardiyoloji dahiliye kadin dogum uzmanliklarinda tecrubesi olan kilit hekim iliskileri kuvvetli musteri basari odakli mesleki donanimi yuksek sonuclarinda iddiali yeni firsatlari gorup aksiyon alabilen sonuca ulasmadan vazgecmeyen farkindaligi yuksek stanbul avrupa yakasinda ikamet eden tanimi divizyonumuz vega grubumuzda stanbul avrupa bolgesinden sorumlu olacak tibbi satis temsilcisi bolgesinde kuvvetli urun bilgisi kaliteli hizmet sunarak bolum tarafindan belirlenen satis pazar payi hedeflerini gerceklestirmekten sorumlu olacakti,tibbi satis temsilcisi stanbul avrupa,tibbi_tanitim
4,zmir cevre illerinde gorevlendirilmek uzere bayan ekip arkadasi aramaktayiz medikal alanda tanitim satis yapabilmeye yetenekli tcesi belgelerine sahip letisim becerisi kuvvetli sunum becerisi ikna kabiliyeti yuksek tercihen hemsirelik anestezi teknikerligi biomedikal muhendisligi mezunu surucu belgesine sahip aktif olarak arac kullanabilen seyahat engeli olmayan erkek adaylar icin askerlik hizmetini tamamlamis,tibbi tanitim satis temsilcisi,tibbi_tanitim
5,urun gurubumuz icin uroloji dermatoloji dahi branslarinda deneyimli sirketimizin urunlerinin tanitim pazarlama stratejilerini sahada uygulayarak bizimle birlikte insan icin deger uretecek takim arkadaslari ariyoruz lisans veya lisans mezun surucu belgesi aktif arac kullanabile seyahat engeli bulunmayan ofis programlarini kullanabilen basarma azmi yuksek dinamik yuksek performans kulturune yatkin sonuc odakli kisisel farkindaligi gelismis pozitif yeniliklere ogrenmeye acik insan iliskilerinde basarili tanimi duzenli eczane ziyaretlerinin yapilmasi sorumlu oldugu urunler tedavi alanlari ilgili gerekli bilgileri sunularak medikal anlamda bilinirligin arttirilmasi sorumlu oldugu bolgede tanitim faaliyetlerinin yurutulmesi olusturulan aylik haftalik calisma programinin eksiksiz gerceklestirilmesi raporlanmasi,tibbi satis mumessili marmara,tibbi_tanitim
6,tibbi mumessil innovex ilac sanayi biyoteknoloji tibbi cihaz alaninda faaliyet gosteren firmalara yenilikci satis cozumleri yuksek kalitede satis takimlari olusturmaktadir gunumuz belirsiz ortaminda onemli ihtiyac olan esnekligi saglayan dunyanin lider ticari cozumler organizasyonu firmasidir innovex iqvia kurulusudur hijyenik urunler bebek bezi hijyenik hasta bezi alaninda gorevlendirilmek uzere receteli urunler medikal cihaz veya pazarlarinda deneyimli tibbi mumessil aranmaktadir adaylarda aranilan ozellikler satis temsilciliginde deneyimli universite yuksek okul mezunu tercihen receteli veya medikal cihaz sektorunde deneyimli tibbi medikal bilgi becerisi yuksek office programlarina hakim raporlama becerisi yuksek kabiliyeti yuksek satis becerisine sahip stresle edebilen ekip calismasina uyumlu gelismeye yeniliklere acik yogun calisma temposuna uyum saglayabilecek sinifi surucu belgesine sahip aktif arac kullanabilen erkek adaylar icin askerlik gorevini tamamlamis seyahat engeli bulunmayan adaylarin ilana basvuru yapmalari rica olunur tanimi hedefleri dogrultusunda sorumlu oldugu bolgede mevcut olan doktor eczane ziyaretlerinde bulunarak marka urunlerinin tanitim satis faaliyetlerini yerine getirmek sorumlu oldugu musteriler firma iliskilerimizin saglikli duzenli sekilde surdurulmesini saglamak yeni musteri portfoyu olusturmak urunlere yonelik tanitim satis faaliyetlerini yonetmek belirlenen tanitim satis hedefleri dogrultusunda calisma planini gunluk haftalik aylik olusturmak uygulamak pazar rakiplerinin takibini raporlamasini yapmak,tibbi mumessil,tibbi_tanitim
7,universite mezunu sektorunde spesifik urunlerin satis gruplarinda tecrubeli office programlarini kullanabilen surucu belgesine sahip aktif arac kullanabilen seyahat engeli bulunmayan sertifikasi bulunan erkek adaylar icin askerlik hizmetini tamamlamis stanbul asya avrupa bursa zmir adana antalya ankara ilinde ikamet eden yeni kurulacak urun grubumuzda gorevlendirilmek uzere tibbi tanitim uzmani arayisimiz bulunmaktadir,tibbi tanitim uzmani,tibbi_tanitim
8,neutec tibbi tanitim temsilcisi tanimi,tibbi tanitim temsilcisi,tibbi_tanitim
9,sektorunde dermokozmetik alanlarinda calisacak performans odagi yuksek nsan iliskileri kuvvetli hedef sonuc odakli sinifi surucu belgesine sahip erkek adaylar icin askerlik gorevini tamamlamis saglik sektorunde yila yakin suredir hizmet veren sirketimizin bunyesindeki urunlerinin sorumlu olunan bolgelerde duzenli ziyaretlerle doktor eczanelere belirlenen hedefler dogrultusunda tanitimini satisini yapmak,tibbi mumessil,tibbi_tanitim
