calisma_sekli,departman,egitim,genel_nit_is_tanimi,ilan_baslik,label,sehir,sektor,sirket_adi,tecrube
,,,"Asansör ve yürüyen merdiven sektörünün global liderlerinden biri olarak misyonumuz “Kentsel yaşamın akışını geliştirmek”. Amacımız, insanların binaların içinde veya binalar arasında ulaşımlarının emmniyetli, konforlu ve güvenilir olmasını sağlamak.,Saha Eğitmenliği, organizasyonumuza yeni ekip arkadaşı arıyoruz! Ekibimize katılmak ister misiniz?,Aradığımız Profil,Üniversitelerin mühendislik fakültelerinden mezun, tercihen Makine, Mekatronik, Elektrik-Elektronik Mühendisliği bölümleri,Servis/bakım alanında min. 3 yıllık iş deneyimi olan,Tercihen asansör sektöründe deneyimli,Eğitmenlik konusunda tecrübeli veya motivasyonu yüksek,İyi derecede İngilizce bilen,Proaktif davranabilen ve işbirliğine yatkın,KONE İş Sağlığı ve Güvenliği standartlarına uyum sağlayabilecek,,Iş Tanımı,Bakım teknisyeni, süpervizör ve alt yüklenici çalışanlarına yerinde veya eğitim merkezinde eğitim vermek,Sahada meydana gelen sorunlara zamanında çözüm üretip ekipler arasındaki bağlantıyı sağlamak,Birim müdürünün talimatları doğrultusunda kural ve uygulamalardaki değişiklikleri takip edip sahadaki teknik ekibe aktarmak,Global eğitimleri Türkiye'ye adapte etmek (sınıf, iş başı ve online eğitimler),Proaktif yaklaşım ile saha ihtiyaçlarını analiz ederek yeni eğitimler dizayn etmek,Eğitim kayıtlarını tutup güncellemek ve eğitim müdürü ile beraber eğitim planlamasını gerçekleştirmek",Teknik Saha Eğitmeni (Servis&Bakım),banka_sigorta,,,KONE Asansör San. Tic. A.Ş.,
,,,"Okula gitmenin mutluluk verdiği bir eğitim düşüyle başladı her şey. Bu düşün ilham kaynağı 'doğa' ydı. Bugün 100'den fazla kampüsümüzde, 10.000'i aşkın çalışanımızla ""MUTLU ÇOCUKLAR ÖĞRENİR"" felsefesiyle Türkiye’nin en büyük eğitim zinciri olmanın gururunu yaşıyoruz.,Tüm stratejilerinin merkezine yaşam boyu gelişim felsefesini koyan Doğa Koleji olarak mesleğine değer katan siz değerli Sınıf Öğretmenlerimiz ile şimdiden tanışmayı çok isteriz.,Birlikte çalışmaktan büyük keyif alan bu kocaman ailenin içerisinde siz de yer almak ister misiniz?,İŞ TANIMI,'Sınıf Öğretmenliği' veya 'Üstün Zekalılar Öğretmenliği' bölümünden mezun, ,Alanında en az 2 yıl deneyimi olan, ,Erkek adaylar için askerlik görevi tamamlanmış veya 2 yıl süre ile tecilli durumda olan,,Öğretmenlik mesleğini seven, ,Takım çalışmasına yatkın ve uyumlu, ,İletişim gücü yüksek, ,Eğitim teknolojilerini derslerinde severek uygulayan, akıllı tahta kullanımı bilgisine sahip,,Üretmeyi seven, , , ",Sınıf Öğretmeni,banka_sigorta,,,Doğa Koleji,
,,,"Ağaoğlu Şirketler Grubuna bağlı ve Fitness sektörünün liderlerinden olan şirketimiz bünyesinde hizmet veren Spor ve Yaşam Merkezimiz ,MyClub ,World de ,görevlendirilmek üzere; ,Spor Akademisi mezunu ,Tercihen İngilizce bilen ,Federasyon onaylı 1.Kademe antrenörlük belgesine sahip ,Minimum 3 yıllık iş deneyimine sahip ,Personel Training/Özel ders verebilen ,Grup Egzersizleri konusunda deneyimli ,Bir sporcu olarak dış görünümüne özen gösteren ,Esnek çalışma saatlerine ve yoğun iş temposuna uyum sağlayacak ,Tam zamanlı çalışacak ,Güler yüzlü Bay ve Bayan ,Erkek adaylar için Askerliğini tamamlamış olan,Fitness Eğitmeni,İŞ TANIMI",Fitness Eğitmeni,banka_sigorta,,,Ağaoğlu Şirketler Grubu,
,,,"World Quality Summit tarafından 2018 yılının ''EN KALİTELİ OKUL'' u ünvanını ,elinde bulunduran ,TEOL  ,ANAOKULLARI TRABZON şubesinde  , çalışmak ,üzere ,Okul öncesi DRAMA, Öğretmenleri ,aramaktadır.,* Üniversitelerin, OKUL ÖNCESİ VEYA SINIF ÖĞRETMENLİĞİ  MEZUNU  VE  (ÇAĞDAŞ DRAMA DERNEĞİ TARAFINDAN VERİLMİŞ EĞİTİM) EĞİTİMDE ,YARATICI DRAMA  SERTİFİKASI 5. AŞAMAYI TAMAMLAMIŞ ,* Çocuklarla iyi ilişkiler kurabilecek ve onlarla çalışmayı seven,,* Sürekli öğrenmeyi ilke edinmiş ve bilgisini aktarabilen,,* Hizmet Kalitesine önem veren,,* Yaratıcı,Yeniliklere ve Kişisel Gelişime açık,,* Yüksek Motivasyon ve Özgüven sahibi,,* Eğitim ortamında dış görünüşüne önem veren, ,* Alanında etkin ve kariyer yapmayı düşünen,,* Ekip çalışmasına sahip,,* Kurumun vizyon ve misyonu doğrultusunda hareket edebilecek,,* Eğitim teknolojilerini etkin kullanabilen,,* İnsan ilişkileri kuvvetli,İŞ TANIMI ,Türkiye' nin en iyi okullarından biri olma yolunda hızlı ve sistemli ,bir şekilde ,ilerleyen ,TEKOL ANAOKULLARI  ,birlikte daha güçlü, olabileceği,* Alanında deneyimli olması tercih sebebidir,,* Sınıf, öğrenci ve ders planlama, takip ve yönetimi konularında ,yetkin ve tecrübeli,,* Değerleriyle katkı sağlayabilecek, ,FULL-TIME ,çalışabilecek DRAMA , Öğretmenleri ,aramaktadır.",TEOL ANAOKULLARI Drama Öğretmeni,banka_sigorta,,,Morfiyus Sinerjik Grup Dan.İletişim Hiz.Rek.Yay.,
,,,Biyoloji Öğretmeni ,Biyoloji Öğretmeni,banka_sigorta,,,Genç Hayat Eğitim Kurumları SAn. ve Tic. Ltd. Şti.,Tecrübeli ya da tecrübesiz adaylar
Sürekli / Tam zamanlı,Eğitim,,"2019-2020 Eğitim-Öğretim Yılı İçin Küçükçekmece-Sefaköy'de Bulunan Okulumuzda Görevlendirilmek Üzere Aşağıda Belirtilen Şartlara Uygun BİYOLOJİ Öğretmenleri Alınacaktır.,Üniversitelerin İlgili Bölümlerinden Mezun,,MEB Tarafından Alanına Atanmaya Yetkin,,Alanına ve LGS ve YKS gibi sınavlara hakim,,İletişim Gücü Yüksek , ,Hitap Ettiği Kimseleri Motive Edebilen , ,Öğrencilerle güçlü iletişim kurabilen,,Bilgisiyle Etkileyici Olabilen.",Biyoloji Öğretmeni,banka_sigorta,,Eğitim,SEFAKÖY ÖZEL FİNAL EĞİTİM KURUMLARI,
,,,"TÜRKİYE ÜSTÜN ZEKALILAR VE ÜSTÜN YETENEKLİLER EĞİTİM KÜLTÜR SAĞLIK VAKFI (TÜZYEKSAV) -  ÖZEL LİDERLER OKULLARINA,2019– 2020 Eğitim Öğretim Yılı için açık ve açılacak olan okullarımız için başvuru ilanıdır.,Eğitim sektöründe yaptığı yeniliklerle öncü kurumlarımıza ve sürekli büyüyen kadromuza  , Müzik Öğretmeni  ,alınacaktır.,Nitelikler,Motivasyonu yüksek, çok yönlü iletişim becerilerine sahip olmak,,Eğitim kadrosuna alınacak adayların MEB ataması yapılabilecek ilgili bölümlerden mezun olması gerekmektedir.,Takım çalışmasına yatkın olmak,,Alan bilgisine çok iyi derecede hakim olmak,,Alanıyla ilgili eğitim etkinliklerini planlamaya yeterli olmak,,Modern eğitim teknolojilerine uygun olarak eğitim programlarını planlayıp, uygulayabilir olmak,,İnsan ilişkilerinde başarılı olmak,,Problem çözme ve organizasyon yeteneği olan,,Sözlü ve yazılı iletişimi etkin bir şekilde kullanabilen,,Ekip çalışmasına yatkın,,Yaratıcı,,Başarılı odaklı ve gelişmelere açık,,Prezentabl, Diksiyonu düzgün,,Ankara ilinde ikamet eden ya da ikamet edebilecek durumda olmaktır.,Not:,Fotoğraflı olmayan özgeçmişler dikkate alınmayacaktır.,İŞ TANIMI,Ankara ilinde  faaliyet gösteren Okullarımızda 2019 -2020 Eğitim ve Öğretim Döneminde görev alacak  personeller arıyoruz.,Üst Yönetime rapor verecek,,Kurum Müdürüne bağlı olarak çalışır",Müzik Öğretmeni,banka_sigorta,,,ERKE GRUP EĞİTİM YAYINCILIK HİZMETLERİ SANAYİ TİC.LTD.ŞTİ.,
Sürekli / Tam zamanlı,Eğitim,,"Eğitim Fakültelerinden mezun ,,Tercihen , Türkçe, Edebiyat, Tarih ve Coğrafya branşlarında uzmanlaşmış,,Öğretilmesi hedeflenen derslerin senaryolaştırma kısmında çalışacak,,Aranan Nitelikler:,Türkçe’ye ileri düzeyde hâkim, dilbilgisi ve imla kurallarına dikkat eden,  editöryal yetenekleri olan.,Hayalgücü güçlü.,Bilinçaltı ilişkilendirme ve çağrışımlar yapabilen.,Yazmayı, üretmeyi ve yeni bir şeyler yaratmayı seven.,Kısa hikaye, masal, senaryo vb. yazabilecek,Kimler için uygun? ,Sürekli/Tam Zamanlı veya Yarı Zamanlı/Parttime çalışmak isteyenler.,Çalışmalar nerede gerçekleştirilecek? ,Çalışmalar ofisimizde ekip arkadaşlarımızla birlikte gerçekleştirilecek.",Eğitim ve Dokümantasyon Uzmanı,banka_sigorta,,Diğer,Sektöründe Lider Firma,
Sürekli / Tam zamanlı,Eğitim,,"2019-2020 Eğitim-Öğretim Yılı İçin Küçükçekmece-Sefaköy'de Bulunan Okulumuzda Görevlendirilmek Üzere Aşağıda Belirtilen Şartlara Uygun ,KİMYA Öğretmenleri ,Alınacaktır.,Üniversitelerin İlgili Bölümlerinden Mezun,,MEB Tarafından Alanına Atanmaya Yetkin,,Alanına ve LGS ve YKS gibi sınavlara hakim,,İletişim Gücü Yüksek , ,Hitap Ettiği Kimseleri Motive Edebilen , ,Öğrencilerle güçlü iletişim kurabilen,,Bilgisiyle Etkileyici Olabilen.",Kimya Öğretmeni,banka_sigorta,,Eğitim,SEFAKÖY ÖZEL FİNAL EĞİTİM KURUMLARI,Tecrübeli ya da tecrübesiz adaylar
,,,"BAYRAMPAŞA LIONEL OTEL QUALIA SPA FİTNESS DA ;,RESEPSİYONİSTİ,Müşteri ilişkileri güçlü, ,Aynı zamanda satışyapabilecek,, ,Yüksek gelir hedefleyen,, ,Aile ortamında çalışıp yüksek gelir hedefleyen arkadaşların başvurmasını bekliyoruz.,Alanında Tecrübeli, , ,fitness veya Spa tecrübesi olan,Orta derecede İngilizce ve Arapça bilen,Bay/Bayan (Bay adayların askerlikle ilişiğinin olmaması zorunludur.),Çözüm odaklı çalışan, ,Sorumluluk sahibi, ,Motivasyonu yüksek, ,İyi iletişim yeteneğine sahip, ,Diksiyonu düzgün, ,Telefonda veya yüzyüze satış yapabilen, ,Kişisel ve mesleki gelişimine önem veren, ,Kendine özen gösteren,,Prezentabl,,İnsan ilişkileri kuvvetli,,Takım çalışmasına yatkın,,Müşteri odaklı çalışabilecek,,Orta ve üst düzey insanlarla iletişim kurabilecek,,Analitik düşünebilen,,Hırslı ve esnek çalışma saatlerine uyabilecek,,Bay ve bayan takım arkadaşları alınacaktır.,İlgili adayların başvurularını bekliyoruz.,Tesisimiz Bayrampaşa, Lionel hotel içerisinde 3500m2 kapalı alan içerisine kurulu,,Kapalı yüzme havuzu, fitness, cardio, serbest ağırlık çalışma alanı, grup dersleri (plates, yoga, spinning, crossfit, boat camp, functional, zumba, crunch, taebo, personal training gibi) bay ve bayanlar için ayrı ayrı sauna, buhar odası, Türk Hamamı, Masaj Odaları ücretsiz çocuk bakım ünitesi, kapalı otoparkı bulunan mükemmel bir spor merkezidir.,Tesisimizde üyelik satışlarını gerçekleştirecek,",RESEPSİYONİST ,banka_sigorta,,,GÜNDÜZ GÜZELLİK MERKEZİ VE TURİZM İŞLETMECİLİĞİ LTD ŞTİ.,
