,genel_nit_is_tanimi,ilan_baslik,label
0,asansor yuruyen merdiven sektorunun global liderlerinden biri olarak misyonumuz kentsel yasamin akisini gelistirmek amacimiz insanlarin binalarin icinde veya binalar arasinda ulasimlarinin emmniyetli konforlu guvenilir olmasini saglamak saha egitmenligi organizasyonumuza yeni ekip arkadasi ariyoruz ekibimize katilmak ister misiniz aradigimiz profil universitelerin muhendislik fakultelerinden mezun tercihen makine mekatronik elektrik elektronik muhendisligi bolumleri servis bakim alaninda yillik deneyimi olan tercihen asansor sektorunde deneyimli egitmenlik konusunda tecrubeli veya motivasyonu yuksek derecede ngilizce bilen proaktif davranabilen isbirligine yatkin kone sagligi guvenligi standartlarina uyum saglayabilecek tanimi bakim teknisyeni supervizor yuklenici calisanlarina yerinde veya egitim merkezinde egitim vermek sahada meydana gelen sorunlara zamaninda cozum uretip ekipler arasindaki baglantiyi saglamak birim mudurunun talimatlari dogrultusunda kural uygulamalardaki degisiklikleri takip edip sahadaki teknik ekibe aktarmak global egitimleri turkiye adapte etmek sinif basi online egitimler proaktif yaklasim saha ihtiyaclarini analiz ederek yeni egitimler dizayn etmek egitim kayitlarini tutup guncellemek egitim muduru beraber egitim planlamasini gerceklestirmek,teknik saha egitmeni servis bakim,egitim_ogretim
1,okula gitmenin mutluluk verdigi egitim dusuyle basladi dusun ilham kaynagi doga bugun fazla kampusumuzde askin calisanimizla mutlu cocuklar ogreni felsefesiyle turkiye buyuk egitim zinciri olmanin gururunu yasiyoruz stratejilerinin merkezine yasam boyu gelisim felsefesini koyan doga koleji olarak meslegine deger katan degerli sinif ogretmenlerimiz simdiden tanismayi isteriz birlikte calismaktan buyuk keyif alan kocaman ailenin icerisinde almak ister misiniz tanimi sinif ogretmenligi veya ustun zekalilar ogretmenligi bolumunden mezun alaninda deneyimi olan erkek adaylar icin askerlik gorevi tamamlanmis veya sure tecilli durumda olan ogretmenlik meslegini seven takim calismasina yatkin uyumlu letisim gucu yuksek egitim teknolojilerini derslerinde severek uygulayan akilli tahta kullanimi bilgisine sahip uretmeyi seven,sinif ogretmeni,egitim_ogretim
2,agaoglu sirketler grubuna bagli fitness sektorunun liderlerinden olan sirketimiz bunyesinde hizmet veren spor yasam merkezimiz myclub world gorevlendirilmek uzere spor akademisi mezunu tercihen ngilizce bilen federasyon onayli kademe antrenorluk belgesine sahip minimum yillik deneyimine sahip personel training ozel ders verebilen grup egzersizleri konusunda deneyimli sporcu olarak gorunumune ozen gosteren esnek calisma saatlerine yogun temposuna uyum saglayacak zamanli calisacak guler yuzlu bayan erkek adaylar icin askerligini tamamlamis olan fitness egitmeni tanimi,fitness egitmeni,egitim_ogretim
3,world quality summit tarafindan yilinin kali teli okul unvanini elinde bulunduran teol anaokullari trabzon subesinde calismak uzere okul oncesi drama ogretmenleri aramaktadir universitelerin okul oncesi veya sinif ogretmenli mezunu cagdas drama dernegi tarafindan veri yaratici drama serti kasi asamayi tamamlamis cocuklarla iliskiler kurabilecek onlarla calismayi seven surekli ogrenmeyi ilke edinmis bilgisini aktarabilen hizmet kalitesine onem veren yaratici yeniliklere kisisel gelisime acik yuksek motivasyon ozguven sahibi egitim ortaminda gorunusune onem veren alaninda etkin kariyer yapmayi dusunen ekip calismasina sahip kurumun vizyon misyonu dogrultusunda hareket edebilecek egitim teknolojilerini etkin kullanabilen nsan iliskileri kuvvetli tanimi turkiye okullarindan biri olma yolunda hizli sistemli sekilde ilerleyen tekol anaokullari birlikte daha guclu olabilecegi alaninda deneyimli olmasi tercih sebebidir sinif ogrenci ders planlama takip yonetimi konularinda yetkin tecrubeli degerleriyle katki saglayabilecek full time calisabilecek drama ogretmenleri aramaktadir,teol anaokullari drama ogretmeni,egitim_ogretim
4,biyoloji ogretmeni,biyoloji ogretmeni,egitim_ogretim
5,egitim ogretim yili kucukcekmece sefakoy bulunan okulumuzda gorevlendirilmek uzere asagida belirtilen sartlara uygun yoloji ogretmenleri alinacaktir universitelerin lgili bolumlerinden mezun tarafindan alanina atanmaya yetkin alanina gibi sinavlara hakim letisim gucu yuksek hitap ettigi kimseleri motive edebilen ogrencilerle guclu iletisim kurabilen bilgisiyle etkileyici olabilen,biyoloji ogretmeni,egitim_ogretim
6,turki ustun zekalilar ustun yetenekli kultur saglik vakfi tuzyeksav ozel derler okullarina egitim ogretim yili icin acik acilacak olan okullarimiz icin basvuru ilanidir egitim sektorunde yaptigi yeniliklerle oncu kurumlarimiza surekli buyuyen kadromuza muzik ogretmeni alinacaktir nitelikler motivasyonu yuksek yonlu iletisim becerilerine sahip olmak egitim kadrosuna alinacak adaylarin atamasi yapilabilecek ilgili bolumlerden mezun olmasi gerekmektedir takim calismasina yatkin olmak alan bilgisine derecede hakim olmak alaniyla ilgili egitim etkinliklerini planlamaya yeterli olmak modern egitim teknolojilerine uygun olarak egitim programlarini planlayip uygulayabilir olmak nsan iliskilerinde basarili olmak problem cozme organizasyon yetenegi olan sozlu yazili iletisimi etkin sekilde kullanabilen ekip calismasina yatkin yaratici basarili odakli gelismelere acik prezentabl diksiyonu duzgun ankara ilinde ikamet eden ikamet edebilecek durumda olmaktir fotografli olmayan ozgecmisler dikkate alinmayacaktir tanimi ankara ilinde faaliyet gosteren okullarimizda egitim ogretim doneminde gorev alacak personeller ariyoruz yonetime rapor verecek kurum mudurune bagli olarak calisir,muzik ogretmeni,egitim_ogretim
7,egitim fakultelerinden mezun tercihen turkce edebiyat tarih cografya branslarinda uzmanlasmis ogretilmesi hedeflenen derslerin senaryolastirma kisminda calisacak aranan nitelikler turkce ileri duzeyde hâkim dilbilgisi imla kurallarina dikkat eden editoryal yetenekleri olan hayalgucu guclu bilincalti iliskilendirme cagrisimlar yapabilen yazmayi uretmeyi yeni seyler yaratmayi seven kisa hikaye masal senaryo yazabilecek kimler icin uygun surekli zamanli veya yari zamanli parttime calismak isteyenler calismalar nerede gerceklestirilecek calismalar ofisimizde ekip arkadaslarimizla birlikte gerceklestirilecek,egitim dokumantasyon uzmani,egitim_ogretim
8,egitim ogretim yili kucukcekmece sefakoy bulunan okulumuzda gorevlendirilmek uzere asagida belirtilen sartlara uygun ogretmenleri alinacaktir universitelerin lgili bolumlerinden mezun tarafindan alanina atanmaya yetkin alanina gibi sinavlara hakim letisim gucu yuksek hitap ettigi kimseleri motive edebilen ogrencilerle guclu iletisim kurabilen bilgisiyle etkileyici olabilen,kimya ogretmeni,egitim_ogretim
9,bayrampasa lionel otel qualia tness resepsi yoni musteri iliskileri guclu ayni zamanda satisyapabilecek yuksek gelir hedefleyen aile ortaminda calisip yuksek gelir hedefleyen arkadaslarin basvurmasini bekliyoruz alaninda tecrubeli fitness veya tecrubesi olan orta derecede ngilizce arapca bilen bayan adaylarin askerlikle ilisiginin olmamasi zorunludur cozum odakli calisan sorumluluk sahibi motivasyonu yuksek iletisim yetenegine sahip diksiyonu duzgun telefonda veya yuzyuze satis yapabilen kisisel mesleki gelisimine onem veren kendine ozen gosteren prezentabl nsan iliskileri kuvvetli takim calismasina yatkin musteri odakli calisabilecek orta duzey insanlarla iletisim kurabilecek analitik dusunebilen hirsli esnek calisma saatlerine uyabilecek bayan takim arkadaslari alinacaktir lgili adaylarin basvurularini bekliyoruz tesisimiz bayrampasa lionel hotel icerisinde kapali alan icerisine kurulu kapali yuzme havuzu fitness cardio serbest agirlik calisma alani grup dersleri plates yoga spinning crossfit boat camp functional zumba crunch taebo personal training gibi bayanlar icin ayri ayri sauna buhar odasi turk hamami masaj odalari ucretsiz cocuk bakim unitesi kapali otoparki bulunan mukemmel spor merkezidir tesisimizde uyelik satislarini gerceklestirecek,resepsi yoni,egitim_ogretim
