calisma_sekli,departman,egitim,genel_nit_is_tanimi,ilan_baslik,label,sehir,sektor,sirket_adi,tecrube
,,,"Dış Kaynak Hizmeti Sağlama Konusunda İki Kez Dünya Şampiyonu Olan Ekiple Tanışın”,ISS Türkiye olarak; 30.000’i aşan aile üyemiz ile İstanbul Genel Müdürlük, Ankara, Antalya, Bursa, İzmir Şubeleri ve Adana, Gaziantep, Eskişehir, Denizli bölge ofislerinde 4.000’den fazla müşteriye, 5000 noktada Temizlik, Güvenlik, Teknik Bakım, Catering, Çamaşırhane Yönetimi, Bitki Bakımı ve Haşere Kontrolü ve Destek Hizmetler hizmeti sunuyor ve sektördeki lider konumumuzla büyümeye devam ediyoruz.,ISS olarak bizi özel kılan pek çok şey var. Küresel deneyim, yenilikçi teknolojiler, endüstriye yön veren süreçler gibi… Ancak başarımızın gerçek sırrı, motivasyonu yüksek, esnek çalışma kapasitesine sahip, sıcakkanlı ekibimizde yatar.,Her gün, 530.000 kişilik ailemizin her bir üyesi, İnsani Dokunuşun Gücü ilkesinden aldığı ilhamla müşterilerin ihtiyaçlarını kavrıyor, onlarla empati kuruyor ve işlerin pürüzsüz yürümesi için var gücüyle çalışıyor.,Sizde bu büyük ailenin parçası olmak istiyorsanız başvurularınızı bekliyoruz.,ISS Türkiye, Konya,'da bulunan projemizde, ,görevlendirilmek üzere, ,HASTA HİZMETLERİ YÖNETİCİSİ, aramaktadır.,İŞ TANIMI,Hastane lokasyonlarında en az 3 yıl deneyimli,,Hastane ortamında ekip yönetebilecek,,İnsan ilişkileri kuvvetli,,Baskı ve stres ortamında çalışabilecek,,Hasta yönlendirme, resepsiyon, posta,mefruşat,tıbbi malzeme,numune taşıma operasyonlarını koordine edip yönetebilecek,,MS Office programlarına hakim,İyi derecede İngilizce bilen,,Diksiyonu düzgün,,Konya'da ikamet eden",Hasta Hizmetleri Müdürü,hasta_hizmetleri,,,ISS SAĞLIK ve EĞİTİM TESİSLERİ A.Ş.,
Sürekli / Tam zamanlı,Sağlık,,"En az lise mezunu,Tercihen sağlık sektöründe benzer pozisyonda deneyimi olan,Hasta memnuniyetine odaklı,İletişim ve ikna becerisi yüksek,Takip yönü kuvvetli, çözüm odaklı,Güler yüzlü,Kişisel bakımına dikkat eden",Hasta Danışmanı,hasta_hizmetleri,İstanbul(Avr.)(Bakırköy),Sağlık,Veni Vidi Göz Grup,
,,,"En az lise mezunu,Sağlık sektöründe benzer pozisyonda en az 1 yıl deneyimli,SGK, Özel Sağlık Sigortaları ve Anlaşmalı Kurumlar süreçlerine hakim,MS Office uygulamalarını aktif kullanabilen,Yoğun iş temposuna ayak uydurabilecek,Hasta iletişimine önem veren,Güler yüzlü, pozitif,Çözüm odaklı",Hasta Kabul Görevlisi,hasta_hizmetleri,,,Veni Vidi Göz Grup,
,,,"Birçok ilklerin yaşandığı Medipol Mega Hastaneler Kompleksi, bir Üniversite Hastanesi olmasının yanı sıra bünyesinde bulunan Genel, Onkoloji, Kalp-Damar Cerrahisi ve Diş Hastaneleri ile Türkiye’nin en fazla branş sayısına sahip hastanesi olma özelliğini de taşımaktadır. ,
Medipol Üniversitesi Hastanesi/Medipol Mega Hastaneler Kompleksi, sahip olduğu güçlü hekim ve akademik kadro, iyileştiren hastane mimarisi, akıllı bina teknolojisi ve ileri tıbbi donanımı ile hem ulusal hem de uluslararası alanda önemli bir referans merkezidir.,
Medipol Eğitim ve Sağlık Grubu’ nun Türkiye' deki haklı gururu olan Medipol Mega Hastaneler Kompleksi tüm dünyadan hasta kabul edebilen,hem hizmet hem de akademik JCI akreditasyonu almış,bebek dostu bir sağlık kompleksidir.,
 ,
,İnsanın en önemli değerlerinden biri olan Sağlık'a, en ileri teknolojiyi kullanarak, bütüncül kalite anlayışı ile geniş kitlelere saygıdeğer bir hizmet vermek isteyen çalışma arkadaşlarını aramızda görmek istiyoruz.,En az ön lisans tercihen lisans mezunu, ,Planlama ve organizasyon yeteneği gelişmiş, ,Etkili iletişim kurabilme becerisine sahip, ,Hasta ve hasta yakını psikolojisini önemseyen, ,Hizmet sunumunda ‘hasta memnuniyetini’ gözeten, ,Ekip ruhu taşıyan, ,Yoğun çalışma temposuna uyum sağlayabilen, ,Analitik ve hızlı düşünme yeteneğine sahip, ,Dış görünüşüne ve kişisel bakımına özen gösteren, ,Erkek adaylar için askerlik hizmetini tamamlamış, ,Sigara ve tütün mamulleri kullanılmaması tercih sebebidir.  ,
  ,İŞ TANIMI,
,Kurumumuza gelen misafirlerimizin, öncelikli ve hızlı hizmet almaları neticesinde kendilerini ayrıcalıklı hissetmelerine katkı sağlamak,,Hastalarımızın her türlü randevu ve poliklinik süreçlerini planlamak, takiplerini yapmak ve eksiksiz olarak sonuçlanmasını sağlamak,,Hastanede sunulan hizmetler hakkında hasta ve hasta yakınlarının sorularını cevaplandırmak. ,Hastanenin anlaşmalı olduğu kurum ve sigorta şirketleri hakkında hastalara bilgi vermek.,‘VIP HASTA DANIŞMANI ’’",HASTA DANIŞMANI,hasta_hizmetleri,,,İstanbul Medipol Hastanesi,
3,Sürekli / Tam zamanlı,,"Yedikule Surp Pırgiç Ermeni Hastanesinde görevlendirilmek üzere;,Tercihen en az ön lisans mezunu,,Sağlık sektöründe tecrübesi olan,,Hasta ve hasta yakınlarının memnuniyetine önem veren,,Tercihen Ermenice bilen,,Sunum, temsil ve ikna yeteneği gelişmiş,,Dış görünüşüne ve kişisel bakımına özen gösteren,,Ms Office ( Word, excel, powerpoint) programlarına hakim,,Sigara kullanmayan,,Hasta Danışmanı alınacaktır.",Hasta Danışmanı,hasta_hizmetleri,,Halkla İlişkiler,Yedikule Surp Pirgiç Hastanesi,Tecrübeli ya da tecrübesiz adaylar
,,,"En az lise mezunu, ,Yeni mezun ya da son 1 ay içinde sigorta girişi olmayan, ,İŞKUR projesiyle çalışabilecek, ,İşaret Dili Bilen, ,Medipol’de kariyer hedefleyen, ,Planlama ve organizasyon yeteneğine sahip, ,Haftanın altı günü esnek çalışma modeline göre çalışabilecek, ,Etkili iletişim kurabilme becerisine sahip, ,Hizmet sunumunda ‘hasta memnuniyetini’ gözeten, ,Yoğun çalışma temposuna uyum gösterebilecek, ,Analitik ve hızlı düşünme yeteneğine sahip, ,Dış görünüşe ve kişisel bakımına özen gösteren, ,İstanbul Avrupa yakasında ikamet eden/edebilecek ,Sigara kullanmayan, ,İŞ TANIMI,Kurumumuza gelen misafirlerimizin, öncelikli ve hızlı hizmet almaları neticesinde kendilerini ayrıcalıklı hissetmelerine katkı sağlamak,,Hastalarımızın her türlü randevu ve poliklinik süreçlerini planlamak, takiplerini yapmak ve eksiksiz olarak sonuçlanmasını sağlamak,,Hastanede sunulan hizmetler hakkında hasta ve hasta yakınlarının sorularını cevaplandırmak. ,Hastanenin anlaşmalı olduğu kurum ve sigorta şirketleri hakkında hastalara bilgi vermek., “İşaret Dili Bilen Hasta Danışmanı”",HASTA DANIŞMANI (İŞARET DİLİ BİLEN),hasta_hizmetleri,,,Medipol Mega Hastaneler Kompleksi,
,,,"Uluslararası Asistans (Medikal, Seyahat, Teknik, Yol yardım), Sağlık Turizmi ve Müşteri İlişkileri Yönetimi alanlarında Türkiye’nin en eski ve önde gelen şirketlerinden ,Remed Assistance, olarak, ,İstanbul (Maslak) ,ofisi,mizde görev alacak, aşağıdaki özelliklere sahip ,Uluslararası Faturalama Uzman Yardımcısı, arayışımız mevcuttur.,GENEL NİTELİKLER,Üniversitelerin ilgili Lisans bölümlerinden mezun,,İleri düzey İngilizce bilen,,MS Office (Excel, Word, PP)  programlarına hakim,,Tercihen Mikro ERP deneyimi olan,,Takip etme,, problem çözme, sorgulama, araştırma yeteneğine sahip ve analitik düşünebilen,,Etkin iletişim kurabilen, takım çalışmasına yatkın ve sonuç odaklı,,Önceliklendirme ve iş planlaması yapabilen,,Erkek adaylar için askerliğini tamamlamış.,İŞ TANIMI,Hastane faturalarının kontrol edilmesi ve sisteme kaydedilmesi,,Tüm sigorta şirketlerinin kontrolü ve faturalandırma işlemleri,,Faturalandırmaya ait raporların sisteme işlenmesi,,Gelir faturalarının düzenlenmesi,,Hastaneler ve diğer ilişkide bulunduğumuz kurumlarla ilişkide bulunulması,,Sağlık kuruluşlarından ilgili fatura talebinde bulunulması,,Finans hizmetlerine ilişkin kayıt ve belgelerin ilgili mevzuatta belirtilen sürelerle muhafaza edilmesi ve denetime hazır bulundurulması,,Gerekli durumlarda bağlı bulunduğu departmana destek verilmesi.",Uluslararası Faturalama Uzman Yardımcısı,hasta_hizmetleri,,,Remed Assistance,
,,,"Türkiye’de sağlık sektöründe başarılı bir geçmişe sahip Medipol Sağlık Grubu’nun Kadıköy’de hizmet veren Medipol Hastanesi’nde görevlendirilmek üzere;,
 ,
,Tercihen lisans, en az MYO mezunu, ,Sağlık sektöründe ‘Hasta Kayıt Kabul’ pozisyonunda çalışmış, ,SGK, özel sağlık sigortası ve anlaşmalı kurumlar bilgisine sahip, ,Yeniliğe ve öğrenmeye açık, ,Dış görünümüne ve kişisel hijyenine önem veren, ,İlgili alanda en az 1-2 yıl deneyimli, ,Takım çalışmasına yatkın, ,Ms Office programlarına hakim, ,Hasta ve hasta yakınlarıyla etkili iletişim kurabilen aynı zamanda empati kurma becerisine sahip,,Hasta memnuniyetine önem veren, ,Vardiyalı çalışabilicek, ,Sabırlı, güler yüzlü ve dinamik, ,Anadolu yakasında ikamet eden, ,'Hasta Kayıt Kabul Görevlisi',İŞ TANIMI,
,Kurumumuzun verdiği hizmetlerinden faydalanmak üzere gelen hastalara gerekli bilgileri aktaracak,,Hastaların kabul işlemleri için gerekli hazırlıkları tamamlayacak, ,Hizmetlerimizden  faydalanan/faydalanacak hastaların ödemesini alacak ve faturasını kesecek,,Hastanın ödemesiyle ilgili evrakların eksiksiz olduğunu kontrol ederek teslim edecek,,Gün sonunda ilgili bölüme kasa teslimi yapacak. ",HASTA KAYIT KABUL GÖREVLİSİ,hasta_hizmetleri,,,Özel İstanbul Medipol Hastanesi,
Eleman,Sürekli / Tam zamanlı,"Ön Lisans(Mezun), Üniversite(Mezun)","Üniversite veya Meslek Yüksekokul mezunu, ,Tercihen sağlık sektöründe deneyimli,,MS Office programlarını kullanabilen,,İnsan ilişkilerinde başarılı,,Ekip çalışmasına yatkın, ,Prezantabl,   , İŞ TANIMI ,Hasta verilerinin günlük olarak ilgili sisteme girilmesi, ,Merkeze başvuran hasta ve hasta yakınlarının karşılanması, randevu verilmesi,,Tetkik için bekleyen hastaların takibinin yapılması ve bilgi verilmesi,,Kurum evrakları düzenlenerek günlük kasanın tutularak ön muhasebe işlemlerinin yapılması,,Bölüme ait araç, gereç ve ekipmanlar ile eksikliklerin belirlenerek bağlı bulunduğu yöneticinin onayını alarak kullanılan sistem üzerinden talep yapılmasının sağlanması, ,Bilgi, istem formları ve raporların arşivlenmesinin sağlanması.  ",Hasta Kabul Yetkilisi,hasta_hizmetleri,,"Holding / Şirketler Grubu, Sağlık Hizmetleri, Sağlık",BOZLU HOLDİNG A.Ş.,Tecrübeli ya da tecrübesiz adaylar
Sürekli / Tam zamanlı,Sağlık,,"Lise veya önlisans mezunu, ,Tercihen hasta bakımı konusunda tecrübeli, ,Hasta ve hasta yakınlarının memnuniyetini işinin her aşamasında ön planda tutabilecek,,Ekip çalışmasına yatkın, ,Vardiyalı çalışabilecek. ,İŞ TANIMI",Hasta Bakıcı-Anadolu Yakası,hasta_hizmetleri,İstanbul(Asya),Sağlık,Acıbadem Sağlık Grubu,En çok 10 yıl tecrübeli adaylar
