calisma_sekli,departman,egitim,genel_nit_is_tanimi,ilan_baslik,label,sehir,sektor,sirket_adi,tecrube
Sürekli / Tam zamanlı,Bilgi İşlem,,"
,Tercihen üniversitelerin Endüstri Mühendisliği bölümünden mezun,,
,Tercihen Microsoft Axapta ile ilgili yazılım desteği verme konusunda 1 yıl tecrübeli,,
,ERP Programları konusunda kendisini geliştirme hedefi bulunan, ,
,İş analizi süreç ve metodolojileri konusunda bilgi sahibi,,
,MS Ofis programlarına hakim,, ,Sonuç odaklı,, ,Takım oyuncusu,, ,Kaynakları etkin ve verimli kullanabilen,, ,İletişim becerileri gelişmiş,, ,Sistematik ve süreç bazlı çalışma alışkanlığını olan,,
,Analitik düşünme ve problem çözme yetkinliğine sahip,,
,Kendini geliştirmeye ve öğrenmeye istekli,, ,Erkek adaylar için askerlik hizmetini tamamlamış, ,İŞ TANIMI,
,Microsoft Axapta ERP Programı üzerinde şirket fonksiyonlarında kullanılan tüm modüllerin desteğini vermek,,
,Kullanıcıdan gelen taleplerin analiz edip yazılım ekibine aktarmak,,
,Yeni geliştirmelerin test edilerek kullanıcı dokümanlarının hazırlamak,,
,Süreçlerde iyileştirme gereken konuların tespit edilmesi ve süreç verimliliğinin artırılmasıyla ilgili görev almak,",İş Analisti,is_analizi_raporlama,İstanbul(Asya),"Elektrik & Elektronik , Otomasyon, Güvenlik, Elektronik Güvenlik Sistemleri",Gizli Firma,
,,,"Deloitte provides audit, tax, consulting, risk advisory and financial advisory services to public and private clients spanning multiple industries. With a globally connected network of member firms in more than 150 countries and territories, Deloitte brings world-class capabilities and high-quality service to clients, delivering the insights they need to address their most complex business challenges. Deloitte’s more than 286,000 professionals are committed to becoming the standard of excellence.,We are seeking for Event Marketing Analyst who has the following qualifications;,Minimum 1-3 years of experience, especially knowledge of best practices in events and marketing,Excellent command of both written and spoken English and Turkish,Strong written and verbal communication skills,Very strong proficiency in Word, Excel and reporting at Excel,Event, digital and social media development, creative or media department experiences will be assets,Event and email marketing experience will be an asset,Dynamic, results-oriented and problem-solving skills,Analytical/structured thinking with an ability to develop multi-faceted plans/budgets,Very strong team player and yet be able to work independently, flexible and proactiv,Effective management of time and ability to work under pressure,,Builds own understanding of our purpose and values; explores opportunities for impact,Understands how their daily work contributes to the priorities of the team and the business,Military service must be completed for male candidates,Job Description,Creative and competent in event marketing, e-mail announcements and digital media,Communicating events internally and externally,Planning and announcing events, taking offers from suppliers for event planning and following up the process,Coordinating the internal communication in order to inform all related departments about the event and its contents,Planning the company events beforehand and supporting the operational proceses, guiding other related departments, managing the communication between the company and the guests,Coordinating the preparation process before the event and solving potential problems,Taking offers from suppliers for planned events, preparing vendor contracts and following up the offer process,Promoting the events inside the company through social media, e-mail and other internal communication channels and assisting the event announcement process,Following up the preparation process of all printed visuals and other materials,Following up the participant profiles before and after the event,Conducting event success inventories and evaluating them",Event Marketing Analyst,is_analizi_raporlama,,,Deloitte,
,,,"ETIYA uluslararası standartlarda ve müşteri deneyimini esas alan yapay zeka destekli dijital dönüşüm uygulamaları geliştiren, 3 kıtada 800’ü aşkın çalışanı ile global teknoloji şirketidir. ,ETIYA, müşteri yolculuğunun tüm adımlarını izlenebilir ve yönetilebilir hale getirerek; kurumların veri odaklı karar alma yapılarını güçlendirir, etkin ve çevik aksiyon almalarına yardımcı olur. ,Kurumların müşteri değer yönetimine geçmesini önceliklendiren ETIYA; Yapay Zeka, Veri Analitiği ve Müşteri Yönetimi yeteneklerini rekabet kaldıracı olarak kullanır ve tamamen dijital, sürdürülebilir bir iş modeli inşa edebilmelerini mümkün kılar. 
,Hollanda, Kanada, ABD, Türkiye, Ukrayna, Singapur, BAE’deki ofisleriyle hizmet vermeyi sürdüren ETIYA’nın ürün ve çözümleri dünya çapında bağımsız kuruluşlar tarafından birçok ödüle layık görülmüştür. Sürekli inovasyon ve gelişim odağında, kurumsal değerleri esas alan ETIYA, çalışanlarının her gün daha ileriye gitmelerini amaçlar. , Eğer, ,• Yenilikçi, ,• Çevik, ,• Cesur bir hayalperest olduğunu düşünüyorsan , ve ,• Yenilik tutkunu, ,• Çevik hareket eden, ,• Cesaretle beslenen,lider bir teknoloji şirketinde çalışmak istiyorsan, başvurunu bekliyoruz!,• En az 3-5 yıllık tecrübeye sahip olmak,• En az bir kullanıcı arayüzü modelleme uygulaması kullanımında bilgi sahibi olmak,• Yazılım gereksinim dokümanı hazırlama konusunda tecrübe sahibi olmak,• UML modelleme konusunda tecrübe sahibi olmak,• Proje analiz dokümanları hazırlama konusunda tecrübe sahibi olmak,• Süreç modelleme uygulamaları hakkında tecrübe sahibi olmak,İŞ TANIMI,Bu pozisyonda yer alacak kişi müşteri lokasyonunda görev yapacaktır.",MID & SR ANALİST / ANKARA,is_analizi_raporlama,,,ETIYA,
,,,"Üniversitelerin Mühendislik (Bilgisayar, Endüstri, Matematik, Yönetim Bilişim Sistemleri) veya eşdeğer bilişim ile ilgili lisans bölümlerinden mezun,,İş analizi süreç ve metodolojilerine hakim, benzeri bir pozisyonda yazılım projelerinde en az 3 yıl görev almış,,İyi derecede İngilizce bilen, ,Tercihen SAP veya diğer ERP programları hakkında bilgi sahibi, ,İlişkisel veritabanı bilgisine sahip, SQL sorgulamaları yapabilen, ,Tercihen yazılım geliştirme tecrübesine sahip ,Tercihen Microsoft Office programlarından Access veya Excel’e hakim, ,Tercihen CRM sektöründe deneyimli ve CRM uygulamaları geliştirme sürecinde bulunmuş,Karşılaştığı problemleri analiz edip sistematik çözüm üretebilen, ,Mevcut süreçlerin iyileştirmesinde aktif rol alabilecek, ,Kullanıcılardan gelecek olan sorulara yardımsever ve eğitici cevaplar verebilen,,İŞ TANIMI,""İş Analisti"",SAP kullanıcılarına ERP, BW, BO alanlarında gelecek problemlere destek  hizmeti verilmesi,,SAP ve CRM kullanıcı bakımlarının yapılması, eğitim ve dokümantasyon hazırlanması,,SAP ve CRM kullanıcılarımızdan gelen geliştirme taleplerinin değerlendirilmesi, önem ve boyut olarak ölçeklendirilmesi, partnerler ile proje bazlı veya doğrudan yazılım taleplerimizin yönetilmesi,,Yapılan geliştirmelerin kullanıcılar ile birlikte testlerinin yapılmasının sağlanması, çalışma gruplarının organize edilmesi,,Şirketin iş süreçleri ile ilgili bilgi sahibi olup, yeni fikirler üretilmesi,,Yönetimin istediği raporların sonuçlarına ulaşacak yapıların tasarlanması (SAP ERP, CRM, BW, BO, Access, Excel, Power BI),,SAP, Microsoft gibi firmaların ürünleri için süreci etkileyen durumlarda eğitim planlanması ve dokümantasyon yapılması,",İş Analisti,is_analizi_raporlama,,,Turkon Holding A.Ş,
Sürekli / Tam zamanlı,Teknoloji,,"Nitelikler,:,Üniversitelerin Endüstri Mühendisliği, Bilgisayar Mühendisliği, İşletme Mühendisliği, Matematik, Sistem Mühendisliği, MIS veya ilgili bölümlerinden mezun,,Benzer pozisyonda en az 1 yıl deneyime sahip,,Web uygulamaları, Android teknolojileri, SQL ve ilişkisel veritabanları hakkında bilgi sahibi,,MS Office programlarını çok iyi kullanabilen,,Yazılım geliştirme süreçlerine (Gereksinim Belirleme, Tasarım, Kodlama, Entegrasyon, Test, Kurulum, Bakım) ve proje yönetim metodolojilerine hakim,,Yazılım test süreçleri ve metodları konusunda bilgi sahibi,,Literatürü takip edecek seviyede İngilizce bilgisine sahip,,Erkek adaylar için askerliği tamamlamış veya en az 2 yıl tecil hakkına sahip olmak.,İş Tanımı:,Gelen hata ve taleplerin önceliklerini belirleyerek gereksinimlerini çıkarmak,,Yazılım gelistirme ve test ekibi ile gerekli koordinasyonda çalışarak projenin tüm aşamalarında bilgi aktarımı ve desteği sağlamak,,Gereksinim dokümanlarının ve kullanıcı senaryolarını sürece uygun hazırlamak,,Geliştirilmesi tamamlanan taleplerin uygulamaya geçmeden önce fonksiyonel testlerini yaparak müşteri gereksinimleri ile uygunluğunun sağlanması.,Şirket Profili:,ID3 Yazılım ve Bilgi Teknolojileri Şirketi  havacılık alanında havayolları, havalimanları ve sivil havacılık otoritelerine özel ürünler ve çözümler sunmaktadır.,Tüm ilgilenen adaylara teşekkür ederiz. Sadece ilgilenilen adaylar ile iletişime geçilecektir.",İş Analisti,is_analizi_raporlama,İstanbul(Avr.)(Esenler),"Yazılım, Hava Taşımacılığı",ID3 Ltd.Şti,
,,,"Üniversitelerin Yönetim Bilişim Sistemleri (MIS), Yazılım Mühendisliği ,Bilgisayar Mühendisliği, Matematik, İstatistik vb. bölümlerinden mezun,,İş Analizi/Sistem Analizi rollerinde 3 yıl ve üzeri deneyimi olan,Süreç Analizi ve Raporlama konularında deneyimli,Yazılım testleri ve test senaryoları konularında deneyimli,Analitik düşünme yetkinliğine sahip ve iletişimi kuvvetli,Sorumluluk sahibi olan ve ekip liderliği konusunda deneyimli,Takım çalışmalarına uyumlu,İŞ TANIMI,AcerPro, deneyimli kadrosu ile 2005 yılından beri ulusal ve uluslararası Banka ve Sigorta şirketlerine, yüksek teknoloji çözümleri üretmektedir. AcerPro ailesine katılmak üzere;,Yazılım Geliştirme Ekibi’ne verilmek üzere fonksiyonel tasarım dokümanını; standartları, süreç anlatımları, hata, uyarı, yönlendirme durumlarını, diğer modüller ile etkileşimlerini ve fizibilitesini de dikkate alarak detaylı ve hızlı bir şekilde hazırlamak ve güncelliğini sağlamak,,Yazılım Geliştirme Ekibi ile beraber çalışarak süreçlerin anlaşılabilirliğini sağlamak, Yazılım Geliştirme Ekibi tarafından geliştirilen yazılımın prototipini incelemek, ve bu konuda Yazılım Ekip Lideri’ni bilgilendirme,,Kullanıcı el kitaplarını; işin tanımı, uyulması gereken kurallar ve hata mesajları çerçevesinde hazırlama ve hazırlanmasını koordine etme,,İş birimleri ile ilişkileri geliştirmek ve zenginleştirmek, beklentilerini proaktif bir şekilde yönetmek ve memnuniyet seviyelerini izlemek, tüm ölçümleri paylaşmak ve kendilerine BT çözüm önerileri sunmak.,İş birimlerinden gelen taleplerin sistematik olarak alınmasını, iş analizlerinin yapılmasını, dökümante edilmesini, değerlendirilmesini, önceliklerin belirlenmesini, programlara veya projelere dönüştürülmesini, hayata geçirilmesini ve devredilmesini takip etmek ve raporlamak.,Yazılım test stratejilerini ve kullanıcı kabul testi zincirini geliştirmek ve uygulamak.,Sorumluluğu altında olan uygulamalarla ilgili olarak kullanıcılara olay ve problem çözüm desteği vermek.,Ekiple yürütülen projelerde teknik proje yönetimini yapmak ve ekipler arasında koordinasyonu sağlamak üzere,,İş Analistlerini arıyoruz.",İş Analisti,is_analizi_raporlama,,,AcerPro Bilişim Teknolojileri A.Ş.,
,,,"Üniversitelerin  Ekonometri, Endüstri Mühendisliği, İşletme Mühendisliği, İşletme, Matematik, veya İstatistik bölümlerinden mezun, tercihen MBA yapmış,,Aynı veya benzer sektörde, planlama ve analiz alanında en az 3 yıl deneyim sahibi,,MS Office uygulamalarını etkin olarak kullanan,,İyi derecede yazılı ve sözlü İngilizce bilgisine sahip,,ERP konusunda bilgi ve deneyim sahibi,,Analitik yetkinliklerini kullanarak parçaları birleştirebilen,,İleri derecede iş zekasına ve finansal zekaya sahip,,İyi derecede sayısal analiz yeteneği olan ve detaylara özen gösteren,,Senaryo planlama için model tasarlayabilecek, hedef belirleyebilecek,,Yaratıcı varsayım ve önerilerle analiz süreç yönetimini sağlayabilecek,,Günlük detaylara güçlü hakimiyetin yanında büyük resmi görerek  riskleri öngörülerde bulunacak,,Şirket içindeki tüm seviyedeki pozisyonlarla iletişim kurabilme yeteneği olan,,Kendine güvenen, bağımsız ve  zaman baskısı altında çalışabilen,,Bilgi ve deneyimini  geniş bir şekilde paylaşabilme öz güvenine sahip,,Erkek adaylar için askerliğini yapmış,Tercihen İstanbul Avrupa Yakasında ikamet eden ( İş yeri Beylikdüzü'ndedir).,İŞ TANIMI,Ürün ve müşteri segmenti bazında detaylı satış, karlılık, hizmet verme maliyet analizlerinin gerçekleştirilmesi ve iyileştirme alanlarının belirlenerek raporlanması,,Faaliyette bulunulan tüm ülke ve segmentler bazında bütçe çalışmalarının yürütülmesi, analizlerle ulusal ve uluslararası performansın takip edilmesi,,Satış ve Pazarlama stratejilerinin belirlenmesi için ad-hoc raporlarının oluşturulması ve yönetici değerlendirmesine sunulması,,What-if analizleri, trend analizleri ve tahminleme analizleri ile business intelligence raporlarının hazırlanması,,Kampanya stratejilerinin yönlendirilmesi için ürün ve müşteri analizlerinin gerçekleştirilmesi,,Satış hedeflerinin gerçekleştirilmesine yönelik kampanya hesaplamalarının yapılarak, sisteme tanımlanması,,Pazarlama stratejilerinin değerlendirilmesine yönelik analizlerin yapılması,,Fiyatlama ve ürün tanıtımları konusunda B2B platformuna destek verilmesi,,Rakiplerin pazardaki davranışlarını inceleyerek, rakip fiyat,  bütçe, fiili analizleri ve gelecek öngörülerini hesaplanması.",Stratejik Pazarlama Analisti,is_analizi_raporlama,,,SAMET KALIP VE MADENİ EŞYA SAN. TİC. A.Ş.,
,,,"Üniversitelerin ilgili bölümlerinden mezun (tercihen Endüstri Mühendisliği),,Görev alanı ile ilgili en az 3 yıl deneyimi olan,,İleri seviyede İngilizce bilen,,Temel programlama ve algoritma, ilişkisel veri tabanı mimarisi, üretim ve ürün geliştirme (seri üretim) süreçleri hakkında bilgi sahibi olan,,MS Office programlarını ve SAP programını iyi seviyede kullanabilen,,Planlama- önceliklendirme, organizasyon ve iletişim yeteneklerine sahip,,Takım çalışmasına yatkın, iletişim yönü kuvvetli, ,İstanbul Anadolu yakasında veya Kocaeli bölgesinde ikamet eden/edebilecek.,İŞ TANIMI,Farplas; Yurt içinde ve Yurt dışında üretim yapan, başta Toyota, Renault, Hyundai, Ford, Tofaş-Fiat olmak üzere otomotiv ana sanayi firmalarına, 4 üretim tesisinde, 1800 kişilik çalışanıyla araç içi-dışı trim plastik parçaların ürün gerçekleştirme sürecinin (tasarım-geliştirme, kalıp, proje yönetimi, seri üretim, satış sonrası destek) tamamında çözüm ortağı olarak hizmet etmektedir. ,Farplas büyüyen organizasyonunda ,İş Analisti, olarak çalışacak takım arkadaşı arıyor.,SAP ERP, Otomasyon (MII/ME) ve PLM sistemleri ile ilgili talepleri değerlendirerek çözüm üretmek, ,Süreç tasarımlarına uygun test senaryolarının hazırlamak ve yazılım çözümlerinin senaryolara uygun bir şekilde test etmek ve dokümantasyonunu oluşturmak,,Test süreç ve metotların diğer çözüm geliştirme süreçleri ile entegre etmek,,Danışmanlar ile iş birimleri arasında iletişim ve koordinasyonu sağlamak,,Sistemlerdeki hatalar ile ilgili gerekli aksiyonları alıp hata analizi yapabiliyor olmak,,Otomasyon sistemleri ile ERP sistemleri arasındaki entegrasyonların analizini yapmak.",İş Analisti,is_analizi_raporlama,,,FARPLAS OTOMOTİV A.Ş,
,,,"GENEL NİTELİKLER,Üniversitelerin ilgili bölümlerinden mezun,Yazılım geliştirmeyle ilgili işlerde tecrübe sahibi,Yazılım geliştiricisi veya analist olarak daha önce çalışmış,İyi derecede İngilizce bilen (advanced),İŞ TANIMI,Yurtiçi ve yurtdışı müşterilerimiz için geliştirilecek ve geliştirilmekte olan yazılımlarımızın analiz, entegrasyon ve süreç geliştirme görevlerinde çalışacak,,Yazılım geliştirme süreçleri kapsamında; fonksiyonel analiz, arayüz tasarımı ve dokümantasyon çalışmalarını yapmak,,Yazılım çözümlerinin belirlenmesi süreci kapsamında; iş ihtiyaçlarına karşılık gelen teknik ihtiyaçları belirlemek; fizibilite çalışmalarını yapmak; güvenlik ve kontrol ihtiyaçlarını fizibilite aşamasında değerlendirmek,,Yazılım geliştirme test süreci kapsamında; test senaryoları oluşturmak ve uygulamak, analiz-arayüz tasarımı-test senaryo dokümanlarını arşivlemek,,Kullanıcı kabul testi için iş kolları ile gerekli koordinasyonu sağlamak ve uygulamaların kullanım kılavuzlarını ve eğitim dokümanlarını oluşturmak.,Problem yönetim süreci kapsamında; kullanıcılar tarafından iletilen problemleri incelemek, kaynağını tespit etmek ve çözüm için ilgili tüm grupları bilgilendirmek.,Yazılım Müdürü tarafından verilecek görevler kapsamında, yeni gelişecek süreçleri ve yazılım sonuçlarını analiz etmek.",Yazılım Analizi Uzmanı (Şişli),is_analizi_raporlama,,,Barsan Global Lojistik A.Ş.,
,,,İŞ TANIMI,İş Analisti,is_analizi_raporlama,,,Doğuş Teknoloji,En az 4 yıl tecrübeli adaylar
,,,"Şirketimizin Gereksinim Yönetimi Departmanı’nda, “İş Analisti”, olarak görev alacak; ,Üniversitelerin Endüstri Mühendisliği, Matematik Mühendisliği, Bilgisayar Mühendisliği, İşletme Mühendisliği, İstatistik veya eşdeğer bölümlerinden mezun,  ,Tercihen Sigorta sektöründe Süreç analizi veya İş analizi konularında en az 3 yıllık mesleki deneyime sahip, ,İleri düzeyde MS Office (Word, Excel, Visio, Powerpoint,v.b) uygulamalarını kullanabilen, ,Tercihen İş akışı analiz araçları ve SQL hakkında bilgi sahibi, Analitik düşünme ve problem çözme yetkinliğine sahip, araştırmacı ve yenilikçi, ,Yazılımın süreç analizi, yazılım gereksinimi belirleme, dökümantasyon, test senaryoları geliştirme, test ve kabul faaliyetlerini gerçekleştirme ve koordine etme konularında deneyim sahibi, ,Düzenli raporlama alışkanlığı olan ve dokümantasyona önem veren, ,Takım çalışmalarında etkin, iletişim gücü yüksek, sorumluluk sahibi, ,Askerlik yükümlülüğünü tamamlamış veya en az 2 yıl tecil ettirmiş (erkek adaylar için) çalışma arkadaşları arıyoruz.,İŞ TANIMI,Aramıza katılacak olan arkadaşlarımız, Sigortacılık Uygulama yazılımı geliştirme projelerinde görev alacak; proje kapsamının belirlenmesi, iş ihtiyaçlarının toplanması, analiz ve dökümante edilmesi, testlerin gerçekleştirilmesi, projelerin uygulamaya alınması gibi süreçlerden sorumlu olacaktır.Aramıza katılacak olan arkadaşlarımız, Sigortacılık Uygulama yazılımı geliştirme projelerinde görev alacak; proje kapsamının belirlenmesi, iş ihtiyaçlarının toplanması, analiz ve dökümante edilmesi, testlerin gerçekleştirilmesi, projelerin uygulamaya alınması gibi süreçlerden sorumlu olacaktır.",İş Analisti,is_analizi_raporlama,,,Agito Bilgisayar Yazılım ve Danışmanlık Hizmetleri Anonim Şirketi,
,,,"GENEL NİTELİKLER ,Üniversitelerin ilgili bölümlerinden mezun,,Tercihen Lojistik, Tedarik Zinciri, Perakende sektörlerinde minimum 3 yıl benzer pozisyonlarda deneyimli, ,Data/veri yorumlama ve analiz yeteneğine sahip, ,Süreç akışlarını hızlı kavrayabilen ve alternatif akış diyagramları geliştirebilen, ,İş analizi ve iş modelleme safhalarını üstlenebilecek, ,Tercihen kullanıcı deneyimi (UX) konusunda deneyimli. , İŞ TANIMI, Yazılım geliştirme projeleri için iş birimleri ile yakın temas halinde bulunarak yazılım ve iyileştirme ihtiyaçlarını analiz etmek ve analiz dokümanlarını hazırlamak, ,Gereksinimlere göre sistem tasarımlarını (ekran tasarımı, veri tabanı tasarımı vb.) yapmak, ,Yazılım ekibi ve iş birimi arasındaki bilgi akışının doğru ve eksiksiz bir şekilde gerçekleşmesini sağlamak, Geliştirilen uygulamaların sistem testlerini yürütmek ve koordine etmek, ,İşletimde çıkabilecek yazılım ve/veya kullanım sorunlarının çözümlemek.   ",Yazılım Analisti,is_analizi_raporlama,,,Turkuvaz  Haberleşme ve Yayıncılık A.Ş,
