calisma_sekli,departman,egitim,genel_nit_is_tanimi,ilan_baslik,label,sehir,sektor,sirket_adi,tecrube
,,,"·Üniversitelerin Bilgisayar Mühendisliği bölümlerinden en az lisans derecesi ile mezun,,·Tercihen benzer pozisyonda en az 4 yıl tecrübeli,,·İyi derecede İngilizce bilen,,·Bölümler arası kurulacak ekiplerde çalışabilecek,,·Analitik düşünebilen ve problem çözme yeteneğine sahip,,·Eskişehir'de ikamet eden/edebilecek olan,,·Yoğun iş temposu altından kalkabilecek,,·Servis yönetim yazılımı üzerinden çalışmaya uyumlu,,·Yapılan işler ile ilgili dokümantasyon oluşturma, takip edebilme ve raporlama yetkinliğine sahip,,·İnsan ilişkileri kuvvetli, takım çalışmasına yatkın, yazılı ve sözlü iletişim becerisine sahip,,·Teknolojiye meraklı ve kendini geliştirmeye açık olan,,·Erkek adaylar için tercihen askerlik hizmetini tamamlamış.,İŞ TANIMI,·Şirketin, uymakla yükümlü olduğu müşteri ulusal/uluslararası Kalite Yönetim Sistem standartlarına (ISO 9001,       AS9100 gibi) uygunluğunu, devamlılığını ve etkililiğini izler, değerlendirerek düzenli olarak raporlar.,·Güvenlik, yedekleme ve izleme ürün grubuna teknik destek verebilecek şekilde yazılım ve donanım bilgisine sahip,.İyi düzeyde Microsoft Active Directory, temel düzey network ve donanım bilgisine sahip,,·Linux yönetimi ile ilgili bilgi ve deneyim sahibi,,·Windows scripting konusunda bilgi sahibi,,·Yeni ürünlerin devreye alınmasıyla ilgili iş planlamasını yaparak bunları takip eder ve raporlar,,·Bölümün müşteriye sunduğu hizmetin kalitesini etkileyecek alanlarda tedarikçi seçimi ve tedarikçinin çalışma performansının değerlendirilmesinde rol alır. Bölümün şartlarının tedarikçi tarafından sürekli karşılanma durumunun denetlenmesi ve değerlendirilmesini sağlar.,·Tespit edilen uygunsuzluklar, iyileştirme fırsatları ve tespit edilen riskler için ilgililere faaliyet talebinde bulunur, tamamlanan faaliyetlerin etkililiğini kontrol eder",Sistem Yönetim Uzmanı,proje_yonetimi,,,TUSAŞ MOTOR SANAYİ A.Ş.,
(Belirtilmemiştir),Sürekli / Tam zamanlı,,"Web ve mobil tabanlı uygulamalar geliştiren ve yöneten firmamızın, Ankara Bilkent CyberPark'da yer alan ofisinde Yazılım Proje Yöneticisi olarak görev alacak;,Üniversitelerin 4 yıllık eğitim veren bölümlerinden mezun (tercihen teknik bölümler),En az 1 yıl tercihen 2 yıl, bir bilişim firmasında ya da firmaların bilgi işlem departmanlarında çalışmış,,Yazılım projelerinin analiz, dokümantasyon, geliştirme, test ve idame hizmetleri süreçlerinde deneyime sahip,,Tercihen HTML ve SQL bilen,,İyi derecede İngilizce bilen,,Takım çalışmasına uygun,İlişkileri yönetebilen ve yönlendirebilen,takım arkadaşı arıyoruz.",Proje Yöneticisi / Yönetmeni,proje_yonetimi,,Bilgi İşlem,PLEKSUS BİLİŞİM TEK.DAN.TEM.YAY.VE ORG.A.Ş.,
,,,"Santral yapımından, işletme ve bakım hizmetlerine, elektrik dağıtım, üretim ve ticaretinden, doğal gaz dağıtım hizmetlerine kadar geniş bir alanda faaliyet gösteren; doğal gaz, rüzgar, jeotermal ve hidroelektrik santralleri ile sektörünün öncülerinden olan Zorlu Enerji Grubu, Türkiye’deki projelerinin yanı sıra Avrupa, Asya ve Ortadoğu’da da büyük projeler yönetiyor.  Farklı alanlardaki uzman kadrosu ile büyümeye devam eden Zorlu Enerji Grubu, aşağıdaki belirtilmiş iş tanımı çerçevesinde fikir ve deneyimleri ile değer katacak ,""Proje Yöneticisi (ARGE) "", arıyor.,·,       ,Üniversitelerin Elektrik Elektronik, Elektronik Haberleşme bölümlerinden mezun,,·,       ,Minimum 6 yıl teknolojik sektörlerde proje yönetimi tecrübeli,,·,       ,Kamu kurumları ile çalışmış, dış partilerle çalışma süreçlerini yönetmiş,,·,       ,TÜBİTAK ve/veya diğer Avrupa birliği Arge programlarında proje yazmış veya kabul almış,,·,       ,Tercihen elektrik sektörü ve saha tecrübesi olan,,·,       ,Otomotiv/Elektrikli araç ve/veya pil/batarya teknolojileri konusunda ilgili,,·,       ,İletişimi ve temsil yeteneği güçlü,,·,       ,Ekip yönetimi konusunda tecrübeli,,·,       ,Problem çözme ve analitik düşünme becerisine sahip,,·,       ,Seyahat engeli olmayan.,İş Tanımı:,·,       ,Horizon/H2020 projelerinin hayata geçirilmesi,,·,       ,EPDK Arge projelerinin hayata geçirilmesi,,·,       ,ITEA/Tübitak ve diğer Arge projelerinin yönetimi ve hayata geçirilmesi,,·,       ,Örnek projeler:,Şarj istasyonları ve elektrikli araçların şebekeye etkisinin incelenmesi ve bu yüklerin optimize edilmesi için gerekli yerli yazılımın geliştirilmesi,,,Lityum iyon bazlı enerji depolama sistemlerinin primer frekans kontrol uygulamaları için test edilmesi.,Çoklu enerji sistemlerinin teknolojik araçlar kullanılarak optimize edilmesi,,Enerji pazaryeri için büyük veri çözümleri.",Araştırma Geliştirme / Arge Proje Yöneticisi,proje_yonetimi,,,Zorlu Enerji,
,,,"GENEL NİTELİKLER, ,Üniversitelerin ilgili bölümlerinden mezun,,İleri derece de İngilizce dilbilgisine sahip,,Yazılım projelerinde proje yöneticisi olarak en az 3 yıl görev yapmış,,Finansal BT konularında tecrübeli,,İyi düzeyde ve düzenli olarak raporlama yapabilecek,,Analitik düşünme ve problem çözme yetkinliğine sahip,,Zaman yönetimi konusunda başarılı, aynı anda birden fazla projeyi yürütebilecek,,İletişimi kuvvetli, stres altında çalışabilen, inisiyatif alabilen ve ekip yönetimi konusunda başarılı,,Detaylara önem veren ve organize çalışma disiplinine sahip,,Erkek adaylar için askerlik hizmetini tamamlamış, ,İŞ TANIMI,Prosesler ile ilgili süreç ve sonuçların maliyet, kalite, zaman çizelgeleri ve beklentiler açısından planlara uygun olmasının sağlanması,,Projeler ile ilgili gereksinimlerin ve taleplerin belirlenmesi ve karşılanması için ekiplerin koordine edilmesi,,İş birimleri ve BT arasında koordinasyonun sağlanması,,İç ve dış paydaşlarla iletişimin planlanması ve ilişkilerin yönetilmesi,,Banka dışı kurumlardan gelen BT ile ilgili taleplerin değerlendirilmesi (BDDK, GİB, Hazine Müsteşarlığı vb.),,Değişim taleplerinin değerlendirilmesi ve sistem performansının artırılması için harekete geçilmesi,,Sorunlara karşı proaktif bir yaklaşım benimsenmesi ve çözümler önerilmesi,,Müşterilere daha etkin hizmet verilmesi amacıyla hizmet kalitesinin iyileştirilmesi ve maliyet tasarrufu sağlanması için yeni projeler araştırılması,,İlişkili olduğu süreçlerde prosedür, görev tanımları ve iş akışı gibi dokümantasyon çalışmalarının yürütülmesi,,Etik çalışmalarının yürütülmesi ve birimin kurallar bakımından güçlendirilmesi,,Teknoloji süreçlerinin, standartlarının, prosedürlerinin ve politikalarının kurumsal standartlara uymasını sağlayacak ""Proje Yöneticisi"" arayışımız bulunmaktadır. ",Proje Yöneticisi / Yönetmeni,proje_yonetimi,,,Netix Bilişim Teknolojileri Yazılım Dan. Eğt. İlt,
,,"İngilizce( Okuma : İleri, Yazma : İleri, Konuşma : İleri)","İş Tanımı:,• Proje Yönetim Ofisi bünyesinde yürütülmekte olan kurumsal projelerin plana uygun olarak zamanında ve kaliteli tamamlanmasına destek vermesi,,• Bölümlerde yürütülen projeler için proje süreçlerinin istenen içerikte ve kalitede oluşturulmasını sağlaması, ,?• Program ve proje risklerinin belirlenmesi, önleyici aksiyon planlarının oluşturulmasına destek olması ve düzeltici önlemleri hayata geçirilmesini takip etmesi,,• Proje Yönetim Ofisine ilişkin raporlamaları yapması,,• Projelerde yer alan farklı birimlerle koordinasyon içinde çalışması,,• Proje yönetim standartları ve kültürünün bölümlerde oluşturulmasını sağlaması.,Aranan Özellikler:,• Üniversitelerin tercihen Endüstri Mühendisliği, İşletme Mühendisliği veya ilgili diğer mühendislik bölümlerinden mezun,,• Kurumsal Proje Yönetimi süreçlerinde 4+ yıl tecrübeli,,• Proje yönetim metodolojilerine hakim (tercihen PMP veya Prince2 eğitimi almış ve/veya sertifika sahibi olmak),,• Proje yönetimi için kullanılan yazılımlarda deneyimli,,• İyi derecede İngilizce bilen,",Proje Uzmanı,proje_yonetimi,,,NOBEL İLAÇ SAN.VE TİC.A.Ş.,En çok 4 yıl tecrübeli adaylar
,,,"Türkiye'nin Lider Bilgi Teknolojileri ve Yazılım Çözümleri geliştiren köklü ve öncü kuruluşumuz MERT YAZILIM BİLGİSAYAR ELEKTRONİK MAK.SAN ve TİC.LTD.ŞTİ. bünyesinde istihdam edilmek üzere, ,İleri derecede '',Rusça'' yazışabilen - anlayabilen - konuşabilen, ,aşağıdaki niteliklere sahip ''PROJE YÖNETİCİSİ''  çalışma arkadaşları aramaktayız; , Aktif olarak Rusça diline hakim,yazışabilen,anlayabilen,konuşabilen,, 2. dil olarak tercihen ingilizcesi iyi seviyede olan,, Tercihen üniversitelerin Endüstri/Makine/Bilgisayar Mühendisliği/Bilgisayar Programcılığı   bölümü mezunu, Ms office programlarına hakim,, T-SQL bilgisine sahip, MSSQL veritabanı konusunda deneyim sahibi,, Problem çözme, planlama ve organizasyon becerileri gelişmiş, analitik düşünebilen, , Sorumluluk sahibi, detaylara önem veren, proaktif, , Müşteri diyalogları güçlü, , Müşteri projelerini yönetebilecek, , Öğrenmeye ve gelişmeye açık, , Analitik düşünebilen, , Takım çalışmasına uyumlu,, Seyahat engeli olmayan,, Erkek adaylar için askerlik ile ilişkisi olmayan",Proje Yöneticisi / Yönetmeni,proje_yonetimi,,,Trex DCAS,
,,,"“Anel Doğa Entegre  Geri Dönüşüm Endüstri A.Ş.” ,“Proje Uzmanı”,İŞ TANIMI",PROJE UZMANI,proje_yonetimi,,,Anel Grup,
,,,"EnginSoft Turkey, ağırlıklı olarak savunma sanayi ve otomotiv sanayi sektöründe faaliyet gösteren bir mühendislik firmasıdır. Teknopark İstanbul'da ve Teknokent Ankara'da ofisleri bulunan firma tasarım, konstrüksiyon, ileri mühendislik analizleri, yazılım satışı, Ar-Ge projeleri ve teknik eğitimler alanında uzman kadrosuyla hizmet vermektedir. ,İstanbul'da otomotiv sektöründe öncü firmada Proje Yöneticisi pozisyonunda görevlendirilmek üzere;,Üniversitelerin mühendislik bölümlerinden mezun,,Benzer görevde en az 4 yıl tecrübeli olan,,Ölçüm APQP, PPAP ve FMEA bilen,,Kalıp sistemleri, çalışma koşulları ve plastik malzemeler konusunda bilgi sahibi olan,,Office uygulamalarına hakim olan,,Seyahat engeli olmayan,,İyi derecede İngilizce bilen,,Adli sicil kaydı bulunmayan,,Erkek adaylar için askerliğini tamamlamış veya en az 2 yıl tecilli,adaylar aramaktayız.,İş Tanımı,İlk ürün devreye alınması ve deneme çalışmalarında gerekli kayıtların tutulmasını sağlamak,,Deneme üretimlerinde ve ,mühendislik değişiklik taleplerinde Proje Müdürü ile kordone şekilde çalışmak,,Yeni müşterilerin proje , kalite ve dokümantasyon sistemi ihtiyaçlarının firma dokümantasyon sistemine uyumunu gözetmek ve  uyumsuzlukları gidermek,,Kendisinden talep edilen proje ve fizibilite etüdlerini gerçekleştirmek, gerektiğinde şirket içi ve / veya dışından görevlendirilen kişi,ya ,da kuruluşlarla işbirliği içinde, ,çalışmak,,Teknik Resim , CAD - Datası ve şartnamelerin nihai olarak bir kez daha gözden geçirilmesi , proje aksiyon planı kapsamında takibi,sağlamak,Proje- Kalite tarafından hazırlanan PPAP dosyasının hazırlamak, kontrolü ve müşteriye sunmak,,Gerekli dokümanları takip etmek ve Proje Müdürü tarafından kendisine verilen diğer görevleri yerine getirmek.",Proje Yöneticisi / Yönetmeni,proje_yonetimi,,,EnginSoft Turkey,
Sürekli / Tam zamanlı,Sistem,,"Üniversitelerin Mühendislik bölümlerinden mezun,,İleri derecede MS Office programları bilgisine sahip,,İyi derecede İngilizce bilgisi,Seyahat engeli olmayan,Raporlama ve analiz becerileri gelişmiş,,Analitik düşünebilen, sonuç ve çözüm odaklı,,İnsan ilişkilerinde başarılı ve takım çalışmasına yatkın,,Yönetim Sistemleri ve süreç yönetimi konusunda tecrübeli,Proje Yönetimi yöntem ve araçları uygulama deneyimli,İŞ TANIMI,Süreç geliştirme ve iyileştirme projelerinin ilgili operasyonlar ile fizibilite ve planlanmasının yapılması, periyodik olarak raporlanması.,Süreçlerin detaylı olarak analizlerinin gerçekleştirilmesi, ,Uygulanacak projelerle ilgili ihtiyacı belirlemek, bu doğrultuda organize olmak, çalışmaları yönetmek ve proje paydaşlarını bilinçlendirmek,Süreç, proje ve yönetim sistemleri performanslarının analizi, iyileştirme alanlarının belirlenmesi ve belirlenen faaliyetlerin takibinin yapılması,Organizasyonel hedeflerinin tanımlanması ve gerçekleşmelerin takip edilmesi",Yönetim Sistemleri Uzmanı,proje_yonetimi,İstanbul(Avr.),Havacılık,Sektöründe Lider Firma,En az 2 yıl tecrübeli adaylar
,,,"Üniversitelerin Mühendislik fakültelerinden mezun (tercihen Endüstri Mühendisliği),,Lojistik depolama ve dağıtım süreçleriyle ilgili bilgiye sahip, ,Proje yönetimi tecrübesi olan, ,Yalın yönetim ile ilgili temel bilgiye sahip, ,Tercihen hat kurulumu projelerinde görev almış, ,Tercihen operasyon yönetimi konusunda tecrübesi olan, ,Dokümantasyon ve takip yönü güçlü, ,İyi derecede yazılı ve sözlü İngilizce bilgisine sahip, ,Erkek adaylar için askerlik hizmetini tamamlamış, ,İstanbul Avrupa yakasında ikamet eden ya da edebilecek olan, ,İŞ TANIMI,Yurtiçi Lojistik Merkezi’,Lojistik Proje Uzmanı",Lojistik Proje Uzmanı,proje_yonetimi,,,LCWaikiki,
