calisma_sekli,departman,egitim,genel_nit_is_tanimi,ilan_baslik,label,sehir,sektor,sirket_adi,tecrube
,,,"GENEL NİTELİKLER ,Nida Turizm   toplam 3.000 adet / günlük personel servis organizasyonunu İstanbul , Kocaeli , Eskişehir ve Tekirdağ / Çerkezköy Bölgelerinde gerçekleştirmektedir. ,Şirketimiz 33 yılın  vermiş olduğu tecrübesi, eğitimli ve uzman kadrosuyla maksimum derecede müşteri memnuniyetini hedeflemiş ve bu hedefine ulaşmıştır. Şirket politikamız sürekli eğitim ve kendini yenileyerek çağın gerektirdiği şartlara uygun olarak kaliteli, güvenli, titiz ve optimum hizmeti sağlamaktır.,İŞ TANIMI,Mevcut öz mallarımız olan servis araçlarımız ve sözleşmeli çalışmakta olduğumuz tedarikçilerimizin araç ve sürücülerinden sorumlu olarak; temizlik, hijyen, sağlık hizmetleri, tüm teknik hizmetler (bakım-onarım), ulaşım (havuz araçları-servisler),  iş sağlığı ve güvenliği hizmetleri, her türlü küçük ve büyük etkinlikler / organizasyonların yönetimi ile ayrıca çalışanları verimli ve etkin bir şekilde koordine ederek, hedeflenen  yüksek hizmet kalitesi ve standartlarında , departman hedeflerine ulaştırabilmesi beklenmektedir,B  veya C   Sınıfı İş Güvenliği Uzmanı sertifikasına sahip,,Sahada araç ve sürücü denetlemesi yapabilecek ,                                ,Yönetsel becerisi ve İletişim becerileri yüksek ,Çalıştığımız kurumlara gerekli hallerde rapor verebilecek,,Üniversitelerin ilgili bölümlerinden mezun,,Benzer bir pozisyonda( lojistik veya  personel servis taşımacılığı gibi) en az 2 yıl deneyim sahibi,İş Güvenliği konusunda uygulama çalışmalarında bulunmuş,,İş yeri hekimi ve diğer İSG personelleri ile koordineli çalışabilecek    ,Ekip yönetimi, personel eğitimi ve koordinasyonu konularında tecrübeli,MS Office programlarını iyi derecede kullanabilen,,Yeniliklere ve gelişime açık,,Dinamik bir çalışma ortamının gerektirdiği zamansal esnekliğe sahip,,Esnek çalışma saatlerine ve yoğun iş temposuna uyum sağlayabilecek,,Aktif olarak araç kullanabilen,       ,İstanbul’da  ikamet eden    ,Askerliğini yapmış,,Erkek takım arkadaşları arıyoruz.",Kalite ve İş Güvenliği Yöneticisi,saglik,,,Nida Turizm Seyahat Pazarlama San. ve Tic. Ltd. Ş,
,,,"GENEL NİTELİKLER ,Elithair Transplant Ultra VIP Saç Ekim firması 2009'dan beri sektörde öncü olup  ağırlıklı olarak Avrupalı hastalara hizmet vermektedir. ,Bahçeşehir bölgesinde yerleşik olan İstinye Üniversite Liv hastanesinde faaliyet gösteriyor,Üniversitelerin Hemşirelik bölümlerinden mezun,,Sağlık meslek yüksek okul (hemşire çıkışlı),,En az 4 yıl servis/cerrahi servis deneyimi olan,,Ekip çalışmasına yatkın,,Tam zamanlı çalışabilecek,,Dinamik veya zor çalışma ortamında kariyer hedefleyen,,Hasta güvenliği ve memnuniyeti odaklı çalışan,,Etik ve sonuç odaklı çalışan,,İletişimi güçlü, insan ilişkilerinde başarılı,,Erkek adaylar için askerlik hizmetini tamamlamış,,Not:  ATT, PARAMEDİK, LABORANT,,,ANESTEZİ TEKNİKLERİ, veya BİYOLOG başvuruları değerlendirilmeyecektir.",HEMŞİRE ( SAÇ EKİMİ),saglik,,,United Medikal ve sağlık hizmetleri LTD. Şti,
Sürekli / Tam zamanlı,Sağlık,,"İzmir Bornova'da ki şubemizde çalıştırılmak üzere ;,Alanında uzman, işini ve sektörünü seven gerekli hassasiyeti gösterebilecek,Ekibimizde kendini geliştirmeye açık ,Prezantabl,pozitif, güler yüzlü,Dış görünümüne önem veren,Dinamik, yoğun iş temposuna yatkın,Ekip çalışmasına yatkın,İletişim yeteneği güçlü, sunum becerisi gelişmiş, diksiyonu düzgün,Estetik ve Güzellik Merkezimizin gerektiğinde sorumluluğunu alabilecek,Oryantasyon eğitimine açık,Profesyonel ve kurumsal çalışmaya elverişli ,Alanında deneyimli ve satış konusunda  yetenekli,Uzman Estetisyen arayışımız bulunmaktadır,Güzellik  ve Estetik  Merkezlerimizde Profesyonel Uzman Estetisyen olarak görev alabileceklerdir.",Uzman Estetisyen,saglik,,"Bakım, Diyet ve Güzellik Merkezleri",Derma Group,1 - 25 yıl tecrübeli adaylar
,,,"ATAŞEHİR, MALTEPE, KÜÇÜKYALI, PENDİK ve KURTKÖY Şubelerimize;,* Estetisyenlik diploması veya sertifikası olan,,* Hastane ortamında çalışabilecek,,* Cilt Bakımı ve Bölgesel İncelme cihazlarını daha önce aktif kullanmış olan,,* ALEXANDRITE LAZER Cihazı daha önce kullanmış (Tercih Sebebi),* Satış odaklı,,* Uzun süre çalışmak isteyen, aile terbiyesi görmüş, saygılı,,* Hasta memnuniyetine önem veren, insan ilişkileri kuvvetli,,* İş disiplini ve sorumluluk sahibi,,* Dış görünümüne özen gösteren, bakımlı,,* İnsani ilişkileri gelişmiş, kendine güvenen, güler yüzlü,,* Takım çalışmasına uyumlu,,BAYAN ' Estetisyenler ' arıyoruz.",Estetisyen / Güzellik Uzmanı,saglik,,,Medicaplast Medikal Estetik Teknik Servis San. Ve ,
,,,"Yüksek düzeyde hasta memnuniyeti odaklı kliniğimizde, başarılı estetik sonuçlarımız ve memnun hastalarımızdan aldığımız güçle daha fazla büyümeyi amaçlamaktayız. Bu hedefimizle Privacy Estetik Kliniğinde buluşmak üzere;,-İleri düzeyde Ingilizce ve/veya Almanca bilen,-Daha önce sağlık turizmi gerçekleştiren kurumlarda veya kliniklerde en az 2 yıl deneyim sahibi,-Pazarlama, satış, müşteri ilişkileri ve yönetim konularında bilgi sahibi,-Güler yüzlü ve kişisel bakıma önem veren,-İkna yeteneği güçlü,-Çözüm odaklı,-Tam zamanlı çalışabilecek ve esnek çalışma saatlerine uyum gösterebilecek çalışma arkadaşlarımızı bekleriz.,İŞ TANIMI:,-Yurtdışı hastalara ulaşarak tanıtım ve bilgilendirme yapılması,-Hastaların yapılacak işlem ile ilgili tüm konularda aydınlatılması, gerekli güvenin sağlanarak satışın gerçekleştirilmesi,-Transfer, konaklama ve ameliyat randevularının düzenlenmesi,-Tedavi sonrası takiplerinin sağlanması, hastalar ile iletişimin devam ettirilmesi, gerektiğinde hasta ve doktor arası iletişimin sağlanması,-Kliniğin tanıtım ve bilgilendirme konularında aktif görev alınması",Uluslararası Hasta İlişkileri Sorumlusu,saglik,,,Privacy Estetik,
Sürekli / Tam zamanlı,Sağlık,,"EĞİTİM HEMŞİRESİ, 2007 yılında kurulmuş olan Innovex, global ölçekli, alanında lider bir firma olarak ilaç sektörüne yenilikçi çözümler ile yüksek kalite standartlarında ‘’Hasta Destek ve Eğitim Hizmetleri’’ sağlamaktadır. , Innovex bir IQVIA kuruluşudur. ,Innovex'in yürüttüğü ,bir projede görevlendirilmek üzere; ,sağlık profesyonellerine ve/veya hastaya ,klinikte veya evde,; kullanılan ilaçlar ya da hastalık konusunda yüzyüze eğitim verip farkındalık kazandırarak tedaviye uyumun sağlanmasında katkıda bulunacak; aşağıda yer alan niteliklere sahip ,EĞİTİM HEMŞİRESİ ,aramaktayız.,Adaylarda aranılan özellikler:,Eğitim kurumlarının hemşirelik, ebelik, ATT bölümlerinden mezun (SML; MYO, Lisans) ,Ev ziyaretleri yapabilecek,, ,Aktif seyahat edebilecek ve seyahat engeli bulunmayan,, ,Çözüm odaklı, ,MS Office programlarını aktif kullanabilen, ,İletişim becerileri yüksek,,Dışa dönük, ,Öğrenmeye açık, ,B sınıfı sürücü belgesine sahip ve aktif olarak araç kullanan adayların ilanımıza başvuru yapmaları rica olunur.",Eğitim Hemşiresi - Elazığ,saglik,Elazığ,"Sağlık, Tıbbi Cihaz ve Malzemeler , İlaç Sanayi, Danışmanlık, İnsan Kaynakları Danışmanlığı ",İnnovex Sağlık Ürünleri Pazarlama Hizm. Ve Danış.,
,,,"SÜPERVİZÖR EĞİTİM HEMŞİRESİ, 2007 yılında kurulmuş olan Innovex, global ölçekli, alanında lider bir firma olarak ilaç sektörüne yenilikçi çözümler ile yüksek kalite standartlarında ‘’Hasta Destek ve Eğitim Hizmetleri’’ sağlamaktadır. , Innovex bir IQVIA kuruluşudur. ,Innovex'in yürüttüğü ,bir hasta destek programında ; ,sağlık profesyonellerine ve/veya hastaya ,klinikte veya evde,; kullanılan ilaçlar ya da hastalık konusunda yüzyüze eğitim verip farkındalık kazandırılan, tedaviye uyumun sağlanmasında katkı yaratılan bir projemizde ,görevlendirilmek üzere ,SÜPERVİZÖR EĞİTİM HEMŞİRESİ aranmaktadır.,SÜPERVİZÖR EĞİTİM HEMŞİRESİ;, ,zamanının süpervizör olarak, diğer eğitim hemşirelerine koçluk yapacak, projeyle ilgili raporlamaları yapabilecek ve aynı zamanda  kendi bölgesinde eğitim hemşiresi olarak çalışacaktır.,Adaylarda aranılan özellikler,:,Eğitim kurumlarının ,Hemşirelik, bölümünden mezun (SML; MYO, Lisans) ,Tercihen lisans mezunu ve hasta destek, hasta eğitim projelerinde deneyimli, ,Tercihen Hasta destek ve eğitim projelerinin yönetiminde deneyim sahibi,,Sahada hem Süpervizör hem de Eğitim Hemşiresi olarak çalışabilecek,,Ev ziyaretleri yapabilecek, ,Aktif seyahat edebilecek ve seyahat engeli bulunmayan, ,Çözüm odaklı, ,MS Office programlarını aktif kullanabilen, ,İletişim becerileri yüksek,,Dışa dönük, ,Öğrenmeye açık, ,B sınıfı sürücü belgesine sahip ve aktif olarak araç kullanan adayların ilanımıza başvuru yapmaları rica olunur.",Süpervizör Eğitim Hemşiresi,saglik,,,İnnovex Sağlık Ürünleri Pazarlama Hizm. Ve Danış.,
Sürekli / Tam zamanlı,Sağlık,,"EĞİTİM HEMŞİRESİ, 2007 yılında kurulmuş olan Innovex, global ölçekli, alanında lider bir firma olarak ilaç sektörüne yenilikçi çözümler ile yüksek kalite standartlarında ‘’Hasta Destek ve Eğitim Hizmetleri’’ sağlamaktadır. , Innovex bir IQVIA kuruluşudur. ,Innovex'in yürüttüğü ,bir projede görevlendirilmek üzere;,sağlık profesyonellerine ve/veya hastaya ,klinikte veya evde,; kullanılan ilaçlar ya da hastalık konusunda yüzyüze eğitim verip farkındalık kazandırarak tedaviye uyumun sağlanmasında katkıda bulunacak; aşağıda yer alan niteliklere sahip ,EĞİTİM HEMŞİRELERİ ,aramaktayız.,Adaylarda aranılan özellikler:,Eğitim kurumlarının hemşirelik, ebelik, ATT bölümlerinden mezun (SML; MYO, Lisans) ,Tercihen Hemşirelik mezunu, ve hasta destek, hasta eğitim projelerinde deneyimli, ,Ev ziyaretleri yapabilecek,, ,Aktif seyahat edebilecek ve seyahat engeli bulunmayan,, ,Çözüm odaklı, ,MS Office programlarını aktif kullanabilen, ,İletişim becerileri yüksek,,Dışa dönük, ,Öğrenmeye açık, ,B sınıfı sürücü belgesine sahip ve aktif olarak araç kullanan adayların ilanımıza başvuru yapmaları rica olunur.",Eğitim Hemşiresi,saglik,"Diyarbakır, İzmir","Sağlık, Tıbbi Cihaz ve Malzemeler , İlaç Sanayi, Danışmanlık, İnsan Kaynakları Danışmanlığı ",İnnovex Sağlık Ürünleri Pazarlama Hizm. Ve Danış.,
Sürekli / Tam zamanlı,Sağlık,,"- En az lise tercihen üniversite mezunu,,- Benzer pozisyonda en az 3 yıl deneyimli,,- Kalfalık yada usta öğreticilik belgesi sahibi,,-  (İkinci dil ingilizce tercih sebebidir),,- 25 / 35 yaşları arasında,,- Misafir memnuniyeti odaklı,,- Güleryüzlü, çözüm odaklı ve sabırlı,,- İkna ve temsil yeteneği kuvvetli, satış odaklı çalışabilecek,- BAYAN ESTETİSYEN,, , ,İŞ TANIMI,- Tüm güzellik uygulamalarını standart ve prosedürlere uygun bir şekilde yapmak,,- Kullandığı sarf malzemenin sayım ve takibini yapmak,,- En üst düzeyde misafir memnuniyetini sağlamak,, ",Estetisyen,saglik,Antalya(Muratpaşa),"Sağlık, Spor",AWAROS SPOR MERKEZİ İŞLETMELERİ TEKSTİL TURİZM GIDA İTH. İHR. TİC. LTD. ŞTİ.,En az 1 yıl tecrübeli adaylar
,,,"Innovex; ilaç sanayi, biyoteknoloji ve tıbbi cihaz alanında faaliyet gösteren firmalara yenilikçi satış çözümleri, yüksek kalitede satış takımları oluşturmaktadır. Günümüz belirsiz iş ortamında en önemli ihtiyaç olan esnekliği sağlayan, dünyanın önde gelen sözleşmeli satış organizasyonu firmasıdır.,‘Innovex bir IQVIA kuruluşudur.’,Tüketici medikal ekipmanları alanında dünyanın lider çok uluslu bir firmasıyla yürüttüğümüz bir projede görevlendirilmek üzere deneyimli,Tıbbi Mümessil, aranmaktadır.,Alanında lider medikal ekipmanlara sahip müşterimizin Pediatri, Göğüs ve Kardiyoloji hekimlerine, kısmi geri ödemeli nebülizatör cihazlarının ve kan basıncı cihazlarının tanıtımından; ziyaretler yapılarak sunumların gerçekleştirilmesinden sorumlu olacaktır.,İŞ TANIMI,Tıbbi Satış Mümessilliğinde en az 3 yıl deneyimli,,Tercihen pediatri, göğüs ve kardiyoloji alanında çalışmış ve kanıtlanmış başarı öyküsüne sahip,,Üniversite ya da yüksek okul mezunu,,Etkin iletişim becerisine sahip,,Ekip çalışmasına uyumlu, gelişmeye ve yeniliklere açık,Yoğun çalışma temposuna uyum sağlayabilecek,,Sürücü belgesine sahip ve aktif araba kullanabilen,,Erkek adaylar için askerlik görevini tamamlamış,,Seyahat engeli bulunmayan.",Tıbbi Mümessil ,saglik,,,İnnovex Sağlık Ürünleri Pazarlama Hizm. Ve Danış.,
