,genel_nit_is_tanimi,ilan_baslik,label
0,genel teli kler nida turizm toplam adet gunluk personel servis organizasyonunu stanbul kocaeli eskisehir tekirdag cerkezkoy bolgelerinde gerceklestirmektedir sirketimiz yilin vermis oldugu tecrubesi egitimli uzman kadrosuyla maksimum derecede musteri memnuniyetini hedeflemis hedefine ulasmistir sirket politikamiz surekli egitim kendini yenileyerek cagin gerektirdigi sartlara uygun olarak kaliteli guvenli titiz optimum hizmeti saglamaktir tanimi mevcut mallarimiz olan servis araclarimiz sozlesmeli calismakta oldugumuz tedarikcilerimizin arac suruculerinden sorumlu olarak temizlik hijyen saglik hizmetleri teknik hizmetler bakim onarim ulasim havuz araclari servisler sagligi guvenligi hizmetleri turlu kucuk buyuk etkinlikler organizasyonlarin yonetimi ayrica calisanlari verimli etkin sekilde koordine ederek hedeflenen yuksek hizmet kalitesi standartlarinda departman hedeflerine ulastirabilmesi beklenmektedir veya sinifi guvenligi uzmani sertifikasina sahip sahada arac surucu denetlemesi yapabilecek yonetsel becerisi letisim becerileri yuksek calistigimiz kurumlara gerekli hallerde rapor verebilecek universitelerin ilgili bolumlerinden mezun benzer pozisyonda lojistik veya personel servis tasimaciligi gibi deneyim sahibi guvenligi konusunda uygulama calismalarinda bulunmus yeri hekimi diger personelleri koordineli calisabilecek ekip yonetimi personel egitimi koordinasyonu konularinda tecrubeli office programlarini derecede kullanabilen yeniliklere gelisime acik dinamik calisma ortaminin gerektirdigi zamansal esneklige sahip esnek calisma saatlerine yogun temposuna uyum saglayabilecek aktif olarak arac kullanabilen stanbul ikamet eden askerligini yapmis erkek takim arkadaslari ariyoruz,kalite guvenligi yoneticisi,saglik
1,genel teli kler elithair transplant ultra ekim firmasi beri sektorde oncu olup agirlikli olarak avrupali hastalara hizmet vermektedir bahcesehir bolgesinde yerlesik olan stinye universite hastanesinde faaliyet gosteriyor universitelerin hemsirelik bolumlerinden mezun saglik meslek yuksek okul hemsire cikisli servis cerrahi servis deneyimi olan ekip calismasina yatkin zamanli calisabilecek dinamik veya calisma ortaminda kariyer hedefleyen hasta guvenligi memnuniyeti odakli calisan etik sonuc odakli calisan letisimi guclu insan iliskilerinde basarili erkek adaylar icin askerlik hizmetini tamamlamis paramedi laborant anestezi tekni kleri veya yolog basvurulari degerlendirilmeyecektir,hemsi,saglik
2,zmir bornova subemizde calistirilmak uzere alaninda uzman isini sektorunu seven gerekli hassasiyeti gosterebilecek ekibimizde kendini gelistirmeye acik prezantabl pozitif guler yuzlu gorunumune onem veren dinamik yogun temposuna yatkin ekip calismasina yatkin letisim yetenegi guclu sunum becerisi gelismis diksiyonu duzgun estetik guzellik merkezimizin gerektiginde sorumlulugunu alabilecek oryantasyon egitimine acik profesyonel kurumsal calismaya elverisli alaninda deneyimli satis konusunda yetenekli uzman estetisyen arayisimiz bulunmaktadir guzellik estetik merkezlerimizde profesyonel uzman estetisyen olarak gorev alabileceklerdir,uzman estetisyen,saglik
3,atasehi maltepe kucukyali pendi kurtkoy subelerimize estetisyenlik diplomasi veya sertifikasi olan hastane ortaminda calisabilecek cilt bakimi bolgesel ncelme cihazlarini daha once aktif kullanmis olan alexandrite lazer cihazi daha once kullanmis tercih sebebi satis odakli uzun sure calismak isteyen aile terbiyesi gormus saygili hasta memnuniyetine onem veren insan iliskileri kuvvetli disiplini sorumluluk sahibi gorunumune ozen gosteren bakimli nsani iliskileri gelismis kendine guvenen guler yuzlu takim calismasina uyumlu bayan estetisyenler ariyoruz,estetisyen guzellik uzmani,saglik
4,yuksek duzeyde hasta memnuniyeti odakli klinigimizde basarili estetik sonuclarimiz memnun hastalarimizdan aldigimiz gucle daha fazla buyumeyi amaclamaktayiz hedefimizle privacy estetik kliniginde bulusmak uzere leri duzeyde ingilizce veya almanca bilen daha once saglik turizmi gerceklestiren kurumlarda veya kliniklerde deneyim sahibi pazarlama satis musteri iliskileri yonetim konularinda bilgi sahibi guler yuzlu kisisel bakima onem veren yetenegi guclu cozum odakli zamanli calisabilecek esnek calisma saatlerine uyum gosterebilecek calisma arkadaslarimizi bekleriz tanimi yurtdisi hastalara ulasarak tanitim bilgilendirme yapilmasi hastalarin yapilacak islem ilgili konularda aydinlatilmasi gerekli guvenin saglanarak satisin gerceklestirilmesi transfer konaklama ameliyat randevularinin duzenlenmesi tedavi sonrasi takiplerinin saglanmasi hastalar iletisimin devam ettirilmesi gerektiginde hasta doktor arasi iletisimin saglanmasi klinigin tanitim bilgilendirme konularinda aktif gorev alinmasi,uluslararasi hasta liskileri sorumlusu,saglik
5,hemsi resi yilinda kurulmus olan innovex global olcekli alaninda lider firma olarak ilac sektorune yenilikci cozumler yuksek kalite standartlarinda hasta destek egitim hizmetleri saglamaktadir innovex iqvia kurulusudur innovex yuruttugu projede gorevlendirilmek uzere saglik profesyonellerine veya hastaya klinikte veya evde kullanilan ilaclar hastalik konusunda yuzyuze egitim verip farkindalik kazandirarak tedaviye uyumun saglanmasinda katkida bulunacak asagida alan niteliklere sahip hemsi resi aramaktayiz adaylarda aranilan ozellikler egitim kurumlarinin hemsirelik ebelik bolumlerinden mezun lisans ziyaretleri yapabilecek aktif seyahat edebilecek seyahat engeli bulunmayan cozum odakli office programlarini aktif kullanabilen letisim becerileri yuksek disa donuk ogrenmeye acik sinifi surucu belgesine sahip aktif olarak arac kullanan adaylarin ilanimiza basvuru yapmalari rica olunur,egitim hemsiresi elazig,saglik
6,supervi hemsi resi yilinda kurulmus olan innovex global olcekli alaninda lider firma olarak ilac sektorune yenilikci cozumler yuksek kalite standartlarinda hasta destek egitim hizmetleri saglamaktadir innovex iqvia kurulusudur innovex yuruttugu hasta destek programinda saglik profesyonellerine veya hastaya klinikte veya evde kullanilan ilaclar hastalik konusunda yuzyuze egitim verip farkindalik kazandirilan tedaviye uyumun saglanmasinda katki yaratilan projemizde gorevlendirilmek uzere supervi hemsi resi aranmaktadir supervi hemsi resi zamaninin supervizor olarak diger egitim hemsirelerine kocluk yapacak projeyle ilgili raporlamalari yapabilecek ayni zamanda kendi bolgesinde egitim hemsiresi olarak calisacaktir adaylarda aranilan ozellikler egitim kurumlarinin hemsirelik bolumunden mezun lisans tercihen lisans mezunu hasta destek hasta egitim projelerinde deneyimli tercihen hasta destek egitim projelerinin yonetiminde deneyim sahibi sahada supervizor egitim hemsiresi olarak calisabilecek ziyaretleri yapabilecek aktif seyahat edebilecek seyahat engeli bulunmayan cozum odakli office programlarini aktif kullanabilen letisim becerileri yuksek disa donuk ogrenmeye acik sinifi surucu belgesine sahip aktif olarak arac kullanan adaylarin ilanimiza basvuru yapmalari rica olunur,supervizor egitim hemsiresi,saglik
7,hemsi resi yilinda kurulmus olan innovex global olcekli alaninda lider firma olarak ilac sektorune yenilikci cozumler yuksek kalite standartlarinda hasta destek egitim hizmetleri saglamaktadir innovex iqvia kurulusudur innovex yuruttugu projede gorevlendirilmek uzere saglik profesyonellerine veya hastaya klinikte veya evde kullanilan ilaclar hastalik konusunda yuzyuze egitim verip farkindalik kazandirarak tedaviye uyumun saglanmasinda katkida bulunacak asagida alan niteliklere sahip hemsi releri aramaktayiz adaylarda aranilan ozellikler egitim kurumlarinin hemsirelik ebelik bolumlerinden mezun lisans tercihen hemsirelik mezunu hasta destek hasta egitim projelerinde deneyimli ziyaretleri yapabilecek aktif seyahat edebilecek seyahat engeli bulunmayan cozum odakli office programlarini aktif kullanabilen letisim becerileri yuksek disa donuk ogrenmeye acik sinifi surucu belgesine sahip aktif olarak arac kullanan adaylarin ilanimiza basvuru yapmalari rica olunur,egitim hemsiresi,saglik
8,lise tercihen universite mezunu benzer pozisyonda deneyimli kalfalik yada usta ogreticilik belgesi sahibi kinci ingilizce tercih sebebidir yaslari arasinda misafir memnuniyeti odakli guleryuzlu cozum odakli sabirli temsil yetenegi kuvvetli satis odakli calisabilecek bayan esteti syen tanimi guzellik uygulamalarini standart prosedurlere uygun sekilde yapmak kullandigi sarf malzemenin sayim takibini yapmak duzeyde misafir memnuniyetini saglamak,estetisyen,saglik
9,innovex ilac sanayi biyoteknoloji tibbi cihaz alaninda faaliyet gosteren firmalara yenilikci satis cozumleri yuksek kalitede satis takimlari olusturmaktadir gunumuz belirsiz ortaminda onemli ihtiyac olan esnekligi saglayan dunyanin onde gelen sozlesmeli satis organizasyonu firmasidir innovex iqvia kurulusudur tuketici medikal ekipmanlari alaninda dunyanin lider uluslu firmasiyla yuruttugumuz projede gorevlendirilmek uzere deneyimli tibbi mumessil aranmaktadir alaninda lider medikal ekipmanlara sahip musterimizin pediatri gogus kardiyoloji hekimlerine kismi geri odemeli nebulizator cihazlarinin basinci cihazlarinin tanitimindan ziyaretler yapilarak sunumlarin gerceklestirilmesinden sorumlu olacaktir tanimi tibbi satis mumessilliginde deneyimli tercihen pediatri gogus kardiyoloji alaninda calismis kanitlanmis basari oykusune sahip universite yuksek okul mezunu etkin iletisim becerisine sahip ekip calismasina uyumlu gelismeye yeniliklere acik yogun calisma temposuna uyum saglayabilecek surucu belgesine sahip aktif araba kullanabilen erkek adaylar icin askerlik gorevini tamamlamis seyahat engeli bulunmayan,tibbi mumessil,saglik
