calisma_sekli,departman,egitim,genel_nit_is_tanimi,ilan_baslik,label,sehir,sektor,sirket_adi,tecrube
,,,"    , İŞ TANIMI ;,Pazarlama Ekibinin sorumlu olduğu alanlar dahilinde oluşan projeler ve iyileştirme talepleri için gereken tasarım ve analizleri yapmak ,,Birimlerden gelen  taleplerin/ihtiyaçların/sorunların analizinde, production’daki sorunların araştırılıp incelenmesinde ve çözümünde destek vermek,,Geliştirilen sistemlerin  performansını takip etmek , verim artırıcı iyileştirmeleri planlamak,,İş birimleri ve analistlerle bir araya gelerek iyileştirici faaliyetler geliştirmek,Müşteri taleplerini belirlemek ve bu ihtiyaçları karşılayacak stratejiler geliştirmek,,Müşteriler ile ilgili  toplanan verileri yönetmek , müşteri davranışlarını etkileyen anahtar kriterleri belirlemek ve analiz etmek,,CRM ile ilgili konularda anketler düzenlemek ve onları analiz etmek,,İş hedeflerine ulaşmak için yapısal değişiklikler planlamak ve yürütmek,,Pazar eğilimlerini tespit etmek veya kampanyalara verilen yanıtları değerlendirmek için veri analizi yapmak,,Daha etkili reklam kampanyaları geliştirmek için pazarlama departmanları ile iş birliği içerisinde çalışmak,,İş gereksinimlerini tanımlamak ve ilgili birimlere raporlama yapmak.,  ,  GENEL NİTELİKLER ; ,Üniversitelerin Endüstri Mühendisliği, Matematik, İstatistik, İktisat, İşletme vb ilgili bölümlerinden mezun,,İngilizce bilgisi iyi düzeyde olan,,Seyahat engeli olmayan,,,CRM konusunda bilgili, a,lanında en az 3 senelik deneyim sahibi,,Ekip çalışmasına uyumlu ,,Maliyet / fayda analizi yapabilen,,İletişim, analiz, raporlama ve sunum becerileri güçlü,,MS Office ve Temel SQL bilgisine sahip,,Karmaşık verileri sade bir şekilde açıklayabilecek sözlü ve yazılı iletişim becerisine sahip ,,,Çoklu iş tanımlarını önceliklendirebilmek için  zaman yönetimini doğru planlayabilen,,·,       ",CRM Analisti Yetkili Uzmanı ,sap,,,Sektöründe Lider Firma,
Sürekli / Tam zamanlı,Müşteri İlişkileri,"Ön Lisans(Mezun), Üniversite(Öğrenci), Üniversite(Mezun)","Mercedes-Benz Türk A.Ş. Ana Bayii, Koluman Motorlu Araçlar Tic. ve San. A.Ş. İstanbul Sancaktepe Şubesi'nde görev alacak aşağıdaki niteliklere sahip ve ekte yer alan iş tanımı çerçevesinde çalışacak,"" CRM Elemanı"", aranmaktadır.,En az Meslek Yüksek Okulu mezunu, ,Benzer pozisyonda en az 1 yıl deneyim sahibi,,Araştırma yapmaya ve pazarlama faaliyetlerine aşina,,Ms Office programlarına hakim, ,Tercihen Mercedes Benz Türk sistemi Autoline kullanmayı bilen,,Dikkatli ve özenli çalışabilen, ,Anadolu yakasında ikamet eden. ,İŞ TANIMI,Autoline sistemine dataların işlenmesi, kontrol edilmesi, düzeltilmesi.",CRM Elemanı - İstanbul,sap,İstanbul(Asya),Otomotiv ,KOLUMAN MOTORLU ARAÇLAR TİCARET VE SANAYİ ANONİM ŞİRKETİ,1 - 98 yıl tecrübeli adaylar
,,,"AY Marka Mağazacılık, bünyesinde bulunan NetWork, Que ve Divarese markalarıyla 2008 yılından bu yana modaya ve perakende sektörüne yön vermeye devam ediyor.,Genel Nitelikler,AY Marka Mağazacılık Bilgi Teknolojileri Departmanı'nda görevlendirilmek üzere;,Üniversitelerin Bilgisayar Programcılığı/Mühendisliği veya ilgili bölümlerinden mezun,,SAP modülleri (Retail/SD/MM) konusunda en az 3-4 yıl tecrübeli,,SAP projesinin tüm süreçlerinde görev almış,,Kod yorumlayacak ve debug edecek kadar Abap bilgisine sahip,,Depo entegrasyonları konusunda tecrübeli,,Takım çalışmasına yatkın, farklı proje ekipleriyle uyum içerisinde çalışabilecek,,Analitik düşünebilme ve problem çözme yetkinliklerine sahip,,Teknik literatürü takip edebilecek düzeyde İngilizce bilgisine sahip, ,Bilgi Teknolojileri ERP Sistemleri Birim Yöneticisi pozisyonunda görev alacak ekip arkadaşı arıyoruz.,İş Tanımı,SAP Retail/SD/MM modüllerine destek verilmesi,,İş birimlerine ait ihtiyaçların belirlenmesi, değerlendirilmesi ve önceliklendirilmesi,,SAP uygulamalarını araştırarak bu bilgiler doğrultusunda SAP sisteminde iyileştirmeler yapılması,,Gelen iş ihtiyaçlarına uygun SAP çözümlerinin bularak sistemde uyarlamalarının yapılması, geliştirme ihtiyaçları için teknik döküman hazırlanması ve danışman testlerinin gerçekleştirilmesi. ",ERP Sistemleri (SAP) Birim Yöneticisi,sap,,,AY MARKA MAĞAZACILIK A.Ş,
,,,"TÜRKİYE PETROLLERİ’nin büyüyen organizasyonunda görevlendirilmek üzere, aşağıdaki niteliklere sahip , SAP ABAP UZMANI ,aranmaktadır.,Ün,iversitelerin ilgili Mühendislik bölümlerinden mezun (Tercihen Bilgisayar veya Endüstri Mühendisliği),,SAP ABAP programlama dilinde en az 3 yıl tecrübesi olan,,Tercihen SAP Fiori veya Javascript konularında deneyimli,,Tercihen SAP S/4 HANA sistemleri üzerinde geliştirme yapmış olmak,  ,Yazılım geliştirme, spec hazırlama, veri mimarisi ve test süreçleri konularında tecrübeli,,Problem çözümünde yaratıcı ve analitik bakış güçlü,,Tercihen iyi derecede İngilizce bilgisine sahip,,Erkek adaylar için askerliğini tamamlamış,,,İŞTANIMI,İş birimlerinden gelen talepleri, ABAP kodlama standartlarına uygun olarak geliştirmek,,Günlük olarak iş önceliklerine göre oluşan programsal hataları ve problemleri çözmek,,SAP ile diğer sistemler arasında entegrasyonları geliştirmek,,Yapılan geliştirmelerin temel birim testlerini ilgili kişiler ile birlikte gerçekleştirme ve uygulamaya ait teknik tasarım dokümantasyonu oluşturmak,,SAP yazılımı kapsamında bulunan diğer teknolojilerde de (BW/BO on HANA vb.) gerektiği durumlarda geliştirme yapabilme sorumluluklarını üstlenmek.",SAP ABAP UZMANI,sap,,,TP Petrol Dağıtım A.Ş.,
,,,"TÜRKİYE PETROLLERİ’nin büyüyen organizasyonunda görevlendirilmek üzere, aşağıdaki niteliklere sahip ,ERP MÜDÜRÜ ,aranmaktadır.,Üniversitelerin Bilgisayar, Bilgisayar Programcılığı, Bilgisayar Mühendisliği, Elektronik veya Matematik Mühendisliği bölümlerinden mezun,,Alanında en az 5 yıllık iş tecrübesine sahip,,En az 2 SAP projesini baştan sona yönetmiş,,Yazılım geliştirme süreçleri ve metodolojileri konusunda bilgi sahibi,,ERP ve Yazılım projelerinde ihtiyaç analizi konusunda çalışmış, bu konularda bilgi ve deneyim sahibi,,SAP ERP, BW veri ambarı ve Business Objects raporlama platformları üzerinde çalışmış,,Tercihen SAP S/4 HANA proje tecrübesi olan,,Tercihen SQL veritabanı yönetimi yapmış,,Yazılım ve uygulama platformlarında test senaryoları üretme ve uygulama konularında deneyim sahibi,,Farklı yazılım platformları arasındaki entegrasyonları yönetmiş,,Yeni teknoloji ve uygulamalara hızla uyum sağlayabilme becerisine sahip,,Analitik düşünce yapısına sahip, araştırmaktan ve öğrenmekten keyif duyan,,Erkek adaylar için askerlik ile ilişkisi bulunmayan,,İŞ TANIMI,Başta SAP kurumsal yazılımları olmak üzere, Zülfikarlar Holding ‘te kullanılan tüm yazılımlarla ilgili kullanıcı ihtiyaçlarını analiz edecek;  süreç ve iş analistleriyle, kullanıcılarla, bölüm yetkilileriyle ve varsa ilgili danışman firmalarla koordineli çalışacak,,Kurumsal yazılımların geliştirilmesi, iyileştirilmesi ve yeni teknolojilerin uyarlanması için gerekli adımları atacak,,Çeşitli yazılımlarla ilgili entegrasyon adımlarını periyodik olarak takip edecek, yeni entegrasyon süreçlerini yönetecek,,SAP, diğer yazılım ve uygulamalarda test ve canlı sisteme geçiş süreçlerini yönetecek,,Kurumsal yazılımların bütçesini hazırlayacak, izleyecek ve raporlayacak,,Verimliliği artıracak ve maliyetleri düşürecek çözümler üretecek,,Tüm uygulama geliştirme süreçlerinde sorumluluk alacaktır.",ERP Müdürü,sap,,,TP Petrol Dağıtım A.Ş.,
,,,"TÜRKİYE’NİN MİLLİ MARKASI, TÜRKİYE PETROLLERİ’nin büyüyen organizasyonunda görevlendirilmek üzere aşağıdaki niteliklere sahip ,SAP SD-MM UZMANI, ,aranmaktadır. ,Üniversitelerin ilgili Mühendislik bölümlerinden mezun (Tercihen Bilgisayar veya Endüstri Mühendisliği),,SAP SD ve MM modüllerinde en ,az 2 yıl tecrübesi olan,, ,Tercihen CO modülünde çalışmış,,İlgili modüllerde kullanıcı desteği vermiş, ,Tercihen SAP S/4 HANA sistemleri üzerinde çalışmış,,Departmanların ihtiyaçlarına uygun çözüm üretebilecek,,Güçlü iletişim yeteneğine sahip, ,Tercihen iyi derecede İngilizce bilgisine sahip,,Erkek adaylar için askerliğini tamamlamış,,,İŞ TANIMI,İş birimlerinin ihtiyaçlarının belirlenmesi, analizi, önceliklendirilmesi, uyarlanması, gerektiğinde geliştirilmesi, talep ve beklentilerin yönetilmesi,,Danışmanlara aktarılması gereken konularda ERP Yöneticisi ve ilgili anahtar kullanıcılarla birlikte iletişimin sağlanması,,Yapılan yeni uygulamaların test ve canlıya aktarım çalışmalarının yürütülmesi,,Canlı kullanım desteği verilmesi,,Raporlama ihtiyaçları ve modül geliştirmeleri için ABAP Uzmanı ile birlikte çalışılması,,Konusuyla ilgili iç ve dış tüm entegrasyonların yönetilmesi,,Gerekli dökümantasyonların yapılması.",SAP SD-MM UZMANI,sap,,,TP Petrol Dağıtım A.Ş.,
Sürekli / Tam zamanlı,Müşteri İlişkileri,," ,Yol Arkadaşımız Nasıl Olmalı?,   ,Lisans mezunuysan , (tercihen bilgisayar bilimleri, ekonometri, istatistik, matematik veya mühendislik fakültelerinden mezun),, İleri seviyede İngilizce bilgisine sahipsen ,,SAS, SPSS, R veya PYTHON araçlarıyla veri madenciliği yapma ve sınıflandırma/kümeleme modelleri geliştirme konularında en az 2 yıl deneyimliysen ,,CRM ve Analitik CRM konularında deneyimliysen ,,Veri yönetimi, ETL süreçleri ve database yapıları hakkında bilgi, ,sahibiysen , ,Microsoft Office uygulamalarına (özellikle MS Excel ve Powerpoint) hakimsen ,,Tercihen proje yönetiminde deneyimliysen,,Senden Ne Yapmanı Bekliyoruz?,Müşteri performansı ve değerini yönetmek adına projeler üretmeni ve yürütmeni ,, ,Müşteri segmentasyon modelini geliştirmek, segment aksiyonları üretmeni ve etkilerini ölçmeni ,,Müşteri tutundurma ve değer arttırma aksiyonlarına yönelik analitik tahminleme modelleri oluşturmanı, bu işlevdeki mevcut modelleri geliştirmeni, aksiyonların tasarım, geliştirme, uygulama ve ölçüm aşamalarını ilgili birimlerle birlikte yürütmeni ,,Müşteri veri kalitesini yükseltmek, müşteri veri havuzunu zenginleştirmek için aksiyonlar geliştirmeni, uygulatmanı ve müşteri verisinin tek elden yönetimini sağlamanı ,,Şirketin farklı birimlerinin, bütünsel müşteri verilerine ilişkin analiz ihtiyaçlarını karşılamanı.,Müşteri sayıları ile ilgili düzenli olarak yayınlanan raporları oluşturmanı, gerekli iç ve yurtdışı birimleriyle paylaşmanı bekliyoruz.,Geleceğe tutkuyla yürüyenlerin tercihi olan Allianz’da sen de yerini almak ister misin?,Allianz 70 ülkede genç, dinamik, 148 bin çalışanıyla kocaman bir aile ve bu ailede her şey tutkuyla başlar. Sen de sektörün okulunda, hedeflerine tutkuyla yürümek, keşfederek ve eğlenerek çalışmak, keyifli ve çok büyük bir takımla başarmanın tadını alarak yeniliğin peşinde olmak istersen seni de aramıza bekliyoruz!,Yukarıdaki maddeler seni mi anlatıyor? Tam da sana göre olan iş tanımını tutkuyla ve başarıyla yerine getirebileceğine mi inanıyorsun? Yeni yol arkadaşımız olmak  için ne bekliyorsun?,Seni, "" CRM ve Müşteri Data Analitiği Yönetimi Uzmanı "" ,pozisyonumuza başvurmaya bekliyoruz!",CRM ve Müşteri Data Analitiği Yönetimi Uzmanı,sap,İstanbul(Asya)(Ataşehir),Sigortacılık,Allianz Sigorta A.Ş.,
Sürekli / Tam zamanlı,AR-GE,,"IMPROVA; SAP alanında yurtiçi ve yurtdışında sektörel çözümler üreten, uzun yılların getirdiği bilgi ve birikimini projelere başarıyla yansıtan ve birçok alanda başarılı projeler üreten danışmanlık ve teknoloji şirketidir.,Yurtiçi ve yurtdışı SAP projelerimiz için ABAP danışmanı olarak yetiştirilmek üzere,Üniversitelerin mühendislik bölümlerinden mezun (Tercihen Bilgisayar Müh/Mat Müh/Elektronik Müh),Çok iyi derecede İngilizce bilen ,Yurtiçi/Yurtdışı seyahat engeli bulunmayan,Ekip çalışmasına yatkın,Karşısına çıkan yeni problemlere analitik çözümler üretebilen,Kendini geiştirmeye açık,çalışma arkadaşları arayışımız bulunmaktadır.",SAP ABAP Danışmanı Adayı,sap,,"Bilişim, Yazılım, Bilişim Danışmanlığı, Danışmanlık",İmprova Bilişim Danışmanlık Hizmetleri Ticaret Limited Şirketi,Tecrübeli ya da tecrübesiz adaylar
Sürekli / Tam zamanlı,Bilgi İşlem,Üniversite(Mezun),"Üniversitelerin ilgili bölümlerinden mezun,   ,Bilgi İşlem Departmanının software, hardware, işyeri ağı, SQL Server ve bunların sürdürülebilirliği ile ilgili lisans, bakım ve tamir işlerini yönetmek,,Bilgi İşlem, Departmanı ve bilişim ekipmanı ve hizmeti satınalma süreçlerini yönetmek, tekliflendirmek, vs.,ERP  programı ile ilgili geliştirmelerin yapılmasına ve amacına uygunluğuna nezaret etmek,,Mesleğindeki güncel gelişmeleri takip etmek, risklerle ilgili etkin önlem almak.,İngilizce konuşmak ön şart olmasa da ayırıcı bir özelliktir. Mesleki İngilizceyi anlamak şarttır.,Tam zamanlı çalışacak, ,Aktif araç kullanabilen çalışma arkadaşı aramaktayız. ",BİLGİ İŞLEM ve ERP SORUMLUSU,sap,,İthalat - İhracat,Sektöründe Öncü Firma,En az 3 yıl tecrübeli adaylar
,,,"Üniversitelerin ilgili bölümlerinden mezun,,SAP ABAP programlama konusunda en az 2 yıl deneyimli,,SAPUI5 uygulama tecrübesi bulunan,,SAP Script, Smart Forms, BADI/BAPI, User-Exit, Batch Input, Enhancement konularına hakim,,Tercihen SAP SLCM, CRM, HR modüllerinde uygulama geliştirmiş ve bu modüller hakkında bilgisi olan,,SAP projelerinde aktif görev almış, ,İyi derecede İngilizce bilen,,Analitik düşünme ve problem çözme yetkinliğine sahip,,Etkili iletişim becerilerine sahip, sonuç odaklı,,Teknolojiyi ve yenilikleri takip eden,,Erkek adaylar için askerlik hizmetini tamamlamış. , ,İŞ TANIMI,SAP modülleriyle ilgili taleplerin ve ihtiyaç duyulan ABAP yazılım geliştirmelerinin yapılması,,Sorumlu olduğu projeler ile ilgili kullanıcılardan gelen hata, talep ve sorulara yönelik gerekli desteğin sağlanması,,Tamamlanan projelerin dokümantasyonunun yapılması ve ilgili birimlerin kullanımına sunulması,,Sorumlu olunan proje ve görevlere ilişkin gerekli raporlamaların yapılması.",SAP Uzmanı,sap,,,KADİR HAS ÜNİVERSİTESİ,
