calisma_sekli,departman,egitim,genel_nit_is_tanimi,ilan_baslik,label,sehir,sektor,sirket_adi,tecrube
,,,"Vehbi Koç Vakfı Sağlık Kuruluşları, Global Fortune 500 listesindeki tek Türk şirketi olan Koç Topluluğu’na bağlı hizmet veren, kar amacı gütmeyen hastaneler grubudur.,Amerikan Hastanesi, MedAmerikan Tıp Merkezi, Koç Üniversitesi Hastanesi, ve Bodrum Amerikan Hastanesi olarak Vehbi Koç Vakfı Sağlık Kuruluşları çatısı altında hizmet vermekteyiz.,Hastanelerimizde sağlık hizmetlerini sunarken, bilgimiz, becerimiz ve mükemmelliyetçiliğimizle en güncel teknolojileri bir araya getiriyoruz. Ancak insan kaynağımızın en değerli varlığımız olduğunu biliyor, nitelikli insan kaynağımızı artırmak için sürekli yatırımda bulunuyoruz.,Belirlediğimiz klinik yol, rehber ve talimatlarla 2018 yılında 500 bini aşkın hastaya aynı kalitede güvenilir, şeffaf ve kapsamlı tanı, tedavi ve bakım hizmeti sunduk. Hacim-bazlı yerine değer-bazlı bir sistem oluşturarak, bu doğrultuda yarattığımız insan kaynağımız ile hastalarımızı memnun etmeye çalışmanın mutluluğunu yaşadık ve yaşamaya devam etmek için var gücümüzle çalışıyoruz.,Gerek idari personelimizin gerekse medikal ekibimizin gereksinim, beklenti ve haklarını önemsiyoruz. Her geçen yıl çalışan memnuniyet endeksinin artış gösterdiği kurumlarımızda kadınların ekonomiye katılımını ayrıca destekliyoruz. Geçmişten bugüne biz bir aileyiz ve ailemize yeni üyelerin katılmasından heyecan duyuyoruz..,Vehbi Koç Vakfı Sağlık Kuruluşları’nda değerlendirilmek üzere ,''Sistem Uzmanı'', arayışımız bulunmaktadır.,Üniversitelerin ilgili bölümlerinden mezun,,Benzer pozisyonda en az 6 yıl deneyimi olan,,Microsoft sunucu sistemlerinin (Active Directory, Server&Client Ailesi, System Center, SQL, Sharepoint, Exchange, Microsoft Cluster vb) kurulum ve yönetiminde uzman seviyede yönetim tecrübesine sahip,,Office 365 ailesi ve Azure altyapı platform yönetim tecrübesi olan,,Veri tabanları hakkında bilgi sahibi, tercihen SQL ve Oracle veri tabanlarıyla çalışmış,,SAN, NAS, High Availabilty, Disaster Recover sistem altyapılarında yönetim tecrübesi olan,,Hyper-v ,Vmware Sanallaştırma altyapısı ortalarında en az 3 yıl yönetim tecrübe sahibi,,EMC,SAN, Networker,Veeam Backup uygulamaların da tecrübe sahibi,,ITIL veya COBIT standartlarına uyum konusunda deneyimli,Tedarikçiler ile yapılan “5x8” ve “7x24” bakım ve yönetim sözleşme şartlarını, şirket prosedürleri kapsamında yerine getirmek, planlanmış periyodik bakımlar ile arıza önleyici tedbirler almak,,7/24 çalışan bir ortamda gerçek zamanlı izleme yapabilecek ve müdahelede bulunabilecek,,Çok yönlü çalışmaya yatkın, ekip içi etkin iletişim kurabilen, takım çalışmasına uyumlu,,Dokümantasyonu seven, yaptığı işi raporlayabilen,,Tercihen iyi derecede İngilizce bilen.,İŞ TANIMI,Projelerin donanım ihtiyacını analiz ederek BT standartları doğrultusunda gerekli tasarımı gerçekleştirmek,,Sunucu ve sistemleri takip etmek, log takibi yaparak olası problemlere karşı proaktif yaklaşmak ve oluşabilecek problemlere anında müdahale ederek iş sürekliliğini sağlamak,,Backup ve Restore test süreçlerini BT standartlarına uygun olarak eksiksiz yerine getirmek,,Sistem performanslarını gerçek zamanlı takip ederek raporlamak. Oluşabilecek iyileştirme fırsatlarını üst yöneticisi ile paylaşmak,,Tüm sistemlerin SLA şartlarına uygun olarak çalışmasını sağlamak,,ITIL rehberliğinde, hizmet sunum ve BT standartlarına uygun olarak çalışmak,,Azure ve Office 365 projelerinde aktif rol almak.",Sistem Uzmanı,sistem_yonetimi,,,Amerikan Hastanesi,
,,Üniversite(Mezun),"·,         ,Üniversitelerin ilgili bölümlerinden lisans düzeyinde mezun,,·,         ,Bilgi Sistemleri alanında en az 5 yıl deneyimli,,·,         ,Donanım, yazılım, üretim proses bilgisi, server, network yönetim bilgisi olan,,·,         ,İletişim becerileri kuvvetli,,·,         ,Çözüm odaklı ve sorumluluk sahibi,,·,         ,İyi derecede İngilizce bilgisi olan,,·,         ,Erkek adaylar için askerlikle ilişiği olmayan.,Tüm datanın talimata uygun olarak yedeğinin alınması ve kontrolü,,Sunucu ve istemcilerdeki antivirüs programının update ve taramalarının kontrolü,,Şirketin ihtiyaçlarına uygun donanımın belirlenmesi ve talebinin yapılması,,Kullanıcıların yasal mevzuata ve şirket talimatlarına uygun olacak internet ve mail kullanımı için gerekli yazılım ayarlarının yapılması,,Network sisteminin hızlı ve kesintisiz çalışmasının sağlanması,,Telefon santralinde ve güvenlik kameralarında çıkan sorunlarla ilgili gerekli iletişimin sağlanması,,İş yerleri arasındaki sesli iletişimin aksamadan kesintisiz olarak çalışmasının sağlanması,,PDKS programında ve cihazlarında çıkan sorunlara müdahale edilmesi,,Active directory yapısında kullanıcı işlemlerinin yapılması ,,Savcan Tekstil Grubu; Turquality desteği kapsamında olan, kurumsallaşma yönünde önemli aşamalardan geçmiş, yalın sistemle yönetilen, süreçlerinde SAP yazılımını kullanan yaklaşık 60 yıllık Dokuma-Baskı-Konfeksiyon Fabrikaları olan bir şirketler grubudur.,İşe alınacak çalışan, Sistem Destek Uzmanı olarak görev yapacaktır.",SİSTEM DESTEK UZMANI,sistem_yonetimi,,,Savcan Tekstil Sanayi ve Ticaret A.Ş.,En az 5 yıl tecrübeli adaylar
,,,"Türkiye’de 7 bölge 56 il 125 kampüs ile hizmet veren Bahçeşehir Koleji’nin büyüyen organizasyon yapısı içerisinde, yeniliğe, gelişime ve aydınlık geleceğe yürüyen; fikri, irfanı, vicdanı hür nesiller yetiştirmek amacı ile Genel Müdürlüğümüzde görev almak üzere ‘Sistem Yöneticisi’ arıyoruz.,Üniversitelerin ilgili bölümlerinden mezun, ,Tercihen Eğitim sektörü tecrübesine sahip,,İyi düzeyde İngilizce bilgisine sahip,,Windows Client ve Windows, Linux sunucu sistemlerinin kurulumunda ve yönetilmesinde deneyimli,,GPO ve Active Directory kullanımında bilgili,,DNS, FileServer, Wsus, Dhcp konularında yetkin,,Yedekleme konusunda tecrübeli ve tercihen Veeam Backup kullanım bilgisi olan,,Server yönetimi, yedekleme, sanallaştırma, bakım onarım vb. konularda tecrübeli,,Storage konusunda tecrübeli ve tercihen IBM ve Emc ürün ailesi hakkında yetkin,,İnternet sitesi yönetimi ve web platform sistemleri kullanımında tecrübeli,,Log management veya SIEM ürünleri konusunda tecrübeli,,Powershell kullanabilen ve tercihen script yazabilen,,Office 365 konusunda tecrübeli,,Yazılı ve sözlü iletişim becerisi , iş takibi ve temsil yeteneği güçlü, ,Ekip çalışmasına yatkın,,Seyahat engeli olmayan,,Erkek adaylarda askerlik görevini tamamlamış olan. ,İŞ TANIMI,Sistem altyapısında oluşan taleplerin karşılanması ve oluşabilecek sorunlara çözüm üretilmesi,,Kampüslerin sistemsel ihtiyaçlarının giderilmesi,,Sorumlu olduğu sistemlerin sürekliliğini sağlayacak gerekli kontrollerin ve güncellemelerin yapılması,,Temin edilmesi gereken yeni ürün ve geliştirilmesi gereken süreçlerin altyapı ihtiyaçlarının belirlenmesi ve ilgili ekiplerin koordinasyonunun sağlanması,,Sunucu kaynaklarının takip edilmesi, optimizasyonlarının yapılması, yama yönetiminin gerçekleştirilmesi ve performans iyileştirilmelerinin yapılması,,Donanım ve yazılım lisans envanterinin yönetilmesi ve konsolidasyon çalışmalarının gerçekleştirilmesidir.",Sistem Yöneticisi / Yönetmeni,sistem_yonetimi,,,Bahçeşehir Okulları A.Ş,
,,,"Üniversitelerin Elektrik-Elektronik Mühendisliği, Elektronik Mühendisliği bölümlerinden veya ilgili bölümlerden mezun ,MATLAB ve Simulink ile algoritma geliştirme ve sinyal işleme tecrübesine sahip, ,Sinyal İşleme alanında en az 5 yıl çalışma tecrübesine sahip, ,İyi derecede İngilizce bilen, ,Erkek adaylar için askerliğini yapmış veya en az 3 yıl tecilli.,Tercih Sebebi Olabilecek Ek Özellikler:,       ,Öğrenmeye açık, meraklı, araştırma yeteneğine güvenen, ekip çalışmasına uyumlu,,Sezim ve Kestirim Teorisi konusunda bilgi ve/veya tecrübeye sahip olma,,Konumlama ve yön bulma konusunda (örneğin DF, TOA, TDOA, FDOA vb.) bilgi ve/veya tecrübeye sahip olma,,Radar ve EH alt sistemleri konusunda bilgi ve/veya tecrübeye sahip olma,,C/C++ ile algoritma geliştirme tecrübesi olan,,Yurt içi ve yurt dışı seyahat engeli olmayan,,Ekip çalışmasına yatkın.,İş tanımı:, RF ve Simülasyon Sistemleri Direktörlüğümüz bünyesinde, Elektronik Harp projeleri kapsamında aşağıdaki faaliyetleri gerçekleştirecektir.,·,         ,Sistem Tasarımı,,·,         ,Sistem Gereksinim Analizi,,·,         ,Matematiksel Modelleme,,·,         ,Algoritma tanımlama, geliştirme, test ve doğrulama faaliyetlerini gerçekleştirme,,·,         ,Algoritmanın sisteme entegrasyonunu gerçekleştirme,,·,         ,Yerine getirdiği faaliyetler kapsamındaki dokümantasyon.",UZMAN SİSTEM MÜHENDİSİ,sistem_yonetimi,,,STM-Savunma Teknolojileri Mühendislik ve Ticaret A.Ş.,
,,,"     Tercihen Üniversitelerin Mühendislik (Bilgisayar, Elektronik Haberleşme vb) fakültelerinden mezun,,     Kurumsal BT Projelerinde görev almış,,     ,En az 7 yıl deneyimli,,     Ekip yöneticiliği pozisyonda görev almış,,     Bütçe çalışmalarını yapan ve bütçe uyumluluğunu takip edebilen,,     ,Teknoloji tedarikçileriyle olan ilişkileri yöneten,,     Bilgi sistemlerine yönelik operasyon süreçleri ve uygulamalarına hakim olan,,     ,ISO 27001 standartları konusunda bilgili sahibi olan,,     Bilgi Güvenliği ve KVKK süreçleri hakkında bilgi sahibi olan,,     ,İyi seviyede İngilizce bilen,,     ,Seyahat engeli bulunmayan,,     İnsan ilişkilerinde başarılı, iletişimi kuvvetli olan.,Teknik Nitelikler, ,     ,Windows Sunucu Platformları ve Linux Isletim Sistemleri konularında deneyimli,,     HyperV, VMware sanallaştırma platformlarına hakim,,     ,Disk depolama sistemlerinin ve Veeam başta olmak üzere yedekleme yazılımlarının ve donanımlarının yapılandırılması ve yönetimi konusunda deneyimli,,     Active Directory, DHCP, DNS, File Server, Terminal Server sunucu sistemlerinin yönetiminde deneyimli,,     Microsoft System Center ürünleri konusunda deneyimli,,     Office 365 Yönetimi konusunda deneyimli,,     ,Bulut Teknolojilerine Hakim (Tercihen Azure),İş Tanımı,     Sistemlerin 7x24 kesintisiz çalışması için gerekli tüm izleme, problem yönetimi ve çözüm aktivitelerinin yerine getirilmesi,,     Sistem altyapısında oluşan taleplerin karşılanması ve sorunlara müdahale edilmesi,,     Felaket kurtarma ve İş Sürekliliği altyapısının yönetilmesi ve testlerinin gerçekleştirilmesi,,     Sistemlerin, şirket bilgi güvenliği politikalarına uygun olarak işletilmesinin sağlanması ve gerektiğinde politikalarin ihtiyaçlara uygun olarak geliştirilmesi/güncelleştirilmesi,,     Sistem yönetimi ile ilgili dokümantasyonun düzenli olarak takip edilmesi. ",SİSTEM YÖNETİCİSİ,sistem_yonetimi,,,Anel Grup,
Dönemsel / Proje bazlı,AR-GE,,"Askeri araç projelerimizde görevlendirilmek üzere;,- Üniversitelerin ilgili bölümlerinden (Makine, Elektrik-Elektronik, Uçak-Uzay Mühendisliği) başarıyla mezun,,- Sistem mühendisliği araçlarında ( ,DOORS / Rhapsody / CORE) ,ve CAD (CATIA) programlarında yeterliliği  bulunan,,- Sistem mühendisliği süreçleri ve standartları hakkında bilgi sahibi,,- Sonuç odaklı ve takım çalışmasına yatkın,,- İleri seviyede İngilizce bilgisine sahip,,- Erkek adaylar için askerlik görevini tamamlamış veya en az 2 sene tecil ettirmiş olan,,- Ankara'da ikamet eden, çalışma arkadaşları arıyoruz.,İŞ TANIMI,-  İhtiyaç Analizi / Tahsis / Ayrıştırma,-  Sistem / Alt Sistem Gereksinimleri belgelerinin hazırlanması,,-  İşlevsel Analiz / Tahsis Yapma,- Test ve değerlendirme master planlarının hazırlanması,,- Doğrulama prosedürAerinin hazırlanması,,- Test ve değerlendirme faaliyetlerinin koordinasyonu / desteklenmesi,,Başlıca görevleri arasında olacaktır.",Sistem Mühendisi,sistem_yonetimi,Ankara,"Savunma Sanayi, Otomotiv , Karayolu Taşımacılığı, Mühendislik Hizmetleri , Havacılık",Segula Technologies Turkey,En az 3 yıl tecrübeli adaylar
,,,"Üniversitelerin ilgili bölümlerinden mezun,,Sistem yönetiminden en az 5 yıl tecrübeli,Microsoft Teknolojileri (Sunucu Sistemleri, Active Directory, Server&Client Mimarisi, Exchange , Power Shell , IIS vb.),High Availabilty , Disaster Recover,,Microsoft Office 365 ve tercihen Azure platformu,,Arcserve Yedekleme Sistemleri ve Arşivleme Sistemleri,,Server ve Storage sistemleri,,Tercihen Microsoft System Center Ailesi,,Temel seviyede Network ve güvenlik altyapıları konularında bilgi ve tecrübe sahibi ,,Tercihen MCSE, MCSA, sertifikalarından birine sahip,,Analitik düşünen,  problem çözme yeteneği gelişmiş,,Yeni teknolojileri araştırma ve öğrenme konularında istekli ve gelişime açık,,İletişim becerileri pozitif olan , ekip çalışmasına yatkın, organizasyon becerisi ve iş takibi kuvvetli,,Gerektiğinde esnek çalışma saatlerine uyum sağlayabilecek,,İngilizce bilgisi olan,,Askerlik hizmetini tamamlamış (Erkek adaylar için).,İŞ TANIMI,Sorumluluğunda bulunan tüm sistemlerin, sistem  kontrol ve güvenliğini ( sistem yedekleme, güvenlik sistemlerinin oluşturulması vb.) sağlamak, bununla ilgili yöntemler geliştirmek.,Periyodik yedekleme işlemlerinin takibini ve problemsiz işlemesini sağlamak, ,Personellerden gelen destek taleplerine yerinde ve/veya uzaktan ve zamanında müdahalede bulunmak -bulunulmasını sağlamak.,Nitelikleri aranılan pozisyona uygun olan adaylar telefon ile aranarak iş görüşmesine davet edileceklerdir. Tüm bilgiler, şirketimiz tarafından gizli tutulacaktır.",SİSTEM UZMANI,sistem_yonetimi,,,Teknosa İç ve Dış Ticaret A.Ş.,
,,,"1987 yılında Hüsnü M. Özyeğin tarafından kurulan Fiba Grubu, bugün ulusal ve uluslararası piyasaların saygın ve bilinirliği yüksek bir katılımcısıdır. Fiba Holding’e bağlı olan Fiba Perakende Grubu Banana Republic, Gap ve Marks&Spencer mağazalarını Türkiye’de açmaya ve işletmeye tek yetkilidir. Ayrıca Marks&Spencer ve Gap için Rusya ve Ukrayna’da da mağaza açma ve işletme yetkisine sahiptir. ,Kozyatağı Merkez Ofisimizde Bilgi Teknolojileri departmanımızda görevlendirilmek üzere, ,“,Sistem Yönetim ve Destek Sorumlusu,”arayışımız vardır. ,ARANAN NİTELİKLER,Sistem Yöneticiliği üzerine en az 4 yıl tecrübeli,Windows işletim sistemleri konusunda deneyimli ,Windows Server, Exchange Server, Microsoft SQL Server, Microsoft Windows Servisleri (Active Directory, DNS vb.) hakkında tecrübeli ,Yedekleme sistemleri kurulum, konfigurasyon ve yönetimi konularında deneyimli ,Sanallaştırma teknolojileri konusunda tecrübeli ,Veritabanı sunucularının kurulum, konfigürasyon ve yönetimi konularında deneyimli ,Firewall, Switch ve VPN sistemleri temel konfigurasyon ve yönetimini yapabilen ,Veri Güvenliği, Erişim Kontrolleri, Sızma Testleri, Zafiyet Taraması gibi süreçler hakkında bilgi sahibi ,Storage sistemleri konusunda bilgi sahibi ,Voip haberleşme sistemleri konusunda temel seviyede bilgi sahibi ,Teknik döküman ve araştırma yapabilecek kadar İngilizce bilgisi olan ,Tercihen MS sertifikasına sahip ,Sorumluluk sahibi,çözüm odaklı, analitik düşünme yeteneğine sahip ,Takım çalışmasına yatkın ve iletişim becerisi güçlü ,Erkek adaylar için askerlik görevini tamamlamış ,GÖREV TANIMI,Merkez ve lokasyonlarımızda bulunan çoğunlukla Microsoft tabanlı sunucularımızın AD/Backup/Patch vs. yönetiminin yapılması,Microsoft Active Directory ve ilişkili tüm yardımcı araçların yönetimi ve raporlaması,Altyapımızda bulunan sanallaştırılmış (Vmware) ve fiziksel ortamda yer alan MS Windows sunucuların yönetim, güncelleme ve bakımının sağlanması,Sistemlerin kesintisiz ve güvenli işletimini sağlayacak felaket yönetimi ve yedekleme, kontrol ve denetim sistemlerinin geliştirilmesi, işletilmesi ve ağ yönetiminin yapılması (WAN, LAN, TCP/IP) ,Tüm bilgi sistemleri kaynakları için, sistemlerin bilgi güvenlik altyapısının kurulması, geliştirilmesi, yönetilmesi, işletmek, bakımının yapılması, iç - dış tehdit ve saldırılardan güvenlik korumasını elektronik olarak sağlanması ve dokümante edilmesi,Antivirus ve ilişkili olan, uç nokta güvenliğine yönelik tüm yardımcı araçların yönetimi ve raporlanması,Bilgi sistemleri alanındaki projelerde BT ekibine destek olunması, projenin kullanıma alınması itibarıyla günlük yönetim, işletim ve planlı bakımların yapılması aşamalarında aktif rol alınmasıve proje planına uygun grup çalışmasında bulunulması,Bilgi sistemleri alanındaki projelerde BT ekibine destek olunması,Merkez ve mağaza kullanıcılarına telefon/uzaktan ve yerinde destek verilmesi,Mağaza açılışlarında donanım ihtiyaçlarının belirlenmesi (PC, IP Telefon, Router, Switch vb.), kurulum planının hazırlanması ve kurulumunun gerçekleştirilmesi ,*Fiba Perakende Grubu, her türlü ayrımcılıktan kaçınmayı, işe alım süreçlerinde fırsat ve cinsiyet eşitliği ilkesine saygı göstermeyi taahüt eder.",Sistem Yönetim ve Destek Sorumlusu,sistem_yonetimi,,,Fiba Perakende Grubu,
,,,"GENEL NİTELİKLER,Üniversitelerin Elektrik Elektronik Mühendisliği bölümünden mezun,,Tercihen Yüksek Lisansını yapmış,,En az 3 yıllık iş tecrübesine sahip,,Tercihen Matlab ve Simulink araçlarına hakim,,Proje Yönetimi süreçlerinde bilgi/deneyim sahibi,,Sistem Mühendisliği ve ürün geliştirme süreçlerine hakim ve ilgili standartlar hakkında bilgi/deneyim sahibi,,Gereksinim yönetimi ve araçları hakkında bilgi/deneyim sahibi,,Ürün konfigürasyon yönetimi konularında bilgi/deneyim sahibi,,MS Office programlarını iyi seviyede kullanabilen,,Yüksek konsantrasyon ile birden fazla projede çalışma becerisine sahip,,İç - dış müşteri ilişkilerini yönetebilen, yazılı ve sözlü iletişim becerisi yüksek,,İş motivasyonu yüksek, gelişmeye açık, disiplinler arası iletişim kurabilen, ekip çalışmasına uygun,,İyi derecede İngilizce dil bilgisine sahip.,İŞ TANIMI,Savunma Sanayi ve Sivil Sanayi alanlarında faaliyet gösteren şirketimizin, Mühendislik Direktörlüğü bünyesinde yürütülen projelerinin tasarım ve geliştirme faaliyetlerinde çalışmak üzere “,Uzman Sistem Mühendisi,” aranmaktadır. Adaylar aşağıdaki alan ve konularda tecrübeleri kapsamında görev ve sorumluluk alacaklardır;,Sistem/alt-sistemlerin gereksinimlerinin analizi ve tanımlanması,,Modelleme, simülasyon ve analizler ışığında mimari tasarımının yapılması,,Donanım ve Yazılım iş paketlerine karar verilip, ilgili ekiplere aktarılması,,Sistem/alt-sistem entegrasyon faaliyetlerinin koordinasyonu,,Doğrulama, platform entegrasyonu ve saha testleri faaliyetlerinin yapılması/koordinasyonu,,Sistem Mühendisliği dokümanlarının hazırlanması,,Teklif hazırlama ekibinin faaliyetlerine katılarak; teknik çözüm, takvim, iş gücü ve bütçenin belirlenmesi,,Dış tedarik yoluyla alınacak sistem ve hizmetler için teknik isterlerin oluşturulması. ",Uzman Sistem Mühendisi,sistem_yonetimi,,,ATEL TEKNOLOJİ VE SAVUNMA SANAYİ A.Ş.,
,,,"Şirketimizin Bursa Nilüfer 'de bulunan Lokasyonunda değerlendirilmek üzere; ,Sistem Operatörü aranmaktadır., ,En az Lise Mezunu, ,MS Office programlarını kullanabilen, ,Tercihen El Terminali kullanabilen,, ,Sistem girişlerini yapabilecek, ,Lojistik ya da kargo sektöründe deneyimli,,Askerlik hizmetini tamamlamış Erkek adaylar, ,Bursa, Nilüfer - Osmangazi - Mudanya ve Yıldırım civarında ikamet eden adaylar tercih nedenidir., ,İŞ TANIMI,Depo mal kabul işlemlerinin yapılması, desi ve kg bilgilerinin sisteme girilmesi, sevkiyat ve teslimat planlarının takibi,, Araçların iş makinalarıyla yükletilmesinin sağlanması ve yükleme sonucu araçların çıkış işlemlerinin yapılması, ,Operasyona ait ürünlerin standartlarına uygun bir şekilde depoya içerisine istiflenmesinin sağlanması,,Demirbaş ürünlerin ve depo ekipmanlarının kontrolü, sağlıklı ve etkin kullanımının sağlanması, ,Bilgi olarak hazırlanan raporlamaların üst yöneticiye iletilmesi,",Sistem Operatörü,sistem_yonetimi,,,Yurtiçi Lojistik,
