calisma_sekli,departman,egitim,genel_nit_is_tanimi,ilan_baslik,label,sehir,sektor,sirket_adi,tecrube
Sürekli / Tam zamanlı,Sağlık,"Üniversite(Mezun), Ön Lisans(Mezun)","Üniversitelerin lisans ve önlisans bölümlerinden mezun ,İş geliştirme konusunda deneyim sahibi olan ,Sağlık sektörü tecrübesi olan ,Avrupa ve Anadolu yakasında hastanelerde ilgili birimlere çalışma yapabilecek,,Temsil kabiliyeti yüksek olan ,Esnek çalışma sistemine uyabilecek, ,Microsoft Office programlarını iyi derecede kullanabilen, ,Takım çalışmasına uyumlu.,İŞ TANIMI,Avrupa ve Anadolu yakasında hastanelerde ilgili birimlere çalışma yapabilecek,,Firmamız tarafından satışı yapılan ürünlerle ilgili olarak, ilgili ihtisaslardaki hekimlere tanıtım yapabilecek ve satış hedeflerini gerçekleştirebilecek,",Tıbbi Tanıtım ve Satış Sorumlusu,tibbi_tanitim,"İstanbul(Avr.)(Eyüp), İstanbul(Asya)",Sağlık,Genist Sağlık Hiz. Ltd. Şti.,Tecrübeli ya da tecrübesiz adaylar
,,," ,World Medicine gruba bağlı, DR SERTUS, ,İlaç sektöründe faaliyet gösteren, Uluslararası pazarlarda hızla büyüyen organizasyonumuza değer katacak,genç,dinamik aşağıdaki niteliklere sahip “,Tıbbi Tanıtım ve Satış Sorumlusu,” aramaktayız.,Üniversitelerin 4 yıllık fakültelerinden mezun, ,İlaç şirketlerinde Tanıtım ve Satış Sorumlusu olarak en az 2 yıllık deneyime sahip,,Tercihen, Kardiyoloji, MSS, Solunum ve Aile Hekimliği alanlarından birinde tecrübeli,,ÜTE belgesini almaya hak kazanmış veya ÜTE belgesini almak üzere onaylanmış başvurusu olan,,Erkek adaylar için askerlik hizmetini tamamlamış, ,MS Office programlarına hakim, düzenli raporlama yapabilecek, ,Problem çözme, planlama ve takip çalışmasına yatkın, analitik düşünme yeteneğine sahip,,Seyahat engeli olmayan, ,B sınıfı sürücü belgesine sahip ve aktif olarak araç kullanabilen, ,Yabancı dil (İngilizce) tercih sebebidir. ,İŞ TANIMI,Şirket stratejileri ve satış hedefleri çerçevesinde, sorumlu olduğu ürünlerle ilgili hastane, klinik, kurum, eczane, aile sağlık merkezi  gibi kuruluşlarda sağlık çalışanlarına ziyarette bulunarak tanıtım ve pazarlama faaliyetlerini yürütmek,,Kilit ünitelere ilişkin projeler geliştirmek, ,Sorumluluğundaki müşterilerin bağlılığını arttırmak için yeni fırsatlar geliştirmek,,İlgili raporlamaları ve analizleri zamanında ve doğru şekilde gerçekleştirmek,,Sorumluluğundaki bölge, paydaşlar ya da tedavi alanına yönelik olarak kişisel  hedeflerine ulaşabilmek için iş planları oluşturmak ve uygulamak,,Ürünlerin ve varsa destek hizmetlerinin geniş şekilde anlaşılmasını ve daha çok hastaya ve paydaşa ulaşabilmesini sağlamak,,Onaylanmış Pazarlama ve Satış tanıtım materyal ve programlarını uygulamak ve kullanmak. Doğrudan, dolaylı ve uzaktan (on-line) tanıtım programları gerçekleştirmek ve  kişisel hedeflerine ulaşmak için faaliyetlerde bulunmak,,Paydaşlarla profesyonel iş ilişkileri oluşturarak, sorumlu olduğu alandaki ürünlere ait etkinlik, yan etki, klinik veriler vb. bilgilere sahip olmak, doğru ve eksiksiz aktarmak, rakip ürünlerin özellik ve faydaları hakkında bilgi sahibi olmak ve bu bilgilerden yararlanmak, ,Paydaş topluluklarına teknik düzeyi yüksek portföy sunumları gerçekleştirmek,,Şirket ve müşterileri arasındaki bilgi akışını sağlamak. ",Tıbbi Tanıtım ve Satış Sorumlusu,tibbi_tanitim,,,World Medicine İlaç San.ve Tic.A.Ş.,
,,"Ön Lisans(Mezun), Üniversite(Mezun), Yüksek Lisans(Öğrenci), Yüksek Lisans(Mezun), Doktora(Öğrenci), Doktora(Mezun)","Innovex; ilaç sanayi, biyoteknoloji ve tıbbi cihaz alanında faaliyet gösteren firmalara yenilikçi satış çözümleri, yüksek kalitede satış takımları oluşturmaktadır. Günümüz belirsiz iş ortamında en önemli ihtiyaç olan esnekliği sağlayan, dünyanın önde gelen sözleşmeli satış organizasyonu firmasıdır.,‘Innovex bir IQVIA kuruluşudur.’,Tüketici medikal ekipmanları alanında dünyanın lider çok uluslu bir firmasıyla yürüttüğümüz bir projede görevlendirilmek üzere deneyimli,Tıbbi Mümessil, aranmaktadır.,Alanında lider medikal ekipmanlara sahip müşterimizin Pediatri, Göğüs ve Kardiyoloji hekimlerine, kısmi geri ödemeli nebülizatör cihazlarının ve kan basıncı cihazlarının tanıtımından; ziyaretler yapılarak sunumların gerçekleştirilmesinden sorumlu olacaktır.,İŞ TANIMI,Tıbbi Satış Mümessilliğinde en az 3 yıl deneyimli,,Tercihen pediatri, göğüs ve kardiyoloji alanında çalışmış ve kanıtlanmış başarı öyküsüne sahip,,Üniversite ya da yüksek okul mezunu,,Etkin iletişim becerisine sahip,,Ekip çalışmasına uyumlu, gelişmeye ve yeniliklere açık,Yoğun çalışma temposuna uyum sağlayabilecek,,Sürücü belgesine sahip ve aktif araba kullanabilen,,Erkek adaylar için askerlik görevini tamamlamış,,Seyahat engeli bulunmayan.",Tıbbi Mümessil ,tibbi_tanitim,,,İnnovex Sağlık Ürünleri Pazarlama Hizm. Ve Danış.,En az 3 yıl tecrübeli adaylar
,,,"Üniversite veya Yüksek Okul mezunu ,Sağlık sektöründe en az 2 yıl satış tecrübesine sahip ,Tercihen Kardiyoloji, Dahiliye, Kadın Doğum uzmanlıklarında tecrübesi olan ,Kilit hekim ilişkileri kuvvetli, müşteri ve başarı odaklı ,Mesleki donanımı yüksek, iş sonuçlarında iddialı ,Yeni fırsatları görüp aksiyon alabilen ,Sonuca ulaşmadan vazgeçmeyen ve farkındalığı yüksek ,İstanbul Avrupa yakasında ikamet eden ,İŞ TANIMI,İlaç Divizyonumuz VEGA Grubumuzda İstanbul Avrupa bölgesinden sorumlu olacak Tıbbi Satış Temsilcisi, bölgesinde kuvvetli ürün bilgisi ve kaliteli hizmet sunarak bölüm tarafından belirlenen satış ve pazar payı hedeflerini gerçekleştirmekten sorumlu olacaktı",Tıbbi Satış Temsilcisi-İstanbul Avrupa,tibbi_tanitim,,,Abbott Laboratuarları İth. İhr. ve Tic. Ltd . Şti,En az 2 yıl tecrübeli adaylar
,,Üniversite(Mezun),"İzmir ve çevre illerinde görevlendirilmek üzere Bay-Bayan ekip arkadaşı aramaktayız.,Medikal alanda Tanıtım ve Satış yapabilmeye yetenekli,,TCESİS Belgelerine sahip,,İletişim becerisi kuvvetli, sunum becerisi ve ikna kabiliyeti yüksek,,Tercihen Hemşirelik, Anestezi Teknikerliği, Biomedikal Mühendisliği mezunu,,Sürücü Belgesine sahip ve aktif olarak araç kullanabilen,,Seyahat Engeli olmayan,,Erkek adaylar için askerlik hizmetini tamamlamış,",Tıbbi Tanıtım ve Satış Temsilcisi,tibbi_tanitim,,,Asil Tıbbi Sistemler,En az 1 yıl tecrübeli adaylar
Sürekli / Tam zamanlı,Satış,"Üniversite(Mezun), Ön Lisans(Mezun)","O.T.C . Ürün gurubumuz için, ÜROLOJİ-DERMATOLOJİ-DAHİLİYE Branşlarında deneyimli .Şirketimizin ve ürünlerinin tanıtım pazarlama stratejilerini sahada uygulayarak, bizimle birlikte insan için değer üretecek takım arkadaşları arıyoruz.,*lisans veya ön lisans mezun,*Sürücü belgesi ve aktif araç kullanabile,*seyahat engeli bulunmayan,*ofis programlarını kullanabilen,*başarma azmi yüksek dinamik yüksek performans kültürüne yatkın ve sonuç odaklı,*kişisel farkındalığı gelişmiş ve pozitif,*yeniliklere ve öğrenmeye açık,*insan ilişkilerinde başarılı,İŞ TANIMI,Düzenli Dr. ve eczane ziyaretlerinin yapılması, sorumlu olduğu ürünler ve tedavi alanları ile ilgili gerekli bilgileri sunularak medikal anlamda bilinirliğin arttırılması.,*sorumlu olduğu bölgede tüm tanıtım faaliyetlerinin yürütülmesi ,*oluşturulan aylık ve haftalık çalışma programının eksiksiz gerçekleştirilmesi ve raporlanması",Tıbbi Satış Mümessili (MARMARA),tibbi_tanitim,"İstanbul(Avr.), İstanbul(Asya)","Tıbbi Cihaz ve Malzemeler , İlaç Sanayi",Asel İlaç,1 - 5 yıl tecrübeli adaylar
,,,"Tıbbi Mümessil, Innovex; ilaç sanayi, biyoteknoloji ve tıbbi cihaz alanında faaliyet gösteren firmalara yenilikçi satış çözümleri, yüksek kalitede satış takımları oluşturmaktadır. Günümüz belirsiz iş ortamında en önemli ihtiyaç olan esnekliği sağlayan dünyanın lider ticari çözümler organizasyonu firmasıdır. , ‘Innovex bir IQVIA kuruluşudur.’ , Hijyenik Ürünler ‘’Bebek Bezi & Hijyenik Ped & Hasta Bezi’’ alanında görevlendirilmek üzere Reçeteli Ürünler , Medikal Cihaz veya OTC pazarlarında deneyimli ,Tıbbi Mümessil, aranmaktadır. , Adaylarda aranılan özellikler: ,Satış Temsilciliğinde en az 2 yıl deneyimli, ,Üniversite ya da yüksek okul mezunu, ,Tercihen; Reçeteli İlaç, OTC veya Medikal Cihaz sektöründe deneyimli, ,Tıbbi ve Medikal Bilgi ve Becerisi yüksek, ,MS Office Programlarına hakim, raporlama becerisi yüksek, ,İkna kabiliyeti yüksek, satış becerisine sahip, stresle baş edebilen, ,Ekip çalışmasına uyumlu, gelişmeye ve yeniliklere açık, ,Yoğun çalışma temposuna uyum sağlayabilecek, ,B sınıfı sürücü belgesine sahip ve aktif araç kullanabilen, ,Erkek adaylar için askerlik görevini tamamlamış, ,Seyahat engeli bulunmayan adayların ilana başvuru yapmaları rica olunur. ,İŞ TANIMI ,Hedefleri doğrultusunda, sorumlu olduğu bölgede mevcut olan Doktor ve eczane ziyaretlerinde bulunarak, marka ürünlerinin tanıtım ve satış faaliyetlerini yerine getirmek, ,Sorumlu olduğu müşteriler ile firma ilişkilerimizin sağlıklı ve düzenli bir şekilde sürdürülmesini sağlamak, ,Yeni müşteri portföyü oluşturmak, ,Ürünlere yönelik tanıtım ve satış faaliyetlerini yönetmek, ,Belirlenen tanıtım ve satış hedefleri doğrultusunda, çalışma planını (Günlük/Haftalık/Aylık) oluşturmak ve uygulamak, ,Pazar rakiplerinin takibini ve raporlamasını yapmak. ",Tıbbi Mümessil,tibbi_tanitim,,,İnnovex Sağlık Ürünleri Pazarlama Hizm. Ve Danış.,
Uzman,Sürekli / Tam zamanlı,"Ön Lisans(Öğrenci), Ön Lisans(Mezun), Üniversite(Öğrenci), Üniversite(Mezun), Yüksek Lisans(Öğrenci), Yüksek Lisans(Mezun), Doktora(Öğrenci), Doktora(Mezun)","* Üniversite mezunu,,* İlaç sektöründe spesifik ürünlerin satış gruplarında en az 4 yıl tecrübeli,,* MS Office programlarını kullanabilen,,* Sürücü belgesine sahip ve aktif araç kullanabilen,,* Seyahat engeli bulunmayan,,* ÜTE Sertifikası bulunan,,* Erkek adaylar için askerlik hizmetini tamamlamış,,* İstanbul Asya ve Avrupa, Bursa, İzmir, Adana, Antalya ve Ankara ilinde ikamet eden,,Yeni kurulacak ürün grubumuzda görevlendirilmek üzere Tıbbı Tanıtım Uzmanı arayışımız bulunmaktadır.",Tıbbı Tanıtım Uzmanı,tibbi_tanitim,,İlaç Sanayi,Sektöründe Lider Firma,En az 4 yıl tecrübeli adaylar
,,,"Neutec İlaç,'Tıbbi Tanıtım Temsilcisi',İŞ TANIMI",Tıbbi Tanıtım Temsilcisi,tibbi_tanitim,,,Neutec,
,,,"İlaç sektöründe Dermokozmetik ve OTC alanlarında çalışacak,,•Performans odağı yüksek,,•İnsan ilişkileri kuvvetli,,•Hedef ve sonuç odaklı,,•B sınıfı sürücü belgesine sahip,,•Erkek adaylar için askerlik görevini tamamlamış.,Sağlık sektöründe 40 yıla yakın süredir hizmet veren şirketimizin bünyesindeki  OTC ürünlerinin sorumlu olunan bölgelerde, düzenli ziyaretlerle, doktor ve  eczanelere belirlenen hedefler doğrultusunda tanıtımını ve satışını yapmak.",Tıbbi Mümessil,tibbi_tanitim,,,TALU İLAÇ VE KOZMETİK DAĞITIM PAZARLAMA LTD.ŞTİ.,
,,,"Tercihen Üniversite mezunu,  ,İlaç sektöründe benzer pozisyonda en az 3 yıl ve üzeri deneyimli (kardiyoloji, üroloji ürünlerinde ve kronik pazarda çalışmış),ÜTE sertifkasına sahip,, ,MS Office programlarını etkin kullanabilen, ,İletişim becerisi yüksek, insan ilişkilerinde başarılı, aktif, dinamik, ,Takım çalışmasına yatkın, ,Hedef ve satış odaklı çalışan, ,Sürücü belgesine sahip ve aktif araç kullanabilen, ,Seyahat engeli bulunmayan, ,Erkek adaylar için askerlik görevini tamamlamış. ,İŞ TANIMI,“TIBBİ ÜRÜN TANITIM VE SATIŞ TEMSİLCİSİ”,.",TIBBİ ÜRÜN TANITIM & SATIŞ TEMSİLCİSİ(Tüm Türkiye),tibbi_tanitim,,,Recordati İlaç Sanayi ve Ticaret A.Ş.,
,,,"Bulunduğu il ve çevresinde veya verilecek bölge dahilinde , CONFORT(Ostomi ve Negatif basınçlı yara tedavi sistemleri) markasını temsil edecek, hastane hekim çalışmaları yaparak Confort marka ürünlerin uygulamasını gerçekleştiricek veya bayi-hastane yönetimi koordine edebilecek uygun takım arkadaşları aramaktayız.,Tercihen 4 yıllık üniversite mezunu, ,Tercihen medikal sektörde; ,vakum yardımlı yara tedavi sistemleri, ve ,ostomi ,alanlarında deneyimli,,Tıbbi cihaz veya ilaç sektöründe en az 1 yıl deneyimli, ,İnsan ilişkilerinde başarılı, iletişim becerisi yüksek, ,Başarma azmi yüksek, dinamik, gelişmeye açık, ,Sürücü belgesine sahip ve aktif olarak araç kullanabilen, ,Seyahat engeli olmayan, ,Erkek adaylar için askerlik görevini tamamlamış ,Sorumluluk duygusu gelişmiş, zaman-bölge yönetimleri konusunda eğitimli, mesai saatlerini en verimli şekilde değerlendirebilen, sağlık sektöründeki sorunların da çözüm yollarının da farkında olan , ekip çalışmasına yatkın çalışma arkadaşları arıyoruz.,Tercihen tıbbi cihaz satış elemanı belgesi, klinik destek elemanı belgesi olan,,İŞ TANIMI,Satış, Pazarlama, Müşteri Hizmetleri ve İhale Yönetim departmanlarıyla işbirliği içinde çalışmak,,Hekimlere ürünleri, firmamızın vereceği ürün eğitimi ve hedefleri doğrultusunda tanıtmak ve ürünlerin satışını sağlamak,,Confort ürünleri ile ilgili hekimlere ürün demoları, eğitimleri yapmak ve sunumları yapmak,,Confort ürünlerini; hasta başı uygulama yaparak, pansumanları takip etmek,  ,Satın alma evrak işlerini takip etmek, ,Kendisinden istenen raporları zamanında müdürüne ulaştırmak, ",Tıbbi Tanıtım ve Satış Sorumlusu,tibbi_tanitim,,,KONFORT ÖZEL SAGLIK HIZMETLERI TIBBI MALZ. SAN,
,,,"• Üniversitelerin lisans veya ön lisans bölümlerinden mezun,• Tercihen ilaç sektöründe minimum 2 yıl satış tecrübesine sahip,• Başarı odaklı, ilişki geliştirme ve yönetiminde güçlü,• Ticari pazarlama ve müzakere becerileri gelişmiş ,• Minimum 2 yıl aktif sürüş deneyimi olan ,• ÜTT (Ürün Tanıtım Temsilcisi) Yeterlilik Belgesi bulunan,• Seyahat engeli bulunmayan , ,Büyütmeyi hedeflediğimiz satış ekibimizde yer alacak, Berko İlaç ürün yelpazesindeki ürünlerin, düzenli ziyaretlerle, belirlenen hedef ve stratejiler doğrultusunda pazarlama ve satışını yapacak 'Tıbbi Satış Temsilcileri' aramaktayız. Başvurular tüm Türkiye genelinde alınmaktadır.",Tıbbi Satış Temsilcisi (Türkiye Geneli),tibbi_tanitim,,,Berko İlaç ve  Kimya San. A.Ş.,Tecrübeli ya da tecrübesiz adaylar
,,,"Tıbbi ilaç, dermokozmetik ve diğer sağlık ürünleri ile teknolojik yazılım sektörlerinde hizmet veren Loop Corporate, alanlarında uzman ekibiyle kişilerin hayat standartlarını yükseltecek ürün ve hizmetlerin hayata geçirilmesi amacını benimsemiştir. Bu amaç ile müşteri memnuniyetini ön planda tutarak; sağlık ve kişisel bakımdan, teknoloji alanına uzanan geniş faaliyet alanında, sektörün ihtiyaç ve isteklerini en güvenilir düzeyde sunmaktadır.,Byopecia, ve ,Trichos, markalarımız için,,Üniversite veya Yüksek Okul mezunu,Kilit hekim ilişkileri kuvvetli, müşteri ve başarı odaklı,Mesleki donanımı yüksek, iş sonuçlarında iddialı,Yeni fırsatları görüp aksiyon alabilen,Sonuca ulaşmadan vazgeçmeyen ve farkındalığı yüksek,B sınıfı sürücü belgesi ve aktif sürüş deneyimi olan,MS Office programlarına hakim olan,Seyahat engeli olmayan,İstanbul Anadolu bölgesinde ikamet eden,Erkek adaylar için askerlik görevini tamamlamış,Sorumlu olduğu bölgelerde doktor ve eczanelere firmamıza ait ürünlerin düzenli ziyaretlerle, belirlenen hedef ve stratejiler doğrultusunda tanıtımını ve satışını yapacak ,“TIBBİ TANITIM VE SATIŞ TEMSİLCİSİ”, adayları aramaktayız.,İŞ TANIMI,Pazarlama ve tanıtım planlarına uygun olarak sorumlu olduğu ürünleri dermatoloji doktorlarına tanıtmak,Belirlenen eczaneleri düzenli olarak ziyaret etmek,Şirket hedefleri doğrultusunda iş planını oluşturmak,Belirlenen satış hedeflerini gerçekleştirmek,Günlük, haftalık ve aylık düzenli raporlamaları gerçekleştirmek",Tıbbi Tanıtım ve Satış Sorumlusu,tibbi_tanitim,,,Loop Corporate,
,,"Lise(Mezun), Ön Lisans(Mezun), Üniversite(Mezun)","Firmamıza ve büyüyen ekibimize değer katacak, Doktor ve Eczane ziyaretleri yapacak, çalışkan ve sorumlu çalışma arkadaşları arıyoruz., ,Üniversite, Yüksek Okul veya en az Lise mezunu,,Seyahat engeli bulunmayan, ,Sürücü belgesi olan ve aktif olarak araç kullanabilen, ,Askerlik görevini tamamlamış (erkek adaylar için), ,Hedef ve sonuç odaklı, takım çalışmasına yatkın, ,İletişim becerisi ve özgüveni yüksek, dinamik, ,MS Office programlarına hakim, ,Bay/Bayan ,İŞ TANIMI, ,Ziyaret ve tanıtımdan sorumlu olduğu bölgedeki doktor ve eczanelere planlanan tanıtım ve satış faaliyetlerini gerçekleştirmek, ,Eczaneleri satış kampanyaları hakkında bilgilendirmek, ürünlerin eczanelerdeki tüketimlerini ve stoklarını takip etmek.",Tıbbi Satış Mümessili,tibbi_tanitim,,,BS İlaç ve Kozmetik Ltd. Şti.,Tecrübeli ya da tecrübesiz adaylar
,,,"VEM İLAÇ; Yaşam kalitesini yükseltmek için kaliteli ve ileri teknoloji gerektiren ilaçları tıbbın hizmetine sunmayı amaç edinmiştir.,Vem ilaç; Göz Grubu, Akut Ürünler, Göğüs Hastalıkları, Pediatri, Allerji-Immünoloji, Nefroloji,  Diyaliz, Gastroenteroloji, Dermatoloji, Ortopedi, Fizik Tedavi, Kardiyoloji, Anestezi, Yoğun Bakım ürünleri gibi birçok alanda Türkiye genelinde faaliyet göstermekte olup, satış hacmine bakmaksızın çok önemli sağlık sorunlarının tedavilerinde olmazsa olmaz ilaçları tespit ederek bu alandaki ihtiyaçları da karşılamaya çalışmaktadır.,İstikrarla ve hızla büyüyen organizasyonumuza değer katacak, yeni açılacak Göz Bölümümüzde değerlendirilmek üzere  aşağıdaki niteliklere sahip,; ,İstanbul Anadolu, İstanbul Avrupa, Antalya, Ankara, Trabzon ,illerinde  ikamet eden  takım arkadaşları aramaktayız.,Tercihen Üniversite mezunu, ,ÜTT sertifikası olan, ,İlaç sektöründe Tıbbi Satış Mümessili alanında en az 2 yıl deneyimli, ,Göz, ürün grubu tecrübesi olan, ,Vem İlaç'ın ürün portföyüne uygun alanlarda çalışmış, ,Başarma arzusu yüksek ve sonuç odaklı, ,Sözlü ve yazılı iletişim becerisi gelişmiş, ,Yoğun çalışma temposuna ayak uydurabilecek, ,Ekip çalışmasına yatkın, ,Sürücü belgesine sahip ve aktif olarak araç kullanabilen, ,Seyahat engeli olmayan, ,Askerlik hizmetini tamamlamış (Erkek adaylar için ) ",Tıbbi Satış Mümessili ( Göz Grubu),tibbi_tanitim,,,VEM İLAÇ SANAYİ VE TİCARET ANONİM ŞİRKETİ,
