calisma_sekli,departman,egitim,genel_nit_is_tanimi,ilan_baslik,label,sehir,sektor,sirket_adi,tecrube
,,,"Üniversitelerin Bilgisayar Mühendisliği, Bilgisayar Programcılığı vb. ilgili bölümlerinden mezun,,İyi derecede HTML, JavaScript, CSS, Jquery ve benzeri tarayıcı taraflı kodlama ve uygulamalarında gerekli bilgiye sahip ve Front-End tasarımlarını yapabilen,,TFS ve Github kullanım tecrübesi olan ve TypeScript, Angular 2.0 ve üstü programlarla uygulama geliştirebilen,,Photoshop ve Illustrator bilen, Responsive ve Adaptive Layoutlar konusunda deneyim sahibi,,Tercihen PrimeNG-Prime Faces tecrübesi olan, ,Takım çalışmasına yatkın, sorumluluk sahibi ve zaman yönetiminde başarılı,  ,Teknik dökümanları anlayabilecek seviyede İngilizce bilen, ,Erkek adaylar için askerlik hizmetini tamamlamış, ,İstanbul Anadolu Yakası'nda ikamet eden. ,İŞ TANIMI,Kartal lokasyonunda yer alan Genel Müdürlüğümüzde görevlendirilmek üzere; Yazılım Departmanımızda Projelendirme aşamalarında tecrübeleri ile katkıda bulunacak, Web ve Mobile ürün geliştirme aşamasında görsel alanda etkin rol alabilecek, Arayüzleri yazabilecek ve Yazılım Ekibimizle koordineli bir şekilde görev yapacak ,""Front-End Developer"" ,takım arkadaşı aranmaktadır.",Front-End Developer,web_tasarim,,,Hasel İstif Makineleri San. ve Tic. A.Ş.,
Sürekli / Tam zamanlı,İş Geliştirme,,"""İYİ OL"" hedefini dünyanın dört bir tarafında hayata geçirmeyi amaç edinmiş ,GOOGLE'IN PREMIER PARTNERİ, olma ayrıcalığına sahibiz. TURKCELL, SABANCI HOLDİNG, AXA SİGORTA gibi,TÜRKİYE,'MİZİN önde gelen markalarıyla yaptığımız iş ortaklıkları ile ülkemizin geleceğine yön vermeye adayız. İş dünyasının dijital pazarlama ile en iyi olmalarını sağlayıp onlara yardımcı olarak hayallerini gerçekleştirmelerine katkıda bulunuyoruz ve bizimle aynı heyecanı duyan,DİNAMİK, ESNEK, ÜRETKEN ,bir ortamda çalışmaya istekli takım arkadaşları arıyoruz.,Benzer pozisyonda 3-5 yıl iş tecrübesi olan, referans çalışmalar sunabilecek,Üniversitelerin tercihen Bilgisayar Mühendisliği, Bilgisayar Programcılığı veya ilgili bölümlerinden mezun,Web Servisleri konusunda uzman,Wordpress, PHP ve MYSQL konularında deneyimli,HTML, CSS ve Javascript konularında tecrübeli,Responsive arayüz hazırlamada tecrübeli,Web güvenliği konularında bilgi sahibi,Çözüm odaklı, sorumluluk sahibi,İletişim becerileri güçlü, yaratıcı,Takım çalışmasına yatkın,Dijital Pazarlama bakış açısına sahip olmak,İş Tanımı;,Şirketimiz ve müşteri ihtiyaçları doğrultusunda, yeni web sayfaları düzenlemek,Mevcut web sayfalarının içeriğini düzenlemek veya yeni içerik eklemek,Mevcut web sayfası altyapılarını sürekli geliştirerek, yeni teknolojiler ile uyumlu hale getirmek,Sektördeki gelişmeleri ve trendleri yakından takip ederek yeni fikirler üretmek",Web Yazılım Uzmanı,web_tasarim,İstanbul(Avr.)(Şişli),Reklam ve Tanıtım,EG Bilişim Teknolojileri,
,,,"Üniversitelerin Endüstri Mühendisliği, İşletme Mühendisliği, İstatistik, işletme, iktisat bölümlerinden mezun,,E-Ticaret dijital pazarlama ve raporlama alanında 4-5 yıl süresince benzer bir görevde bulunmuş,,Raporlama ve veri analizi konusunda deneyimli, , ,Dijital (Google Analytic ve benzeri programları) analitik verilerine hakim ve raporlama, aksiyon planları oluşturmada tecrübeli,,Seo, Sem, Display Reklam, Affiliate Reklam, E-mail Pazarlama  konularına hakim,,MS Office uygulamalarına ileri derecede kullanabilen,,Fayda maliyet analizi konusunda deneyimli ve bütçe yönetme tecrübesi olan,,Sürekli iyileştirme, takip ve süreç izleme yeteneği gelişmiş,,Sonuç ve proje geliştirme odaklı,, ,Ekip çalışmasına yatkın,, ,Bilgi çıktılarından aksiyon üretebilme yeteneğine sahip,,İŞ TANIMI,Google Analytics başta olmak üzere ölçümleme araçlarını kullanarak e-ticaret ve  pazarlama departmanı ihtiyaçlarına uygun raporların hazırlanması ve yorumlanması,,Dijital pazarlama stratejilerine rehberlik edecek, trafik kanallarının performanslarının raporlandığı; belirlenen KPI’lara uygun gösterge panellerinin hazırlanması ve takibinin yapılması,,IT ve gerekli iş birimlerinin raporlamaların eksiksiz ve doğru alınabilmesi için teknik uygulamalar konusunda departmanların yönlendirilmesi,,Ziyaretçi ve müşteri davranışları ile alakalı raporların eksiksiz ve doğru alınabileceği alt yapının hazırlanması,",WEB ANALİST,web_tasarim,,,Aydınlı Grup,
Sürekli / Tam zamanlı,Bilgi İşlem,,"""İYİ OL"" hedefini dünyanın dört bir tarafında hayata geçirmeyi amaç edinmiş ,GOOGLE'IN PREMIER PARTNERİ ,olma ayrıcalığına sahibiz.,TÜRKİYE'MİZİN ,önde gelen markalarıyla yaptığımız iş ortaklıkları ile ülkemizin geleceğine yön vermeye adayız. Bizimle aynı heyecanı duyan ,DİNAMİK, ESNEK, ÜRETKEN, bir ortamda çalışmaya istekli takım arkadaşları arıyoruz. ,Üniversitelerin tercihen Bilgisayar Mühendisliği, Bilgisayar Programcılığı veya ilgili bölümlerinden mezun, Benzer pozisyonda en az 1 (bir) yıl iş tecrübesi olan ,Wordpress, PHP ve MYSQL konularında deneyimli ,HTML, CSS konularında tecrübeli ,Responsive arayüz hazırlamada tecrübeli ,Çözüm odaklı, sorumluluk sahibi , İletişim becerileri güçlü, yaratıcı ,Takım çalışmasına yatkın ,Dijital Pazarlama bakış açısına sahip olmak ,İŞ TANIMI,  Şirketimiz ve müşteri ihtiyaçları doğrultusunda, yeni web sayfaları düzenlemek,  Mevcut web sayfalarının içeriğini düzenlemek veya yeni içerik eklemek,  Mevcut web sayfası altyapılarını sürekli geliştirerek, yeni teknolojiler ile uyumlu hale getirmek, Sektördeki gelişmeleri ve trendleri yakından takip ederek yeni fikirler üretmek ",Junior Web Yazılım Uzmanı ,web_tasarim,İstanbul(Avr.)(Şişli),Reklam ve Tanıtım,EG Bilişim Teknolojileri,1 - 3 yıl tecrübeli adaylar
,,,"Tanımı:,Html, css ve js ile taslakları tüm gereksinimleri ile gerçekleştirebilecek.,Web sayfalarının browser performanslarının artırıcı güncellemeler yapabilecek,,Kendisine verilen görevleri eksiksiz ve zamanında yerine getirebilecek sorumluluğa sahip,,Analitik düşünebilen ve takım çalışmasına yatkın,,Web sitelerinin kurulmasını, geliştirilmesini ve düzenlenmesini yapmak.,Şirket içi uygulamaların geliştirilmesinde aktif rol alma,,Uygulamaları standartlara uygun olarak geliştirmek,,Genel Nitelikler:,Front-end development alanında en az 3 yıl deneyimli,Responsive ve Adaptive tasarım konusunda tecrübeli,HTML5, CSS3 ve JS ile problemsiz sayfa geliştirebilen,, ,Material, Bootstrap gibi frame worklere hakim,,Js frameworkler konusunda bilgi sahibi (Angular, React, Vue, Jquery),Cross-browser uyumluluğu konusunda deneyimli,Tasarım trendlerini, web ve mobil eğilimlerini, tarayıcı teknolojilerini ve uygulama tekniklerini yakından takip eden,Literatürü takip edecek seviyede İngilizce bilgisi olan,Temel seviyede tasarım programlarını (Photoshop vb) kullanabilen,Git versiyon takip sistemi konularında bilgi ve tecrübesi olan;,* Çalışma gün ve saati Hafta içi ,09:00 - 18:00 saatleri arasındadır.",Web Geliştirme Uzmanı,web_tasarim,,,Teknolist Bilgisayar Sistemleri Yaz Dan San ve Tic,
,,,"Danışmanlığını yaptığımız, Enerji sektörünün öncü firmasının, Yazılım Geliştirme Müdürlüğü bünyesinde görevlendirilmek üzere; Şirketimizin ve enerji piyasalarının ihtiyaç duyduğu ve gelecekte duyacağı orta ve büyük ölçekli enerji piyasası uygulamalarının ön yüzlerinin tasarlanması, prototiplerinin hazırlanması, kurulması, geliştirilmesi ve idamesi işlemlerini, çevik yazılım geliştirme metodolojileri ve ekip bütünlüğünde yapacak, aşağıdaki niteliklere uygun deneyimli Önyüz Geliştirme Kıdemli Uzmanı/Uzman aramaktayız.,Aranan Nitelikler,   • Üniversitelerin bilgisayar mühendisliği veya benzeri bölümlerinden mezun,   • Web tabanlı yazılım geliştirme konusunda en az 4 yıl iş tecrübesi olan uzman / +7 yıl Kıdernli Uzman,   • UI / UX konularında ilgi sahibi,   • React, Redux, CSS ve Javascript teknolojileri konusunda bilgili, tercihen tecrübeli,  •  Tercihen JSF ve PrimeFaces ön yüz teknolojileri konusunda tecrübeli,  •  Analitik düşünebilen, kendini geliştirmeye ve sürekli öğrenmeye önem veren,  •  Adaptasyon ve iş sorumluluğu ve takibi konusunda kendisine güvenen,  •  Literatürü takip edebilecek seviyede ingilizce bilen,  •  Etkili iletişim yeteneğine sahip,  • Takım çalışmasına yatkın,  • Askerlik ile ilişiği bulunmayan",Web Önyüz Geliştirme Uzmanı,web_tasarim,,,AVD TEKNOLOJİK ÇÖZÜMLER SAN. TİC. LTD. ŞTİ.,
Sürekli / Tam zamanlı,Bilgi İşlem,,"FRONT-END DEVELOPER, ,GENEL NİTELİKLER:,* İleri derecede HTML5, CSS3, JavaScript, JQuery , Bootstrap bilgisine sahip,,* Güncel teknolojileri kullanarak Web, MobilWeb ve Mobil uygulamalara uyumlu tasarım geliştirme,  ,* Hazırlanan tasarımı HTML formatında ekip arkadaşlarına iletebilecek,,* W3C standartlarında kod yazabilen ve responsive tasarım kodlama yetisine sahip,,* CSS Framework (Less ya da Sass) konusunda bilgi sahibi,,* Cross-browser çözümleri konusunda deneyimli,,* Kullanıcı deneyimi (User Experience) ve Kullanıcı Arayüzü (User Interface)  tasarım prensiplerini bilen,,* Sorumluluk ve iş disiplini sahibi,,* Çalışmaları ile ilgili bir portfolyo sunabilecek,İŞ TANIMI,Firmamız bünyesinde yapımına devam edilmekte CRM, B2b ve B2c projeleri kapsamında ekip çalışmasına yatkın tam zamanlı deneyimli ekip arkadaşları aramaktayız.,Lokasyon:, ,Tophane",Web Önyüz(Front-End) Yazılım Geliştirme Uzmanı,web_tasarim,İstanbul(Avr.)(Beyoğlu),Turizm,TURİSTALYA TURIZM,1 - 15 yıl tecrübeli adaylar
Sürekli / Tam zamanlı,"AR-GE, Bilgi İşlem, Genel Başvuru, Reklam, Tasarım / Grafik",,"• Üniversitelerin ilgili bölümlerinden mezun, ,• İyi seviyede HTML5, CSS3 bilgisine sahip, ,• Photoshop konusunda bilgi sahibi, ,• Mobil uyumlu responsive arayüz kodlarını düzenleyebilecek, ,• Tarayıcı uyumlulukları konusunda bilgili, ,• Front-End Development konusunda en az 1 yıl deneyimli, ,• Literatürü takip edebilecek seviyede İngilizce bilgisine sahip, ,• Yaratıcı, hızlı iş üreten, insan ilişkileri ve iletişimi güçlü, ,• Sürekli kendini geliştirmeyi seven, detaylarla ilgilenmekten sıkılmayan, ,• Erkek adaylar için askerliğini yapmış ya da en az 2 yıl tecili bulunan, ,• Tercihen İstanbul Anadolu yakasında ikamet eden,",Jr. Front End Developer (Arayüz Geliştirici),web_tasarim,"İstanbul(Asya)(Kadıköy, Kartal, Maltepe, Pendik)","Bilişim, İnternet, Yazılım, Reklam ve Tanıtım",Smartnet Bilişim Hizmetleri Tic. Ltd.Şti.,
,,,"- Üniversitelerin ilgili bölümlerinden mezun,,- .Net teknolojilerinde minimum 5 yıl tecrübeli,,- C#, Asp.Net MVC, Entity Framework ve .NET Framework konusunda deneyim sahibi,,- Çok katmanlı yazılım mimarilerine hakim,,- OOP, Design Patern, SOLID prensiplerine hakim,,- MS SQL veritabanı konusunda deneyimli,,- Web Api, Web Service konularında deneyimli,,- Tercihen .Net Core, Angular, Node.js, ElasticSearch bilen,- Agile, Scrum, Kanban iş modelleriyle çalışmış,,- Erkek adaylar için askerlik görevini tamamlamış veya en az 3 yıl tecilli,,- Çalışıyorsa dokunma prensibiyle kod yazmayan,
",Senior .Net Developer,web_tasarim,,,Smartnet Bilişim Hizmetleri Tic. Ltd.Şti.,3 - 15 yıl tecrübeli adaylar
,,,"Front-End development alanında en az 3 yıl deneyimli,,İyi derecede ,HTML5, JavaScript, CSS3, SASS, Jquery, Bootstrap4  ,kullanan ,,Smarty, Twig, Blade, gibi template engine ler üzerinde çalışmış,Jquery konusunda bilgili, tercihen Vue.js ile proje geliştirmiş.,PHP Frameworkleri (Laravel, Symfony) bilgi sahibi,MVC mimarisi konusunda bilgi sahibi,Tasarım uygulamaları hakkında bilgili (Photoshop, Sketch App),,Kreatif becerisi olan,Hosting konusuna hakim,İzmit'te ki ofisimizde çalışacak (İzmit'te ikamet edebilecek),Çalışmaları ile ilgili bir portfolyo sunabilecek,Frontend Developer Arayışımız bulunmaktadır.,İŞ TANIMI,Turhost bünyesinde geliştirilmekte olan iç projeler için ara yüz geliştirilmelerinin yapılması.",Web Frontend Developer,web_tasarim,,,turhost.com,
