calisma_sekli,departman,egitim,genel_nit_is_tanimi,ilan_baslik,label,sehir,sektor,sirket_adi,tecrube
,,,"Kemerköy ile Yeniköy Termik Santralleri' nin 18.04.2014 tarihinde özelleştirme ihalesi gerçekleştirilmiş olup, IC Enerji-LİMAK Enerji tarafından 23 Aralık 2014 tarihi itibari ile işletilmek üzere devralınmıştır. Yeniköy Termik Santrali 2 ünitesi ile 420 MW ve Kemerköy Termik Santrali de 3 ünitesi ile 630 MW olmak üzere toplamda 1050 MW kurulu gücü ile Türkiye’nin elektrik ihtiyacının yaklaşık %5 ‘ini karşılayan Yeniköy Kemerköy Elektrik Üretim ve Ticaret A.Ş. Ege Bölgesi’nde yer alan önemli bir ekonomik faktördür. Teknik ve çevre standartlarına uygun olarak işletilmekte olan santralin yanı sıra kömür sağlayan kömür madenlerinin tek bünyede birleşmesinden oluşmuş bir işletme daha bulunmaktadır. ,YENİKÖY KEMERKÖY ELEKTRİK ÜRETİM A.Ş.’nin 5X210 MW  santral ünitelerinin rehabilitasyonu projesinde 3 yıl geçici görevlendirilmek üzere, aşağıdaki niteliklere sahip ELEKTRİK-ELEKTRONİK  MÜHENDİSİ alınacaktır. , ,        ,Üniversitelerin  Elektrik-Elektronik Mühendisliği bölümünden mezun,,        ,Kömür yakıtlı termik santral ilk kurulum/rehabilitasyon projelerinde minimum 5 yıl deneyimli,,        ,Endüstriyel enstrümantasyon (switch,transmitter,analizör,,mP controller, vs.)  ve  elektronik otomasyon (PLC& HMI, DCS & SCADA) uygulama yazılımlarında eğitim almış ve deneyimli,,        ,Proses devreye alma ve performans testi  çalışmalarına katılmış,,        ,Organizasyon, ekip yönetimi, etkin iletişim, analitik düşünme, problem çözme becerilerine sahip,,        ,Hırslı, dinamik, ekip çalışmasına yatkın, araştırma ve öğrenmeye istekli, sosyal ilişkilerde başarılı,,       ,Kendine güvenen, planlı çalışma disiplinine sahip,,       ,MS Office programlarını iyi derecede kullanabilen,,       ,Yoğun iş temposuna ayak uydurabilecek,,       ,Erkek adaylar için askerlik hizmetini tamamlamış,,       ,İyi derecede İngilizce bilgisine sahip,,       ,Muğla Milas veya Ören’de  ikamet edebilecek,",Elektrik Elektronik Mühendisi,yapi_mimar_insaat,,,YENİKÖY KEMERKÖY ELEKTRİK ÜRETİM VE TİCARET A.Ş,
,,,"Aranan Nitelikler:,MYO ve Meslek Liselerinin Elektrik - Elektronik veya mekatronik bölümlerinden mezun,,Büyük ölçekli bina ve tesislerin (Avm, otel, hastane vb.)  ve bunların kapsadığı tüm elektrik, elektronik, telekomünikasyon ve data sistemleri ile ilgili ekipman ve sistemlerin teknik bakım ve işletim çalışmalarında en az 3 yıl deneyim sahibi, ,Sorumluluk sahibi ve ekip çalışmasına yatkın, ,Yoğun çalışma temposu ve vardiyalı çalışma sistemine uyum sağlayabilecek,,Mekanik, elektrik ve sıhhi tesisat enstrüman montaj yeteneğine güvenen,,Alanındaki yenilikleri takip eden, sürekli öğrenmeye açık,,İş güvenliği kurallarına dikkat eden, ,MS Office programlarını kullanabilen ,Gebze , Darıca veya  Anadolu yakasında ikamet eden ,Askerliğini hizmetini tamamlamış veya muaf ,B sınıfı sürücü belgesi sahibi, aktif olarak araç kullanabilen, seyahat engeli olmayan, ,İş Tanımı:,Yeni kurulan tesislerde elektrik ekipman ve enstrüman montajlarını yapmak.,Elektrik bakım onarım işlerini yapmak. ,Bina otomasyonu, yangın ve güvenlik sistemleri dahil olmak üzere, elektrik/elektronik, telekomünikasyon ve data sistemleri ile ilgili konularda, bina kullanıcılarının hizmet taleplerini, amirlerinin talimatları doğrultusunda yerine getirmek.,Elektrik sistemlerin eksiklerinin giderilmesinde görev almak.,İş emirlerini yerine getirerek sonuçlarını amirlerine sözlü ve/veya yazılı olarak bildirmek.,Ürünlerin bakım onarımı ile ilgili olarak teknik ve mekanik arızaların tamir, bakım ve onarım hizmetlerinin gerçekleştirilmesi,, , ",BİNA BAKIM TEKNİSYENİ,yapi_mimar_insaat,,,Doğuş Otomotiv,
Sürekli / Tam zamanlı,Üretim / İmalat,,"“Türkiye’deki savunma sanayi ana firmalarına özel sistemler üreten bir şirketler grubunun üyesi firmamıza konusuna hakim çalışma arkadaşları arıyoruz.,·,         ,Meslek Yüksekokulu Makine veya veya Meslek Lisesi/Teknik Lise ilgili bölümlerinden mezun,·,         ,Pano Montajı, kablolama konularında en az 2 yıl tecrübeli,·,         ,Lehimleme, crimpleme gibi konularda tecrübeli,·,         ,Savunma sektöründe çalışmaya istekli,·,         ,Tercihen klima, güç sistemleri ve havalandırma konularında yetkinliğe sahip,·,         ,Tercihen PCB dizgi yapabilen,·,         ,B sınıfı ehliyete sahip,·,         ,Askerliğini tamamlamış veya muaf",Elektrik Elektronik Teknikeri – Prototip Üretim,yapi_mimar_insaat,İstanbul(Asya)(Ümraniye),Üretim / Endüstriyel Ürünler,MAKEL TEKNOLOJİ A.Ş.,
Sürekli / Tam zamanlı,Mühendislik,,"Humartaş Yapı Enerji A.Ş ailesi olarak Yenilenebilir Enerji Kaynaklarına dayalı üretim tesislerinin (HES,GES,RES,Biomass)  anahtar teslim proje geliştirilmesinde ve EPC, EPC-F, EPC-M hizmetlerinin sunulmasında hizmet veriyoruz. Bugüne kadar, toplam 282 MWe  Yenilenebilir Enerji Projesi geliştirip, 42 MWp enerji tesisine anahtar teslim EPC hizmeti sunarak ülkemizin temiz enerji kaynaklarına doğrudan katkıda bulunduk. Elde ettiğimiz bu bilgi birikimini ve sahip olduğumuz kalite anlayışını başta Ukrayna ve Malta olmak üzere uluslararası rekabette değerlendiriyoruz.,Bu bağlamda, aşağıdaki niteliklere uygun ""Yenilenebilir Enerji Mühendisi"" pozisyonuna uygun çalışma arkadaşları aramaktayız.,Tercihen, Üniversitelerin Elektrik ve Elektronik Mühendisliği bölümünden mezun ,İleri düzey İngilizce bilen, ,Tercihen orta düzey Rusça bilen,,Erkek adaylar için Askerlik görevini yerine getirmiş, ,Esnek çalışma saatlerine uyum sağlayabilecek, ,Yurt içi-Yurt dışı seyahat engeli bulunmayan,Güneş Enerjisi Santralleri projeleri için (Çatı/Saha) fizibilite çalışması hazırlayabilecek ,İlgili Mevzuatlara hakim,Güneş Enerjisi Santralleri için tüm elektrifikasyon teknik dizayn süreçlerini yönetebilecek, ilgili ekipman seçimi için hesaplamaları yapabilecek,,Tercihen Primavera olmak üzere, İş Planlama programlarına hakim,,İlgili projelerin Çağrı Mektubu ve Bağlantı Anlaşması süreçlerini takip edebilecek, sonlandırabilecek,,Teklif Hazırlama ve Sözleşme Yönetimi süreçlerine hakim,Tercihen O&M tecrübesine sahip ",Yenilenebilir Enerji Mühendisi,yapi_mimar_insaat,İstanbul(Asya)(Ümraniye),"Proje Taahhüt, Yenilenebilir Enerji",HMR Girisim Enerji A.S,En az 3 yıl tecrübeli adaylar
,,"Üniversite(Mezun), Yüksek Lisans(Mezun), Doktora(Mezun)","Üniversitelerin, Elektronik Mühendisliği, veya ilgili bölümlerden mezun, ,Tercihen minimum 3 yıl tecrübeli,,Tercihen yangın dedektör sistemleri ve kontrol panelleri hakkında bilgi sahibi,,Yoğun olmayan depo sisteminin kontrolünü yapabilecek, ,Üretim faaliyetlerinin ihtiyaç (kaynak, malzeme, ekipman, vb.) planlaması, iş birimleri üretim çizelgelerinin oluşturulması ve üretim kontrol konusunda yeterli bilgiye sahip, ,Tercihen ISO9001, AS9100 kalite standartları ve işleyişi hakkında deneyim sahibi, ,Tercihen ERP bilgisine sahip, ,Tercihen İyi derecede İngilizce bilen, ,Yangın Alarm ve Güvenlik sektörüne ilgi duyan, Elektronik üretim sektöründe çalışmak isteyen, gelişime açık, ,Erkek adaylar için askerlikle ilişkisi olmayan, ,Aktif araç kullanabilen ve minimum B sınıfı ehliyet sahibi adayların başvurularını bekliyoruz. ,İŞ TANIMI,Tedarik, Üretim birimleri planlama ve organizasyonu ve kontrolü ve performans raporlarını hazırlanması, ,Üretimi gerçekleştirilecek ürünlerin; üretim akışını, gelen parçaların kalitesini ve satın alım takip edilmesi, ,Gelişme planı hazırlaması ve gerçekleştirilmesi, ,Gündemdeki işlerin en iyi şekilde yönetmesi, ,Müşteriler ve Personel le iyi bir iletişim kurulması ve firmanın hedefleri yönünde iyi bir enerji yaratılması gibi konularda başarı sağlayacak arkadaşı arayışımız bulunmaktadır.",Elektrik Elektronik Mühendisi,yapi_mimar_insaat,,,AVP Yangın ve Güvenlik Teknolojileri Sanayi Ticare,3 - 19 yıl tecrübeli adaylar
Sürekli / Tam zamanlı,Bakım / Onarım,,"LOTUS SAĞLIK HİZMETLERİ FİRMAMIZDA ÇALIŞMAK ÜZERE,,İŞ TANIMI,Sahada kurulumu yapılacak olan ekipmanların takibini yapmak ,Kurulum ve Bakım-Onarım Şefi’nin belirlediği iş takip programına göre işlerin takibini gerçekleştirmek ,Saha kurulumunda görevli olan taşeronların takibini sağlayıp iş bitiminde hakediş formlarını düzenlemek, Hastane teknik servis birimiyle kurulum sürecinin organizasyonunu gerçekleştirmek ve takip etmek, Cihaz ve ekipmanların montajı için gerekli olan tüm tesisat ihtiyaçlarını belirlemek, Görev alanı ile ilgili olarak yöneticisi tarafından verilen diğer görevleri yerine getirmek ,Görevi ile ilgili olarak işin daha hızlı, verimli ve kaliteli yapılması için gerekli geliştirmeleri amirine sunmak ,GENEL NİTELİKLER,Tercihen inşaat teknikeri,,En az 3 yıl kaba inşaat tecrübesi olan,,Erkek adaylar için askerliğini tamamlamış,,Seyehat engeli olmayan,,Aktif araç kullanabilen,",Şantiye Sorumlusu,yapi_mimar_insaat,,Kimya Sanayi,TEZKİM TARIMSAL KİMYA SAN. ve TİC. A.Ş.,Tecrübeli ya da tecrübesiz adaylar
,,,"GENEL NİTELİKLER,·,         ,Meslek lisesi veya Meslek Yüksek Okulu , Makine veya Makine Teknik Ressamlığı / Makine Resim Konstrüksiyon bölümü mezunu,,·,         ,Tercihen Ürge/Arge çalışmalarında bulunmuş.,·,         ,Solidworks  programını çok iyi derecede bilen,,·,         ,Tercihen Autocad, Inventor bilen,     ,·,         ,Teknik Resme hakim,,·,         ,Ekip çalışmasına yatkın, öğrenme istek ve arzusu olan ,·,         ,En az 10 yıl tecrübeli çalışma arkadaşı aramaktayız.,·,         ,Bursa'da ikamet eden,, ,İŞ TANIMI, ,·,         ,Teknik ve montaj resimlerinin oluşturulması,,·,         ,Müşterinin talepleri doğrultusunda istemiş olduğu numunelerin fizibilite çalışmalarının yapılması ,·,         ,Arşivleme, teknik ürün dosyalarının hazırlanmasını yapabilecek,,·,         ,Ürün , Ambalaj ve Malzeme teknik resimlerini çizilmek ve gelen revizyon taleplerini gerçekleştirmek.",Ürün Geliştirme Teknikeri / Teknik Ressamı,yapi_mimar_insaat,,,ŞAHTERM ELEKTRİKLİ ISITICILAR SAN.VE TİC.A.Ş,
,,Üniversite(Mezun),"Üniversitelerin ilgili bölümlerinden mezun olma,Cafe Restoran konseptinde en az 2 yıl deneyimli,Seyahat engeli bulunmayan,İŞ TANIMI",İç Mimar,yapi_mimar_insaat,,,Zevkli Tad Gıda Turizm İnş. ve San. Tic. Ltd. Şti.,55 - 98 yıl tecrübeli adaylar
,,,"Uçak, Uzay, Havacılık, Makina, Elektrik-Elektronik, Endüstri, İşletme Mühendislikleri bölümlerinden lisans derecesine haiz olmak,,3-5 yıl arası iş tecrübesi,,Temel seviyede pistonlu motor ve gaz türbinli motor bilgisine sahip olmak,,İyi derecede İngilizce bilgisine haiz olmak (okuma, konuşma, anlama, müzakere, teknik ve idari terimlerin kullanımı anlamında),,İş Tanımı:,Yürütülen Projelerin, takvim ve bütçesini takip etmek ve periyodik olarak raporlamak,,Proje kapsamında, Sözleşmesel teslimat kalemlerinin tanımlanmış bütçe, zaman ve kalite kriterleri içinde müşteriye teslim edilmesi için ilgili bölümlerle yakın işbirliği içerisinde olmak üzere gerekli ve koordinasyonu ve desteği sağlamak,,Ar-ge, İmalat, Montaj, Test Faaliyetleri ile Kritik Tedarik Süreçlerinin Program Takvimi, Kapsamı, Zaman ve Kalite kriterlerine uygunluğunu takip etmek,,Sanayi Katılım Offset yükümlülüğü süreçlerine aşina olmak ve raporlamak,,Projeler ile ilgili rutin ve duruma özel raporları hazırlamak,,Projenin yürürlüğe girdiği tarihten itibaren sözleşme hedeflerine ulaşmasını sağlamak amacıyla proje ile ilgili tüm aktiviteleri koordine etmek,,Sözleşmesel yükümlülüklere göre; teknik, kalite, zamansal ve mali performans hedeflerine ulaşması için gerekli şirket içi ve şirket dışı koordinasyon ile takip faaliyetlerini yürütmek,,Bu amaçla proje faaliyetlerini planlamak, kontrol etmek, projenin hedeflerinden sapmasına sebep olabilecek sorunları önceden tespit ederek gerekli önleyici tedbirlerin alınmasını sağlamak.,İyi derecede MS-Project Programı kullanım bilgisine sahip olmak,,MS-Excel, Word, Powerpoint programlarını etkin olarak kullanabilmek,,Temel SAP kullanımı bilgilerine sahip olmak,,Temel finansal raporlama bilgisine sahip,,Farklı iş süreçlerini analiz edip, gerektiğinde raporlayabilmek,,Farklı proje paydaşları ile matris proje organizasyonu yapısında çalışabilmek,,Güçlü iletişim ve takım çalışması becerilerine haiz olmak,,Temsil yeteneğine sahip olmak (sunuş yapabilme, sözel anlatı, empati kurabilme),Seyahat engeli olmayan,,Erkek adaylar için askerlik hizmetini tamamlamış veya muaf olmak,,Tercihen savunma sanayi projelerinde çalışmış,,Tercihen PMP sertifikası sahibi",Program/Proje Yönetim Mühendisi,yapi_mimar_insaat,,,TUSAŞ MOTOR SANAYİ A.Ş.,
Sürekli / Tam zamanlı,Mimarlık,,"İstanbul Ataşehir'de bulunan şantiyemizde çalışmak üzere ""İnce İşler Mimarı"" ,,GENEL NİTELİKLER ,Mimarlık bölümünden mezun, ,Alanında minimum 3-4 yıl tecrübeli, ,Saha ve şantiye tecrubesi olan, ,Autocad, MS Project veMS Office programlarına hakim,Tercihen otel inşaatlarında çalışmış olan, ,Teknik ofis ile koordine çalışabilen, ,Sahaya hakim olabilecek,genç ve dinamik,İŞ TANIMI,Sorumlusu olduğu projelerdeki İnce İmalat işlerini denetlemek,Sorumlusu olduğu projelerdeki inşaat iş programını,kaliteye uygun olarak yürütülmesini sağlamak,Tasarım,Elektrik ve Mekanik İşler ekibi ile koordineli çalışmak,Sorumlusu olduğu  işler ile ilgili ilerleme/durum raporları hazırlamak,Şantiyenin temizliğini ve disiplinini sağlamak ve takip etmek ",Saha Mimarı,yapi_mimar_insaat,,"Proje Taahhüt, Yapı, İnşaat",ARO YAPI,Tecrübeli ya da tecrübesiz adaylar
