,genel_nit_is_tanimi,ilan_baslik,label
0,kemerkoy yenikoy termik santralleri tarihinde ozellestirme ihalesi gerceklestirilmis olup enerji enerji tarafindan aralik tarihi itibari isletilmek uzere devralinmistir yenikoy termik santrali unitesi kemerkoy termik santrali unitesi olmak uzere toplamda kurulu gucu turkiye elektrik ihtiyacinin yaklasik karsilayan yenikoy kemerkoy elektrik uretim ticaret bolgesi alan onemli ekonomik faktordur teknik cevre standartlarina uygun olarak isletilmekte olan santralin yani sira komur saglayan komur madenlerinin bunyede birlesmesinden olusmus isletme daha bulunmaktadir yeni kemerkoy elektri ureti santral unitelerinin rehabilitasyonu projesinde gecici gorevlendirilmek uzere asagidaki niteliklere sahip elektri elektroni muhendi alinacaktir universitelerin elektrik elektronik muhendisligi bolumunden mezun komur yakitli termik santral kurulum rehabilitasyon projelerinde minimum deneyimli endustriyel enstrumantasyon switch transmitter analizor controller elektronik otomasyon scada uygulama yazilimlarinda egitim almis deneyimli proses devreye alma performans testi calismalarina katilmis organizasyon ekip yonetimi etkin iletisim analitik dusunme problem cozme becerilerine sahip hirsli dinamik ekip calismasina yatkin arastirma ogrenmeye istekli sosyal iliskilerde basarili kendine guvenen planli calisma disiplinine sahip office programlarini derecede kullanabilen yogun temposuna ayak uydurabilecek erkek adaylar icin askerlik hizmetini tamamlamis derecede ngilizce bilgisine sahip mugla milas veya oren ikamet edebilecek,elektrik elektronik muhendisi,yapi_mimar_insaat
1,aranan nitelikler meslek liselerinin elektrik elektronik veya mekatronik bolumlerinden mezun buyuk olcekli bina tesislerin otel hastane bunlarin kapsadigi elektrik elektronik telekomunikasyon data sistemleri ilgili ekipman sistemlerin teknik bakim isletim calismalarinda deneyim sahibi sorumluluk sahibi ekip calismasina yatkin yogun calisma temposu vardiyali calisma sistemine uyum saglayabilecek mekanik elektrik sihhi tesisat enstruman montaj yetenegine guvenen alanindaki yenilikleri takip eden surekli ogrenmeye acik guvenligi kurallarina dikkat eden office programlarini kullanabilen gebze darica veya anadolu yakasinda ikamet eden askerligini hizmetini tamamlamis veya muaf sinifi surucu belgesi sahibi aktif olarak arac kullanabilen seyahat engeli olmayan tanimi yeni kurulan tesislerde elektrik ekipman enstruman montajlarini yapmak elektrik bakim onarim islerini yapmak bina otomasyonu yangin guvenlik sistemleri dahil olmak uzere elektrik elektronik telekomunikasyon data sistemleri ilgili konularda bina kullanicilarinin hizmet taleplerini amirlerinin talimatlari dogrultusunda yerine getirmek elektrik sistemlerin eksiklerinin giderilmesinde gorev almak emirlerini yerine getirerek sonuclarini amirlerine sozlu veya yazili olarak bildirmek urunlerin bakim onarimi ilgili olarak teknik mekanik arizalarin tamir bakim onarim hizmetlerinin gerceklestirilmesi,bakim tekni syeni,yapi_mimar_insaat
2,turkiye deki savunma sanayi firmalarina ozel sistemler ureten sirketler grubunun uyesi firmamiza konusuna hakim calisma arkadaslari ariyoruz meslek yuksekokulu makine veya veya meslek lisesi teknik lise ilgili bolumlerinden mezun pano montaji kablolama konularinda tecrubeli lehimleme crimpleme gibi konularda tecrubeli savunma sektorunde calismaya istekli tercihen klima sistemleri havalandirma konularinda yetkinlige sahip tercihen dizgi yapabilen sinifi ehliyete sahip askerligini tamamlamis veya muaf,elektrik elektronik teknikeri prototip uretim,yapi_mimar_insaat
3,humartas yapi enerji ailesi olarak yenilenebilir enerji kaynaklarina dayali uretim tesislerinin biomass anahtar teslim proje gelistirilmesinde hizmetlerinin sunulmasinda hizmet veriyoruz bugune kadar toplam yenilenebilir enerji projesi gelistirip enerji tesisine anahtar teslim hizmeti sunarak ulkemizin temiz enerji kaynaklarina dogrudan katkida bulunduk elde ettigimiz bilgi birikimini sahip oldugumuz kalite anlayisini basta ukrayna malta olmak uzere uluslararasi rekabette degerlendiriyoruz baglamda asagidaki niteliklere uygun yenilenebilir enerji muhendisi pozisyonuna uygun calisma arkadaslari aramaktayiz tercihen universitelerin elektrik elektronik muhendisligi bolumunden mezun leri duzey ngilizce bilen tercihen orta duzey rusca bilen erkek adaylar icin askerlik gorevini yerine getirmis esnek calisma saatlerine uyum saglayabilecek yurt yurt disi seyahat engeli bulunmayan gunes enerjisi santralleri projeleri icin cati saha fizibilite calismasi hazirlayabilecek lgili mevzuatlara hakim gunes enerjisi santralleri icin elektrifikasyon teknik dizayn sureclerini yonetebilecek ilgili ekipman secimi icin hesaplamalari yapabilecek tercihen primavera olmak uzere planlama programlarina hakim lgili projelerin cagri mektubu baglanti anlasmasi sureclerini takip edebilecek sonlandirabilecek teklif hazirlama sozlesme yonetimi sureclerine hakim tercihen tecrubesine sahip,yenilenebilir enerji muhendisi,yapi_mimar_insaat
4,universitelerin elektronik muhendisligi veya ilgili bolumlerden mezun tercihen minimum tecrubeli tercihen yangin dedektor sistemleri kontrol panelleri hakkinda bilgi sahibi yogun olmayan depo sisteminin kontrolunu yapabilecek uretim faaliyetlerinin ihtiyac kaynak malzeme ekipman planlamasi birimleri uretim cizelgelerinin olusturulmasi uretim kontrol konusunda yeterli bilgiye sahip tercihen kalite standartlari isleyisi hakkinda deneyim sahibi tercihen bilgisine sahip tercihen derecede ngilizce bilen yangin alarm guvenlik sektorune ilgi duyan elektronik uretim sektorunde calismak isteyen gelisime acik erkek adaylar icin askerlikle iliskisi olmayan aktif arac kullanabilen minimum sinifi ehliyet sahibi adaylarin basvurularini bekliyoruz tanimi tedarik uretim birimleri planlama organizasyonu kontrolu performans raporlarini hazirlanmasi uretimi gerceklestirilecek urunlerin uretim akisini gelen parcalarin kalitesini satin alim takip edilmesi gelisme plani hazirlamasi gerceklestirilmesi gundemdeki islerin sekilde yonetmesi musteriler personel iletisim kurulmasi firmanin hedefleri yonunde enerji yaratilmasi gibi konularda basari saglayacak arkadasi arayisimiz bulunmaktadir,elektrik elektronik muhendisi,yapi_mimar_insaat
5,lotus saglik zmetleri rmamizda calismak uzere tanimi sahada kurulumu yapilacak olan ekipmanlarin takibini yapmak kurulum bakim onarim sefi belirledigi takip programina gore islerin takibini gerceklestirmek saha kurulumunda gorevli olan taseronlarin takibini saglayip bitiminde hakedis formlarini duzenlemek hastane teknik servis birimiyle kurulum surecinin organizasyonunu gerceklestirmek takip etmek cihaz ekipmanlarin montaji icin gerekli olan tesisat ihtiyaclarini belirlemek gorev alani ilgili olarak yoneticisi tarafindan verilen diger gorevleri yerine getirmek gorevi ilgili olarak isin daha hizli verimli kaliteli yapilmasi icin gerekli gelistirmeleri amirine sunmak genel teli kler tercihen insaat teknikeri kaba insaat tecrubesi olan erkek adaylar icin askerligini tamamlamis seyehat engeli olmayan aktif arac kullanabilen,santiye sorumlusu,yapi_mimar_insaat
6,genel teli kler meslek lisesi veya meslek yuksek okulu makine veya makine teknik ressamligi makine resim konstruksiyon bolumu mezunu tercihen urge arge calismalarinda bulunmus solidworks programini derecede bilen tercihen autocad inventor bilen teknik resme hakim ekip calismasina yatkin ogrenme istek arzusu olan tecrubeli calisma arkadasi aramaktayiz bursa ikamet eden tanimi teknik montaj resimlerinin olusturulmasi musterinin talepleri dogrultusunda istemis oldugu numunelerin fizibilite calismalarinin yapilmasi arsivleme teknik urun dosyalarinin hazirlanmasini yapabilecek urun ambalaj malzeme teknik resimlerini cizilmek gelen revizyon taleplerini gerceklestirmek,urun gelistirme teknikeri teknik ressami,yapi_mimar_insaat
7,universitelerin ilgili bolumlerinden mezun olma cafe restoran konseptinde deneyimli seyahat engeli bulunmayan tanimi,mimar,yapi_mimar_insaat
8,ucak uzay havacilik makina elektrik elektronik endustri sletme muhendislikleri bolumlerinden lisans derecesine haiz olmak arasi tecrubesi temel seviyede pistonlu motor turbinli motor bilgisine sahip olmak derecede ngilizce bilgisine haiz olmak okuma konusma anlama muzakere teknik idari terimlerin kullanimi anlaminda tanimi yurutulen projelerin takvim butcesini takip etmek periyodik olarak raporlamak proje kapsaminda sozlesmesel teslimat kalemlerinin tanimlanmis butce zaman kalite kriterleri icinde musteriye teslim edilmesi icin ilgili bolumlerle yakin isbirligi icerisinde olmak uzere gerekli koordinasyonu destegi saglamak malat montaj test faaliyetleri kritik tedarik sureclerinin program takvimi kapsami zaman kalite kriterlerine uygunlugunu takip etmek sanayi katilim offset yukumlulugu sureclerine asina olmak raporlamak projeler ilgili rutin duruma ozel raporlari hazirlamak projenin yururluge girdigi tarihten itibaren sozlesme hedeflerine ulasmasini saglamak amaciyla proje ilgili aktiviteleri koordine etmek sozlesmesel yukumluluklere gore teknik kalite zamansal mali performans hedeflerine ulasmasi icin gerekli sirket sirket disi koordinasyon takip faaliyetlerini yurutmek amacla proje faaliyetlerini planlamak kontrol etmek projenin hedeflerinden sapmasina sebep olabilecek sorunlari onceden tespit ederek gerekli onleyici tedbirlerin alinmasini saglamak derecede project programi kullanim bilgisine sahip olmak excel word powerpoint programlarini etkin olarak kullanabilmek temel kullanimi bilgilerine sahip olmak temel finansal raporlama bilgisine sahip farkli sureclerini analiz edip gerektiginde raporlayabilmek farkli proje paydaslari matris proje organizasyonu yapisinda calisabilmek guclu iletisim takim calismasi becerilerine haiz olmak temsil yetenegine sahip olmak sunus yapabilme sozel anlati empati kurabilme seyahat engeli olmayan erkek adaylar icin askerlik hizmetini tamamlamis veya muaf olmak tercihen savunma sanayi projelerinde calismis tercihen sertifikasi sahibi,program proje yonetim muhendisi,yapi_mimar_insaat
9,stanbul atasehir bulunan santiyemizde calismak uzere sler mimari genel teli kler mimarlik bolumunden mezun alaninda minimum tecrubeli saha santiye tecrubesi olan autocad project vems office programlarina hakim tercihen otel insaatlarinda calismis olan teknik ofis koordine calisabilen sahaya hakim olabilecek genc dinamik tanimi sorumlusu oldugu projelerdeki malat islerini denetlemek sorumlusu oldugu projelerdeki insaat programini kaliteye uygun olarak yurutulmesini saglamak tasarim elektrik mekanik sler ekibi koordineli calismak sorumlusu oldugu isler ilgili ilerleme durum raporlari hazirlamak santiyenin temizligini disiplinini saglamak takip etmek,saha mimari,yapi_mimar_insaat
